,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,67.29M,0.00,0.00,212.66M,212.66M,212.66M,-54.24M,,21.29M,,3.721M,303.38M,60.66M,-28.10M,-563.57M,,-32.33M,31.44M,-228.50M,5.764M,,-88.40M,8.446M,-79.96M,0.00,-0.933M,,-80.89M,,-12.87M,3.353M,-9.517M,,0.00,0.00,-230.00M,-230.00M,34.70M,-0.416M,-205.23M,,6.010B,-280.36M,59.96M,5.789B,,,-2.065M,-10.80M,0.00,117.30M,395.80M,,AOR,
2020-09,216.90M,12.04M,12.04M,207.90M,207.90M,207.90M,-53.58M,,25.83M,,-0.087M,-111.26M,-23.32M,5.577M,731.77M,,-31.17M,28.10M,599.69M,930.91M,,-75.54M,7.064M,-68.48M,0.00,-14.39M,,-82.87M,,-756.70M,3.11M,-753.59M,,0.00,0.00,-228.71M,-228.71M,31.93M,-0.457M,-950.83M,,6.096B,-102.78M,17.10M,6.010B,,,6.159M,-762.86M,0.00,-6.851M,-104.88M,,AOR,
2020-06,-618.42M,0.00,0.00,271.80M,271.80M,271.80M,-46.18M,190.42M,-21.71M,,0.126M,573.16M,611.95M,48.67M,-668.46M,,-28.18M,36.64M,573.78M,540.21M,,-116.56M,15.47M,-101.09M,0.00,3.067M,1.70M,-96.32M,,3.010B,595.77M,3.606B,,0.00,0.00,-228.26M,-228.26M,41.10M,-41.79M,3.377B,,2.285B,3.821B,-9.991M,6.096B,,,4.101B,-1.091B,0.00,17.99M,77.70M,,AOR,
2020-03,-3.297M,,,216.48M,216.48M,216.48M,-69.24M,68.72M,17.30M,,8.884M,503.72M,-217.99M,-0.328M,-349.64M,,-33.76M,7.798M,-90.20M,324.00M,,-210.49M,2.952M,-207.53M,0.003M,8.427M,66.81M,-132.30M,,2.658B,-700.53M,1.958B,,-214.30M,-214.30M,-228.96M,-228.96M,44.79M,-23.53M,1.536B,,571.50M,1.727B,-14.42M,2.285B,,,2.663B,-5.01M,-214.30M,236.57M,84.89M,,AOR,
2019-12,383.41M,0.00,0.00,211.53M,211.53M,211.53M,-50.40M,,25.26M,,5.913M,74.98M,-93.07M,-8.37M,-16.50M,,-31.50M,61.95M,-12.52M,582.89M,,-217.65M,5.391M,-212.26M,-67.97M,-1.402M,0.565M,-281.07M,,-19.92M,188.02M,168.10M,,-281.08M,-281.08M,-199.06M,-199.06M,56.39M,-0.15M,-255.80M,,514.42M,46.03M,11.05M,571.50M,,,-12.82M,-7.095M,-281.08M,192.06M,247.13M,,AOR,Restated
2019-09,453.78M,0.00,0.00,214.33M,214.33M,214.33M,-25.49M,,21.39M,,7.215M,-236.14M,-186.33M,-30.13M,-42.09M,,-30.60M,6.934M,-518.35M,171.58M,,-175.73M,4.902M,-170.83M,-74.81M,-0.984M,,-246.62M,,15.65M,533.40M,549.05M,,-349.31M,-349.31M,-200.04M,-200.04M,85.32M,-22.31M,62.70M,,532.24M,-12.34M,-5.485M,514.42M,,,31.79M,-16.14M,-349.31M,-70.01M,-84.41M,,AOR,Restated
2019-06,535.77M,,,187.34M,187.34M,187.34M,-28.51M,0.00,26.79M,,9.643M,114.17M,117.06M,2.288M,136.95M,,0.00,-8.363M,362.11M,1.046B,,-309.49M,4.558M,-304.93M,140.79M,-0.633M,1.772M,-163.00M,,-513.52M,-67.90M,-581.42M,,-155.32M,-155.32M,-200.37M,-200.37M,41.96M,-2.313M,-897.46M,,549.78M,-14.47M,-3.058M,532.24M,,,-1.501M,-512.02M,-155.32M,151.38M,94.29M,,AOR,Restated
2019-03,440.08M,,,184.18M,184.18M,184.18M,-9.108M,0.00,23.91M,,-2.658M,-180.31M,-27.30M,10.64M,39.22M,,0.00,-47.37M,-205.12M,447.44M,,-159.08M,9.482M,-149.60M,-97.53M,-115.81M,0.088M,-362.85M,,-255.10M,90.10M,-165.00M,,-127.51M,-127.51M,-195.84M,-195.84M,73.28M,-14.01M,-429.08M,,896.99M,-344.50M,-2.715M,549.78M,,,6.518M,-261.62M,-127.51M,51.15M,93.80M,,AOR,Restated
2018-12,267.38M,,,204.79M,204.79M,204.79M,-68.85M,,25.01M,,8.75M,44.92M,24.66M,-7.925M,145.03M,,0.00,-14.30M,192.39M,646.64M,,-119.50M,3.062M,-116.44M,0.00,0.00,-1.00M,-117.44M,,-11.52M,109.90M,98.38M,,-534.56M,-534.56M,-191.99M,-191.99M,53.50M,-4.453M,-579.12M,,953.37M,-49.92M,-6.469M,896.99M,,,-2.979M,-8.539M,-534.56M,257.90M,77.18M,,AOR,Restated
2018-09,431.04M,,,187.63M,187.63M,187.63M,-20.25M,,29.19M,,2.475M,-182.23M,-229.10M,-23.54M,67.67M,,0.00,-2.205M,-369.41M,271.14M,,-104.32M,3.839M,-100.48M,0.00,0.00,0.912M,-99.57M,,378.06M,0.00,378.06M,,-204.64M,-204.64M,-187.23M,-187.23M,84.39M,-2.20M,68.39M,,715.84M,239.96M,-2.435M,953.37M,,,386.14M,-8.078M,-204.64M,70.68M,81.39M,,AOR,Restated
2018-06,448.93M,,0.00,,201.77M,201.77M,45.67M,,21.10M,,8.04M,119.90M,113.04M,7.658M,167.59M,,,-88.30M,319.88M,1.034B,,-315.20M,5.345M,-309.86M,-44.50M,0.00,0.00,-354.36M,,-17.96M,-758.00M,-775.96M,,-67.94M,-67.94M,-187.42M,-187.42M,30.36M,2.483M,-998.47M,,1.047B,-318.38M,-12.90M,715.84M,,,-4.891M,-13.07M,-67.94M,50.32M,74.79M,,AOR,Restated
