,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,11.56B,11.56B,9.461B,2.098B,,,146.50M,-146.50M,1.886B,212.06M,146.50M,-146.50M,15.56M,-146.50M,81.12M,13.83M,67.29M,,67.29M,67.29M,440.28M,212.66M,227.62M,,0.13,,,,0.13,0.13,,0.13,,,,0.13,0.13,,510.01M,512.74M,0.45,,AOR,
2020-09,11.78B,11.78B,9.558B,2.220B,,,146.72M,-146.72M,1.800B,419.58M,146.72M,-146.72M,-14.12M,-146.72M,258.74M,41.84M,216.90M,,216.90M,216.90M,613.35M,207.90M,405.46M,,0.43,,,,0.43,0.43,,0.42,,,,0.42,0.42,,509.13M,510.74M,0.45,,AOR,
2020-06,8.867B,8.867B,7.301B,1.566B,,,164.27M,-164.27M,2.097B,-531.58M,164.27M,-164.27M,-40.40M,-164.27M,-736.24M,-117.83M,-618.42M,,-618.42M,-618.42M,-300.17M,271.80M,-571.98M,,-1.22,,,,-1.22,-1.22,,-1.22,,,,-1.22,-1.22,,508.30M,509.21M,0.45,,AOR,
2020-03,13.70B,13.70B,11.13B,2.564B,,,83.85M,-83.85M,2.504B,60.27M,83.85M,-83.85M,-5.20M,-83.85M,-28.78M,-25.48M,-3.297M,,-3.297M,-3.297M,271.55M,216.48M,55.07M,,-0.01,,,,-0.01,-0.01,,-0.01,,,,-0.01,-0.01,,508.75M,512.66M,0.45,,AOR,
2019-12,15.03B,15.03B,12.20B,2.828B,,,76.76M,-76.76M,2.276B,552.49M,76.76M,-76.76M,0.807M,-76.76M,476.54M,93.13M,383.41M,,383.41M,383.41M,764.83M,211.53M,553.30M,,0.75,,,,0.75,0.75,,0.74,,,,0.74,0.74,,509.98M,515.52M,0.45,,AOR,Restated
2019-09,15.30B,15.30B,12.36B,2.943B,,,83.34M,-83.34M,2.275B,668.32M,83.34M,-83.34M,-3.112M,-83.34M,581.87M,128.09M,453.78M,,453.78M,453.78M,879.54M,214.33M,665.21M,,0.88,,,,0.88,0.88,,0.87,,,,0.87,0.87,,513.50M,518.76M,0.39,,AOR,Restated
2019-06,15.47B,15.47B,12.50B,2.979B,,,89.78M,-89.78M,2.259B,720.53M,89.78M,-89.78M,51.56M,-89.78M,682.31M,146.54M,535.77M,,535.77M,535.77M,959.43M,187.34M,772.09M,,1.04,,,,1.04,1.04,,1.03,,,,1.03,1.03,,514.65M,520.06M,0.39,,AOR,Restated
2019-03,14.66B,14.66B,11.90B,2.754B,,,94.51M,-94.51M,2.225B,529.58M,94.51M,-94.51M,-4.12M,-94.51M,430.95M,-9.132M,440.08M,,440.08M,440.08M,709.65M,184.18M,525.46M,,0.86,,,,0.86,0.86,,0.85,,,,0.85,0.85,,514.19M,519.82M,0.39,,AOR,Restated
2018-12,14.77B,14.77B,11.99B,2.772B,,,87.11M,-87.11M,2.320B,451.90M,87.11M,-87.11M,-10.20M,-87.11M,354.58M,87.20M,267.38M,,267.38M,267.38M,646.48M,204.79M,441.70M,,0.52,,,,0.52,0.52,,0.51,,,,0.51,0.51,,517.87M,524.60M,0.39,,AOR,Restated
2018-09,15.22B,15.22B,12.31B,2.904B,,,89.02M,-89.02M,2.276B,628.14M,89.02M,-89.02M,-1.132M,-89.02M,537.99M,106.95M,431.04M,,431.04M,431.04M,814.64M,187.63M,627.01M,,0.83,,,,0.83,0.83,,0.81,,,,0.81,0.81,,520.86M,529.03M,0.36,,AOR,Restated
2018-06,15.32B,15.32B,12.40B,2.917B,,,92.47M,-92.47M,2.233B,683.94M,92.47M,-92.47M,1.688M,-92.47M,593.16M,144.23M,448.93M,,448.93M,448.93M,887.39M,201.77M,685.62M,,0.86,,,,0.86,0.86,,0.85,,,,0.85,0.85,,521.30M,528.06M,0.36,,AOR,Restated
