,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.574B,1.630B,486.90M,1.143B,20.60M,729.70M,750.30M,,,-175.10M,24.40M,9.10M,-15.30M,,750.30M,392.90M,9.10M,24.40M,-15.30M,22.10M,-15.30M,399.70M,68.90M,330.80M,,-60.50M,59.20M,270.30M,407.40M,424.10M,,424.10M,,0.46,,,0.7574,0.46,,0.46,,,0.7558,0.46,,461.00M,463.50M,0.155,,AOR,
2020-09,1.450B,1.498B,444.50M,1.053B,15.60M,698.00M,713.60M,,,-71.00M,33.80M,2.60M,-31.20M,,713.60M,339.50M,2.60M,33.80M,-31.20M,78.30M,-31.20M,386.60M,91.90M,294.70M,,-43.80M,59.20M,250.90M,305.00M,472.00M,51.60M,420.40M,,0.42,,,0.5373,0.42,,0.41,,,0.5267,0.41,,461.10M,463.50M,0.155,,AOR,
2020-06,1.373B,1.419B,454.60M,964.40M,14.40M,761.20M,775.60M,,,-71.70M,34.80M,2.40M,-32.40M,,775.60M,188.80M,2.40M,34.80M,-32.40M,-51.00M,-32.40M,105.40M,43.40M,62.00M,,37.70M,59.20M,99.70M,152.04M,190.50M,50.30M,140.20M,,0.09,,,0.2038,0.09,,0.09,,,0.2030,0.09,,460.10M,463.10M,0.155,,AOR,
2020-03,1.539B,1.599B,421.90M,1.177B,32.70M,751.80M,784.50M,,,-75.50M,36.30M,6.40M,-29.90M,,784.50M,392.50M,6.40M,36.30M,-29.90M,-185.20M,-29.90M,177.40M,57.40M,120.00M,,20.70M,59.20M,140.70M,191.74M,262.10M,48.40M,213.70M,,0.18,,,0.2920,0.18,,0.18,,,0.2912,0.18,,455.70M,458.90M,0.31,,AOR,
2019-12,1.682B,1.743B,460.10M,1.283B,41.00M,790.60M,831.60M,,,-146.30M,34.60M,14.00M,-20.60M,,831.60M,451.10M,14.00M,34.60M,-20.60M,-107.50M,-20.60M,323.00M,80.40M,242.60M,,-3.60M,59.20M,239.00M,348.88M,410.10M,52.50M,357.60M,,0.40,,,0.6419,0.40,,0.39,,,0.6298,0.39,,454.30M,458.20M,0.31,,AOR,
2019-09,1.657B,1.721B,446.00M,1.275B,33.20M,780.80M,814.00M,,,-185.50M,35.00M,5.90M,-29.10M,,814.00M,460.60M,5.90M,35.00M,-29.10M,-114.90M,-29.10M,316.60M,74.00M,242.60M,,-11.10M,64.40M,231.50M,373.59M,400.10M,48.50M,351.60M,,0.36,,,0.6670,0.36,,0.36,,,0.6643,0.36,,462.80M,466.90M,0.31,,AOR,Restated
2019-06,1.381B,1.439B,421.90M,1.018B,33.40M,660.90M,694.30M,,,-304.90M,33.00M,3.90M,-29.10M,,694.30M,323.20M,3.90M,33.00M,-29.10M,-217.60M,-29.10M,76.50M,14.50M,62.00M,,-21.90M,,40.10M,287.07M,149.80M,40.30M,109.50M,,0.09,,,0.6622,0.09,,0.09,,,0.6593,0.09,,431.60M,433.80M,0.31,,AOR,Restated
2019-03,1.165B,1.215B,381.30M,833.30M,28.00M,559.00M,587.00M,,,-46.10M,33.10M,4.70M,-28.40M,,587.00M,246.30M,4.70M,33.10M,-28.40M,38.90M,-28.40M,256.80M,66.20M,190.60M,,-12.90M,,177.70M,211.91M,326.20M,36.30M,289.90M,,0.44,,,0.5252,0.44,,0.44,,,0.5251,0.44,,401.60M,401.90M,0.30,,AOR,Restated
2018-12,1.209B,1.256B,349.30M,906.60M,41.30M,573.10M,614.40M,,,-64.80M,29.20M,10.30M,-18.90M,,614.40M,292.20M,10.30M,29.20M,-18.90M,-125.30M,-18.90M,148.00M,53.20M,94.80M,,19.40M,,114.20M,155.71M,213.70M,36.50M,177.20M,,0.28,,,0.3812,0.28,,0.28,,,0.3812,0.28,,410.00M,410.00M,0.30,,AOR,Restated
2018-09,1.295B,1.342B,380.70M,961.10M,33.40M,572.50M,605.90M,,,-33.10M,29.60M,4.00M,-25.60M,,605.90M,355.20M,4.00M,29.60M,-25.60M,12.70M,-25.60M,342.30M,61.10M,281.20M,,-11.60M,,269.60M,296.81M,411.50M,39.60M,371.90M,,0.65,,,0.7157,0.65,,0.65,,,0.7157,0.65,,414.30M,414.40M,0.30,,AOR,Restated
2018-06,1.305B,1.361B,379.20M,981.40M,32.10M,594.50M,626.60M,,0.70M,-24.40M,29.50M,2.80M,-26.70M,,626.60M,354.80M,2.80M,29.50M,-26.70M,-13.90M,-26.70M,314.20M,72.30M,241.90M,,3.20M,,245.10M,262.12M,376.10M,32.40M,343.70M,,0.59,,,0.6311,0.59,,0.59,,,0.6311,0.59,,413.90M,414.10M,0.30,,AOR,Restated
2018-03,1.299B,1.356B,385.20M,970.60M,28.00M,603.00M,631.00M,,3.20M,-22.20M,23.20M,4.20M,-19.00M,,631.00M,339.60M,4.20M,23.20M,-19.00M,13.00M,-19.00M,333.60M,68.40M,265.20M,,-11.30M,,253.90M,272.66M,390.40M,33.60M,356.80M,,0.62,,,0.6656,0.62,,0.62,,,0.6656,0.62,,411.30M,411.80M,0.29,,AOR,Restated
