,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,-476.70M,,,46.70M,46.70M,,-150.30M,-150.30M,-138.20M,,-76.40M,-2.801B,3.092B,-129.00M,,162.10M,567.60M,,73.60M,,73.60M,,,776.30M,1.90M,-36.10M,,-535.40M,,-535.40M,,40.70M,40.70M,285.90M,177.60M,463.50M,,261.50M,-55.60M,,1.321B,475.90M,46.40M,1.839B,,,-1.309B,773.40M,40.70M,,,,AOR,
2020-09,294.70M,,-126.10M,-18.60M,-144.70M,,51.60M,51.60M,43.00M,,29.90M,409.20M,-261.40M,-21.10M,,126.70M,401.80M,,-26.40M,,-26.40M,,0.00,-95.50M,26.80M,-86.00M,,-179.20M,,-179.20M,,-5.80M,-5.80M,-71.40M,-59.20M,-130.60M,,14.00M,-301.60M,,1.271B,14.20M,35.30M,1.321B,,,-91.90M,-87.30M,-5.80M,,,,AOR,
2020-06,62.00M,,126.10M,-11.20M,114.90M,,50.30M,50.30M,47.80M,,-108.40M,1.168B,-1.088B,64.10M,,144.00M,337.90M,,-28.00M,,-28.00M,,0.00,-294.20M,21.40M,-291.00M,,131.10M,,131.10M,,-3.40M,-3.40M,-73.60M,-59.20M,-132.80M,,-19.90M,-25.00M,,1.230B,21.90M,10.30M,1.271B,,,313.40M,-182.30M,-3.40M,,,,AOR,
2020-03,120.00M,,,-16.90M,-16.90M,,48.40M,48.40M,47.40M,,154.90M,1.223B,-1.742B,86.00M,,-432.80M,-77.00M,,-19.20M,,-19.20M,,,-386.60M,-50.10M,-452.00M,,583.50M,,583.50M,,-31.50M,-31.50M,-140.90M,-59.20M,-200.10M,,-255.60M,96.30M,,1.701B,-432.70M,-38.70M,1.230B,,,1.087B,-503.80M,-31.50M,,,,AOR,
2019-12,242.60M,,-32.90M,-9.50M,-42.40M,,52.50M,52.50M,48.70M,,39.30M,413.70M,-344.60M,33.50M,,102.60M,447.30M,,-48.70M,,-48.70M,,-38.20M,-608.40M,26.00M,-656.10M,,512.60M,,512.60M,,-14.40M,-14.40M,-140.80M,-59.20M,-200.00M,,43.30M,341.50M,,1.534B,132.70M,34.20M,1.701B,,,1.402B,-889.60M,-14.40M,,,,AOR,
2019-09,242.60M,,31.40M,-19.80M,11.60M,,48.50M,48.50M,49.40M,,-49.80M,663.70M,-578.30M,-68.60M,,16.80M,321.90M,,-26.60M,,-26.60M,,-11.20M,-146.20M,-55.20M,-235.00M,,536.70M,,536.70M,,-311.60M,-311.60M,-142.80M,-64.40M,-207.20M,,17.90M,35.80M,,1.435B,122.70M,-23.90M,1.534B,,,1.401B,-864.70M,-311.60M,,,,AOR,Restated
2019-06,62.00M,,-31.40M,-12.10M,-43.50M,,40.30M,40.30M,59.60M,,-11.90M,577.20M,-232.30M,15.50M,,360.40M,467.80M,,-27.90M,,-27.90M,,339.90M,-546.20M,12.80M,-200.90M,,80.50M,,80.50M,,-65.20M,-65.20M,-125.40M,0.00,-125.40M,,21.10M,-89.00M,,1.268B,177.90M,-3.20M,1.435B,,,430.50M,-350.00M,-65.20M,,,,AOR,Restated
2019-03,190.60M,,,-15.00M,-15.00M,,36.30M,36.30M,49.80M,,-43.30M,-720.30M,406.30M,-26.80M,,-340.80M,-120.40M,,-21.10M,,-21.10M,,,-394.90M,42.40M,-333.40M,,68.60M,,68.60M,,-78.60M,-78.60M,-120.10M,0.00,-120.10M,,43.10M,-87.00M,,1.805B,-540.80M,3.60M,1.268B,,,114.70M,-46.10M,-78.60M,,,,AOR,Restated
2018-12,94.80M,,,-5.00M,50.10M,,36.50M,36.50M,47.90M,,39.60M,1.225B,-1.205B,-121.50M,,-101.50M,166.70M,,-34.20M,,-34.20M,,0.00,-148.30M,,-215.80M,,67.40M,,67.40M,,-2.10M,-2.10M,-122.30M,0.00,-122.30M,,12.90M,-44.10M,,1.914B,-93.20M,-15.80M,1.805B,,,82.00M,-14.60M,-2.10M,,,,AOR,Restated
2018-09,281.20M,,,-11.80M,-11.80M,,39.60M,39.60M,42.70M,,-14.70M,-135.80M,294.40M,-236.80M,,-78.20M,265.30M,,-22.10M,,-22.10M,,0.00,-856.00M,,-865.40M,,708.60M,,708.60M,,-2.80M,-2.80M,-124.30M,0.00,-124.30M,,207.70M,789.20M,,1.834B,189.10M,-10.30M,1.914B,,,1.312B,-603.60M,-2.80M,,,,AOR,Restated
