,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.710B,,1.710B,,109.40M,109.40M,,,,,1.820B,,,,,,,,,,16.22B,,16.22B,8.912B,,,9.550B,34.68B,36.50B,,,,7.680B,7.680B,,7.680B,,,,,,7.680B,8.797B,,8.797B,,,658.90M,,5.006B,13.80B,21.48B,,,,,,,,,,14.36B,,AOR,
2020-09,1.321B,769.80M,2.090B,864.00M,317.50M,1.182B,,132.20M,,,3.404B,,,,,,,,,551.10M,8.735B,7.309B,16.04B,7.718B,,,8.319B,32.63B,36.04B,,1.811B,,8.187B,9.998B,,9.998B,,,,,,10.71B,8.699B,,8.699B,1.527B,1.527B,416.60M,228.20M,520.40M,10.97B,21.69B,,4.124B,5.944B,7.789B,3.275B,4.010B,,,-647.90M,13.93B,,AOR,
2020-06,1.271B,709.10M,1.980B,944.70M,129.20M,1.074B,,128.60M,,,3.183B,,,,,,,,,555.10M,8.618B,7.313B,15.93B,7.398B,,,8.511B,32.40B,35.58B,,1.879B,,8.139B,10.02B,,10.02B,,,,,,10.59B,8.655B,,8.655B,1.507B,1.507B,365.70M,202.80M,653.20M,11.02B,21.61B,,4.124B,5.825B,7.788B,3.319B,4.010B,,,-816.00M,13.60B,,AOR,
2020-03,1.230B,,1.230B,1.060B,213.50M,1.274B,,124.50M,,,2.628B,,,,,,,,,562.80M,8.544B,7.325B,15.87B,8.308B,,,9.642B,34.38B,37.01B,,1.934B,,9.333B,11.27B,,11.27B,,,,,,11.75B,8.762B,,8.762B,1.501B,1.501B,443.10M,176.50M,881.60M,11.32B,23.07B,,4.124B,5.857B,7.748B,3.323B,4.010B,,,-905.50M,13.50B,,AOR,
2019-12,1.701B,,1.701B,1.028B,162.70M,1.191B,,144.00M,,,3.036B,0.00,110.30M,1.044B,,74.40M,274.10M,1.503B,-919.20M,583.50M,8.509B,7.358B,15.87B,8.638B,,,11.30B,36.38B,39.42B,,414.60M,118.20M,11.49B,12.02B,403.90M,12.42B,,,,45.80M,,13.50B,8.315B,364.80M,8.680B,1.530B,1.530B,455.80M,383.50M,1.010B,11.60B,25.10B,,4.124B,5.918B,7.861B,3.452B,4.010B,,,-587.30M,13.86B,,AOR,
2019-09,1.534B,,1.534B,888.80M,302.50M,1.191B,,10.58B,,,13.31B,,,,,,,,,552.30M,8.330B,7.340B,15.67B,7.889B,,,475.20M,24.59B,37.89B,,1.896B,,10.72B,12.62B,,12.62B,,,,,,13.47B,7.781B,,7.781B,1.523B,1.523B,388.40M,398.00M,757.80M,10.46B,23.93B,,4.124B,5.88B,7.823B,3.449B,4.010B,,,-804.30M,13.57B,,AOR,Restated
2019-06,1.435B,,1.435B,851.10M,309.40M,1.160B,,11.61B,,,14.21B,,,,,,,,,567.80M,8.389B,7.377B,15.77B,7.500B,,,459.60M,24.29B,38.50B,,1.95B,,11.75B,13.70B,,13.70B,,,,,,14.43B,7.270B,,7.270B,1.539B,1.539B,365.00M,396.40M,565.70M,9.771B,24.20B,,4.124B,5.857B,7.811B,3.185B,4.010B,,,-671.40M,13.93B,,AOR,Restated
2019-03,1.268B,,1.268B,740.50M,474.60M,1.215B,,12.22B,,,14.70B,,,,,,,,,462.80M,7.198B,2.182B,9.379B,7.369B,,,292.80M,17.50B,32.21B,,1.251B,,12.55B,13.80B,,13.80B,,,,,,14.14B,7.727B,,7.727B,367.60M,367.60M,340.10M,451.10M,511.60M,9.058B,23.20B,,98.10M,5.942B,6.274B,2.971B,,,,-673.60M,8.669B,,AOR,Restated
2018-12,1.805B,,1.805B,714.80M,191.30M,906.10M,,127.10M,,,2.839B,0.00,83.60M,933.90M,,43.50M,212.50M,1.274B,-804.80M,468.70M,7.157B,2.176B,9.333B,6.827B,,,11.51B,28.14B,30.98B,,284.30M,43.20M,11.86B,12.19B,360.40M,12.55B,,,,61.30M,,13.26B,7.635B,0.00,7.635B,326.40M,326.40M,357.40M,396.20M,428.50M,8.786B,22.04B,,98.10M,5.884B,6.335B,3.004B,,,,-735.00M,8.579B,,AOR,Restated
2018-09,1.914B,643.80M,2.558B,614.20M,851.60M,1.466B,,12.40B,,,16.42B,,,,,,,,,469.20M,7.312B,2.156B,9.468B,6.075B,,,69.00M,16.08B,32.50B,,864.20M,,13.09B,13.95B,,13.95B,,,,,,14.51B,7.635B,,7.635B,304.30M,304.30M,331.70M,423.20M,315.80M,8.678B,23.18B,,98.10M,5.893B,6.293B,2.711B,,,,-585.80M,8.987B,,AOR,Restated
