,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.326B,,1.326B,1.262B,,1.262B,255.00M,42.00M,514.00M,811.00M,88.00M,,,3.487B,,,,,1.034B,1.034B,,1.034B,528.00M,253.00M,781.00M,,,,273.00M,2.088B,5.575B,933.00M,,,933.00M,799.00M,1.732B,5.00M,5.00M,,5.00M,,,,1.737B,2.787B,143.00M,2.93B,,,200.00M,567.00M,3.497B,5.234B,261.00M,15.00M,21.00M,,,,-156.00M,141.00M
2020-06,1.089B,,1.089B,1.308B,,1.308B,219.00M,71.00M,460.00M,750.00M,78.00M,,,3.225B,,,,,1.024B,1.024B,,1.024B,521.00M,259.00M,780.00M,,,,273.00M,2.077B,5.302B,845.00M,,,845.00M,902.00M,1.747B,407.00M,407.00M,,407.00M,,,,2.154B,2.372B,150.00M,2.522B,,,173.00M,589.00M,3.111B,5.265B,260.00M,-223.00M,11.00M,,,,-184.00M,-136.00M
2020-03,767.00M,,767.00M,1.142B,,1.142B,205.00M,64.00M,487.00M,756.00M,80.00M,,,2.745B,,,,,1.032B,1.032B,,1.032B,518.00M,264.00M,782.00M,,,,281.00M,2.095B,4.84B,743.00M,,,743.00M,756.00M,1.499B,5.00M,5.00M,,5.00M,,,,1.504B,2.771B,157.00M,2.928B,,,183.00M,573.00M,3.501B,5.005B,263.00M,-412.00M,0.00,,,,-199.00M,-348.00M
2019-12,697.00M,,697.00M,997.00M,,997.00M,211.00M,58.00M,485.00M,754.00M,90.00M,,,2.711B,0.0,64.00M,497.00M,1.335B,176.00M,2.072B,-1.018B,1.054B,509.00M,259.00M,768.00M,11.00M,,99.00M,384.00M,2.316B,5.027B,697.00M,37.00M,18.00M,752.00M,526.00M,1.278B,2.00M,2.00M,38.00M,40.00M,40.00M,40.00M,149.00M,1.548B,2.771B,,2.771B,,,179.00M,751.00M,3.535B,5.083B,276.00M,-332.00M,0.00,,,,-179.00M,-235.00M
2019-09,475.00M,,475.00M,1.177B,,1.177B,277.00M,89.00M,558.00M,924.00M,105.00M,,,2.792B,,,,,1.20B,1.20B,,1.20B,687.00M,264.00M,951.00M,,,,577.00M,2.728B,5.52B,879.00M,,,879.00M,682.00M,1.561B,208.00M,208.00M,,208.00M,,,140.00M,1.909B,2.771B,,2.771B,,,166.00M,684.00M,3.588B,5.497B,284.00M,-309.00M,0.00,,,,-118.00M,-143.00M
2019-06,325.00M,,325.00M,1.423B,,1.423B,298.00M,105.00M,572.00M,975.00M,120.00M,,,2.843B,,,,,1.44B,1.44B,,1.44B,891.00M,387.00M,1.278B,,,,92.00M,2.81B,5.653B,1.023B,,,1.023B,699.00M,1.722B,231.00M,231.00M,,231.00M,,,,1.953B,2.771B,,2.771B,,,162.00M,858.00M,3.629B,5.582B,287.00M,-261.00M,0.00,,,,-117.00M,-91.00M
2019-03,316.00M,,316.00M,1.321B,,1.321B,319.00M,100.00M,592.00M,1.011B,110.00M,,,2.758B,,,,,1.447B,1.447B,,1.447B,889.00M,392.00M,1.281B,,,,116.00M,2.844B,5.602B,954.00M,,,954.00M,680.00M,1.634B,295.00M,295.00M,,295.00M,,,,1.929B,2.771B,,2.771B,,,188.00M,860.00M,3.631B,5.56B,291.00M,-314.00M,0.00,,,,-123.00M,-146.00M
2018-12,552.00M,,552.00M,990.00M,,990.00M,237.00M,53.00M,508.00M,798.00M,84.00M,,,2.766B,0.0,64.00M,470.00M,1.308B,,1.842B,-957.00M,885.00M,511.00M,288.00M,799.00M,12.00M,,42.00M,889.00M,2.627B,5.393B,736.00M,36.00M,14.00M,786.00M,516.00M,1.302B,8.00M,8.00M,0.00,8.00M,39.00M,39.00M,295.00M,1.684B,2.971B,,2.971B,,,180.00M,549.00M,3.64B,5.324B,294.00M,-278.00M,0.00,,,,-127.00M,-111.00M
2018-09,569.00M,0.00,569.00M,1.298B,,1.298B,318.00M,109.00M,578.00M,1.005B,118.00M,,,2.99B,,,,,,,,1.211B,896.00M,412.00M,1.308B,,,,101.00M,2.62B,5.61B,1.04B,,,1.04B,711.00M,1.751B,2.00M,2.00M,,2.00M,,,,1.753B,2.971B,,2.971B,,,171.00M,679.00M,3.65B,5.403B,303.00M,-154.00M,0.00,,,,-113.00M,36.00M
2018-06,384.00M,,384.00M,1.444B,,1.444B,317.00M,108.00M,592.00M,1.017B,117.00M,,,2.962B,,,,,,,,1.187B,890.00M,417.00M,1.307B,,,,109.00M,2.603B,5.565B,1.093B,,,1.093B,675.00M,1.768B,2.00M,2.00M,,2.00M,,,,1.77B,2.97B,,2.97B,,,160.00M,699.00M,3.669B,5.439B,305.00M,-221.00M,,,,,-118.00M,-34.00M
