,NetIncome,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,,,,,,307.00M,48.00M,-54.00M,-18.00M,,,-24.00M,,283.00M,-27.00M,0.00,0.00,3.00M,1.00M,-6.00M,-29.00M,-4.00M,15.00M,11.00M,,0.00,0.00,-35.00M,-35.00M,5.00M,-8.00M,-27.00M,1.089B,227.00M,10.00M,1.326B,,415.00M,-400.00M,0.00
2020-06,,,,,,276.00M,-159.00M,9.00M,256.00M,,,106.00M,,382.00M,-21.00M,0.00,0.00,12.00M,0.00,1.00M,-8.00M,3.00M,,3.00M,,0.00,0.00,-36.00M,-36.00M,1.00M,-23.00M,-55.00M,767.00M,319.00M,3.00M,1.089B,,,,0.00
2020-03,,,,,,7.00M,-183.00M,-21.00M,105.00M,,,-99.00M,,-92.00M,-24.00M,0.00,0.00,829.00M,1.00M,1.00M,807.00M,2.00M,,2.00M,,-602.00M,-602.00M,-37.00M,-37.00M,20.00M,-22.00M,-639.00M,697.00M,76.00M,-6.00M,767.00M,,,,-602.00M
2019-12,,,,,,-745.00M,99.00M,85.00M,-41.00M,,,143.00M,,228.00M,-51.00M,19.00M,19.00M,720.00M,0.00,-2.00M,686.00M,-5.00M,-201.00M,-206.00M,,-456.00M,-456.00M,-39.00M,-39.00M,4.00M,-4.00M,-701.00M,480.00M,213.00M,4.00M,697.00M,,0.00,-209.00M,-456.00M
2019-09,,,,,,244.00M,149.00M,1.00M,-2.00M,,,148.00M,,392.00M,-40.00M,0.00,0.00,2.00M,0.00,-3.00M,-41.00M,-23.00M,0.00,-23.00M,,-151.00M,-151.00M,-35.00M,-35.00M,10.00M,-5.00M,-204.00M,325.00M,147.00M,8.00M,480.00M,,0.00,0.00,-151.00M
2019-06,,,,,,327.00M,-104.00M,37.00M,84.00M,,,17.00M,,344.00M,-33.00M,10.00M,10.00M,0.00,1.00M,-3.00M,-25.00M,21.00M,-87.00M,-66.00M,,-173.00M,-173.00M,-35.00M,-35.00M,4.00M,-44.00M,-314.00M,316.00M,5.00M,4.00M,325.00M,,-87.00M,,-173.00M
2019-03,,,,,,183.00M,-181.00M,-65.00M,-68.00M,,,-314.00M,,-131.00M,-38.00M,5.00M,5.00M,0.00,0.00,-5.00M,-38.00M,-1.00M,87.00M,86.00M,,-116.00M,-116.00M,-35.00M,-35.00M,9.00M,-16.00M,-72.00M,559.00M,-241.00M,-2.00M,316.00M,,87.00M,,-116.00M
2018-12,,,,,,-710.00M,136.00M,51.00M,-61.00M,,,126.00M,,378.00M,-59.00M,11.00M,11.00M,0.00,1.00M,-3.00M,-50.00M,-1.00M,1.00M,0.00,,-300.00M,-300.00M,-36.00M,-36.00M,6.00M,-4.00M,-334.00M,569.00M,-6.00M,-4.00M,559.00M,,0.00,0.00,-300.00M
2018-09,,,,,,230.00M,140.00M,10.00M,-19.00M,,,131.00M,,361.00M,-57.00M,2.00M,2.00M,-1.00M,1.00M,-2.00M,-57.00M,,0.00,0.00,,-89.00M,-89.00M,-33.00M,-33.00M,8.00M,-5.00M,-119.00M,384.00M,185.00M,0.00,569.00M,,,0.00,-89.00M
2018-06,,,,,,289.00M,-106.00M,15.00M,150.00M,,,59.00M,,348.00M,-63.00M,0.00,0.00,0.00,98.00M,-5.00M,30.00M,,-115.00M,-115.00M,,-115.00M,-115.00M,-32.00M,-32.00M,0.00,-90.00M,-352.00M,370.00M,26.00M,-12.00M,384.00M,,,-115.00M,-115.00M
2018-03,,,,,,210.00M,-216.00M,-87.00M,38.00M,,,-265.00M,,-55.00M,-40.00M,1.00M,1.00M,-548.00M,13.00M,,-574.00M,0.00,0.00,0.00,,-150.00M,-150.00M,-33.00M,-33.00M,0.00,-32.00M,-215.00M,1.194B,-844.00M,20.00M,370.00M,,0.00,0.00,-150.00M
2017-12,,,,,,-715.00M,92.00M,58.00M,-19.00M,,,131.00M,,284.00M,-60.00M,18.00M,18.00M,-89.00M,-28.00M,-23.00M,-182.00M,,0.00,-3.00M,,-19.00M,-19.00M,-33.00M,-33.00M,0.00,-4.00M,-59.00M,1.141B,43.00M,10.00M,1.194B,,2.00M,-5.00M,-19.00M
2017-09,,,,,,214.00M,108.00M,-9.00M,-1.00M,,,98.00M,,312.00M,-36.00M,0.00,0.00,2.00M,69.00M,-2.00M,33.00M,,-1.00M,-1.00M,,-178.00M,-178.00M,-32.00M,-32.00M,0.00,-2.00M,-213.00M,992.00M,132.00M,17.00M,1.141B,,-1.00M,0.00,-178.00M
2017-06,,,,,,289.00M,-96.00M,-22.00M,133.00M,,,15.00M,,304.00M,-40.00M,0.00,0.00,126.00M,64.00M,0.00,150.00M,,59.00M,59.00M,,-47.00M,-47.00M,-32.00M,-32.00M,,-152.00M,-172.00M,689.00M,282.00M,21.00M,992.00M,,594.00M,-535.00M,-47.00M
2017-03,,,,,,246.00M,-244.00M,-105.00M,-46.00M,,,-395.00M,,-149.00M,-37.00M,6.00M,6.00M,0.00,14.00M,-9.00M,-26.00M,,,,,-87.00M,-87.00M,-32.00M,-32.00M,,-14.00M,-133.00M,990.00M,-308.00M,7.00M,689.00M,,,,-87.00M
2016-12,,,,,,-618.00M,113.00M,36.00M,-52.00M,,,97.00M,,306.00M,-63.00M,0.00,0.00,0.00,-14.00M,-7.00M,-84.00M,,2.00M,1.00M,0.00,-217.00M,-217.00M,-33.00M,-33.00M,,0.00,-249.00M,1.041B,-27.00M,-24.00M,990.00M,0.00,3.00M,-2.00M,-217.00M
2016-09,,,,,,237.00M,41.00M,6.00M,9.00M,,,56.00M,,293.00M,-38.00M,0.00,0.00,0.00,-44.00M,-3.00M,-85.00M,,0.00,0.00,0.00,-74.00M,-74.00M,-32.00M,-32.00M,,-16.00M,-122.00M,956.00M,86.00M,-1.00M,1.041B,0.00,0.00,0.00,-74.00M
2016-06,,,,,,214.00M,-88.00M,-16.00M,150.00M,,,46.00M,,260.00M,-42.00M,0.00,0.00,0.00,70.00M,-3.00M,25.00M,,-1.30B,-1.30B,0.00,-82.00M,-82.00M,-31.00M,-31.00M,,-76.00M,-1.489B,2.175B,-1.204B,-15.00M,956.00M,0.00,0.00,-1.30B,-82.00M
2016-03,,,,,,219.00M,-198.00M,-63.00M,-28.00M,,,-289.00M,,-70.00M,-37.00M,0.00,0.00,,60.00M,-3.00M,20.00M,,887.00M,887.00M,1.00M,-86.00M,-85.00M,-32.00M,-32.00M,,-19.00M,751.00M,1.468B,701.00M,6.00M,2.175B,1.00M,889.00M,-2.00M,-86.00M
2015-12,,,,,,-559.00M,141.00M,58.00M,-45.00M,,,154.00M,,388.00M,-46.00M,5.00M,5.00M,0.00,3.00M,-7.00M,-45.00M,0.00,1.00M,1.00M,0.00,-49.00M,-49.00M,-32.00M,-32.00M,,-68.00M,-148.00M,1.279B,195.00M,-6.00M,1.468B,0.00,4.00M,-3.00M,-49.00M
2015-09,,,,,,226.00M,87.00M,22.00M,-52.00M,,,57.00M,,283.00M,-42.00M,9.00M,9.00M,1.00M,-44.00M,-8.00M,-84.00M,0.00,-1.00M,-1.00M,2.00M,-200.00M,-198.00M,-32.00M,-32.00M,,17.00M,-214.00M,1.297B,-15.00M,-3.00M,1.279B,2.00M,0.00,-1.00M,-200.00M
