,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,2.034B,2.034B,1.216B,818.20M,382.80M,59.50M,0.00,45.10M,,-45.10M,-4.90M,437.40M,380.80M,,45.10M,-45.10M,-32.20M,-45.10M,303.50M,72.70M,230.80M,,,230.80M,230.80M,348.60M,,2020-10,2.02,,2.02,,2020-10,2.02,,2.02,,2020-10,0.90,,2020-10,AOR,
2020-07,1.972B,1.972B,1.196B,775.40M,357.50M,59.60M,0.00,46.10M,,-46.10M,-2.80M,414.30M,361.10M,,46.10M,-46.10M,-1.40M,-46.10M,313.60M,76.60M,237.00M,,,237.00M,237.00M,359.70M,,2020-07,2.08,,2.08,,2020-07,2.08,,2.08,,2020-07,0.88,,2020-07,AOR,
2020-04,2.092B,2.092B,1.304B,788.40M,373.40M,59.90M,-6.60M,45.60M,,-45.60M,1.80M,435.10M,353.30M,,45.60M,-45.60M,-9.30M,-45.60M,298.40M,72.10M,226.30M,,,226.30M,231.31M,344.00M,,2020-04,1.98,,1.98,,2020-04,1.98,,1.98,,2020-04,0.88,,2020-04,AOR,
2020-01,1.972B,1.972B,1.212B,760.00M,358.90M,58.80M,-55.70M,45.10M,,-45.10M,-2.40M,415.30M,344.70M,,45.10M,-45.10M,-57.10M,-45.10M,242.50M,55.10M,187.40M,,,187.40M,230.46M,287.60M,,2020-01,1.64,,1.64,,2020-01,1.64,,1.64,,2020-01,0.88,,2020-01,AOR,
2019-10,1.958B,1.958B,1.204B,754.00M,361.50M,58.80M,-3.30M,49.10M,,-49.10M,0.60M,420.90M,333.10M,,49.10M,-49.10M,-4.90M,-49.10M,279.10M,67.90M,211.20M,,,211.20M,213.70M,328.20M,,2019-10,1.85,,1.85,,2019-10,1.85,,1.85,,2019-10,0.88,,2019-10,AOR,Restated
2019-07,1.779B,1.779B,1.079B,699.60M,380.50M,58.80M,-3.30M,49.40M,,-49.40M,-0.60M,438.70M,260.90M,,49.40M,-49.40M,-4.80M,-49.40M,206.70M,52.10M,154.60M,,,154.60M,157.07M,256.10M,,2019-07,1.36,,1.36,,2019-07,1.36,,1.36,,2019-07,0.85,,2019-07,AOR,Restated
2019-04,1.902B,1.902B,1.210B,692.40M,369.80M,60.40M,-110.10M,49.10M,,-49.10M,-1.50M,428.70M,263.70M,,49.10M,-49.10M,-112.70M,-49.10M,101.90M,30.40M,71.50M,,,71.50M,148.75M,151.00M,,2019-04,0.63,,0.63,,2019-04,0.63,,0.63,,2019-04,0.85,,2019-04,AOR,Restated
2019-01,2.012B,2.012B,1.238B,773.80M,373.10M,59.70M,-126.00M,51.60M,,-51.60M,-2.60M,430.20M,343.60M,,51.60M,-51.60M,-134.80M,-51.60M,157.20M,35.80M,121.40M,,,121.40M,218.67M,208.80M,,2019-01,1.07,,1.07,,2019-01,1.07,,1.07,,2019-01,0.85,,2019-01,AOR,Restated
2018-10,2.022B,2.022B,1.250B,771.30M,382.40M,59.70M,-25.40M,53.60M,,-53.60M,-26.70M,415.40M,355.90M,,53.60M,-53.60M,-32.90M,-53.60M,269.40M,80.90M,188.50M,,,188.50M,206.28M,323.00M,,2018-10,1.66,,1.66,,2018-10,1.66,,1.66,,2018-10,0.85,,2018-10,AOR,Restated
2018-07,1.902B,1.902B,1.224B,678.20M,383.30M,60.50M,-7.70M,53.60M,,-53.60M,-0.20M,443.60M,234.60M,,53.60M,-53.60M,-7.90M,-53.60M,173.10M,40.10M,133.00M,,,133.00M,138.91M,226.70M,,2018-07,1.17,,1.17,,2018-07,1.17,,1.17,,2018-07,0.78,,2018-07,AOR,Restated
2018-04,1.781B,1.781B,1.091B,690.50M,324.00M,52.10M,-3.00M,47.40M,,-47.40M,-1.30M,374.80M,315.70M,,47.40M,-47.40M,-4.10M,-47.40M,264.20M,78.30M,185.90M,,,185.90M,188.01M,311.60M,,2018-04,1.64,,1.64,,2018-04,1.64,,1.64,,2018-04,0.78,,2018-04,AOR,Restated
2018-01,1.903B,1.903B,1.175B,728.50M,330.60M,51.60M,-182.50M,43.10M,,-43.10M,-0.20M,382.00M,346.50M,,43.10M,-43.10M,-187.40M,-43.10M,116.00M,-715.30M,831.30M,,,831.30M,964.52M,159.10M,,2018-01,7.32,,7.32,,2018-01,7.32,,7.32,,2018-01,0.78,,2018-01,AOR,Restated
2017-10,1.924B,1.924B,1.169B,755.00M,359.50M,51.60M,-9.70M,41.60M,,-41.60M,2.10M,413.20M,341.80M,,41.60M,-41.60M,-8.40M,-41.60M,291.80M,97.20M,194.60M,,,194.60M,201.07M,333.40M,,2017-10,1.71,,1.71,,2017-10,1.71,,1.71,,2017-10,0.78,,2017-10,AOR,Restated
2017-07,1.749B,1.749B,1.087B,662.10M,348.80M,51.50M,-27.10M,42.00M,,-42.00M,-0.50M,399.80M,262.30M,,42.00M,-42.00M,-31.30M,-42.00M,189.00M,62.20M,126.80M,,,126.80M,144.98M,231.00M,,2017-07,1.12,,1.12,,2017-07,1.12,,1.12,,2017-07,0.75,,2017-07,AOR,Restated
2017-04,1.784B,1.784B,1.137B,646.80M,323.30M,52.10M,-67.60M,40.30M,,-40.30M,-4.00M,371.40M,275.40M,,40.30M,-40.30M,-73.20M,-40.30M,161.90M,51.50M,110.40M,,,110.40M,156.50M,202.20M,,2017-04,0.96,,0.96,,2017-04,0.96,,0.96,,2017-04,0.75,,2017-04,AOR,Restated
2017-01,1.879B,1.879B,1.156B,722.90M,337.20M,51.70M,-93.70M,40.30M,,-40.30M,2.60M,391.50M,331.40M,,40.30M,-40.30M,-93.50M,-40.30M,197.60M,63.00M,134.60M,,,134.60M,198.43M,237.90M,,2017-01,1.16,,1.16,,2017-01,1.16,,1.16,,2017-01,0.75,,2017-01,AOR,Restated
2016-10,1.914B,1.914B,1.171B,742.90M,363.10M,51.80M,-26.60M,41.00M,,-41.00M,-1.90M,413.00M,329.90M,,41.00M,-41.00M,-23.40M,-41.00M,265.50M,88.20M,177.30M,,,177.30M,195.06M,306.50M,,2016-10,1.52,,1.52,,2016-10,1.52,,1.52,,2016-10,0.75,,2016-10,AOR,Restated
2016-07,1.816B,1.816B,1.093B,722.70M,356.00M,51.70M,-22.20M,41.50M,,-41.50M,-1.00M,406.70M,316.00M,,41.50M,-41.50M,-21.10M,-41.50M,253.40M,83.40M,170.00M,,,170.00M,184.90M,294.90M,,2016-07,1.46,,1.46,,2016-07,1.46,,1.46,,2016-07,0.67,,2016-07,AOR,Restated
2016-04,1.808B,1.808B,1.120B,688.00M,351.80M,50.20M,-41.00M,40.50M,,-40.50M,-1.10M,400.90M,287.10M,,40.50M,-40.50M,-36.40M,-40.50M,210.20M,19.20M,191.00M,,,191.00M,228.25M,250.70M,,2016-04,1.61,,1.61,,2016-04,1.61,,1.61,,2016-04,0.67,,2016-04,AOR,Restated
2016-01,1.974B,1.974B,1.210B,763.80M,381.10M,52.20M,-41.40M,43.60M,,-43.60M,-29.20M,404.10M,359.70M,,43.60M,-43.60M,-40.80M,-43.60M,275.30M,90.00M,185.30M,,,185.30M,213.16M,318.90M,,2016-01,1.55,,1.55,,2016-01,1.55,,1.55,,2016-01,0.67,,2016-01,AOR,Restated
2015-10,2.078B,2.078B,1.290B,787.30M,389.80M,53.00M,-30.60M,42.60M,,-42.60M,0.10M,442.90M,344.40M,,42.60M,-42.60M,-32.20M,-42.60M,269.60M,93.60M,176.00M,,,176.00M,195.98M,312.20M,,2015-10,1.47,,1.47,,2015-10,1.47,,1.47,,2015-10,0.67,,2015-10,AOR,Restated
2015-07,1.952B,1.952B,1.223B,728.70M,387.60M,53.00M,-22.90M,44.40M,,-44.40M,-1.90M,438.70M,290.00M,,44.40M,-44.40M,-22.80M,-44.40M,222.80M,86.40M,136.40M,,,136.40M,150.41M,267.20M,,2015-07,1.14,,1.14,,2015-07,1.14,,1.14,,2015-07,0.64,,2015-07,AOR,Restated
2015-04,1.447B,1.447B,1.016B,430.60M,288.20M,34.40M,-40.50M,29.50M,,-202.80M,-3.00M,319.60M,111.00M,,29.50M,-202.80M,-38.00M,-202.80M,-129.80M,-39.50M,-90.30M,,,-90.30M,-62.12M,-100.30M,,2015-04,-0.82,,-0.82,,2015-04,-0.82,,-0.82,,2015-04,0.64,,2015-04,AOR,Restated
2015-01,1.44B,1.44B,917.10M,522.90M,237.30M,25.20M,-5.90M,16.80M,,-16.80M,-0.60M,261.90M,261.00M,,16.80M,-16.80M,-5.80M,-16.80M,238.40M,77.50M,160.90M,,,160.90M,164.88M,255.20M,,2015-01,1.58,,1.58,,2015-01,1.58,,1.58,,2015-01,0.64,,2015-01,AOR,Restated
