,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2008-11,83.50M,0.00,,,5.50M,6.20M,29.90M,4.10M,34.00M,34.00M,-2.20M,,0.00,,11.80M,74.30M,-111.40M,-148.30M,6.70M,199.50M,,,,-53.50M,154.10M,,-43.60M,,-43.60M,-0.40M,-0.40M,22.20M,-22.20M,,17.90M,,17.90M,0.00,,0.00,,,,6.90M,24.80M,,24.90M,156.70M,-0.30M,181.30M,,0.00,,17.90M,,,AOR,Restated
2008-08,-22.70M,-0.20M,,,26.10M,54.40M,38.10M,2.90M,41.00M,41.00M,8.60M,,69.40M,,11.50M,46.40M,-22.90M,40.70M,2.90M,-19.80M,,,,0.90M,209.50M,,-29.80M,,-29.80M,206.90M,-0.60M,18.70M,195.20M,,-416.80M,,-416.80M,2.90M,,2.90M,,,,8.80M,-405.10M,,25.20M,-0.40M,0.10M,24.90M,,2.90M,-85.80M,-331.00M,,,AOR,Restated
2008-05,44.60M,16.00M,,,-23.00M,-6.90M,41.20M,3.00M,44.20M,44.20M,3.20M,,,,10.80M,12.70M,-53.10M,-69.00M,6.80M,-26.00M,,,,-141.30M,-32.70M,,-22.20M,,-22.20M,-2.10M,0.00,8.60M,-15.70M,,36.30M,,36.30M,,,,,,,16.80M,53.10M,,20.50M,4.70M,0.00,25.20M,,,85.80M,-49.50M,,,AOR,Restated
2008-02,-834.80M,27.80M,,,10.20M,44.70M,45.40M,3.00M,48.40M,48.40M,68.10M,,812.20M,,7.90M,26.30M,256.40M,20.70M,-16.50M,-165.90M,,,,94.70M,267.50M,,-64.30M,,-64.30M,-778.80M,-3.10M,10.70M,-835.50M,,556.90M,,556.90M,3.20M,0.00,3.20M,,,,-11.70M,569.00M,,24.90M,1.00M,-5.40M,20.50M,,3.20M,716.20M,-159.30M,0.00,,AOR,Restated
2007-11,119.60M,0.00,,,8.30M,2.70M,37.70M,2.80M,40.50M,40.50M,26.50M,,0.00,,7.20M,-24.30M,-143.60M,-60.30M,19.70M,86.60M,,,,-97.60M,74.60M,,-32.50M,,-32.50M,-3.40M,-0.90M,5.20M,-31.60M,,-61.00M,,-61.00M,0.00,0.00,0.00,,,,9.20M,-51.80M,,33.20M,-8.80M,0.50M,24.90M,,0.00,0.00,-61.00M,0.00,,,Restated
2007-08,72.10M,0.50M,,,48.80M,49.20M,35.50M,2.80M,38.30M,38.30M,-0.20M,,0.00,,7.50M,-13.50M,-17.70M,29.80M,-4.30M,102.60M,,,,110.40M,263.80M,,-29.30M,,-29.30M,-0.80M,-0.60M,0.60M,-30.10M,,-246.10M,,-246.10M,3.00M,0.00,3.00M,,,,7.10M,-236.00M,,33.50M,-2.30M,2.00M,33.20M,,3.00M,-89.90M,-156.20M,0.00,,,Restated
2007-05,29.80M,6.30M,,,-46.60M,-39.50M,36.10M,2.60M,38.70M,38.70M,3.60M,,,,9.40M,-17.70M,-38.90M,-28.00M,-4.70M,-38.80M,,,,-110.40M,-86.10M,,-17.70M,,-17.70M,-382.50M,,184.50M,-215.70M,,797.00M,,797.00M,,-500.00M,-500.00M,,,,6.70M,303.70M,,33.50M,1.90M,-1.90M,33.50M,,,806.00M,-9.00M,-500.00M,,,Restated
2007-02,70.20M,,,,,-16.70M,39.50M,1.60M,41.10M,41.10M,21.20M,,,,,27.90M,269.40M,62.60M,89.40M,-293.90M,,-37.70M,0.20M,90.00M,195.10M,,-56.40M,-8.80M,-65.20M,0.00,,-45.90M,-56.00M,,,,-159.60M,-48.70M,0.00,-48.70M,,0.00,,5.80M,-139.10M,,34.70M,0.00,-1.20M,33.50M,,-48.70M,,,0.00,,AOR,Restated
2006-11,107.80M,,,,,53.00M,33.70M,2.30M,36.00M,36.00M,0.40M,,,,,-50.80M,-123.60M,-183.70M,-2.00M,116.70M,,94.30M,-11.40M,-109.70M,36.70M,,-32.50M,7.60M,-24.90M,-1.90M,,-2.90M,-29.70M,,,,8.90M,17.60M,-18.00M,-0.40M,,-2.40M,,-20.50M,-14.40M,,42.20M,-7.40M,-0.10M,34.70M,,17.60M,,,-18.00M,,,
2006-08,68.40M,,,,,-1.10M,31.80M,1.70M,33.50M,33.50M,15.50M,,,,,23.70M,-85.70M,67.30M,-32.20M,9.90M,,-34.70M,11.20M,-64.20M,75.80M,,-58.00M,0.50M,-57.50M,-1.091B,,57.10M,-1.092B,,,,1.085B,28.40M,-82.00M,-53.60M,,-2.40M,,9.50M,1.038B,,37.50M,22.50M,-17.80M,42.20M,,28.40M,,,-82.00M,,,
2006-05,85.50M,,,,,-35.00M,26.70M,2.00M,28.70M,28.70M,15.60M,,,,,-4.10M,-66.40M,-31.30M,-10.90M,45.40M,,-21.90M,,-85.10M,5.60M,,-45.10M,0.70M,-44.40M,28.00M,,-3.20M,-19.60M,,,,31.30M,8.60M,,8.60M,,-2.50M,,2.80M,40.20M,,10.90M,26.20M,0.40M,37.50M,,8.60M,,,,,,
2006-02,58.20M,,,,,22.20M,33.60M,2.20M,35.80M,35.80M,-8.70M,,,,,-13.70M,205.70M,133.60M,-0.10M,-204.90M,,-92.70M,10.80M,52.40M,153.70M,,-40.90M,-119.10M,-160.00M,0.00,-0.10M,119.70M,-40.40M,,,,-140.00M,-17.80M,7.40M,-10.40M,,-9.80M,,,-128.70M,,26.40M,-15.40M,-0.10M,10.90M,,-17.80M,,,7.40M,,,Restated
2005-11,109.00M,,,,,6.30M,32.20M,2.00M,34.20M,34.20M,5.50M,,,,,0.10M,-95.40M,-181.00M,12.80M,128.00M,,98.80M,-10.10M,-46.90M,108.20M,,-28.60M,7.10M,-21.50M,-45.80M,-0.40M,-1.40M,-69.10M,,,,-32.60M,24.10M,-7.40M,16.70M,,4.90M,,-20.30M,-31.30M,,18.60M,7.80M,0.00,26.40M,,24.10M,,,-7.40M,,,
2005-08,82.40M,,,,,0.563M,26.59M,2.207M,28.80M,28.80M,19.84M,,,,,0.10M,-74.63M,38.47M,-1.849M,-25.49M,,43.59M,2.277M,-17.64M,114.07M,,-31.16M,1.363M,-29.80M,17.80M,-1.471M,-2.666M,-16.13M,,,,-108.38M,-8.705M,,-8.705M,,-2.449M,,20.30M,-99.23M,,19.18M,-1.294M,0.745M,18.60M,,-8.705M,,,,,,
2005-05,75.70M,,,,,32.24M,27.51M,1.793M,29.30M,29.30M,13.46M,,,,,,8.531M,-112.97M,-3.651M,70.09M,,-49.69M,-2.977M,-90.66M,60.03M,,-31.84M,110.64M,78.80M,,35.17M,-3.934M,110.03M,,,,-173.22M,8.705M,,8.705M,,-2.451M,,,-166.97M,,17.64M,3.094M,-1.545M,19.18M,,8.705M,,,,,,
2005-02,47.66M,,,,,18.33M,28.08M,1.956M,30.04M,30.04M,14.78M,,,,,,157.75M,114.91M,-4.70M,-59.96M,,-84.07M,1.644M,125.58M,239.28M,,-41.34M,-1.225M,-42.57M,-1.044B,,13.72M,-1.134B,,,,900.15M,-23.00M,7.353M,-15.64M,,-9.80M,,-23.50M,899.41M,,12.75M,4.434M,0.448M,17.60M,,-23.00M,,,7.353M,,,Restated
2004-11,96.89M,,,,,1.069M,21.81M,2.753M,24.56M,24.56M,18.64M,,,,,,-88.26M,-69.60M,32.85M,-36.84M,,41.48M,6.469M,-113.89M,27.27M,,-27.45M,0.201M,-27.24M,-8.899M,,-1.278M,-37.42M,,,,8.452M,7.915M,-2.451M,5.464M,,,,-0.901M,13.02M,,9.768M,2.865M,0.121M,12.75M,,7.915M,,,-2.451M,,,
2004-08,80.61M,,,,,1.948M,22.12M,2.717M,24.83M,24.83M,8.625M,,,,,,-84.66M,-5.923M,-48.82M,32.45M,,92.11M,-0.572M,-15.41M,100.61M,,-28.80M,0.579M,-28.22M,,,-0.001M,-28.22M,,,,-91.79M,13.97M,-4.902M,9.066M,,2.451M,,,-80.28M,,11.44M,-7.886M,6.211M,9.768M,,13.97M,,,-4.902M,,,
2004-05,51.33M,,,,,2.455M,21.19M,3.074M,24.27M,24.27M,6.259M,,,,,,-85.13M,-113.88M,12.57M,112.74M,,-49.52M,-7.541M,-130.77M,-46.46M,,-22.11M,0.445M,-21.67M,,,-1.338M,-23.01M,,,,48.69M,5.815M,,5.815M,,-2.451M,,,52.05M,,37.14M,-17.41M,-8.28M,11.44M,,5.815M,,,,,,
2004-02,62.82M,,,,,3.467M,21.41M,3.196M,24.61M,24.61M,26.78M,,,,,,155.69M,63.75M,-11.22M,-85.26M,,-44.76M,-35.08M,43.11M,160.78M,,-34.51M,1.747M,-32.76M,0.604M,0.059M,0.00,-32.10M,,,,-241.95M,13.94M,,13.94M,,,,34.15M,-197.16M,,38.38M,-68.48M,67.24M,37.14M,,13.94M,,,,,,
2003-11,82.84M,,,,,1.539M,19.76M,4.703M,24.47M,24.47M,1.811M,,,,,,-118.75M,-45.52M,-0.738M,67.90M,,63.23M,14.32M,-19.55M,91.11M,,-24.14M,5.366M,-18.77M,-0.908M,0.013M,-1.057M,-20.73M,,,,-52.43M,434.60M,,434.60M,,,,-460.51M,-78.34M,,47.46M,-7.954M,-1.136M,38.38M,,434.60M,,,,,,
2003-08,35.56M,,,,,1.985M,21.07M,8.083M,29.16M,29.16M,-1.839M,,,,,,-60.22M,93.00M,-1.416M,-15.89M,,4.634M,9.806M,29.91M,94.78M,,-28.35M,5.254M,-23.10M,-1.472M,0.777M,0.00,-23.79M,,,,-513.24M,9.473M,,9.473M,,,,426.36M,-77.41M,,46.01M,-6.425M,7.882M,47.46M,,9.473M,,,,,,
2003-05,39.19M,,,,,-2.554M,17.83M,5.986M,23.81M,23.81M,4.65M,,,,,,-39.76M,-15.17M,15.57M,-28.40M,,-4.033M,0.334M,-71.46M,-6.363M,,-18.09M,4.896M,-13.20M,-1.068B,,-0.978M,-1.082B,,,,1.090B,7.571M,,7.571M,,,,,1.098B,,13.81M,9.828M,22.37M,46.01M,,7.571M,,,,,,
2003-02,52.02M,,,,,-19.94M,12.97M,1.547M,14.52M,14.52M,16.99M,,,,,,87.63M,62.22M,2.417M,-47.06M,,-73.99M,-6.026M,25.20M,88.79M,,-19.74M,0.311M,-19.43M,,,0.00,-19.43M,,,,-91.11M,4.733M,,4.733M,,,,-0.01M,-86.38M,,29.94M,-17.03M,0.90M,13.81M,,4.733M,,,,,,
2002-11,64.34M,,,,,-3.969M,13.11M,1.515M,14.63M,14.63M,1.354M,,,,,,-43.21M,-111.43M,9.041M,57.06M,,41.81M,4.064M,-42.66M,33.70M,,-17.61M,0.269M,-17.34M,0.804M,,-1.674M,-18.22M,,,,-14.39M,3.541M,,3.541M,,,,-0.01M,-10.86M,,25.02M,4.621M,0.30M,29.94M,,3.541M,,,,,,
2002-08,49.57M,,,,,-2.295M,13.68M,1.461M,15.14M,15.14M,1.354M,,,,,,-5.739M,-0.467M,-19.56M,0.309M,,30.76M,2.143M,7.446M,71.22M,,-21.88M,0.075M,-21.80M,-0.804M,,0.804M,-21.80M,,,,-46.03M,14.50M,,14.50M,,,,,-31.53M,,6.564M,17.88M,0.571M,25.02M,,14.50M,,,,,,
2002-05,37.37M,,,,,-1.798M,14.38M,1.479M,15.86M,15.86M,1.354M,,,,,,-32.52M,8.993M,-3.512M,-0.174M,,19.27M,-2.495M,-10.44M,42.35M,,-12.34M,0.633M,-11.71M,,,-0.804M,-12.51M,,,,-41.52M,8.816M,,8.816M,,,,,-32.70M,,8.961M,-2.867M,0.47M,6.564M,,8.816M,,,,,,
2002-02,27.00M,,,,,3.439M,11.93M,9.586M,21.52M,21.52M,,,,,,,89.52M,38.53M,11.06M,-64.07M,,-39.34M,-1.711M,33.99M,89.62M,,-23.99M,0.316M,-23.67M,-0.495M,,0.00,-24.17M,,,,-223.24M,162.40M,,162.40M,,,,,-65.38M,,9.454M,0.077M,-0.57M,8.961M,,162.40M,,,,,,
2001-11,49.64M,,,,,-4.995M,12.65M,8.215M,20.87M,20.87M,,,,,,,-70.08M,-85.20M,-1.788M,69.67M,,37.46M,2.116M,-47.82M,17.69M,,453.61M,35.50M,489.11M,-472.34M,,-107.17M,-90.40M,,,,206.88M,-130.66M,,-130.66M,,,,,76.22M,,6.768M,3.507M,-0.821M,9.454M,,-130.66M,,,,,,
2001-08,35.93M,,,,,0.923M,13.28M,8.191M,21.48M,21.48M,,,,,,,-25.07M,8.733M,-8.711M,-7.784M,3.387M,47.13M,-4.633M,13.05M,71.38M,,-161.14M,-0.368M,-161.51M,,,29.89M,-131.62M,,,,41.15M,22.08M,,22.08M,,,,,63.23M,,3.739M,2.99M,0.039M,6.768M,,22.08M,,,,,,
2001-05,23.84M,,,,,0.945M,14.00M,8.055M,22.06M,22.06M,,,,,,,-39.16M,18.80M,,21.25M,-3.387M,-9.751M,,-12.25M,34.60M,,-339.62M,0.368M,-339.25M,,,,-339.25M,,,,18.17M,144.68M,,144.68M,,,,,162.85M,,145.67M,-141.81M,-0.126M,3.739M,,144.68M,,,,,,
2001-02,18.38M,,,,,0.477M,,,15.40M,15.40M,6.677M,,,,,,77.12M,31.60M,,-50.44M,15.74M,-24.19M,3.363M,46.75M,87.68M,,-20.41M,2.009M,-18.40M,,,-1.379M,-24.24M,,,,79.11M,9.062M,,9.062M,,,,-4.126M,84.05M,,1.871M,147.49M,-3.691M,145.67M,,9.062M,,,,,,
2000-11,34.95M,,,,,0.646M,,,19.18M,19.18M,,,,,,,-26.57M,-93.30M,,18.43M,-5.561M,-7.786M,-1.87M,-116.66M,-61.88M,,-22.56M,-0.912M,-23.47M,,,1.379M,-22.09M,,,,79.21M,2.352M,,2.352M,,,,-1.668M,79.89M,,4.15M,-4.079M,1.80M,1.871M,,2.352M,,,,,,
2000-08,26.11M,,,,,0.746M,,,17.84M,17.84M,-3.571M,,,,,,-27.53M,-4.172M,,10.05M,-12.31M,50.17M,0.665M,16.87M,58.00M,,-14.98M,0.595M,-14.39M,,,,-14.39M,,,,-53.72M,1.966M,,1.966M,,,,1.301M,-50.45M,,14.02M,-6.835M,-3.039M,4.15M,,1.966M,,,,,,
2000-05,17.90M,,,,,0.767M,,,18.46M,18.46M,3.571M,,,,,,-50.39M,8.747M,,10.60M,2.129M,12.66M,-4.478M,-20.73M,19.97M,,-10.26M,0.317M,-9.948M,,,,-9.948M,,,,-30.73M,1.973M,,1.973M,,,,-1.301M,-30.06M,,34.31M,-20.03M,-0.25M,14.02M,,1.973M,,,,,,
2000-02,15.53M,,,,,-1.147M,,,13.99M,13.99M,2.40M,,,,,4.01M,112.29M,57.53M,,-61.37M,10.06M,-61.54M,,56.97M,91.76M,,-11.46M,13.68M,2.22M,,,,2.22M,,,,-87.14M,1.786M,,1.786M,,,,-0.388M,-85.74M,,24.70M,8.232M,1.431M,34.31M,,1.786M,,,,,,
1999-11,29.95M,,,,,0.70M,,,16.86M,16.86M,-2.20M,,,,,-0.205M,-58.30M,-76.20M,,34.90M,7.20M,44.50M,,-47.90M,-2.80M,,-15.90M,0.20M,-15.70M,,,,-15.70M,,,,54.70M,1.20M,,1.20M,,,,-14.50M,41.40M,,4.30M,22.90M,-2.60M,24.70M,,1.20M,,,,,,
1999-08,21.10M,,,,,-1.80M,,,20.40M,20.40M,-1.70M,,,,,1.20M,2.80M,7.80M,,-2.20M,-15.50M,32.60M,,25.50M,64.70M,,-286.50M,1.10M,-285.40M,,,-0.70M,-286.10M,,,,220.60M,1.50M,,1.50M,,,,3.30M,225.40M,,1.90M,4.00M,-1.60M,4.30M,,1.50M,,,,,,
1999-05,10.80M,,,,,1.10M,,,13.90M,13.90M,,,,,,-1.00M,-67.60M,12.80M,,11.60M,2.90M,9.90M,,-30.40M,-5.60M,,-196.80M,,-196.80M,,,0.70M,-196.10M,,,,177.50M,0.30M,,0.30M,,,,-3.30M,174.50M,,27.60M,-27.20M,1.50M,1.90M,,0.30M,,,,,,
1999-02,11.90M,,,,,1.20M,,,13.00M,13.00M,12.90M,,,,,-3.90M,75.20M,49.80M,,-36.90M,1.60M,-76.90M,,12.80M,47.90M,,-360.40M,,-360.00M,,,-0.10M,-360.10M,,,,352.60M,1.60M,0.00,1.60M,,,,,337.10M,,2.10M,24.90M,,27.60M,,1.60M,,,0.00,,,
1998-11,20.20M,,,,,0.10M,,,8.80M,8.80M,-3.70M,,,,,-0.10M,-19.20M,-95.90M,,8.00M,-4.80M,57.40M,,-54.50M,-29.20M,,-7.60M,,-7.60M,,,0.10M,-7.50M,,,,45.40M,0.90M,-8.90M,-8.00M,,,,,37.40M,,1.50M,0.70M,,2.10M,,0.90M,,,-8.90M,,,
1998-08,16.70M,,,,,,,,8.60M,8.60M,0.90M,,,,,2.00M,15.10M,15.30M,,19.30M,-15.50M,3.30M,,37.50M,65.70M,,-8.50M,,-8.50M,,,0.00,-8.50M,,,,-23.00M,2.40M,-36.00M,-33.60M,,,,,-56.60M,,0.80M,0.60M,,1.50M,,2.40M,,,-36.00M,,,
1998-05,13.10M,,,,,,,,8.60M,8.60M,,,,,,-2.00M,-27.00M,32.00M,,-8.00M,4.60M,1.50M,,3.10M,22.80M,,-5.60M,,-5.60M,,,-0.70M,-6.30M,,,,-17.90M,1.00M,,1.00M,,,,,-16.90M,,1.20M,-0.40M,,0.80M,,1.00M,,,,,,
1998-02,7.10M,,,,,1.20M,,,7.40M,7.40M,-2.60M,,,,,-1.20M,42.90M,30.30M,,-10.20M,-6.90M,-9.70M,,46.40M,58.30M,,-8.00M,0.10M,-7.90M,,,,-8.00M,,,,-50.70M,0.50M,0.00,0.50M,,,,-1.20M,-51.40M,,2.30M,-1.10M,,1.20M,,0.50M,,,0.00,,,
1997-11,17.60M,,,,,-2.00M,,,8.60M,8.60M,2.00M,,,,,-0.30M,-24.70M,-82.90M,,-50.50M,1.30M,20.50M,,-136.30M,-110.40M,,-5.00M,4.00M,-1.00M,,,,-1.00M,,,,107.80M,1.60M,0.00,1.60M,,,,,109.40M,,4.30M,-2.00M,,2.30M,,1.60M,,,0.00,,,
1997-08,12.40M,,,,,0.50M,,,8.60M,8.60M,4.90M,,,,,-0.40M,-3.70M,-44.40M,,67.50M,-1.50M,-10.20M,,7.70M,33.70M,,-11.60M,2.70M,-8.90M,,,,-8.90M,,,,-23.00M,0.40M,0.00,0.40M,,,,0.50M,-22.10M,,1.60M,2.70M,,4.30M,,0.40M,,,0.00,,,
1997-05,10.00M,,,,,-1.00M,,,8.90M,8.90M,,,,,,-0.40M,-13.80M,36.30M,,-10.10M,2.80M,14.50M,,29.70M,47.20M,,-6.60M,5.80M,-0.80M,,,,-0.80M,,,,-45.60M,0.50M,-9.20M,-8.70M,,,,-0.50M,-54.80M,,10.00M,-8.40M,,1.60M,,0.50M,,,-9.20M,,,
1997-02,24.40M,,,,,-3.30M,,,6.00M,6.00M,8.60M,,,,,4.80M,59.10M,16.70M,,-40.10M,-5.90M,22.00M,,51.80M,92.30M,,-6.30M,4.00M,-2.30M,,,0.00,-2.30M,,,,-82.70M,0.00,-0.80M,-0.80M,,,,-1.60M,-85.10M,,5.00M,4.90M,,10.00M,,0.00,,,-0.80M,,,
1996-11,8.40M,,,,,0.00,,,8.70M,8.70M,10.00M,,,,,4.40M,-45.70M,-45.10M,,-3.90M,4.10M,-15.20M,,-105.80M,-74.30M,,-3.50M,0.00,-3.50M,,,-13.90M,-17.40M,,,,109.00M,0.30M,-14.60M,-14.30M,,,,0.10M,94.80M,,2.00M,3.10M,,5.00M,,0.30M,,,-14.60M,,,
1996-08,4.90M,,,,,0.00,,,8.70M,8.70M,,,,,,-8.40M,-2.00M,-16.10M,,52.80M,0.60M,9.90M,,45.20M,50.40M,,-7.80M,0.10M,-7.70M,,,,-7.70M,,,,-38.10M,0.00,-5.10M,-5.10M,,,,-0.10M,-43.30M,,2.60M,-0.60M,,2.00M,,0.00,,,-5.10M,,,
1996-05,8.50M,,,,,0.20M,,,8.60M,8.60M,,,,,,,-7.90M,29.40M,,-9.20M,4.50M,5.30M,,22.10M,39.40M,,-14.00M,5.10M,-8.90M,,,,-8.90M,,,,-31.60M,0.70M,-0.30M,0.40M,,,,,-31.20M,,3.30M,-0.70M,,2.60M,,0.70M,,,-0.30M,,,
1995-11,10.40M,,,,,,,,7.30M,7.30M,,,,,,-0.10M,-76.20M,-95.80M,,12.30M,0.60M,16.80M,,-142.30M,-124.70M,,-7.00M,0.10M,-6.90M,,,-10.00M,-16.90M,,,,138.10M,0.70M,,0.70M,,,,,138.80M,,4.20M,-2.80M,,1.30M,,0.70M,,,,,,
1995-08,10.00M,,,,,,,,3.00M,3.00M,19.10M,,,,,-9.30M,3.50M,29.70M,,20.80M,-7.60M,14.30M,,60.70M,81.40M,,-16.80M,,-15.50M,,,-28.30M,-43.80M,,,,-43.30M,0.90M,,0.90M,,,,0.10M,-42.30M,,8.80M,-4.70M,,4.20M,,0.90M,,,,,,
1995-05,10.70M,,,,,,,,5.00M,5.00M,0.00,,,,,-6.10M,2.40M,30.60M,,-4.10M,0.60M,-11.00M,,18.50M,28.10M,,-9.00M,,-9.00M,,,,-9.00M,,,,-14.10M,0.70M,,0.70M,,,,0.00,-13.40M,,3.10M,5.70M,,8.80M,,0.70M,,,,,,
1995-02,10.00M,,,,,,,,6.10M,6.10M,0.10M,,,,,0.90M,42.10M,31.40M,,-22.10M,-3.30M,-38.60M,,9.50M,26.60M,,-11.30M,,-11.30M,,,5.80M,-5.50M,,,,-110.10M,0.30M,,0.30M,,,,83.10M,-26.70M,,8.90M,-5.60M,,3.10M,,0.30M,,,,,,
1994-11,10.30M,,,,,,,,6.60M,6.60M,,,,,,-0.80M,-40.60M,-50.20M,,-8.00M,6.40M,13.50M,,-78.90M,-62.80M,,,,,,,-5.80M,-5.80M,,,,55.60M,,,,,,,20.30M,75.90M,,1.50M,7.30M,,8.90M,,,,,,,,
1994-08,-6.30M,,,,,13.90M,,,3.50M,3.50M,-5.20M,,,,,5.00M,-15.70M,-15.30M,,43.00M,3.60M,7.40M,,23.00M,33.90M,,-2.60M,,-2.60M,,,,-7.70M,,,,-26.70M,0.50M,,0.50M,,,,,-26.30M,,1.50M,-0.10M,,1.50M,,0.50M,,,,,,
1994-05,6.60M,,,,,0.30M,,,3.90M,3.90M,0.90M,,,,,0.30M,-6.80M,11.40M,,1.10M,-1.20M,-3.10M,,1.40M,13.40M,,-2.50M,,-2.50M,,,,-2.50M,,,,-15.10M,0.10M,,0.10M,,,,,-15.00M,,5.60M,-4.10M,,1.50M,,0.10M,,,,,,
1994-02,5.70M,,,,,-0.80M,,,3.30M,3.30M,,,,,,-9.00M,31.90M,14.40M,,-12.80M,-3.40M,-4.90M,,25.20M,24.40M,,-2.80M,,-2.80M,,1.50M,,-1.30M,,,,-21.50M,0.50M,,0.50M,,,,,-21.00M,,3.50M,2.10M,,5.60M,,0.50M,,,,,,
1993-11,5.70M,,,,,0.70M,,,3.10M,3.10M,,,,,,-0.10M,-27.30M,-9.70M,,-28.60M,2.70M,5.00M,,-57.90M,-48.50M,,,,,,-1.50M,,-1.50M,,,,49.80M,,,,,,,,49.80M,,3.70M,-0.20M,,3.50M,,,,,,,,
1993-08,5.70M,,,,,-0.30M,,,1.20M,1.20M,,,,,,1.30M,-8.70M,7.40M,,7.20M,-7.30M,7.90M,,6.50M,15.40M,,-2.60M,0.70M,-1.90M,,,8.60M,6.70M,,,,-18.80M,0.10M,,0.10M,,,,,-18.70M,,0.30M,3.40M,,3.70M,,0.10M,,,,,,
1993-05,3.30M,,,,,0.00,,,2.10M,2.10M,,,,,,,-2.60M,8.50M,,0.00,-1.90M,0.50M,,4.50M,9.90M,,-1.10M,0.00,-1.10M,,,0.00,-1.10M,,,,-10.00M,0.00,,0.00,,,,,-10.00M,,1.50M,-1.20M,,0.30M,,0.00,,,,,,
1993-02,3.00M,,,,,0.00,,,2.60M,2.60M,,,,,,-0.70M,16.30M,9.40M,,-8.90M,-1.70M,-2.00M,,13.10M,18.00M,,-1.00M,0.00,-1.00M,,,0.10M,-0.90M,,,,-17.00M,0.10M,,0.10M,,,,0.10M,-16.80M,,1.20M,0.30M,,1.50M,,0.10M,,,,,,
1992-11,3.60M,,,,,-0.20M,,,1.50M,1.50M,,,,,,0.70M,-10.80M,-16.30M,,-17.20M,2.30M,2.00M,,-40.00M,-34.40M,,-2.20M,0.60M,-1.60M,,,,-1.60M,,,,35.00M,0.10M,,0.10M,,,,-0.10M,35.00M,,2.20M,-1.00M,,1.20M,,0.10M,,,,,,
1992-08,3.50M,,,,,,,,1.40M,1.40M,,,,,,0.20M,-1.60M,-21.60M,,22.90M,0.60M,2.40M,,2.70M,8.20M,,-2.00M,,-2.00M,,0.90M,38.70M,37.60M,,,,-45.30M,0.10M,,0.10M,,,,0.10M,-45.10M,,1.50M,0.70M,,2.20M,,0.10M,,,,,,
1992-05,3.40M,,,,,,,,1.60M,1.60M,,,,,,0.30M,-2.90M,8.80M,,-0.60M,0.80M,0.40M,,6.50M,11.80M,,-0.90M,,-0.90M,,9.60M,-0.10M,8.60M,,,,-19.00M,0.00,,0.00,,,,0.00,-19.00M,,0.10M,1.40M,,1.50M,,0.00,,,,,,
1992-02,2.10M,,,,,,,,1.60M,1.60M,,,,,,0.20M,11.80M,7.30M,,-10.20M,-1.40M,-2.20M,,5.30M,9.20M,,-0.70M,,-0.70M,,-10.50M,0.10M,-11.10M,,,,-30.00M,32.10M,,32.10M,,,,0.00,2.10M,,0.10M,0.20M,,0.10M,,32.10M,,,,,,
1991-11,2.40M,,,,,,,,1.50M,1.50M,,,,,,0.20M,-9.90M,-14.30M,,5.60M,1.30M,0.20M,,-17.10M,-13.00M,,-1.10M,,-1.10M,,21.80M,-65.10M,-44.40M,,,,53.10M,,,,,,,-2.60M,50.50M,,6.90M,-6.90M,,0.10M,,,,,,,,
1991-08,2.20M,,,,,,,,1.80M,1.80M,0.80M,,,,,-0.10M,3.60M,2.50M,,3.80M,-1.30M,-1.70M,,6.90M,11.90M,,-1.70M,,-1.50M,,-3.80M,-0.60M,-5.90M,,,,-0.40M,-0.10M,0.20M,0.10M,,,,,-0.40M,,1.30M,5.60M,,6.90M,,-0.10M,,,0.20M,,,
1991-05,2.20M,,,,,,,,1.40M,1.40M,0.00,,,,,0.10M,-4.50M,8.60M,,1.80M,-0.20M,1.00M,,6.70M,10.40M,,-0.60M,,-0.60M,,-8.70M,0.10M,-9.20M,,,,-0.10M,0.00,0.00,0.00,,,,,-0.10M,,0.20M,1.10M,,1.30M,,0.00,,,0.00,,,
