,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-05,746.30M,,,-101.40M,-4.70M,-106.10M,84.20M,,84.20M,84.20M,116.20M,,,-258.30M,17.30M,12.70M,-49.30M,10.60M,-54.10M,-62.80M,,,47.30M,-108.30M,504.00M,,-168.20M,,-168.20M,-2.30M,110.20M,6.80M,-53.50M,,-5.90M,-77.50M,-83.40M,,-100.00M,-100.00M,-140.50M,-140.50M,7.60M,-12.90M,-329.20M,,90.30M,121.30M,-1.60M,210.00M,,,,-83.40M,-100.00M,,AOR,Restated
2018-02,913.80M,,,,16.90M,75.90M,79.40M,-91.20M,-11.80M,-11.80M,-328.50M,,92.70M,-247.50M,15.40M,27.90M,4.30M,97.90M,-33.20M,-143.90M,,,,-74.90M,463.00M,,-352.00M,,-352.00M,-42.80M,0.00,10.00M,-384.80M,,1.310B,-467.70M,841.90M,,-799.30M,-799.30M,-99.00M,-99.00M,11.90M,-98.60M,-143.10M,,154.50M,-64.90M,0.70M,90.30M,,,1.311B,-605.90M,-799.30M,,AOR,Restated
2017-11,496.40M,,,,-20.50M,-34.90M,73.50M,91.20M,164.70M,164.70M,78.90M,,-89.70M,-216.80M,16.60M,79.70M,78.30M,-270.90M,11.40M,79.20M,,,-27.40M,-129.40M,365.50M,,-200.50M,,-200.50M,-191.40M,0.00,-5.80M,-397.70M,,-4.00M,398.30M,394.30M,,-224.90M,-224.90M,-100.10M,-100.10M,5.50M,-12.60M,62.20M,,125.60M,30.00M,-1.10M,154.50M,,,2.399B,-2.005B,-224.90M,,AOR,Restated
2017-08,504.10M,,,,,4.60M,70.80M,,70.80M,70.80M,23.40M,,1.50M,0.00,13.80M,12.90M,-19.90M,30.80M,-53.70M,148.00M,,,-15.00M,90.20M,721.30M,,-288.00M,,-288.00M,-131.80M,0.00,0.50M,-419.30M,,-96.00M,-174.70M,-270.70M,,-14.30M,-14.30M,-100.50M,-100.50M,15.40M,-8.60M,-378.70M,,199.10M,-76.70M,3.20M,125.60M,,,2.334B,-2.604B,-14.30M,,AOR,Restated
2017-05,401.00M,,,,,9.80M,70.10M,,70.10M,70.10M,-11.20M,,88.20M,,15.10M,17.90M,-96.80M,18.40M,-36.00M,-137.30M,,,42.40M,-209.30M,381.60M,,-217.10M,,-217.10M,,,-4.20M,-221.30M,,-404.90M,381.30M,-23.60M,,,,-100.50M,-100.50M,16.60M,-34.10M,-141.60M,,177.40M,18.70M,3.00M,199.10M,,,1.890B,-1.913B,,,AOR,Restated
2017-02,455.40M,,,,16.20M,-246.20M,62.20M,,62.20M,62.20M,10.10M,,48.00M,0.00,11.70M,-16.30M,72.10M,42.90M,-41.20M,-118.40M,,,,-44.60M,280.30M,,-315.80M,,-315.80M,-10.60M,,13.70M,-312.70M,,551.40M,253.00M,804.40M,,-750.10M,-750.10M,-76.80M,-76.80M,20.40M,13.70M,11.60M,,197.30M,-20.80M,0.90M,177.40M,,,812.60M,-8.20M,-750.10M,,AOR,Restated
2016-11,405.00M,,,,-16.20M,-16.20M,61.40M,,61.40M,61.40M,-25.20M,,2.10M,0.00,13.00M,22.70M,-26.60M,-242.80M,-1.80M,192.00M,,,-12.80M,-92.00M,370.80M,,-223.00M,,-223.00M,-257.30M,,-15.20M,-495.50M,,640.00M,-55.90M,584.10M,,-367.10M,-367.10M,-79.50M,-79.50M,6.00M,7.10M,150.60M,,177.30M,25.90M,-5.90M,197.30M,,,705.30M,-121.20M,-367.10M,,AOR,Restated
2016-08,353.20M,,,,,,58.10M,,58.10M,58.10M,83.90M,,2.10M,,15.40M,-3.10M,-55.90M,67.90M,3.00M,188.40M,,,-14.00M,189.40M,699.00M,,-199.20M,,-199.20M,0.00,,-0.50M,-199.70M,,-433.80M,,-433.80M,,-4.50M,-4.50M,-79.50M,-79.50M,17.40M,11.50M,-488.90M,,167.30M,10.40M,-0.40M,177.30M,,,314.40M,-748.20M,-4.50M,,AOR,Restated
2016-05,319.10M,,,,,,55.80M,,55.80M,55.80M,56.00M,,4.20M,,16.00M,-28.90M,-39.00M,-19.00M,-31.60M,-13.50M,,,26.80M,-76.30M,345.90M,,-169.40M,,-169.40M,-284.90M,,0.40M,-453.90M,,236.20M,,236.20M,,-1.00M,-1.00M,-79.30M,-79.30M,15.90M,20.10M,191.90M,,83.10M,83.90M,0.30M,167.30M,,,330.40M,-94.20M,-1.00M,,AOR,Restated
2016-02,245.30M,,,,18.70M,31.80M,49.80M,-32.20M,17.60M,17.60M,58.50M,,,,13.50M,-11.20M,-8.30M,35.10M,-0.90M,-100.00M,,,,-74.10M,322.10M,,-377.50M,,-377.50M,-998.50M,,-3.70M,-1.380B,,355.50M,,716.10M,,-33.80M,-33.80M,-61.20M,-61.20M,14.10M,18.60M,653.80M,,491.30M,-403.80M,-4.40M,83.10M,,,760.60M,-44.50M,-33.80M,,AOR,Restated
2015-11,271.00M,,,,-18.70M,-18.70M,41.80M,9.50M,51.30M,51.30M,98.50M,,,,14.50M,8.20M,7.40M,-88.60M,2.10M,-57.20M,,,,-136.30M,288.50M,,-219.00M,,-219.00M,0.00,,0.30M,-218.70M,,-26.40M,,-26.40M,,0.00,0.00,-60.60M,-60.60M,65.70M,114.20M,92.90M,,329.70M,162.70M,-1.10M,491.30M,,,10.00M,-36.40M,0.00,,AOR,Restated
2015-08,304.10M,,,,,,45.70M,11.00M,56.70M,56.70M,55.70M,,,,13.70M,-25.00M,-30.60M,26.60M,44.10M,152.10M,,,,192.20M,597.40M,,-165.10M,,-165.10M,-317.90M,,5.30M,-477.70M,,100.70M,,100.70M,,,,-60.00M,-60.00M,23.60M,18.40M,82.70M,,130.70M,202.40M,-3.40M,329.70M,,,149.10M,-48.40M,,,AOR,Restated
2015-05,240.20M,,,,,,43.00M,11.70M,54.70M,54.70M,38.30M,,,,12.30M,2.80M,-98.30M,37.00M,0.60M,-81.90M,,,,-142.60M,205.70M,,-129.70M,,-129.70M,0.00,,-1.60M,-131.30M,,-28.50M,,-28.50M,,0.00,0.00,-59.80M,-59.80M,9.60M,25.30M,-53.40M,,110.10M,21.00M,-0.40M,130.70M,,,50.90M,-79.40M,0.00,,AOR,Restated
2015-02,211.50M,,,,12.70M,12.70M,43.60M,3.80M,47.40M,47.40M,-1.00M,-9.00M,,,12.90M,39.20M,96.90M,73.10M,-2.80M,-150.00M,,,,17.20M,330.90M,,-178.10M,,-178.10M,-288.90M,,10.80M,-456.20M,,27.10M,,27.10M,,,,0.00,0.00,29.50M,116.50M,173.10M,,67.30M,47.80M,-5.00M,110.10M,,,67.50M,-40.40M,,,AOR,Restated
