,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,,152.90M,152.90M,915.40M,915.40M,133.60M,815.60M,427.70M,1.377B,455.50M,,3.447B,,,,,5.581B,,5.581B,,5.581B,7.789B,2.740B,10.53B,4.496B,2.563B,1.015B,24.18B,27.63B,,732.10M,,,732.10M,740.90M,1.473B,,40.00M,,528.40M,568.40M,,568.40M,,,,2.041B,10.42B,,10.42B,1.521B,1.521B,340.40M,,11.94B,13.98B,,2.20M,14.88B,1.580B,2.792B,,,,-357.40M,13.31B,,AOR,
2020-08,,204.60M,204.60M,926.30M,926.30M,136.90M,765.40M,426.10M,1.328B,497.10M,,3.537B,,,,,,,,,5.185B,7.717B,2.738B,10.46B,3.696B,2.575B,1.014B,22.93B,26.46B,,651.20M,,,651.20M,724.90M,1.376B,,,,533.80M,533.80M,,533.80M,,,,1.910B,11.07B,,11.07B,1.482B,1.482B,315.80M,,12.55B,14.46B,,2.20M,13.74B,1.554B,2.794B,,,,-815.50M,11.69B,,AOR,
2020-05,,302.80M,302.80M,700.50M,700.50M,161.50M,775.00M,396.10M,1.333B,470.10M,,3.396B,,,,,5.098B,,5.098B,,5.098B,7.685B,2.735B,10.42B,3.695B,2.600B,940.40M,22.75B,26.15B,,505.50M,,,505.50M,712.20M,1.218B,,,,534.70M,534.70M,,534.70M,,,,1.752B,11.64B,,11.64B,1.380B,1.380B,311.60M,,13.02B,14.77B,,2.20M,13.37B,1.523B,2.811B,,,,-1.022B,11.07B,,AOR,
2020-02,,81.40M,81.40M,864.80M,1.215B,171.70M,814.70M,387.20M,1.374B,38.80M,89.30M,3.484B,0.00,440.20M,975.10M,3.737B,481.40M,1.423B,7.057B,-1.458B,5.599B,7.757B,2.719B,10.48B,4.211B,2.656B,897.20M,23.84B,27.32B,,557.60M,24.90M,,582.50M,468.20M,1.051B,,238.90M,0.00,734.90M,973.80M,76.60M,1.050B,,,210.70M,2.312B,11.21B,483.60M,11.69B,384.00M,384.00M,342.50M,86.30M,12.54B,14.85B,,2.20M,13.70B,1.515B,2.814B,,,,-266.30M,12.13B,,AOR,
2019-11,,93.70M,93.70M,808.30M,808.30M,131.70M,832.50M,394.60M,1.359B,484.30M,,3.470B,,,,,5.690B,,5.690B,,5.690B,7.772B,2.721B,10.49B,4.099B,2.663B,678.70M,23.62B,27.09B,,676.50M,,,676.50M,767.40M,1.444B,,281.50M,,734.80M,1.016B,,1.016B,,,,2.460B,11.34B,503.30M,11.84B,334.80M,334.80M,326.90M,74.60M,12.60B,15.06B,,2.20M,13.44B,1.472B,2.821B,,,,-383.80M,11.71B,,AOR,Restated
2019-08,,81.30M,81.30M,953.70M,953.70M,147.00M,792.20M,372.20M,1.311B,525.10M,,3.538B,,,,,5.694B,,5.694B,,5.694B,7.697B,2.787B,10.48B,4.576B,2.147B,1.117B,24.02B,27.56B,,608.60M,,,608.60M,800.30M,1.409B,,150.90M,,636.10M,787.00M,,787.00M,,,,2.196B,12.16B,511.90M,12.67B,561.30M,561.30M,313.50M,90.00M,13.67B,15.86B,,2.20M,13.22B,1.452B,2.822B,,,,-476.60M,11.38B,,AOR,Restated
2019-05,,98.70M,98.70M,788.30M,788.30M,172.80M,884.70M,436.60M,1.494B,530.90M,,3.581B,,,,,5.693B,,5.693B,,5.693B,7.756B,2.848B,10.60B,5.840B,2.203B,1.030B,25.37B,28.95B,,579.10M,32.20M,,611.30M,345.70M,957.00M,,531.40M,55.00M,1.065B,1.652B,75.60M,1.727B,68.20M,68.20M,186.70M,2.939B,11.75B,,11.75B,1.778B,1.778B,313.60M,,13.52B,16.46B,,2.20M,13.89B,1.417B,2.778B,,,,-355.50M,12.17B,,AOR,Restated
2019-02,,93.60M,93.60M,846.90M,1.268B,182.60M,1.480B,467.30M,2.130B,48.10M,121.80M,3.684B,0.00,456.70M,1.067B,4.013B,,1.214B,6.751B,-1.705B,5.046B,8.089B,3.198B,11.29B,6.700B,2.183B,331.00M,25.55B,29.23B,,616.70M,24.50M,,641.20M,451.60M,1.093B,,732.50M,59.00M,1.065B,1.857B,0.00,1.857B,,,214.30M,3.164B,11.76B,0.00,11.76B,1.030B,1.030B,286.20M,106.60M,13.23B,16.39B,,2.20M,14.28B,1.411B,2.784B,,,,-353.90M,12.55B,,AOR,Restated
2018-11,,130.60M,130.60M,837.20M,837.20M,142.30M,1.532B,523.20M,2.198B,472.70M,,3.638B,,,,,4.986B,,4.986B,,4.986B,8.062B,3.308B,11.37B,5.631B,2.178B,87.20M,24.25B,27.89B,,882.70M,,,882.70M,683.60M,1.566B,,626.50M,105.00M,1.066B,1.797B,,1.797B,,,,3.363B,11.77B,,11.77B,,,263.30M,1.234B,13.01B,16.37B,,2.20M,13.18B,1.369B,2.785B,,,,-505.90M,11.26B,,AOR,Restated
2018-08,,206.10M,206.10M,951.20M,951.20M,139.40M,1.257B,545.90M,1.942B,486.30M,,3.586B,,,,,4.948B,,4.948B,,4.948B,8.083B,3.309B,11.39B,1.880B,2.178B,115.50M,20.51B,24.10B,,734.90M,,,734.90M,691.60M,1.426B,,652.10M,56.00M,27.90M,736.00M,,736.00M,,,,2.162B,9.188B,,9.188B,,,266.90M,1.212B,10.40B,12.56B,,2.90M,13.01B,2.865B,4.308B,,,,-304.60M,11.27B,,AOR,Restated
