,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,543.00M,1.617B,15.73B,17.35B,,23.11B,,,,,,,,1.209B,,,1.015B,53.56B,777.00M,,52.78B,17.45B,74.09B,81.48B,,,,,,,,,1.572B,58.00M,1.336B,,1.336B,69.65B,,71.05B,73.59B,,3.252B,4.309B,,,566.00M,325.00M,7.886B,,AOR,
2020-09,576.00M,1.432B,14.66B,16.09B,,18.90B,,,,,,,,1.187B,,,1.016B,54.83B,853.00M,,53.98B,16.28B,74.12B,78.36B,,,,,,,,,1.252B,64.00M,1.343B,4.00M,1.347B,67.09B,,68.50B,70.69B,,3.246B,4.09B,,,566.00M,332.00M,7.668B,,AOR,
2020-06,570.00M,2.149B,14.20B,16.35B,,16.62B,,,,,,,,1.173B,,,1.014B,55.23B,860.00M,,54.37B,15.86B,74.03B,76.45B,,,,,,,,,860.00M,54.00M,1.349B,4.00M,1.353B,65.68B,,67.09B,68.87B,,3.241B,3.979B,,,566.00M,355.00M,7.575B,,AOR,
2020-03,730.00M,1.955B,14.23B,16.19B,,16.74B,,,,,,,,1.144B,,,1.014B,50.07B,730.00M,,49.34B,15.89B,68.96B,71.47B,,,,,,,,,3.765B,47.00M,1.791B,4.00M,1.795B,57.52B,,59.36B,64.00B,,3.234B,3.979B,,,566.00M,259.00M,7.472B,,AOR,
2019-12,705.00M,1.448B,13.72B,15.17B,,15.66B,235.00M,747.00M,949.00M,,164.00M,2.095B,-953.00M,1.142B,1.014B,1.00M,1.015B,48.84B,495.00M,,48.34B,15.40B,67.23B,69.17B,,,,,,1.00B,1.00B,1.00B,2.053B,59.00M,1.719B,4.00M,1.723B,57.08B,,58.87B,61.82B,,3.301B,4.009B,,,566.00M,43.00M,7.353B,,AOR,
2019-09,796.00M,1.945B,14.03B,15.98B,,16.48B,,,,,,,,1.146B,,,1.014B,48.98B,510.00M,,48.47B,15.95B,67.91B,70.36B,,,,,,,,,4.579B,62.00M,1.238B,4.00M,1.242B,56.14B,,57.44B,62.85B,,3.568B,3.892B,,,566.00M,49.00M,7.509B,,AOR,Restated
2019-06,538.00M,1.172B,14.67B,15.84B,,16.46B,,,,,,,,1.133B,,,1.014B,48.72B,503.00M,,48.22B,16.57B,68.27B,70.06B,,,,,,,,,6.023B,60.00M,1.236B,,1.236B,54.33B,,55.63B,62.47B,,3.837B,3.737B,,,566.00M,25.00M,7.599B,,AOR,Restated
2019-03,536.00M,1.238B,14.90B,16.14B,,16.58B,,,,,,,,1.125B,,,1.014B,47.68B,497.00M,,47.18B,16.98B,67.51B,69.20B,,,,,,,,,4.944B,59.00M,1.228B,,1.228B,54.54B,,55.82B,61.61B,,566.00M,3.603B,3.541B,,566.00M,-122.00M,7.588B,,AOR,Restated
2018-12,614.00M,1.233B,14.74B,15.97B,,17.43B,238.00M,736.00M,876.00M,,145.00M,1.995B,-871.00M,1.124B,1.014B,1.00M,1.015B,46.81B,495.00M,,46.31B,16.66B,66.05B,68.75B,,,,,,4.50B,4.50B,4.50B,5.653B,57.00M,724.00M,,724.00M,54.10B,,54.88B,61.17B,,4.372B,3.456B,,,566.00M,-250.00M,7.578B,,AOR,Restated
2018-09,517.00M,1.107B,14.62B,15.73B,,16.29B,,,,,,,,1.111B,,,1.015B,45.87B,480.00M,,45.39B,16.58B,65.06B,66.73B,,,,,,,,,3.78B,58.00M,879.00M,,879.00M,53.78B,,54.72B,59.18B,,566.00M,3.296B,4.052B,,566.00M,-361.00M,7.553B,,AOR,Restated
2018-06,468.00M,1.166B,14.63B,15.79B,,16.35B,,,,,,,,1.099B,,,1.015B,45.31B,490.00M,,44.82B,16.77B,64.73B,66.46B,,,,,,,,,4.158B,58.00M,382.00M,1.00M,383.00M,53.58B,,54.02B,58.84B,,4.797B,3.139B,,,566.00M,-315.00M,7.621B,,AOR,Restated
2018-03,470.00M,1.187B,14.90B,16.08B,,16.78B,,,,,,,,1.098B,,,1.016B,45.17B,473.00M,,44.70B,16.88B,64.59B,66.48B,,,,,,,,,4.867B,51.00M,382.00M,1.00M,383.00M,52.96B,,53.40B,58.84B,,4.912B,2.999B,,,566.00M,-267.00M,7.644B,,AOR,Restated
