,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,175.00M,,,,,,,12.00M,12.00M,-3.00M,,,4.00M,,-8.00M,,,-56.00M,-2.00M,-38.00M,-85.00M,150.00M,,-41.00M,,-41.00M,,-2.215B,-1.00M,-1.88B,,0.00,393.00M,393.00M,0.00,0.00,0.00,,,,,-65.00M,-1.00M,1.736B,,570.00M,6.00M,576.00M,,0.00,0.00,0.00,0.00,131.00M,41.00M,,AOR,
2020-06,66.00M,,,,,,,18.00M,18.00M,-48.00M,,,5.00M,,-6.00M,,,-9.00M,46.00M,0.00,42.00M,245.00M,,-54.00M,,-54.00M,,34.00M,14.00M,-5.176B,,-429.00M,-2.906B,-3.335B,3.00M,-1.00M,2.00M,,,,,-64.00M,2.00M,4.771B,,730.00M,-160.00M,570.00M,,3.00M,0.00,-429.00M,-1.00M,16.00M,35.00M,,AOR,
2020-03,14.00M,,,,,,,45.00M,45.00M,-46.00M,,,13.00M,,-2.00M,,,-120.00M,-13.00M,22.00M,-129.00M,153.00M,,-28.00M,,-28.00M,,-905.00M,19.00M,-2.125B,,0.00,1.712B,1.712B,2.00M,-75.00M,-73.00M,,,,,-66.00M,-9.00M,1.997B,,705.00M,25.00M,730.00M,,2.00M,0.00,,-75.00M,1.00M,88.00M,,AOR,
2019-12,183.00M,,,,,,,45.00M,45.00M,0.00,,,4.00M,,5.00M,,,-33.00M,52.00M,98.00M,110.00M,351.00M,,-23.00M,,-23.00M,,871.00M,2.00M,978.00M,,495.00M,-2.526B,-2.031B,6.00M,-276.00M,-270.00M,,,,,-64.00M,0.00,-1.42B,,796.00M,-91.00M,705.00M,,6.00M,495.00M,-3.60B,-276.00M,54.00M,86.00M,,AOR,
2019-09,222.00M,,,,,,,50.00M,50.00M,-5.00M,,,5.00M,,-13.00M,,,20.00M,7.00M,-132.00M,-143.00M,126.00M,,-34.00M,,-34.00M,,358.00M,-4.00M,112.00M,,0.00,-1.445B,-1.445B,1.00M,-275.00M,-274.00M,,,,,-69.00M,1.00M,20.00M,,538.00M,258.00M,796.00M,,1.00M,0.00,0.00,-275.00M,47.00M,116.00M,,AOR,Restated
2019-06,198.00M,,,,,,,49.00M,49.00M,-12.00M,,,4.00M,,-2.00M,,,-96.00M,-30.00M,168.00M,4.00M,262.00M,,-35.00M,,-35.00M,,250.00M,0.00,-802.00M,,0.00,1.08B,1.08B,3.00M,-275.00M,-272.00M,,,,,-61.00M,-2.00M,542.00M,,536.00M,2.00M,538.00M,,3.00M,0.00,0.00,-275.00M,132.00M,104.00M,,AOR,Restated
2019-03,213.00M,,,,,,,44.00M,44.00M,15.00M,,,14.00M,,-8.00M,,,-70.00M,-43.00M,-210.00M,-324.00M,-42.00M,,-25.00M,,-25.00M,,968.00M,4.00M,87.00M,,497.00M,-709.00M,-212.00M,4.00M,-276.00M,-272.00M,,,,,-66.00M,-8.00M,-123.00M,,614.00M,-78.00M,536.00M,,4.00M,497.00M,,-276.00M,,95.00M,,AOR,Restated
2018-12,226.00M,,,,,,,52.00M,52.00M,4.00M,,,4.00M,,-8.00M,,,-13.00M,-31.00M,70.00M,67.00M,351.00M,,-39.00M,,-39.00M,,-970.00M,4.00M,-1.967B,,-162.00M,1.873B,1.711B,1.00M,-238.00M,-237.00M,,,,,-64.00M,,1.713B,,517.00M,97.00M,614.00M,,1.00M,1.873B,-162.00M,-238.00M,65.00M,80.00M,,AOR,Restated
2018-09,223.00M,,,,,,,49.00M,49.00M,-6.00M,,,4.00M,,-4.00M,,,79.00M,20.00M,31.00M,132.00M,387.00M,,-36.00M,,-36.00M,,174.00M,2.00M,-410.00M,,497.00M,-377.00M,120.00M,2.00M,-186.00M,-184.00M,,,,,-68.00M,,72.00M,,468.00M,49.00M,517.00M,,2.00M,120.00M,0.00,-186.00M,51.00M,57.00M,,AOR,Restated
2018-06,197.00M,,,,,,,49.00M,49.00M,-11.00M,,,5.00M,,-6.00M,,,-100.00M,81.00M,-63.00M,-83.00M,163.00M,,-26.00M,,-26.00M,,245.00M,1.00M,100.00M,,0.00,-709.00M,-709.00M,7.00M,-126.00M,-119.00M,,,,,-55.00M,,-265.00M,,470.00M,-2.00M,468.00M,,7.00M,-709.00M,0.00,-126.00M,90.00M,56.00M,,AOR,Restated
