,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,716.00M,716.00M,6.00M,283.00M,289.00M,,,289.00M,20.00M,550.00M,359.00M,75.00M,284.00M,,,,9.00M,284.00M,284.00M,,380.00M,,1.66,,,,1.66,1.66,,1.66,,,,1.66,1.66,,163.66M,163.90M,0.34,,AOR,
2020-09,712.00M,712.00M,7.00M,276.00M,283.00M,,,283.00M,12.00M,555.00M,215.00M,40.00M,175.00M,,,,8.00M,175.00M,175.00M,12.00M,241.00M,,1.01,,,,1.01,1.01,,1.01,,,,1.01,1.01,,163.61M,163.78M,0.34,,AOR,
2020-06,680.00M,680.00M,3.00M,274.00M,277.00M,,,277.00M,-16.00M,563.00M,82.00M,16.00M,66.00M,,,,9.00M,66.00M,66.00M,18.00M,114.00M,,0.34,,,,0.34,0.34,,0.34,,,,0.34,0.34,,163.54M,164.42M,0.34,,AOR,
2020-03,682.00M,682.00M,3.00M,279.00M,282.00M,,,282.00M,-6.00M,548.00M,16.00M,2.00M,14.00M,,,,8.00M,14.00M,14.00M,45.00M,90.00M,,0.04,,,,0.04,0.04,,0.04,,,,0.04,0.04,,164.14M,173.00M,0.34,,AOR,
2019-12,711.00M,711.00M,2.00M,312.00M,314.00M,,,314.00M,18.00M,559.00M,235.00M,52.00M,183.00M,,,,9.00M,183.00M,183.00M,45.00M,323.00M,,1.03,,,,1.03,1.03,,0.97,,,,0.97,0.97,,166.98M,179.33M,0.34,,AOR,
2019-09,713.00M,713.00M,6.00M,280.00M,286.00M,,,286.00M,-4.00M,567.00M,288.00M,66.00M,222.00M,,,,8.00M,222.00M,222.00M,50.00M,398.00M,,1.23,,,,1.23,1.23,,1.17,,,,1.17,1.17,,173.16M,181.87M,0.34,,AOR,Restated
2019-06,701.00M,701.00M,5.00M,280.00M,285.00M,,,285.00M,-9.00M,569.00M,256.00M,58.00M,198.00M,,,,9.00M,198.00M,198.00M,49.00M,371.00M,,1.05,,,,1.05,1.05,,0.99,,,,0.99,0.99,,179.16M,189.10M,0.30,,AOR,Restated
2019-03,708.00M,708.00M,5.00M,293.00M,298.00M,,,298.00M,1.00M,576.00M,274.00M,61.00M,213.00M,,,,8.00M,213.00M,213.00M,44.00M,373.00M,,1.10,,,,1.10,1.10,,1.04,,,,1.04,1.04,,184.77M,195.24M,0.30,,AOR,Restated
2018-12,716.00M,716.00M,6.00M,276.00M,282.00M,,,282.00M,2.00M,576.00M,290.00M,64.00M,226.00M,,,,-136.00M,226.00M,226.00M,52.00M,370.00M,,1.14,,,,1.14,1.14,,1.08,,,,1.08,1.08,,189.12M,200.03M,0.30,,AOR,Restated
2018-09,701.00M,701.00M,8.00M,282.00M,290.00M,,,290.00M,-1.00M,565.00M,292.00M,69.00M,223.00M,,,,66.00M,223.00M,223.00M,49.00M,358.00M,,1.11,,,,1.11,1.11,,1.04,,,,1.04,1.04,,192.97M,205.76M,0.30,,AOR,Restated
2018-06,686.00M,686.00M,7.00M,280.00M,287.00M,,,287.00M,1.00M,548.00M,253.00M,56.00M,197.00M,,,,57.00M,197.00M,197.00M,49.00M,311.00M,,0.95,,,,0.95,0.95,,0.89,,,,0.89,0.89,,195.58M,209.25M,0.24,,AOR,Restated
2018-03,680.00M,680.00M,5.00M,282.00M,287.00M,,,287.00M,0.00,542.00M,308.00M,70.00M,238.00M,,,,7.00M,238.00M,238.00M,43.00M,355.00M,,1.16,,,,1.16,1.16,,1.09,,,,1.09,1.09,,196.72M,210.24M,0.20,,AOR,Restated
2017-12,666.00M,666.00M,5.00M,266.00M,271.00M,,,271.00M,1.00M,526.00M,260.00M,137.00M,123.00M,,,,10.00M,123.00M,123.00M,48.00M,296.00M,,0.57,,,,0.57,0.57,,0.54,,,,0.54,0.54,,198.62M,210.51M,0.16,,AOR,Restated
2017-09,661.00M,661.00M,6.00M,266.00M,272.00M,,,272.00M,5.00M,522.00M,243.00M,83.00M,160.00M,,,,8.00M,160.00M,160.00M,47.00M,278.00M,,0.75,,,,0.75,0.75,,0.72,,,,0.72,0.72,,200.33M,209.11M,0.12,,AOR,Restated
2017-06,660.00M,660.00M,6.00M,253.00M,259.00M,,,259.00M,2.00M,528.00M,248.00M,80.00M,168.00M,,,,12.00M,168.00M,168.00M,47.00M,278.00M,,0.76,,,,0.76,0.76,,0.73,,,,0.73,0.73,,201.82M,208.18M,0.08,,AOR,Restated
2017-03,621.00M,621.00M,5.00M,273.00M,278.00M,,,278.00M,5.00M,489.00M,184.00M,45.00M,139.00M,,,,10.00M,139.00M,139.00M,37.00M,210.00M,,0.63,,,,0.63,0.63,,0.61,,,,0.61,0.61,,202.35M,210.40M,0.08,,AOR,Restated
2016-12,609.00M,609.00M,5.00M,248.00M,253.00M,,,253.00M,-4.00M,481.00M,207.00M,70.00M,137.00M,,,,12.00M,137.00M,137.00M,35.00M,228.00M,,0.61,,,,0.61,0.61,,0.60,,,,0.60,0.60,,202.88M,203.80M,0.08,,AOR,Restated
2016-09,614.00M,614.00M,6.00M,254.00M,260.00M,2.00M,,262.00M,8.00M,469.00M,192.00M,65.00M,127.00M,,,,10.00M,127.00M,127.00M,34.00M,214.00M,,0.57,,,,0.57,0.57,,0.57,,,,0.57,0.57,,204.31M,204.71M,0.08,,AOR,Restated
2016-06,591.00M,591.00M,5.00M,251.00M,256.00M,2.00M,,258.00M,3.00M,465.00M,174.00M,60.00M,114.00M,,,,13.00M,114.00M,114.00M,29.00M,196.00M,,0.44,,,,0.44,0.44,,0.44,,,,0.44,0.44,,204.24M,204.54M,0.06,,AOR,Restated
