,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.310B,1.310B,501.60M,807.90M,144.70M,199.80M,232.90M,-49.40M,93.30M,0.30M,-93.00M,,577.40M,230.50M,0.30M,93.30M,-93.00M,-48.70M,-93.00M,88.80M,15.20M,73.60M,,,,73.60M,114.54M,467.90M,285.80M,182.10M,0.29,,,0.4499,0.29,0.27,,,0.4229,0.27,256.00M,267.70M,0.368
2020-06,1.310B,1.310B,511.40M,798.30M,146.30M,198.00M,235.40M,-27.10M,99.10M,0.30M,-98.80M,,579.70M,218.60M,0.30M,99.10M,-98.80M,-30.30M,-98.80M,89.50M,-34.10M,123.60M,,,,123.60M,143.38M,481.40M,292.80M,188.60M,0.5,,,0.5799,0.5,0.48,,,0.5567,0.48,247.70M,257.80M,0.3675
2020-03,1.326B,1.326B,512.50M,813.90M,165.70M,221.80M,248.50M,-20.60M,115.40M,0.50M,-114.90M,,636.00M,177.90M,0.50M,115.40M,-114.90M,-17.20M,-114.90M,45.80M,-54.10M,99.90M,,,,99.90M,114.94M,472.10M,310.90M,161.20M,0.42,,,0.4826,0.42,0.39,,,0.4484,0.39,240.10M,257.40M,0.36700000000000005
2019-12,1.287B,1.287B,501.90M,785.50M,170.70M,217.10M,248.70M,-17.80M,119.70M,0.60M,-119.10M,,636.50M,149.00M,0.60M,119.70M,-119.10M,-19.30M,-119.10M,10.60M,-300.50M,311.10M,,,,311.10M,324.09M,430.30M,300.00M,130.30M,1.3,,,1.354,1.3,1.2,,,1.25,1.2,239.20M,258.30M,0.3665
2019-09,1.338B,1.338B,510.30M,827.50M,172.30M,219.80M,248.20M,-3.70M,129.60M,1.00M,-128.60M,,640.30M,187.20M,1.00M,129.60M,-128.60M,-5.10M,-128.60M,53.50M,-55.40M,108.90M,,,,108.90M,111.60M,480.70M,297.60M,183.10M,0.46,,,0.4713,0.46,0.43,,,0.4406,0.43,238.40M,255.30M,0.366
2019-06,1.323B,1.323B,507.40M,815.20M,167.90M,219.10M,248.50M,-10.00M,132.60M,0.70M,-131.90M,,635.50M,179.70M,0.70M,132.60M,-131.90M,-7.30M,-131.90M,40.50M,-10.20M,50.70M,,,,50.70M,58.00M,480.20M,307.10M,173.10M,0.21,,,0.2407,0.21,0.2,,,0.2288,0.2,237.80M,253.90M,0.3655
2019-03,1.330B,1.330B,509.40M,820.40M,167.40M,214.70M,176.90M,15.00M,136.20M,0.80M,-135.40M,,559.00M,261.40M,0.80M,136.20M,-135.40M,25.20M,-135.40M,151.20M,-23.50M,174.70M,,,,174.70M,163.75M,526.10M,238.70M,287.40M,0.74,,,0.6938,0.74,0.7,,,0.6564,0.7,237.10M,251.10M,0.365
2018-12,1.375B,1.375B,595.10M,779.60M,174.80M,217.70M,193.70M,1.10M,137.60M,0.70M,-136.90M,,586.20M,193.40M,0.70M,137.60M,-136.90M,-1.50M,-136.90M,55.00M,5.80M,49.20M,,,,49.20M,48.22M,436.50M,243.90M,192.60M,0.21,,,0.2058,0.21,0.2,,,0.196,0.2,236.70M,244.60M,0.3645
2018-09,1.432B,1.432B,743.20M,689.30M,176.60M,221.90M,169.90M,-22.30M,138.60M,0.90M,-137.70M,,568.40M,120.90M,0.90M,138.60M,-137.70M,-22.60M,-137.70M,-39.40M,-135.70M,96.30M,,,,96.30M,112.58M,320.20M,221.00M,99.20M,0.41,,,0.479,0.41,0.38,,,0.4447,0.38,235.80M,251.80M,0.364
2018-06,1.212B,1.212B,570.50M,642.00M,164.00M,171.90M,133.70M,-40.10M,90.40M,5.70M,-84.70M,,469.60M,172.40M,5.70M,90.40M,-84.70M,-50.00M,-84.70M,37.70M,2.00M,35.70M,,,,35.70M,73.67M,300.90M,172.80M,128.10M,0.15,,,0.3114,0.15,0.14,,,0.2906,0.14,235.20M,252.20M,0.3635
2018-03,1.002B,1.002B,387.20M,615.10M,114.50M,133.60M,122.70M,-0.20M,50.30M,7.60M,-42.70M,,370.80M,244.30M,7.60M,50.30M,-42.70M,-13.40M,-42.70M,188.20M,41.50M,146.70M,,,,146.70M,146.86M,395.40M,156.90M,238.50M,0.63,0.0,,0.6307,0.63,0.58,0.0,,0.5806,0.58,234.70M,251.60M,0.363
2017-12,994.20M,994.20M,387.10M,607.10M,109.10M,131.60M,121.00M,-2.30M,49.70M,6.30M,-43.40M,,361.70M,245.40M,6.30M,49.70M,-43.40M,-5.30M,-43.40M,196.70M,447.80M,-251.10M,,,,-251.10M,-249.72M,401.00M,154.60M,246.40M,-1.07,,,-1.064,-1.07,-1.07,,,-1.064,-1.07,234.10M,234.10M,0.3625
2017-09,1.012B,1.012B,398.00M,614.10M,114.30M,133.60M,120.90M,-19.90M,49.50M,4.60M,-44.90M,,368.80M,245.30M,4.60M,49.50M,-44.90M,-14.20M,-44.90M,186.20M,-3.00M,189.20M,,,,189.20M,201.14M,388.30M,152.60M,235.70M,0.81,,,0.8612,0.81,0.77,,,0.8188,0.77,233.30M,244.80M,0.36200000000000004
2017-06,972.10M,972.10M,387.70M,584.40M,114.30M,130.50M,120.80M,-11.00M,49.50M,3.50M,-46.00M,,365.60M,218.80M,3.50M,49.50M,-46.00M,-6.60M,-46.00M,166.20M,-4.40M,170.60M,,,,170.60M,181.31M,367.50M,151.80M,215.70M,0.74,,,0.7867,0.74,0.7,,,0.7441,0.7,229.40M,242.90M,0.3615
2017-03,902.66M,902.66M,369.83M,532.83M,111.15M,127.19M,94.34M,-89.98M,41.62M,1.335M,-40.28M,,332.68M,200.15M,1.335M,41.62M,-40.28M,-88.05M,-40.28M,71.82M,-65.10M,136.92M,-0.047M,,,136.87M,190.90M,241.70M,128.28M,113.43M,0.61,0.0,,0.8524,0.61,0.57,0.0,,0.7957,0.57,222.72M,239.15M,0.361
2016-12,834.37M,834.37M,369.11M,465.26M,111.02M,132.43M,82.79M,-20.94M,35.14M,0.501M,-34.64M,,326.24M,139.02M,0.501M,35.14M,-34.64M,-20.88M,-34.64M,83.50M,-23.84M,107.34M,-0.16M,,,107.18M,122.31M,233.61M,114.97M,118.64M,0.5,0.0,,0.5693,0.5,0.46,0.0,,0.5236,0.46,216.21M,235.42M,0.361
2016-09,871.36M,871.36M,460.74M,410.62M,120.13M,137.80M,80.39M,-9.543M,35.13M,0.445M,-34.68M,,338.32M,72.30M,0.445M,35.13M,-34.68M,-12.39M,-34.68M,25.23M,-10.34M,35.57M,-1.655M,,,33.92M,41.30M,173.18M,112.82M,60.36M,0.17,-0.01,,0.1966,0.16,0.15,-0.01,,0.1745,0.14,215.52M,233.96M,0.36
2016-06,799.41M,799.41M,450.92M,348.49M,157.50M,147.88M,80.17M,-22.04M,34.42M,0.819M,-33.60M,,385.56M,-37.07M,0.819M,34.42M,-33.60M,-20.08M,-33.60M,-90.75M,18.48M,-109.22M,-4.138M,,,-113.36M,-91.69M,56.81M,113.14M,-56.33M,-0.51,-0.02,,-0.4282,-0.53,-0.51,-0.02,,-0.4282,-0.53,214.34M,214.34M,0.3595
2016-03,557.61M,557.61M,254.80M,302.82M,78.32M,95.64M,48.14M,-0.813M,26.80M,5.79M,-21.01M,,222.10M,80.71M,5.79M,26.80M,-21.01M,-2.087M,-21.01M,57.62M,-9.71M,67.33M,0.00,,-0.007M,67.32M,67.81M,159.96M,75.54M,84.42M,0.33,0.0,,0.3324,0.33,0.31,0.0,,0.3122,0.31,203.80M,217.76M,0.359
2015-12,540.34M,540.34M,247.63M,292.72M,76.27M,97.02M,48.31M,5.018M,27.51M,6.677M,-20.83M,,221.60M,71.11M,6.677M,27.51M,-20.83M,-0.126M,-20.83M,50.16M,-11.05M,61.21M,0.00,,0.00,61.21M,58.20M,153.84M,76.18M,77.66M,0.3,0.0,,0.2852,0.3,0.28,0.0,,0.2662,0.28,203.29M,217.98M,0.3585
2015-09,541.39M,541.39M,240.44M,300.95M,80.26M,95.26M,43.84M,-6.648M,25.64M,6.405M,-19.24M,,219.35M,81.60M,6.405M,25.64M,-19.24M,-8.40M,-19.24M,53.96M,-10.94M,64.90M,0.00,,0.00,64.90M,68.89M,150.71M,71.11M,79.60M,0.32,0.0,,0.3395,0.32,0.3,0.0,,0.3184,0.3,204.28M,217.10M,0.358
2015-06,533.95M,533.95M,224.94M,309.02M,66.85M,84.68M,34.61M,-1.557M,24.05M,5.528M,-18.52M,,186.14M,122.88M,5.528M,24.05M,-18.52M,15.21M,-18.52M,119.56M,-10.90M,130.46M,0.00,,0.207M,130.67M,132.08M,203.99M,60.38M,143.62M,0.65,0.0,,0.657,0.65,0.6,0.0,,0.6065,0.6,202.23M,216.77M,0.3575
2015-03,543.21M,543.21M,229.58M,313.63M,67.78M,87.66M,47.09M,-51.39M,20.11M,5.33M,-14.78M,,202.53M,111.10M,5.33M,20.11M,-14.78M,-34.30M,-14.78M,62.02M,-36.56M,98.58M,,,0.822M,99.40M,130.24M,155.32M,73.19M,82.14M,0.49,,,0.6428,0.49,0.45,,,0.5896,0.45,201.73M,220.94M,0.35700000000000004
