,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,284.70M,284.70M,1.213B,,1.213B,249.40M,190.10M,223.10M,662.60M,,,214.50M,2.374B,,,,,,3.302B,-2.068B,1.234B,1.059B,194.10M,1.253B,203.30M,655.70M,3.346B,5.721B,932.80M,,932.80M,218.70M,1.152B,124.10M,124.10M,,,540.40M,1.816B,2.02B,2.02B,111.40M,111.40M,438.80M,,2.570B,4.386B,124.10M,3.206B,850.30M,2.451B,,,-393.90M,1.335B
2020-06,262.60M,262.60M,1.115B,,1.115B,279.00M,202.30M,245.30M,726.60M,,,220.80M,2.325B,,,,,,3.236B,-2.007B,1.229B,1.040B,195.50M,1.235B,211.10M,651.90M,3.327B,5.652B,956.50M,,956.50M,175.30M,1.132B,268.60M,268.60M,,,509.10M,1.910B,1.998B,1.998B,113.30M,113.30M,417.40M,,2.528B,4.438B,124.10M,3.100B,840.00M,2.447B,,,-403.20M,1.214B
2020-03,742.00M,742.00M,1.222B,,1.222B,280.60M,202.80M,239.90M,723.30M,,,225.80M,2.914B,,,,,,3.193B,-1.961B,1.232B,1.028B,197.60M,1.226B,224.80M,664.80M,3.347B,6.261B,1.031B,,1.031B,189.20M,1.22B,832.30M,832.30M,,,507.80M,2.560B,1.988B,1.988B,122.90M,122.90M,416.50M,,2.527B,5.088B,124.10M,3.065B,852.50M,2.456B,,,-412.00M,1.173B
2019-12,253.70M,253.70M,1.212B,,1.212B,231.60M,201.00M,230.40M,663.00M,,,211.70M,2.341B,0.0,25.10M,687.40M,2.317B,142.20M,3.172B,-1.961B,1.211B,930.80M,126.50M,1.057B,225.40M,654.80M,3.148B,5.489B,1.066B,71.40M,1.138B,352.80M,1.490B,440.20M,440.20M,,,323.30M,2.254B,1.499B,1.499B,110.30M,110.30M,421.40M,,2.031B,4.285B,124.10M,2.979B,874.00M,2.425B,,,-348.10M,1.204B
2019-09,224.20M,224.20M,1.224B,,1.224B,231.90M,204.70M,228.40M,665.00M,,,220.00M,2.333B,,,,,,3.083B,-1.941B,1.142B,920.40M,129.10M,1.050B,195.80M,617.90M,3.005B,5.339B,1.041B,,1.041B,192.00M,1.233B,514.20M,514.20M,,,520.50M,2.268B,1.484B,1.484B,102.70M,102.70M,427.00M,,2.013B,4.281B,124.10M,2.862B,864.80M,2.394B,,,-399.30M,1.057B
2019-06,247.30M,247.30M,1.232B,,1.232B,235.50M,202.50M,233.00M,671.00M,,,226.90M,2.377B,,,,,,3.091B,-1.947B,1.144B,940.80M,136.30M,1.077B,180.20M,611.40M,3.012B,5.390B,1.055B,,1.055B,169.40M,1.225B,558.50M,558.50M,,,495.20M,2.278B,1.503B,1.503B,112.10M,112.10M,433.30M,,2.049B,4.327B,124.10M,2.762B,857.70M,2.312B,,,-369.80M,1.062B
2019-03,225.70M,225.70M,1.199B,,1.199B,242.30M,203.20M,242.80M,688.30M,,,211.00M,2.324B,,,,,,3.083B,-1.938B,1.145B,937.20M,140.60M,1.078B,191.50M,615.80M,3.03B,5.354B,1.034B,,1.034B,159.10M,1.193B,350.30M,350.30M,,,497.40M,2.040B,1.760B,1.760B,120.40M,120.40M,441.00M,,2.321B,4.362B,124.10M,2.664B,851.50M,2.288B,,,-359.40M,991.90M
2018-12,232.00M,232.00M,1.190B,,1.190B,236.20M,196.70M,218.50M,651.40M,,,224.90M,2.298B,0.0,28.00M,643.10M,2.231B,151.50M,3.054B,-1.916B,1.137B,941.80M,144.00M,1.086B,205.30M,451.00M,2.880B,5.178B,1.030B,58.10M,1.089B,347.70M,1.436B,194.60M,194.60M,,,363.10M,1.994B,1.772B,1.772B,122.10M,122.10M,334.70M,,2.228B,4.222B,124.10M,2.865B,872.00M,2.224B,,,-682.00M,955.10M
2018-09,217.60M,217.60M,1.236B,,1.236B,254.80M,203.30M,224.40M,682.50M,,,219.40M,2.359B,,,,,,2.992B,-1.906B,1.087B,953.10M,148.60M,1.102B,195.10M,439.40M,2.823B,5.182B,1.048B,,1.048B,203.60M,1.252B,571.70M,571.70M,,,534.90M,2.358B,1.295B,1.295B,127.80M,127.80M,353.50M,,1.777B,4.135B,124.10M,2.809B,862.40M,2.008B,,,-740.40M,1.047B
2018-06,215.80M,215.80M,1.236B,,1.236B,243.70M,196.70M,220.40M,660.80M,,,213.40M,2.328B,,,,,,2.974B,-1.890B,1.084B,955.00M,154.70M,1.110B,199.00M,441.80M,2.835B,5.163B,1.034B,,1.034B,176.90M,1.211B,384.30M,384.30M,,,513.60M,2.109B,1.290B,1.290B,157.70M,157.70M,584.60M,,2.032B,4.141B,124.10M,2.702B,854.50M,1.939B,,,-719.70M,1.022B
