,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.729B,1.729B,1.245B,484.20M,,258.30M,4.40M,-10.90M,15.60M,-15.60M,258.30M,225.90M,15.60M,-15.60M,-12.50M,-15.60M,197.80M,46.30M,150.50M,,,150.50M,160.00M,265.40M,52.00M,213.40M,1.8,,,1.9140000000000001,1.8,1.79,,,1.903,1.79,83.50M,84.00M,0.58
2020-06,1.528B,1.528B,1.146B,382.90M,,219.40M,1.80M,-39.30M,20.00M,-20.00M,219.40M,163.50M,20.00M,-20.00M,-40.20M,-20.00M,103.30M,22.20M,79.70M,,,79.70M,110.55M,173.60M,50.30M,123.30M,0.96,,,1.33,0.96,0.95,,,1.318,0.95,83.40M,83.80M,0.58
2020-03,1.723B,1.723B,1.238B,485.10M,,281.00M,,-2.40M,18.80M,-18.80M,281.00M,204.10M,18.80M,-18.80M,-4.40M,-18.80M,180.90M,46.30M,134.20M,,,134.20M,135.99M,247.20M,47.50M,199.70M,1.61,,,1.631,1.61,1.6,,,1.621,1.6,83.30M,84.10M,0.58
2019-12,1.773B,1.773B,1.288B,484.70M,,273.10M,3.40M,-31.50M,17.80M,-17.80M,273.10M,211.60M,17.80M,-17.80M,-28.50M,-17.80M,165.30M,2.20M,162.50M,,,162.50M,193.58M,228.70M,45.60M,183.10M,1.949,,,2.322,1.949,1.92,,,2.287,1.92,83.40M,84.70M,0.58
2019-09,1.761B,1.761B,1.290B,471.70M,,265.30M,,-6.70M,19.00M,-19.00M,265.30M,206.40M,19.00M,-19.00M,-7.50M,-19.00M,179.90M,34.60M,144.60M,,,144.60M,150.01M,242.90M,44.00M,198.90M,1.72,,,1.784,1.72,1.71,,,1.774,1.71,84.00M,84.80M,0.58
2019-06,1.796B,1.796B,1.313B,482.30M,,265.70M,1.40M,-7.50M,19.50M,-19.50M,265.70M,216.60M,19.50M,-19.50M,-8.40M,-19.50M,188.70M,44.90M,143.40M,,,143.40M,149.12M,253.10M,44.90M,208.20M,1.7,,,1.768,1.7,1.69,,,1.757,1.69,84.30M,85.10M,0.58
2019-03,1.740B,1.740B,1.275B,465.40M,,276.30M,,-7.50M,19.50M,-19.50M,276.30M,189.10M,19.50M,-19.50M,-454.00M,-19.50M,-284.40M,-138.40M,-146.90M,,,-146.90M,-141.42M,-220.40M,44.50M,-264.90M,-1.74,,,-1.675,-1.74,-1.74,,,-1.675,-1.74,84.30M,84.30M,0.52
2018-12,1.769B,1.769B,1.297B,471.50M,,274.50M,1.00M,-3.00M,16.30M,-16.30M,274.50M,197.00M,16.30M,-16.30M,-92.90M,-16.30M,87.80M,-9.50M,97.10M,,,97.10M,99.29M,149.10M,45.00M,104.10M,1.146,,,1.172,1.146,1.11,,,1.135,1.11,86.10M,87.10M,0.52
2018-09,1.760B,1.760B,1.300B,459.20M,,270.50M,0.70M,3.00M,14.70M,-14.70M,270.50M,188.70M,14.70M,-14.70M,-6.00M,-14.70M,168.00M,17.70M,149.50M,,,149.50M,146.82M,229.40M,46.70M,182.70M,1.71,,,1.679,1.71,1.69,,,1.66,1.69,87.30M,88.50M,0.52
2018-06,1.854B,1.854B,1.353B,501.40M,,287.50M,0.60M,-57.10M,14.30M,-14.30M,287.50M,213.90M,14.30M,-14.30M,-59.70M,-14.30M,139.90M,43.90M,95.60M,,,95.60M,134.77M,199.00M,44.80M,154.20M,1.09,,,1.536,1.09,1.07,,,1.51,1.07,87.90M,89.00M,0.52
