,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-06,89.40M,,,,2.20M,38.90M,11.50M,50.40M,50.40M,-0.60M,,,-0.10M,,-50.50M,-50.50M,90.80M,-32.90M,11.30M,-21.60M,,-0.60M,,-6.80M,-29.00M,,,-46.50M,0.40M,,0.40M,,-42.00M,,4.40M,-83.70M,53.00M,-21.90M,-0.10M,31.00M,,0.40M,,,
2005-03,57.70M,,,,0.30M,38.20M,11.60M,49.80M,49.80M,-0.60M,,,-4.50M,,-105.40M,-105.40M,-2.70M,-43.90M,5.20M,-38.70M,,,,0.90M,-37.80M,,,43.70M,2.70M,,2.70M,,-41.90M,,4.00M,8.50M,84.80M,-32.00M,0.20M,53.00M,,2.70M,,,
2004-12,83.60M,,,,2.20M,37.90M,11.20M,49.10M,49.10M,84.30M,,,-25.20M,,18.60M,-9.80M,184.20M,-63.30M,0.00,-63.30M,,-0.70M,,-6.90M,-70.90M,,,-68.70M,4.20M,-0.20M,4.00M,,-42.00M,,6.20M,-100.50M,69.90M,12.80M,2.10M,84.80M,,4.20M,,,-0.20M
2004-09,75.00M,,,,1.60M,35.90M,10.60M,46.50M,46.50M,-1.40M,,,-2.40M,,33.10M,33.10M,152.40M,-38.40M,2.40M,-36.00M,,-12.00M,,-10.70M,-58.70M,,,-16.10M,0.90M,-0.10M,0.80M,,-40.90M,,4.20M,-52.00M,28.00M,41.70M,0.20M,69.90M,,0.90M,,,-0.10M
2004-06,68.50M,,,,2.00M,36.50M,9.90M,46.40M,46.40M,9.40M,,,,,-11.50M,-11.50M,114.80M,-39.30M,4.90M,-34.40M,,0.00,,-4.80M,-39.20M,,,-47.40M,5.90M,-0.10M,5.80M,,-40.80M,,3.90M,-78.50M,31.30M,-2.90M,-0.40M,28.00M,,5.90M,,,-0.10M
2004-03,52.60M,,,,6.10M,36.90M,9.30M,46.20M,46.20M,0.80M,,,,,-40.20M,-40.20M,65.50M,-37.90M,0.90M,-37.00M,,-2.30M,,-8.80M,-48.10M,,,13.10M,8.10M,-0.30M,7.80M,,-40.90M,,3.90M,-16.10M,29.50M,1.30M,0.50M,31.30M,,8.10M,,,-0.30M
2003-12,59.30M,,,,-12.50M,41.30M,9.40M,50.70M,50.70M,-9.70M,,,,,76.90M,27.90M,81.80M,-78.10M,67.20M,-10.90M,,2.60M,,11.00M,2.70M,,,-57.20M,3.20M,-0.20M,3.00M,,-40.90M,,6.10M,-89.00M,31.60M,-4.50M,2.40M,29.50M,,3.20M,,,-0.20M
2003-09,70.50M,,,,-5.50M,35.80M,9.00M,44.80M,44.80M,8.30M,,,,,-4.90M,-4.90M,113.20M,-44.60M,2.00M,-42.60M,,-1.90M,,-9.30M,-53.80M,,,-33.10M,0.10M,-0.10M,0.00,,-39.70M,,3.80M,-69.00M,42.90M,-9.60M,-1.70M,31.60M,,0.10M,,,-0.10M
2003-06,67.30M,,,,3.60M,34.20M,8.20M,42.40M,42.40M,8.30M,,,,,-3.50M,-3.50M,118.10M,-63.20M,0.60M,-62.60M,,-1.00M,,-2.80M,-66.40M,,,-9.40M,0.50M,0.10M,0.60M,,-39.80M,,4.00M,-44.60M,33.20M,7.10M,2.60M,42.90M,,0.50M,,,0.10M
2003-03,70.80M,,,,,34.80M,8.80M,43.60M,43.60M,-10.70M,,,,,-68.50M,-68.50M,35.20M,-40.50M,4.40M,-36.10M,,-6.60M,,-7.60M,-50.30M,,,58.70M,1.70M,-0.10M,1.60M,,-39.80M,,4.20M,24.70M,22.80M,9.60M,0.80M,33.20M,,1.70M,,,-0.10M
