,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-03,89.60M,,,,0.60M,29.00M,15.30M,44.30M,44.30M,,,7.50M,12.80M,,,-172.30M,-6.30M,-27.20M,0.10M,-25.10M,-2.00M,0.00,-3.80M,,-30.90M,-0.50M,169.40M,168.90M,,-95.60M,-95.60M,-33.00M,-33.00M,16.00M,-9.20M,47.10M,158.80M,9.90M,0.90M,169.60M,,,169.40M,-0.50M,-95.60M
2015-12,57.00M,,,,1.30M,29.90M,15.60M,45.50M,45.50M,,,7.90M,11.20M,,,58.70M,191.50M,-52.90M,0.50M,-45.70M,-6.70M,,-0.30M,0.00,-52.70M,-1.20M,11.40M,10.20M,,-123.80M,-123.80M,-33.50M,-33.50M,25.60M,1.10M,-120.40M,143.80M,18.40M,-3.40M,158.80M,,,0.00,10.20M,-123.80M
2015-09,81.70M,,,,-0.20M,30.40M,15.70M,46.10M,46.10M,,,5.20M,12.20M,,,-44.90M,111.80M,-38.20M,4.30M,-28.90M,-5.00M,,0.10M,0.00,-33.80M,-0.70M,-94.00M,-94.70M,,-47.00M,-47.00M,-33.90M,-33.90M,17.10M,2.80M,-155.70M,225.70M,-77.70M,-4.20M,143.80M,,,0.00,-94.70M,-47.00M
2015-06,63.70M,,,0.00,10.00M,31.70M,15.70M,47.40M,47.40M,,,5.80M,13.10M,,,15.70M,165.80M,-33.70M,0.00,-31.10M,-2.60M,,0.10M,1.50M,-32.10M,-5.30M,-80.00M,-85.30M,,-27.70M,-27.70M,-33.90M,-33.90M,45.30M,4.40M,-97.20M,189.00M,36.50M,0.20M,225.70M,,,-64.20M,-21.10M,-27.70M
2015-03,71.90M,,,,1.10M,33.20M,16.10M,49.30M,49.30M,,,7.40M,13.60M,,,-153.50M,4.60M,-26.70M,2.80M,-22.50M,-1.40M,,-0.40M,,-24.30M,-0.20M,64.20M,64.00M,,-33.80M,-33.80M,-31.80M,-31.80M,16.00M,-8.40M,6.00M,207.20M,-13.70M,-4.50M,189.00M,,,64.20M,-0.20M,-33.80M
2014-12,70.60M,0.40M,6.90M,,7.30M,36.50M,16.60M,53.10M,53.10M,,0.00,6.20M,12.10M,,,-7.10M,154.70M,-52.20M,0.20M,-46.90M,-5.10M,,0.30M,,-51.70M,-0.50M,40.20M,39.70M,,-108.20M,-108.20M,-31.70M,-31.70M,11.60M,0.40M,-88.20M,195.60M,14.80M,-2.70M,207.20M,,,40.20M,-0.50M,-108.20M
2014-09,60.80M,3.00M,3.30M,,2.50M,33.00M,16.10M,49.10M,49.10M,,3.00M,7.60M,6.20M,,,38.30M,190.40M,-40.90M,3.50M,-29.80M,-7.60M,,-0.10M,,-37.50M,-0.30M,-58.70M,-59.00M,,-93.90M,-93.90M,-32.50M,-32.50M,4.20M,0.30M,-180.90M,221.90M,-28.00M,1.70M,195.60M,,,-58.70M,-0.30M,-93.90M
2014-06,42.50M,,,,3.00M,32.40M,17.00M,49.40M,49.40M,,,8.50M,14.10M,,,-2.20M,117.80M,-34.30M,0.50M,-28.30M,-5.50M,,0.00,,-33.80M,-0.40M,54.60M,54.20M,,-94.20M,-94.20M,-33.10M,-33.10M,5.90M,0.50M,-66.70M,205.10M,17.30M,-0.50M,221.90M,,,54.60M,-0.40M,-94.20M
2014-03,71.20M,,,,0.80M,33.60M,16.40M,50.00M,50.00M,,,6.00M,11.80M,,,-255.10M,-108.00M,-47.60M,0.10M,-38.60M,-8.90M,,0.10M,,-47.40M,-0.40M,90.40M,90.00M,,-59.20M,-59.20M,-27.80M,-27.80M,12.50M,-3.20M,12.30M,351.60M,-143.10M,-3.40M,205.10M,,,90.40M,-0.40M,-59.20M
2013-12,40.10M,2.90M,,,2.70M,30.70M,18.20M,48.90M,48.90M,,,8.60M,11.00M,,,85.20M,223.90M,-67.70M,7.90M,-42.20M,-17.60M,-2.80M,-0.50M,0.00,-63.10M,-0.50M,-37.00M,-37.50M,,-59.70M,-59.70M,-27.90M,-27.90M,4.60M,0.40M,-120.10M,309.60M,40.70M,0.80M,351.10M,,,0.00,-37.50M,-59.70M
2013-09,46.50M,-52.20M,,,-48.60M,35.40M,17.00M,52.40M,52.40M,,0.00,7.80M,-0.90M,,,-12.80M,49.00M,-39.20M,5.00M,-24.20M,-10.00M,484.00M,0.50M,0.00,450.30M,-0.60M,-321.00M,-321.60M,,-74.90M,-74.90M,-28.40M,-28.40M,7.80M,-0.60M,-417.70M,211.60M,97.80M,0.20M,309.60M,16.20M,,0.00,-321.60M,-74.90M
2013-06,68.80M,,,,-9.60M,34.50M,17.30M,51.80M,51.80M,,,8.40M,13.50M,,,-24.50M,112.40M,-44.70M,24.90M,-3.00M,-16.80M,,0.00,0.80M,-19.00M,249.50M,-212.40M,37.10M,,-87.10M,-87.10M,-28.60M,-28.60M,6.00M,-1.90M,-74.50M,207.70M,2.70M,1.20M,211.60M,-16.20M,,114.90M,-77.80M,-87.10M
2013-03,57.80M,,,,0.40M,35.00M,16.50M,51.50M,51.50M,,,9.20M,14.70M,,,-204.80M,-65.70M,-29.80M,0.90M,-21.10M,-7.80M,,0.10M,,-28.80M,-0.30M,135.10M,134.80M,,-61.80M,-61.80M,-27.10M,-27.10M,26.40M,-6.20M,66.10M,235.40M,-28.40M,0.70M,207.70M,,,135.10M,-0.30M,-61.80M
2012-12,49.00M,0.00,,,4.10M,38.90M,17.60M,56.50M,56.50M,,,8.20M,9.50M,,,162.20M,299.30M,-61.60M,0.30M,-38.10M,-23.20M,0.00,-11.30M,,-72.60M,-0.40M,-153.10M,-153.50M,,-7.00M,-7.00M,-26.90M,-26.90M,4.60M,-0.40M,-183.20M,190.70M,43.50M,1.20M,235.40M,,,-153.10M,-0.40M,-7.00M
2012-09,58.30M,0.00,,,1.30M,36.00M,17.50M,53.50M,53.50M,,,9.30M,11.30M,,,32.10M,173.10M,-33.50M,0.50M,-17.00M,-16.00M,0.00,0.40M,,-32.60M,-0.60M,0.20M,-0.40M,,-86.00M,-86.00M,-27.20M,-27.20M,0.90M,-0.10M,-112.80M,161.40M,27.70M,1.60M,190.70M,,,0.20M,-0.60M,-86.00M
2012-06,64.20M,,,,1.20M,34.70M,16.50M,51.20M,51.20M,,,9.60M,10.00M,,,-109.20M,30.30M,-27.20M,3.40M,-15.90M,-7.90M,0.80M,1.50M,,-21.50M,-0.20M,61.10M,60.90M,,-70.00M,-70.00M,-27.90M,-27.90M,0.80M,0.00,-36.20M,190.70M,-27.40M,-1.90M,161.40M,0.00,,61.10M,-0.20M,-70.00M
2012-03,43.90M,,,,5.10M,40.50M,18.90M,59.40M,59.40M,,,11.80M,11.00M,,,-126.60M,10.70M,-36.00M,,-24.00M,-12.00M,,2.70M,,-33.30M,-0.60M,134.10M,133.50M,,-72.20M,-72.20M,-28.40M,-28.40M,3.90M,-2.20M,34.60M,178.00M,12.00M,0.70M,190.70M,,,134.10M,-0.60M,-72.20M
2011-12,22.20M,,,,,41.20M,20.60M,61.80M,61.80M,,-9.40M,9.70M,4.80M,,,198.90M,302.70M,-40.40M,,-28.90M,-6.90M,,1.30M,0.00,-13.00M,-0.20M,-203.50M,-203.70M,,0.00,0.00,-26.50M,-26.50M,0.00,-1.80M,-232.00M,119.70M,57.70M,0.60M,178.00M,,,-57.10M,-146.60M,0.00
2011-09,167.90M,,,,,42.20M,19.20M,61.40M,61.40M,,0.90M,9.20M,-108.30M,,,78.80M,215.20M,-26.00M,,-23.00M,-3.00M,,-0.30M,5.00M,-21.30M,-0.30M,-173.60M,-173.90M,,0.00,0.00,-80.00M,-26.60M,0.90M,-0.30M,-199.90M,125.40M,-6.00M,0.30M,119.70M,,,-173.60M,-0.30M,0.00
2011-06,,,,,,42.20M,20.80M,63.00M,63.00M,,0.60M,9.00M,82.80M,,,-135.70M,22.30M,-37.50M,,-25.10M,-12.40M,,0.10M,,-37.40M,-0.30M,44.80M,44.50M,,0.00,0.00,,-26.70M,1.10M,0.00,18.90M,120.40M,3.80M,1.20M,125.40M,,,44.80M,-0.30M,0.00
2011-03,,,,,,42.40M,17.90M,60.30M,60.30M,,7.90M,11.70M,56.80M,,,-259.00M,-117.50M,-31.70M,,-28.00M,-3.70M,,-0.80M,,-32.50M,-0.70M,185.90M,185.20M,,-13.50M,-13.50M,,-26.70M,1.90M,-5.40M,141.50M,127.50M,-8.50M,1.40M,120.40M,,,185.90M,-0.70M,-13.50M
2010-12,316.90M,,,,7.90M,40.50M,19.20M,59.70M,59.70M,,0.50M,9.30M,-192.60M,,,0.30M,203.10M,-41.40M,,-33.40M,-8.00M,,0.60M,,-40.80M,-0.50M,-62.70M,-63.20M,,-108.70M,-108.70M,,-22.20M,0.40M,0.50M,-193.20M,157.80M,-30.90M,0.60M,127.50M,,,0.00,-98.90M,-108.70M
2010-09,,,,,0.00,46.60M,19.70M,66.30M,66.30M,,-1.60M,9.70M,75.70M,,,-11.20M,140.50M,-29.40M,,-22.70M,-6.70M,,-0.20M,,-29.60M,-0.50M,-83.80M,-84.30M,,0.00,0.00,,-22.00M,0.50M,1.50M,-104.30M,148.90M,6.60M,2.30M,157.80M,,,-48.10M,-0.50M,0.00
2010-06,-54.70M,,,,1.20M,41.70M,18.10M,59.80M,59.80M,,0.40M,8.70M,150.40M,,,0.60M,171.00M,-18.60M,,-13.70M,-4.90M,,0.10M,,-18.50M,-75.30M,-42.40M,-117.70M,,0.00,0.00,,-22.10M,0.60M,-7.30M,-146.50M,143.60M,6.00M,-0.70M,148.90M,,,207.40M,-325.10M,0.00
2010-03,54.70M,,,,,44.10M,17.70M,61.80M,61.80M,,0.70M,7.50M,9.60M,,,-171.20M,-27.90M,-19.20M,,-13.70M,-5.50M,,0.30M,,-18.90M,-15.10M,90.50M,75.40M,,0.00,0.00,,-22.40M,1.00M,-1.50M,52.50M,138.10M,5.70M,-0.20M,143.60M,,,90.50M,-15.10M,0.00
2009-12,49.90M,,,,0.00,49.40M,23.90M,73.30M,73.30M,,7.10M,6.00M,7.30M,,,108.50M,252.10M,-34.20M,,-24.00M,-10.20M,,-0.80M,0.00,-35.00M,-15.10M,-134.20M,-149.30M,,,,,-22.60M,0.60M,0.20M,-171.10M,91.90M,46.00M,0.20M,138.10M,,,-192.30M,43.00M,
2009-09,62.50M,,,,0.00,44.20M,17.20M,61.40M,61.40M,,12.90M,6.60M,10.90M,,,29.80M,184.10M,-21.50M,,-16.00M,-5.50M,,0.20M,0.00,-21.30M,-19.80M,-123.50M,-143.30M,,,,,-22.70M,-0.20M,2.00M,-164.20M,91.90M,-1.40M,1.40M,91.90M,,,-65.40M,-77.90M,
2009-06,39.80M,,,,0.00,44.70M,16.70M,61.40M,61.40M,,2.70M,6.80M,3.70M,,,2.40M,116.80M,-21.40M,,-14.70M,-6.70M,,-0.50M,-5.00M,-26.90M,-105.10M,65.40M,-39.70M,,,,,-45.90M,0.00,2.90M,-82.70M,83.00M,7.20M,1.70M,91.90M,,,-24.40M,-15.30M,
2009-03,-898.90M,,,,21.20M,49.30M,21.90M,71.20M,71.20M,,857.30M,6.40M,10.70M,,,-51.90M,16.00M,-23.20M,,-15.00M,-8.20M,,0.60M,,-22.60M,31.70M,,31.70M,,,,,-43.70M,0.20M,-2.90M,-14.70M,105.50M,-21.30M,-1.20M,83.00M,,,89.80M,-58.10M,
