,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-09,366.96M,366.96M,53.38M,313.58M,132.64M,86.62M,4.237M,,1.853M,0.754M,-1.099M,,223.50M,90.08M,0.754M,1.853M,-1.099M,1.158M,-1.099M,90.14M,14.52M,75.63M,75.63M,74.66M,112.84M,20.84M,92.00M,,0.88,,,0.8688,0.88,,0.87,,,0.8590,0.87,,85.80M,87.22M,,AOR,
2020-06,385.66M,385.66M,53.86M,331.80M,128.70M,86.13M,4.163M,,3.04M,0.934M,-2.106M,,218.99M,112.81M,0.934M,3.04M,-2.106M,1.884M,-2.106M,112.58M,16.02M,96.56M,96.56M,94.95M,136.28M,20.65M,115.62M,,1.13,,,1.111,1.13,,1.11,,,1.091,1.11,,85.65M,86.93M,,AOR,
2020-03,304.98M,304.98M,50.12M,254.87M,130.52M,86.11M,4.162M,,3.651M,2.775M,-0.876M,,220.80M,34.07M,2.775M,3.651M,-0.876M,0.127M,-0.876M,33.32M,-12.74M,46.06M,46.06M,45.96M,57.68M,20.70M,36.98M,,0.54,,,0.5388,0.54,,0.53,,,0.5288,0.53,,85.80M,87.37M,,AOR,
2019-12,486.23M,486.23M,49.60M,436.63M,167.94M,79.15M,3.827M,,2.90M,3.186M,0.286M,,250.92M,185.72M,3.186M,2.90M,0.286M,-0.855M,0.286M,185.15M,19.30M,165.85M,165.85M,166.62M,224.81M,36.76M,188.05M,,1.95,,,1.959,1.95,,1.91,,,1.919,1.91,,85.18M,86.99M,,AOR,
2019-09,343.90M,343.90M,41.36M,302.53M,120.68M,73.02M,3.787M,,0.239M,3.188M,2.949M,,197.49M,105.05M,3.188M,0.239M,2.949M,0.833M,2.949M,108.83M,19.37M,89.46M,89.46M,88.78M,123.77M,14.70M,109.07M,,1.06,,,1.052,1.06,,1.04,,,1.032,1.04,,84.11M,85.73M,,AOR,Restated
2019-06,368.64M,368.64M,40.50M,328.14M,120.41M,75.30M,3.796M,,0.231M,2.98M,2.749M,,199.51M,128.63M,2.98M,0.231M,2.749M,-1.436M,2.749M,129.94M,20.19M,109.75M,109.75M,111.29M,144.28M,14.10M,130.17M,,1.31,,,1.328,1.31,,1.28,,,1.298,1.28,,83.98M,85.48M,,AOR,Restated
2019-03,317.13M,317.13M,34.82M,282.32M,112.17M,70.74M,3.759M,,0.091M,3.442M,3.351M,,186.67M,95.65M,3.442M,0.091M,3.351M,-0.334M,3.351M,98.67M,12.44M,86.23M,86.23M,86.68M,112.17M,13.42M,98.76M,,1.03,,,1.035,1.03,,1.01,,,1.015,1.01,,83.76M,85.49M,,AOR,Restated
2018-12,415.43M,415.43M,40.09M,375.34M,133.14M,58.90M,3.374M,,,3.745M,3.686M,,195.41M,179.94M,3.745M,,3.686M,1.44M,3.686M,185.06M,31.90M,153.16M,153.16M,151.93M,202.42M,11.91M,190.51M,,1.83,,,1.815,1.83,,1.79,,,1.776,1.79,,83.70M,85.47M,,AOR,Restated
2018-09,289.42M,289.42M,36.31M,253.11M,97.58M,59.02M,3.491M,,,3.213M,3.213M,,160.09M,93.02M,3.213M,,3.213M,-0.974M,3.213M,95.26M,5.927M,89.34M,89.34M,90.30M,106.63M,13.60M,93.02M,,1.06,,,1.071,1.06,,1.04,,,1.051,1.04,,84.16M,86.04M,,AOR,Restated
2018-06,305.91M,305.91M,40.45M,265.46M,95.06M,58.36M,3.495M,,,2.176M,2.176M,,156.91M,108.55M,2.176M,,2.176M,-1.007M,2.176M,109.72M,17.13M,92.60M,92.60M,93.49M,125.68M,17.12M,108.55M,,1.10,,,1.111,1.10,,1.08,,,1.090,1.08,,84.10M,85.99M,,AOR,Restated
2018-03,282.87M,282.87M,39.04M,243.84M,87.81M,57.53M,3.435M,,,2.285M,2.285M,,148.77M,95.06M,2.285M,,2.285M,-0.308M,2.285M,97.04M,12.76M,84.28M,84.28M,84.51M,111.67M,16.61M,95.06M,,1.00,,,1.003,1.00,,0.98,,,0.9827,0.98,,83.93M,86.15M,,AOR,Restated
2017-12,302.34M,302.34M,40.81M,261.52M,108.16M,49.22M,3.466M,,,2.135M,2.049M,,160.84M,100.68M,2.135M,,2.049M,-0.398M,2.049M,102.33M,49.74M,52.58M,52.58M,52.83M,123.47M,17.74M,105.73M,,0.62,,,0.6229,0.62,,0.61,,,0.6129,0.61,,84.56M,86.71M,,AOR,Restated
2017-09,275.58M,275.58M,35.98M,239.60M,80.02M,50.14M,3.26M,,,1.91M,1.91M,,133.42M,106.18M,1.91M,,1.91M,-0.168M,1.91M,107.92M,34.30M,73.63M,73.63M,73.77M,123.11M,16.93M,106.18M,,0.87,,,0.8717,0.87,,0.85,,,0.8516,0.85,,84.77M,86.59M,,AOR,Restated
2017-06,263.92M,263.92M,36.34M,227.59M,77.05M,49.00M,3.139M,,,1.668M,1.668M,,129.19M,98.39M,1.668M,,1.668M,-0.19M,1.668M,99.87M,30.14M,69.73M,69.73M,69.85M,114.81M,16.42M,98.39M,,0.82,,,0.8214,0.82,,0.80,,,0.8013,0.80,,85.17M,86.90M,,AOR,Restated
2017-03,253.40M,253.40M,37.03M,216.37M,73.42M,54.38M,3.107M,,,1.249M,1.249M,,130.90M,85.47M,1.249M,,1.249M,-1.154M,1.249M,85.57M,22.26M,63.31M,63.31M,64.14M,102.06M,16.59M,85.47M,,0.74,,,0.7497,0.74,,0.73,,,0.7395,0.73,,85.46M,87.22M,,AOR,Restated
2016-12,270.63M,270.63M,38.98M,231.65M,85.95M,45.56M,3.174M,,,1.099M,1.099M,,134.68M,96.97M,1.099M,,1.099M,0.001M,1.099M,98.07M,28.08M,69.98M,69.98M,69.98M,114.23M,17.27M,96.97M,,0.81,,,0.81,0.81,,0.80,,,0.80,0.80,,86.20M,87.81M,,AOR,Restated
2016-09,245.86M,245.86M,35.59M,210.28M,61.54M,45.42M,3.222M,,,1.083M,1.083M,,110.18M,100.10M,1.083M,,1.083M,-0.189M,1.083M,100.99M,31.44M,69.56M,69.56M,69.67M,117.54M,17.44M,100.10M,,0.80,,,0.8013,0.80,,0.78,,,0.7813,0.78,,86.96M,88.68M,,AOR,Restated
2016-06,246.07M,246.07M,37.01M,209.06M,64.26M,47.44M,3.201M,,,1.077M,1.077M,,114.90M,94.16M,1.077M,,1.077M,0.246M,1.077M,95.48M,25.85M,69.63M,69.63M,69.41M,111.60M,17.44M,94.16M,,0.79,,,0.7875,0.79,,0.78,,,0.7776,0.78,,87.64M,89.30M,,AOR,Restated
2016-03,225.91M,225.91M,35.28M,190.62M,57.77M,44.67M,3.158M,,,0.95M,0.95M,,105.60M,85.02M,0.95M,,0.95M,-0.194M,0.95M,85.78M,29.31M,56.47M,56.47M,56.54M,102.45M,17.43M,85.02M,,0.64,,,0.6408,0.64,,0.63,,,0.6308,0.63,,88.11M,90.08M,,AOR,Restated
