,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,75.63M,,,,20.84M,20.84M,-6.943M,38.18M,,5.315M,-48.90M,14.02M,,,-3.727M,-38.61M,94.54M,,-7.228M,,0.00,,-3.796M,-11.02M,,0.00,0.00,,0.00,0.00,11.08M,-1.378M,9.705M,,744.55M,93.22M,6.975M,844.74M,,,0.00,0.00,22.09M,1.573M,,AOR,
2020-06,96.56M,,,,20.65M,20.65M,-10.24M,34.13M,,5.687M,-6.022M,29.58M,,,-41.32M,-17.76M,131.59M,,-9.98M,,-97.85M,,-2.141M,-109.97M,,0.00,0.00,,0.00,0.00,6.158M,-2.971M,3.187M,,717.75M,24.81M,1.986M,744.55M,,,0.00,0.00,6.726M,2.784M,,AOR,
2020-03,46.06M,,,,20.70M,20.70M,-5.442M,30.94M,,6.628M,129.84M,-98.11M,,,13.67M,45.40M,147.41M,,-6.987M,,-2.348M,,-0.264M,-9.599M,,-75.00M,-75.00M,,-161.03M,-161.03M,9.716M,-62.42M,-288.74M,,872.09M,-150.92M,-3.421M,717.75M,,,-75.00M,-161.03M,6.757M,5.628M,,AOR,
2019-12,165.85M,,,,36.76M,36.76M,-1.29M,31.41M,,-13.69M,-205.75M,78.95M,,,46.84M,-79.95M,139.45M,,-19.16M,,-492.21M,,11.27M,-500.10M,,500.00M,500.00M,,0.00,0.00,5.46M,-6.015M,499.44M,,732.68M,138.80M,0.614M,872.09M,,,,0.00,13.21M,0.431M,,AOR,
2019-09,89.46M,,,,14.70M,14.70M,-6.983M,31.86M,,5.966M,16.33M,-1.441M,,,-30.08M,-15.19M,120.37M,,-8.835M,,-9.664M,,-3.672M,-22.17M,,0.00,0.00,,0.00,0.00,7.853M,-2.331M,5.522M,,631.46M,103.72M,-2.49M,732.68M,,,0.00,0.00,17.86M,0.212M,,AOR,Restated
2019-06,109.75M,,,,14.10M,14.10M,-4.851M,29.12M,,4.93M,-63.52M,9.656M,,,-12.28M,-66.14M,88.54M,,-10.05M,,-41.00M,,-8.548M,-59.59M,,0.00,0.00,,-14.26M,-14.26M,10.40M,-2.611M,-6.467M,,607.39M,22.48M,1.586M,631.46M,,,0.00,-14.26M,50.87M,0.138M,,AOR,Restated
2019-03,86.23M,,,,13.42M,13.42M,-1.387M,23.80M,,5.576M,72.35M,-48.05M,,,-0.741M,23.55M,151.58M,,-6.90M,,-244.32M,,-0.46M,-251.68M,,0.00,0.00,,-44.86M,-44.86M,10.38M,-34.61M,-69.09M,,777.14M,-169.20M,-0.552M,607.39M,,,0.00,-44.86M,4.832M,0.006M,,AOR,Restated
2018-12,153.16M,,0.00,11.91M,11.91M,11.91M,-5.50M,24.46M,,-1.629M,-160.26M,54.83M,,,54.32M,-51.11M,131.48M,,-8.685M,,0.00,,-1.933M,-10.62M,,,,,-77.01M,-77.01M,3.621M,-1.999M,-75.39M,,729.18M,45.48M,2.484M,777.14M,,,,-77.01M,13.16M,,,AOR,Restated
2018-09,89.34M,,0.00,13.60M,13.60M,13.60M,-16.23M,22.98M,,0.902M,29.80M,15.27M,,,-46.60M,-1.535M,109.96M,,-6.326M,,0.00,,-0.034M,-6.36M,,,,,-74.96M,-74.96M,10.80M,-1.914M,-66.07M,,695.89M,37.53M,-4.241M,729.18M,,,,-74.96M,27.42M,,,AOR,Restated
2018-06,92.60M,,0.00,33.74M,17.12M,17.12M,-8.698M,20.64M,,0.865M,-2.906M,-7.277M,,,-1.64M,-11.82M,111.12M,,-3.818M,,-283.03M,,-1.173M,-288.02M,,,,,0.00,0.00,13.84M,-5.647M,8.196M,,885.49M,-168.70M,-20.90M,695.89M,,,,0.00,43.26M,,,AOR,Restated
