,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,536.78M,844.74M,0.468M,845.21M,371.35M,145.10M,569.60M,43.91M,,,1.459B,,,,,206.00M,,,206.00M,,206.00M,2.492B,474.78M,2.966B,25.97M,189.23M,3.388B,4.846B,,10.58M,53.38M,63.96M,171.39M,235.36M,,,,326.49M,326.49M,,,561.85M,423.76M,101.94M,525.70M,63.73M,63.73M,,105.41M,694.84M,1.257B,,0.946M,3.589B,1.182B,1.131B,,-51.34M,3.590B,,AOR,
2020-06,518.73M,744.55M,0.433M,744.98M,343.25M,112.19M,503.29M,45.99M,,,1.294B,,,,,206.03M,,,206.03M,,206.03M,2.474B,481.69M,2.956B,24.25M,191.33M,3.378B,4.672B,,10.50M,46.67M,57.17M,161.54M,218.71M,,,,325.10M,325.10M,,,543.81M,423.68M,103.58M,527.27M,66.66M,66.66M,,96.08M,690.01M,1.234B,,0.946M,3.513B,1.144B,1.141B,,-79.38M,3.438B,,AOR,
2020-03,599.14M,717.75M,0.282M,718.03M,337.10M,141.01M,524.77M,47.90M,,,1.291B,,,,,203.30M,,,203.30M,,203.30M,2.399B,458.14M,2.857B,22.74M,152.52M,3.235B,4.526B,,12.57M,27.22M,39.80M,144.38M,184.18M,,,,352.96M,352.96M,,,537.14M,423.61M,107.04M,530.64M,69.78M,69.78M,,96.17M,696.59M,1.234B,,0.946M,3.417B,1.118B,1.154B,,-89.67M,3.292B,,AOR,
2019-12,549.64M,872.09M,0.288M,872.38M,433.48M,177.68M,637.83M,45.27M,,,1.555B,0.00,2.696M,38.10M,152.07M,105.67M,,19.88M,318.41M,-129.10M,189.31M,2.413B,476.71M,2.890B,24.08M,180.03M,3.283B,4.839B,,14.30M,46.39M,60.69M,208.10M,268.79M,75.00M,,75.00M,351.35M,351.35M,,,695.14M,423.53M,91.77M,515.30M,78.64M,78.64M,,96.43M,690.37M,1.386B,,0.946M,3.371B,1.189B,1.042B,,-65.38M,3.453B,,AOR,
2019-09,431.62M,732.68M,0.218M,732.90M,295.59M,101.94M,430.45M,42.87M,,,1.206B,,,,,174.46M,,,174.46M,,174.46M,1.772B,267.38M,2.039B,27.33M,134.76M,2.376B,3.582B,,8.172M,7.278M,15.45M,167.00M,182.44M,,,,291.38M,291.38M,,,473.83M,,91.17M,91.17M,31.20M,31.20M,,62.48M,184.86M,658.69M,,0.932M,3.205B,865.63M,1.058B,,-90.14M,2.923B,,AOR,Restated
2019-06,381.22M,631.46M,0.241M,631.70M,297.80M,119.69M,455.64M,46.01M,,,1.133B,,,,,172.80M,,,172.80M,,172.80M,1.776B,282.07M,2.058B,24.51M,124.38M,2.379B,3.513B,,9.865M,9.264M,19.13M,165.48M,184.61M,,,,321.06M,321.06M,,,505.67M,,90.42M,90.42M,36.48M,36.48M,,62.99M,189.89M,695.56M,,0.932M,3.115B,839.70M,1.069B,,-69.38M,2.817B,,AOR,Restated
2019-03,379.83M,607.39M,0.237M,607.63M,268.53M,129.92M,412.10M,43.08M,,,1.063B,,,,,163.29M,,,163.29M,,163.29M,1.748B,278.33M,2.027B,21.91M,97.70M,2.309B,3.372B,,11.50M,15.69M,27.20M,145.32M,172.52M,,,,330.89M,330.89M,,,503.41M,,87.26M,87.26M,38.37M,38.37M,,58.84M,184.47M,687.88M,,0.932M,3.006B,825.00M,1.077B,,-69.94M,2.684B,,AOR,Restated
2018-12,331.08M,777.14M,0.225M,777.36M,317.70M,167.14M,498.55M,35.26M,,,1.311B,0.00,1.759M,27.35M,138.31M,,,15.78M,183.20M,-121.55M,61.66M,1.572B,211.27M,1.784B,26.63M,82.78M,1.955B,3.266B,,7.953M,32.92M,40.87M,155.31M,196.18M,,,,328.58M,328.58M,,,524.77M,,0.00,0.00,30.08M,30.08M,,61.57M,91.65M,616.42M,,0.932M,2.919B,867.46M,1.076B,,-62.38M,2.650B,,AOR,Restated
2018-09,332.10M,729.18M,0.211M,729.39M,235.55M,93.96M,361.95M,36.22M,,,1.128B,,,,,,,,,,57.90M,1.576B,219.56M,1.795B,22.28M,53.23M,1.929B,3.056B,,6.767M,5.911M,12.68M,129.89M,142.57M,,,,272.87M,272.87M,,,415.44M,,,,29.96M,29.96M,,62.17M,92.13M,507.56M,,0.932M,2.766B,850.62M,1.008B,,-60.89M,2.549B,,AOR,Restated
2018-06,305.15M,695.89M,0.269M,696.16M,258.28M,116.12M,410.01M,36.81M,,,1.143B,,,,,,,,,,56.50M,1.575B,229.65M,1.805B,14.73M,39.10M,1.915B,3.058B,,7.598M,5.70M,13.30M,114.82M,128.12M,,,,306.88M,306.88M,,,435.00M,,,,38.77M,38.77M,0.00,77.00M,115.77M,550.77M,,0.932M,2.677B,837.32M,951.91M,,-55.79M,2.507B,,AOR,Restated
2018-03,560.67M,885.49M,4.275M,889.77M,256.56M,134.61M,405.09M,32.47M,,,1.327B,,,,,,,,,,55.81M,1.379B,146.40M,1.526B,15.45M,34.73M,1.632B,2.959B,,7.259M,4.87M,12.13M,118.24M,130.37M,,,,311.72M,311.72M,,,442.09M,,,,28.85M,28.85M,,80.86M,109.71M,551.81M,,0.932M,2.584B,833.41M,981.71M,,-29.60M,2.407B,,AOR,Restated
2017-12,568.59M,881.50M,0.286M,881.79M,124.66M,215.16M,361.48M,27.00M,,,1.270B,0.00,1.759M,26.42M,132.42M,,,13.32M,173.92M,-116.82M,57.10M,1.379B,157.62M,1.536B,42.11M,35.97M,1.671B,2.942B,,6.042M,5.76M,11.80M,156.26M,168.06M,,,,440.49M,440.49M,,,608.55M,,,,1.461M,1.461M,,85.78M,87.24M,695.79M,,0.932M,2.317B,873.36M,907.53M,,-37.84M,2.246B,,AOR,Restated
2017-09,528.13M,919.57M,7.064M,926.64M,91.36M,141.64M,251.62M,23.42M,,,1.202B,,,,,,,,,,57.16M,1.353B,155.00M,1.508B,45.11M,33.63M,1.644B,2.846B,,4.257M,4.436M,8.693M,105.93M,114.62M,,,,381.73M,381.73M,,,496.35M,,,,1.793M,1.793M,,60.61M,62.41M,558.76M,,0.932M,2.264B,865.43M,804.01M,,-39.43M,2.287B,,AOR,Restated
2017-06,487.42M,858.00M,5.486M,863.48M,83.22M,142.48M,256.40M,25.80M,,,1.146B,,,,,,,,,,53.93M,1.343B,153.64M,1.497B,39.11M,25.64M,1.615B,2.761B,,5.245M,4.129M,9.374M,93.77M,103.14M,,,,411.65M,411.65M,,,514.79M,,,,2.276M,2.276M,,54.49M,56.76M,571.55M,,0.932M,2.191B,855.78M,814.42M,,-43.58M,2.189B,,AOR,Restated
