,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.267B,44.11B,99.85B,143.96B,1.551B,,1.551B,145.51B,,,,,,,4.333B,14.65B,425.00M,15.07B,251.66B,16.13B,235.53B,99.85B,375.33B,421.88B,332.00M,332.00M,332.00M,,,,1.034B,42.01B,79.00M,42.09B,305.72B,,347.82B,363.46B,7.00M,37.65B,33.79B,16.86B,,,,3.833B,58.42B
2020-06,4.583B,55.82B,87.86B,143.68B,1.574B,,1.574B,145.25B,,,,,,,4.324B,14.64B,462.00M,15.11B,252.22B,16.83B,235.39B,87.86B,363.16B,421.30B,380.00M,380.00M,380.00M,,,,953.00M,44.33B,,44.33B,304.24B,,348.56B,365.25B,7.00M,35.36B,33.56B,16.86B,,,,3.981B,56.04B
2020-03,4.545B,24.94B,81.42B,106.36B,1.687B,,1.687B,108.05B,,,,,,,4.336B,14.64B,464.00M,15.11B,264.05B,14.07B,249.97B,81.42B,369.89B,396.88B,359.00M,359.00M,359.00M,,,,758.00M,55.28B,,55.28B,269.69B,,324.97B,340.05B,7.00M,36.55B,33.45B,16.86B,,,,3.679B,56.83B
2019-12,4.129B,13.41B,79.21B,92.62B,1.758B,,1.758B,94.38B,382.00M,3.903B,4.214B,689.00M,9.188B,-4.81B,4.378B,14.65B,474.00M,15.13B,266.21B,7.208B,259.00B,79.21B,374.86B,390.36B,439.00M,439.00M,439.00M,,,,753.00M,55.38B,,55.38B,262.70B,,318.08B,332.35B,7.00M,40.34B,32.98B,16.47B,,,,1.156B,58.01B
2019-09,4.452B,17.12B,46.17B,63.29B,1.627B,,1.627B,64.92B,,,,,,,4.311B,14.62B,472.00M,15.10B,250.60B,7.037B,243.56B,80.06B,359.65B,378.81B,370.00M,370.00M,370.00M,0.00,0.00,0.00,834.00M,49.68B,,49.68B,257.15B,,306.83B,320.58B,7.00M,39.48B,33.83B,15.53B,,,,453.00M,58.24B
2019-06,5.184B,15.11B,45.66B,60.77B,1.544B,,1.544B,62.31B,,,,,,,4.243B,14.54B,480.00M,15.02B,246.29B,7.133B,239.16B,81.13B,356.25B,373.62B,437.00M,437.00M,437.00M,0.00,0.00,0.00,796.00M,48.87B,,48.87B,254.54B,,303.41B,317.85B,7.00M,38.39B,32.26B,15.06B,,,,170.00M,55.77B
2019-03,4.572B,17.47B,45.89B,63.36B,1.615B,,1.615B,64.97B,,,,,,,4.205B,14.55B,506.00M,15.05B,241.18B,7.313B,233.86B,82.39B,352.14B,373.19B,382.00M,382.00M,382.00M,0.00,0.00,0.00,717.00M,50.02B,,50.02B,255.11B,,305.13B,319.71B,7.00M,37.03B,32.16B,15.06B,,,,-660.00M,53.48B
2018-12,4.768B,13.19B,46.15B,59.34B,1.614B,,1.614B,60.95B,386.00M,3.994B,3.865B,482.00M,8.727B,-4.536B,4.191B,14.54B,528.00M,15.07B,247.09B,7.22B,239.87B,82.92B,357.44B,372.54B,458.00M,458.00M,458.00M,,,,810.00M,58.55B,,58.55B,249.76B,,308.32B,320.87B,7.00M,35.88B,32.04B,14.99B,,,,-1.263B,51.67B
2018-09,4.547B,10.88B,47.38B,58.27B,1.518B,,1.518B,59.78B,,,,,,,4.149B,14.51B,,14.51B,240.16B,7.219B,232.94B,82.02B,349.76B,362.91B,391.00M,391.00M,391.00M,,,,775.00M,51.82B,,51.82B,247.20B,,299.02B,312.27B,7.00M,34.88B,31.98B,14.35B,,,,-1.877B,50.64B
2018-06,4.499B,12.27B,50.69B,62.96B,1.493B,,1.493B,64.46B,,,,,,,4.095B,14.53B,,14.53B,237.60B,7.368B,230.24B,84.16B,349.20B,363.99B,450.00M,450.00M,450.00M,,,,1.003B,52.76B,,52.76B,248.22B,,300.98B,314.06B,7.00M,33.63B,31.87B,13.78B,,,,-1.793B,49.93B
2018-03,4.22B,14.01B,47.16B,61.16B,1.496B,,1.496B,62.66B,,,,,,,4.055B,14.54B,,14.54B,249.75B,7.567B,242.19B,70.23B,347.04B,362.86B,353.00M,353.00M,353.00M,,,,1.009B,50.04B,,50.04B,250.85B,,300.88B,313.65B,7.00M,32.00B,31.78B,12.98B,,,,-1.599B,49.20B
2017-12,4.458B,14.04B,37.66B,51.70B,1.536B,,1.536B,53.23B,406.00M,3.302B,3.654B,902.00M,8.264B,-4.231B,4.033B,14.53B,,14.53B,255.44B,7.502B,247.94B,66.64B,349.80B,365.69B,413.00M,413.00M,413.00M,,,,989.00M,59.70B,,59.70B,243.70B,,303.41B,316.96B,7.00M,30.70B,31.66B,12.71B,,,,-926.00M,48.73B
2017-09,4.154B,8.484B,39.74B,48.23B,1.426B,,1.426B,49.65B,,,,,,,3.955B,14.53B,,14.53B,253.99B,7.418B,246.57B,68.39B,351.19B,361.40B,301.00M,301.00M,301.00M,,,,1.068B,58.64B,48.00M,58.69B,239.06B,,297.75B,311.25B,7.00M,31.95B,31.53B,12.70B,,,,-622.00M,50.15B
2017-06,3.352B,6.715B,41.12B,47.84B,1.346B,,1.346B,49.18B,,,,,,,3.825B,14.52B,,14.52B,245.08B,7.17B,237.91B,68.84B,342.23B,350.59B,376.00M,376.00M,376.00M,,,,1.334B,48.95B,46.00M,49.00B,239.76B,,288.76B,301.46B,7.00M,31.09B,31.41B,12.69B,,,,-683.00M,49.14B
2017-03,3.489B,9.315B,41.26B,50.58B,1.368B,,1.368B,51.94B,,,,,,,3.727B,14.52B,,14.52B,241.32B,6.984B,234.34B,67.43B,337.38B,348.55B,260.00M,260.00M,260.00M,,,,1.306B,47.36B,32.00M,47.39B,241.18B,,288.58B,300.51B,7.00M,30.33B,31.33B,12.68B,,,,-934.00M,48.04B
2016-12,4.185B,9.976B,40.74B,50.71B,1.351B,,1.351B,52.06B,423.00M,2.958B,3.515B,591.00M,7.487B,-3.812B,3.675B,14.52B,,14.52B,246.63B,6.503B,240.13B,66.45B,343.19B,357.03B,327.00M,327.00M,327.00M,,,,1.319B,59.47B,,59.47B,236.77B,,296.24B,309.52B,7.00M,29.77B,31.16B,12.47B,,,,-949.00M,47.51B
2016-09,3.35B,9.094B,41.51B,50.60B,1.251B,,1.251B,51.86B,,,,,,,3.561B,14.49B,,14.49B,239.01B,6.258B,232.76B,66.53B,334.43B,345.06B,237.00M,237.00M,237.00M,,,,1.316B,58.71B,33.00M,58.74B,225.98B,,284.72B,296.85B,7.00M,29.24B,30.44B,11.60B,,,,121.00M,48.21B
2016-06,3.253B,7.093B,39.96B,47.05B,1.236B,,1.236B,48.34B,,,,,,,3.556B,14.50B,,14.50B,235.82B,5.881B,229.94B,65.08B,330.47B,339.12B,301.00M,301.00M,301.00M,,,,1.30B,58.15B,33.00M,58.18B,221.06B,,279.24B,291.01B,7.00M,28.48B,29.79B,10.40B,,,,241.00M,48.11B
2016-03,3.241B,5.15B,40.09B,45.24B,1.221B,,1.221B,46.55B,,,,,,,3.542B,14.49B,,14.49B,228.86B,5.416B,223.45B,65.17B,322.93B,330.35B,217.00M,217.00M,217.00M,,,,1.134B,49.55B,33.00M,49.58B,221.78B,,271.36B,282.64B,7.00M,27.81B,29.71B,9.776B,,,,-41.00M,47.71B
2015-12,3.407B,8.023B,39.06B,47.08B,1.189B,,1.189B,48.27B,458.00M,2.674B,3.353B,514.00M,6.999B,-3.415B,3.584B,14.48B,,14.48B,230.76B,5.13B,225.62B,63.68B,323.82B,334.05B,299.00M,299.00M,299.00M,,,,1.28B,58.10B,33.00M,58.13B,217.72B,,275.86B,286.76B,6.00M,27.04B,29.66B,8.806B,,,,-616.00M,47.28B
2015-09,2.701B,6.653B,39.43B,46.08B,1.101B,,1.101B,47.37B,,,,,,,3.629B,13.98B,,13.98B,213.90B,4.847B,209.05B,63.14B,305.18B,313.70B,198.00M,198.00M,198.00M,,,,1.219B,41.73B,24.00M,41.76B,212.90B,,254.66B,266.02B,6.00M,26.41B,29.59B,8.18B,,,,-142.00M,47.68B
2015-06,2.879B,7.154B,39.14B,46.29B,1.056B,,1.056B,47.35B,,,,,,,3.602B,13.98B,,13.98B,210.77B,4.676B,206.10B,62.80B,302.04B,310.51B,262.00M,262.00M,262.00M,,,,2.15B,43.88B,,43.88B,208.78B,,252.66B,263.85B,6.00M,25.54B,29.06B,7.553B,,,,-397.00M,46.66B
2015-03,2.853B,8.891B,39.32B,48.21B,1.078B,,1.078B,49.29B,,,,,,,3.684B,13.98B,,13.98B,205.31B,4.405B,200.90B,62.56B,296.02B,306.22B,195.00M,195.00M,195.00M,,,,1.128B,40.10B,,40.10B,210.44B,,250.54B,260.49B,6.00M,24.92B,27.94B,6.928B,,,,-212.00M,45.73B
