,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,2.406B,-25.00M,-29.00M,897.00M,897.00M,154.00M,,54.00M,-1.031B,23.00M,-48.00M,98.00M,2.00M,,75.00M,0.00,2.857B,-201.00M,-201.00M,-7.00M,-13.47B,-187.00M,-13.98B,-2.036B,,-2.036B,63.00M,-2.00M,61.00M,121.00M,0.00,121.00M,-47.00M,-67.00M,-114.00M,1.00M,,-438.00M,56.56B,-11.56B,45.00B,184.00M,0.00,-2.036B,-2.00M,488.00M,856.00M
2020-06,-918.00M,0.00,-7.00M,911.00M,911.00M,-826.00M,,50.00M,399.00M,113.00M,21.00M,-371.00M,188.00M,,-49.00M,0.00,3.806B,-188.00M,-188.00M,,-5.35B,-181.00M,4.018B,-10.88B,,-10.88B,58.00M,-2.00M,56.00M,0.00,0.00,0.00,-183.00M,-90.00M,-273.00M,0.00,,23.43B,25.30B,31.26B,56.56B,58.00M,1.992B,-12.87B,-2.00M,73.00M,931.00M
2020-03,-1.34B,0.00,-4.00M,893.00M,893.00M,-748.00M,,24.00M,-751.00M,71.00M,-80.00M,1.325B,595.00M,,1.911B,1.00M,5.409B,-154.00M,-154.00M,,39.00M,-196.00M,1.041B,-1.392B,,-1.392B,63.00M,-386.00M,-323.00M,1.209B,-875.00M,334.00M,-185.00M,-55.00M,-240.00M,20.00M,,5.101B,13.75B,11.55B,25.30B,1.272B,3.243B,-4.635B,-1.261B,64.00M,1.157B
2019-12,1.176B,18.00M,21.00M,905.00M,905.00M,-224.00M,,64.00M,808.00M,-50.00M,69.00M,-1.19B,716.00M,,-455.00M,7.00M,4.12B,-256.00M,-256.00M,-8.308B,1.663B,-96.00M,-17.11B,5.797B,,5.797B,46.00M,-945.00M,-899.00M,-1.00M,-1.00B,-1.001B,-184.00M,-97.00M,-281.00M,17.00M,,9.204B,17.54B,-3.788B,13.75B,45.00M,0.00,5.797B,-1.945B,262.00M,1.101B
2019-09,1.333B,-5.00M,-1.00M,849.00M,849.00M,-57.00M,,46.00M,564.00M,-83.00M,-67.00M,601.00M,-1.156B,,-705.00M,0.00,3.412B,-235.00M,-235.00M,-85.00M,1.287B,-192.00M,-5.761B,700.00M,,700.00M,55.00M,-469.00M,-414.00M,1.463B,0.00,1.463B,-190.00M,-53.00M,-243.00M,0.00,,4.065B,15.82B,1.716B,17.54B,1.518B,5.535B,-4.835B,-469.00M,183.00M,1.278B
2019-06,1.625B,-15.00M,-66.00M,881.00M,881.00M,-76.00M,,57.00M,-1.092B,71.00M,55.00M,352.00M,1.077B,,1.555B,0.00,4.226B,-213.00M,-213.00M,,957.00M,-167.00M,-5.138B,-1.751B,,-1.751B,46.00M,-2.00M,44.00M,0.00,0.00,0.00,-188.00M,-80.00M,-268.00M,0.00,,-2.705B,19.44B,-3.617B,15.82B,46.00M,2.524B,-4.275B,-2.00M,111.00M,1.163B
2019-03,1.412B,-24.00M,-30.00M,704.00M,704.00M,61.00M,,72.00M,590.00M,-1.00M,-76.00M,899.00M,-443.00M,,379.00M,0.00,4.881B,-183.00M,-183.00M,,1.975B,-422.00M,5.013B,-8.932B,,-8.932B,52.00M,-65.00M,-13.00M,0.00,0.00,0.00,-191.00M,-52.00M,-243.00M,0.00,,-3.945B,13.49B,5.949B,19.44B,52.00M,2.739B,-11.67B,-65.00M,70.00M,1.248B
2018-12,1.261B,20.00M,11.00M,675.00M,675.00M,565.00M,,17.00M,-93.00M,-92.00M,67.00M,594.00M,-697.00M,,-128.00M,,3.94B,-205.00M,-205.00M,-600.00M,-541.00M,-346.00M,-9.747B,6.127B,,6.127B,38.00M,-638.00M,-600.00M,0.00,,0.00,-189.00M,-80.00M,-269.00M,0.00,,7.668B,11.63B,1.861B,13.49B,38.00M,7.757B,-1.63B,-638.00M,32.00M,1.052B
2018-09,1.502B,196.00M,90.00M,589.00M,589.00M,54.00M,,45.00M,-365.00M,-25.00M,-59.00M,-8.00M,260.00M,,168.00M,,3.351B,-240.00M,-240.00M,0.00,1.707B,-92.00M,-2.256B,-989.00M,,-989.00M,47.00M,-571.00M,-524.00M,0.00,,0.00,-191.00M,-53.00M,-244.00M,18.00M,,-2.763B,13.30B,-1.668B,11.63B,47.00M,1.664B,-2.653B,-571.00M,204.00M,1.085B
2018-06,1.906B,1.00M,-405.00M,582.00M,582.00M,55.00M,,41.00M,379.00M,3.00M,97.00M,-377.00M,523.00M,,246.00M,,4.08B,-224.00M,-224.00M,,-14.37B,-263.00M,-4.297B,2.826B,,2.826B,41.00M,-802.00M,-761.00M,,,,-196.00M,-80.00M,-276.00M,6.00M,,-804.00M,14.32B,-1.021B,13.30B,41.00M,2.923B,-97.00M,-802.00M,118.00M,860.00M
