,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.179B,3.179B,2.231B,947.90M,559.90M,,61.90M,0.90M,-61.00M,,559.90M,388.00M,0.90M,61.90M,-61.00M,-4.40M,-61.00M,322.60M,72.40M,250.20M,-1.00M,,-4.50M,244.70M,246.86M,455.10M,70.60M,384.50M,,1.029,-0.0042,,1.034,1.025,,1.01,-0.0042,,1.015,1.01,,240.40M,244.30M,0.53,,AOR,
2020-09,3.496B,3.496B,2.361B,1.135B,567.80M,,62.40M,1.90M,-60.50M,,567.80M,566.90M,1.90M,62.40M,-60.50M,-6.40M,-60.50M,500.00M,89.90M,410.10M,-5.50M,,-4.00M,400.60M,408.15M,636.90M,74.50M,562.40M,,1.69,-0.02,,1.699,1.67,,1.67,-0.03,,1.678,1.64,,240.40M,243.70M,0.53,,AOR,
2020-06,3.139B,3.139B,2.160B,978.30M,554.80M,,61.30M,1.80M,-59.50M,,554.80M,423.50M,1.80M,61.30M,-59.50M,-2.20M,-59.50M,361.80M,83.50M,278.30M,-36.20M,,-3.30M,238.80M,276.38M,497.30M,74.20M,423.10M,,1.15,-0.15,,1.156,1.00,,1.14,-0.15,,1.146,0.99,,240.00M,242.30M,0.53,,AOR,
2020-03,2.641B,2.641B,1.899B,742.50M,588.10M,,63.20M,,-63.20M,,588.10M,154.40M,,63.20M,-63.20M,12.60M,-63.20M,103.80M,51.00M,52.80M,-78.70M,,-3.30M,-29.20M,52.57M,242.00M,75.00M,167.00M,,0.21,-0.33,,0.2228,-0.12,,0.21,-0.33,,0.2227,-0.12,,239.50M,242.30M,0.53,,AOR,
2019-12,3.184B,3.184B,2.267B,916.80M,586.60M,,63.40M,0.20M,-63.20M,,586.60M,330.20M,0.20M,63.40M,-63.20M,-6.90M,-63.20M,260.10M,46.00M,214.10M,87.00M,,-5.00M,296.10M,209.18M,396.50M,73.00M,323.50M,,1.142,0.1003,,1.143,1.243,,1.12,0.10,,1.120,1.22,,240.10M,243.20M,0.53,,AOR,Restated
2019-09,3.471B,3.471B,2.367B,1.104B,567.80M,,65.00M,,-65.00M,,567.80M,536.50M,,65.00M,-65.00M,-4.70M,-65.00M,466.80M,80.50M,386.30M,77.10M,,-4.60M,458.80M,385.01M,604.50M,72.70M,531.80M,,1.58,0.32,,1.594,1.90,,1.57,0.31,,1.584,1.88,,241.70M,244.60M,0.53,,AOR,Restated
2019-06,3.618B,3.618B,2.463B,1.155B,587.90M,,64.50M,2.60M,-61.90M,,587.90M,566.90M,2.60M,64.50M,-61.90M,-0.50M,-61.90M,504.50M,91.90M,412.60M,47.70M,,-4.20M,456.10M,409.30M,641.20M,72.20M,569.00M,,1.69,0.19,,1.694,1.88,,1.67,0.19,,1.674,1.86,,242.10M,244.90M,0.53,,AOR,Restated
2019-03,2.804B,2.804B,1.989B,814.50M,578.00M,,52.10M,,-52.10M,,578.00M,236.50M,,52.10M,-52.10M,-16.90M,-52.10M,167.50M,20.20M,147.30M,56.40M,,-3.80M,199.90M,147.28M,290.50M,70.90M,219.60M,,0.59,0.23,,0.6056,0.82,,0.59,0.23,,0.6054,0.82,,242.50M,245.20M,0.53,,AOR,Restated
2018-12,570.70M,570.70M,479.90M,90.80M,49.40M,,49.30M,-3.90M,-53.20M,,49.40M,41.40M,-3.90M,49.30M,-53.20M,-13.40M,-53.20M,-25.20M,75.00M,-100.20M,361.60M,,-7.40M,254.00M,-108.62M,33.40M,9.30M,24.10M,,1.028,0.0223,,1.023,1.050,,1.00,0.0223,,0.9959,1.03,,244.50M,247.70M,0.53,,AOR,Restated
2018-09,4.031B,4.031B,2.718B,1.313B,725.60M,,48.50M,0.10M,-48.40M,,725.60M,587.00M,0.10M,48.50M,-48.40M,-8.60M,-48.40M,530.00M,-1.10M,531.10M,-11.70M,,-4.30M,515.10M,530.52M,663.70M,85.20M,578.50M,,2.14,-0.05,,2.155,2.09,,2.11,-0.05,,2.125,2.06,,246.40M,249.50M,0.53,,AOR,Restated
