,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,722.00M,722.00M,765.00M,,765.00M,375.00M,535.00M,910.00M,,66.00M,2.463B,,,,,2.352B,,2.352B,,2.352B,3.987B,3.34B,7.327B,,,,275.00M,9.954B,12.42B,,108.00M,86.00M,1.243B,579.00M,1.822B,,,,,1.084B,,1.084B,,,,2.906B,4.996B,,4.996B,939.00M,939.00M,,803.00M,6.738B,9.644B,,2020-10,370.00M,991.00M,,,-9.00M,2.769B,,2020-10,AOR,
2020-07,859.00M,859.00M,530.00M,45.00M,575.00M,297.00M,574.00M,871.00M,,80.00M,2.385B,0.00,75.00M,1.473B,3.463B,254.00M,274.00M,5.539B,-2.917B,2.622B,3.986B,3.35B,7.336B,,,,19.00M,9.987B,12.37B,,107.00M,24.00M,1.18B,363.00M,1.543B,,280.00M,,919.00M,1.199B,70.00M,1.269B,,,11.00M,3.075B,4.987B,191.00M,5.178B,914.00M,994.00M,462.00M,94.00M,6.728B,9.803B,,2020-07,394.00M,1.023B,,,-10.00M,2.563B,,2020-07,AOR,
2020-04,1.242B,1.242B,662.00M,,662.00M,291.00M,440.00M,731.00M,,111.00M,2.746B,,,,,2.34B,,2.34B,,2.34B,3.981B,3.362B,7.343B,,,,289.00M,9.972B,12.72B,,108.00M,45.00M,1.146B,619.00M,1.765B,,485.00M,300.00M,716.00M,1.501B,3.00M,1.504B,,,,3.269B,5.191B,,5.191B,959.00M,959.00M,,718.00M,6.868B,10.14B,,2020-04,386.00M,1.028B,,,-7.00M,2.575B,,2020-04,AOR,
2020-01,58.00M,58.00M,660.00M,,660.00M,294.00M,485.00M,779.00M,,59.00M,1.556B,,,,,2.336B,,2.336B,,2.336B,3.988B,3.373B,7.361B,,,,401.00M,10.10B,11.65B,,108.00M,3.00M,1.034B,600.00M,1.634B,,401.00M,,500.00M,901.00M,1.00M,902.00M,,,,2.536B,4.919B,,4.919B,956.00M,956.00M,,744.00M,6.619B,9.155B,,2020-01,374.00M,1.048B,,,5.00M,2.494B,,2020-01,AOR,
2019-10,61.00M,61.00M,729.00M,,729.00M,328.00M,559.00M,887.00M,,61.00M,2.053B,,,,,2.352B,,2.352B,,2.352B,3.988B,3.383B,7.371B,,,,1.334B,11.06B,13.11B,,108.00M,56.00M,1.054B,567.00M,1.621B,,,,,1.631B,,1.631B,,,183.00M,3.435B,6.706B,,6.706B,942.00M,942.00M,,737.00M,8.426B,11.86B,,2019-10,356.00M,1.053B,,,-126.00M,1.239B,,2019-10,AOR,Restated
2019-07,31.00M,31.00M,525.00M,49.00M,574.00M,271.00M,592.00M,863.00M,,71.00M,1.967B,0.00,83.00M,1.474B,3.473B,29.00M,185.00M,5.244B,-2.76B,2.484B,4.017B,3.415B,7.432B,77.00M,,,1.167B,11.18B,13.15B,,107.00M,15.00M,936.00M,367.00M,1.303B,,853.00M,,497.00M,1.35B,21.00M,1.371B,,,477.00M,3.385B,7.10B,3.00M,7.103B,924.00M,1.003B,389.00M,91.00M,8.651B,12.04B,,2019-07,372.00M,1.076B,,,-198.00M,1.103B,,2019-07,AOR,Restated
2019-04,202.00M,202.00M,753.00M,,753.00M,322.00M,562.00M,884.00M,,102.00M,2.161B,,,,,2.769B,,2.769B,,2.769B,4.702B,3.587B,8.289B,,,,549.00M,11.61B,13.77B,,107.00M,18.00M,966.00M,672.00M,1.638B,,,,,1.773B,,1.773B,,,100.00M,3.511B,7.507B,,7.507B,990.00M,990.00M,,519.00M,9.02B,12.53B,,2019-04,360.00M,1.077B,,,-174.00M,1.228B,,2019-04,AOR,Restated
2019-01,203.00M,203.00M,927.00M,,927.00M,465.00M,611.00M,1.076B,,89.00M,2.295B,,,,,3.036B,,3.036B,,3.036B,4.721B,3.752B,8.473B,,,,220.00M,11.73B,14.02B,,107.00M,24.00M,1.061B,784.00M,1.845B,,,,,1.454B,,1.454B,,,,3.299B,8.003B,,8.003B,904.00M,904.00M,,540.00M,9.447B,12.75B,,2019-01,349.00M,1.079B,,,-143.00M,1.269B,,2019-01,AOR,Restated
2018-10,205.00M,205.00M,995.00M,,995.00M,504.00M,722.00M,1.226B,,95.00M,2.521B,,,,,3.162B,,3.162B,,3.162B,4.689B,3.991B,8.68B,,,,224.00M,12.07B,14.59B,,107.00M,55.00M,1.113B,704.00M,1.817B,,,,,1.845B,,1.845B,,,,3.662B,8.001B,,8.001B,960.00M,960.00M,,549.00M,9.51B,13.17B,,2018-10,339.00M,1.084B,,,-156.00M,1.406B,,2018-10,AOR,Restated
2018-07,49.00M,49.00M,510.00M,53.00M,563.00M,312.00M,575.00M,887.00M,,71.00M,2.296B,0.00,82.00M,1.439B,3.554B,,164.00M,5.239B,-2.773B,2.466B,3.864B,3.664B,7.528B,92.00M,,2.00M,2.084B,12.23B,14.53B,,107.00M,10.00M,822.00M,351.00M,1.173B,,1.14B,,385.00M,1.525B,0.00,1.525B,,,734.00M,3.594B,7.991B,0.00,7.991B,960.00M,1.05B,347.00M,103.00M,9.562B,13.16B,,2018-07,349.00M,1.103B,,,-118.00M,1.364B,,2018-07,AOR,Restated
2018-04,199.00M,199.00M,873.00M,,873.00M,459.00M,617.00M,1.076B,,181.00M,2.329B,,,,,3.174B,,3.174B,,3.174B,4.608B,4.273B,8.881B,,,,182.00M,12.24B,14.57B,,107.00M,14.00M,969.00M,671.00M,1.64B,,,,,1.763B,,1.763B,,,,3.403B,8.08B,,8.08B,936.00M,936.00M,,736.00M,9.752B,13.16B,,2018-04,336.00M,1.104B,,,-76.00M,1.404B,,2018-04,AOR,Restated
2018-01,196.00M,196.00M,738.00M,,738.00M,392.00M,477.00M,869.00M,,125.00M,1.928B,,,,,2.518B,,2.518B,,2.518B,2.259B,1.485B,3.744B,,,,146.00M,6.408B,8.336B,,106.00M,17.00M,830.00M,523.00M,1.353B,,,,,1.659B,,1.659B,,,,3.012B,2.247B,,2.247B,383.00M,383.00M,,745.00M,3.375B,6.387B,,2018-01,321.00M,1.104B,,,-21.00M,1.942B,,2018-01,AOR,Restated
2017-10,163.00M,163.00M,766.00M,,766.00M,423.00M,578.00M,1.001B,,66.00M,1.996B,,,,,2.417B,,2.417B,,2.417B,2.086B,1.112B,3.198B,,,,135.00M,5.75B,7.746B,,107.00M,53.00M,873.00M,518.00M,1.391B,,,,,1.192B,,1.192B,,,,2.583B,2.269B,,2.269B,531.00M,531.00M,,674.00M,3.474B,6.057B,,2017-10,305.00M,1.106B,,,-85.00M,1.681B,,2017-10,AOR,Restated
2017-07,319.00M,319.00M,550.00M,55.00M,605.00M,377.00M,525.00M,902.00M,,65.00M,1.90B,0.00,64.00M,1.557B,4.243B,,179.00M,6.043B,-3.589B,2.454B,2.115B,1.118B,3.233B,69.00M,,36.00M,26.00M,5.826B,7.726B,,111.00M,20.00M,797.00M,277.00M,1.074B,,874.00M,,162.00M,1.036B,1.00M,1.037B,,,43.00M,2.395B,2.492B,7.00M,2.499B,490.00M,586.00M,508.00M,93.00M,3.686B,6.081B,,2017-07,359.00M,1.066B,,,-53.00M,1.637B,,2017-07,AOR,Restated
2017-04,313.00M,313.00M,618.00M,,618.00M,360.00M,431.00M,791.00M,,68.00M,1.79B,,,,,2.372B,,2.372B,,2.372B,2.057B,1.113B,3.17B,,,,119.00M,5.661B,7.451B,,111.00M,13.00M,692.00M,538.00M,1.23B,,,,,1.122B,,1.122B,,,,2.352B,2.27B,,2.27B,412.00M,412.00M,,927.00M,3.609B,5.961B,,2017-04,348.00M,934.00M,,,-118.00M,1.481B,,2017-04,AOR,Restated
2017-01,309.00M,309.00M,714.00M,,714.00M,373.00M,447.00M,820.00M,,53.00M,1.896B,,,,,2.375B,,2.375B,,2.375B,2.064B,1.115B,3.179B,,,,120.00M,5.674B,7.57B,,112.00M,16.00M,692.00M,559.00M,1.251B,,,,,1.185B,,1.185B,,,,2.436B,2.293B,,2.293B,402.00M,402.00M,,960.00M,3.655B,6.091B,,2017-01,334.00M,865.00M,,,-113.00M,1.47B,,2017-01,AOR,Restated
2016-10,290.00M,290.00M,841.00M,,841.00M,422.00M,542.00M,964.00M,,51.00M,2.146B,,,,,2.38B,,2.38B,,2.38B,2.259B,1.145B,3.404B,,,,109.00M,5.893B,8.039B,,111.00M,119.00M,883.00M,587.00M,1.47B,,,,,1.29B,,1.29B,,,,2.76B,2.298B,,2.298B,414.00M,414.00M,,969.00M,3.681B,6.441B,,2016-10,317.00M,745.00M,,,-107.00M,1.589B,,2016-10,AOR,Restated
2016-07,296.00M,296.00M,554.00M,72.00M,626.00M,391.00M,549.00M,940.00M,,41.00M,1.908B,0.00,58.00M,1.488B,4.042B,,176.00M,5.764B,-3.357B,2.407B,2.263B,1.152B,3.415B,47.00M,,41.00M,19.00M,5.929B,7.837B,,100.00M,22.00M,732.00M,325.00M,1.057B,,770.00M,,447.00M,1.217B,2.00M,1.219B,,,16.00M,2.555B,2.314B,,2.314B,396.00M,496.00M,786.00M,109.00M,3.749B,6.304B,,2016-07,354.00M,664.00M,,,-104.00M,1.525B,,2016-07,AOR,Restated
2016-04,383.00M,383.00M,648.00M,,648.00M,370.00M,459.00M,829.00M,,182.00M,2.042B,,,,,2.371B,,2.371B,,2.371B,2.377B,1.197B,3.574B,,,,94.00M,6.039B,8.081B,,100.00M,54.00M,641.00M,602.00M,1.243B,,,,,1.134B,,1.134B,,,,2.377B,2.552B,,2.552B,485.00M,485.00M,,993.00M,4.03B,6.407B,,2016-04,342.00M,639.00M,,,-144.00M,1.676B,,2016-04,AOR,Restated
