,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.067B,1.067B,1.048B,19.00M,,75.00M,75.00M,,,,-32.00M,,66.00M,,-66.00M,39.00M,114.00M,-95.00M,,66.00M,-66.00M,-32.00M,-66.00M,-193.00M,-90.00M,-103.00M,13.00M,,-2.00M,,-92.00M,-81.64M,172.00M,299.00M,-127.00M,,-0.29,0.04,,-0.2280,-0.25,,-0.29,0.04,,-0.2280,-0.25,,377.00M,377.00M,0.11,,AOR,
2020-06,394.00M,394.00M,901.00M,-507.00M,,79.00M,79.00M,,,0.00,0.00,,65.00M,2.00M,-69.00M,12.00M,91.00M,-598.00M,2.00M,65.00M,-69.00M,-13.00M,-69.00M,-680.00M,-3.00M,-677.00M,9.00M,,-2.00M,,-670.00M,-679.00M,-316.00M,299.00M,-615.00M,,-1.80,0.02,,-1.80,-1.78,,-1.80,0.02,,-1.80,-1.78,,377.00M,377.00M,0.11,,AOR,
2020-03,2.087B,2.087B,719.00M,1.368B,578.00M,102.00M,680.00M,,,,-2.666B,,65.00M,5.00M,-65.00M,112.00M,792.00M,576.00M,5.00M,65.00M,-65.00M,-2.618B,-65.00M,-2.107B,-417.00M,-1.69B,-125.00M,,-1.00M,,-1.816B,441.80M,-1.641B,401.00M,-2.042B,,-4.48,-0.34,,1.089,-4.82,,-4.48,-0.34,,1.089,-4.82,,383.00M,383.00M,0.09,,AOR,
2019-12,1.589B,1.589B,1.371B,218.00M,,119.00M,119.00M,,,,-11.00M,,74.00M,,-64.00M,29.00M,148.00M,70.00M,,74.00M,-64.00M,-27.00M,-64.00M,-21.00M,-33.00M,12.00M,-652.00M,,-2.00M,,-642.00M,18.03M,435.00M,382.00M,53.00M,,0.03,-1.73,,0.0513,-1.70,,0.03,-1.73,,0.0513,-1.70,,377.00M,377.00M,0.09,,AOR,
2019-09,1.746B,1.746B,1.359B,387.00M,,107.00M,107.00M,,,,-9.00M,,60.00M,,-60.00M,18.00M,125.00M,262.00M,,60.00M,-60.00M,-12.00M,-60.00M,190.00M,54.00M,136.00M,-27.00M,,0.00,,109.00M,142.48M,631.00M,381.00M,250.00M,,0.34,-0.07,,0.3565,0.27,,0.34,-0.07,,0.3564,0.27,,392.00M,394.00M,0.09,,AOR,Restated
2019-06,1.806B,1.806B,1.383B,423.00M,,114.00M,114.00M,,,0.00,-10.00M,,65.00M,7.00M,-66.00M,7.00M,121.00M,302.00M,7.00M,65.00M,-66.00M,-17.00M,-66.00M,219.00M,68.00M,151.00M,344.00M,,0.00,,495.00M,157.90M,658.00M,374.00M,284.00M,,0.37,0.83,,0.3869,1.20,,0.37,0.82,,0.3868,1.19,,409.00M,411.00M,0.09,,AOR,Restated
2019-03,1.079B,1.079B,643.00M,436.00M,750.00M,135.00M,885.00M,,,,-6.00M,,65.00M,11.00M,-60.00M,4.00M,889.00M,-453.00M,11.00M,65.00M,-60.00M,16.00M,-60.00M,-497.00M,-119.00M,-378.00M,61.00M,,0.00,,-317.00M,-373.44M,-72.00M,360.00M,-432.00M,,-0.89,0.15,,-0.8795,-0.74,,-0.89,0.15,,-0.8795,-0.74,,434.00M,434.00M,0.08,,AOR,Restated
2018-12,2.939B,2.939B,4.495B,-1.556B,,136.00M,-3.08B,,,,277.00M,,68.00M,,-59.00M,23.00M,-3.057B,1.501B,,68.00M,-59.00M,211.00M,-59.00M,1.653B,391.00M,1.262B,-113.00M,,0.00,,1.149B,1.051B,1.96B,239.00M,1.721B,,2.50,0.00,,2.035,2.50,,2.48,0.00,,2.027,2.48,,455.00M,467.00M,0.08,,AOR,Restated
2018-09,2.156B,2.156B,759.00M,1.397B,1.201B,128.00M,1.329B,,,,-2.00M,,68.00M,,-68.00M,22.00M,1.351B,46.00M,,68.00M,-68.00M,7.00M,-68.00M,-15.00M,-171.00M,156.00M,2.407B,,-26.00M,,2.537B,131.46M,395.00M,342.00M,53.00M,,0.32,4.85,,0.3230,5.17,,0.32,4.82,,0.3230,5.14,,486.00M,489.00M,0.08,,AOR,Restated
2018-06,1.922B,1.922B,748.00M,1.174B,1.149B,135.00M,1.284B,,,,-262.00M,,68.00M,,-64.00M,62.00M,1.346B,-172.00M,,68.00M,-64.00M,-247.00M,-64.00M,-483.00M,13.00M,-496.00M,161.00M,,-90.00M,,-425.00M,-394.74M,-73.00M,342.00M,-415.00M,,-0.97,0.14,,-0.5986,-0.83,,-0.97,0.14,,-0.5986,-0.83,,515.00M,515.00M,0.08,,AOR,Restated
2018-03,2.198B,2.198B,942.00M,1.256B,873.00M,199.00M,1.072B,,,,-300.00M,,78.00M,,-75.00M,49.00M,1.121B,135.00M,,78.00M,-75.00M,-305.00M,-75.00M,-245.00M,-34.00M,-211.00M,58.00M,,-44.00M,,-197.00M,46.00M,232.00M,399.00M,-167.00M,,-0.41,0.03,,0.1688,-0.38,,-0.41,0.03,,0.1688,-0.38,,520.00M,520.00M,0.06,,AOR,Restated
2017-12,3.00M,3.00M,2.859B,-2.856B,,99.00M,-2.472B,,,,19.00M,,95.00M,,-83.00M,137.00M,-2.335B,-521.00M,,95.00M,-83.00M,-83.00M,-83.00M,-687.00M,-6.00M,-681.00M,985.00M,,-121.00M,,183.00M,-820.83M,-592.00M,-131.00M,-592.00M,,0.35,1.65,,0.3140,0.35,,0.35,1.64,,0.3140,0.35,,523.00M,523.00M,0.06,,AOR,Restated
2017-09,1.933B,1.933B,818.00M,1.115B,843.00M,170.00M,1.013B,,,,170.00M,,79.00M,,-78.00M,57.00M,1.07B,45.00M,,79.00M,-78.00M,240.00M,-78.00M,207.00M,13.00M,194.00M,18.00M,,-19.00M,,193.00M,15.20M,656.00M,370.00M,286.00M,,0.37,0.00,,0.0627,0.37,,0.37,0.00,,0.0645,0.37,,520.00M,523.00M,0.06,,AOR,Restated
2017-06,2.165B,2.165B,824.00M,1.341B,849.00M,181.00M,1.03B,,,,22.00M,,82.00M,,-77.00M,71.00M,1.101B,240.00M,,82.00M,-77.00M,44.00M,-77.00M,207.00M,-5.00M,212.00M,33.00M,,-26.00M,,219.00M,116.42M,658.00M,369.00M,289.00M,,0.40,0.01,,0.2662,0.41,,0.40,0.01,,0.2670,0.41,,520.00M,523.00M,0.06,,AOR,Restated
2017-03,3.551B,3.551B,2.799B,752.00M,,231.00M,231.00M,,,,-4.00M,,128.00M,,-128.00M,95.00M,326.00M,426.00M,,128.00M,-128.00M,27.00M,-128.00M,325.00M,8.00M,317.00M,,,-14.00M,,303.00M,306.92M,981.00M,528.00M,453.00M,,0.58,,,0.5876,0.58,,0.58,,,0.5875,0.58,,519.00M,522.00M,0.06,,AOR,Restated
2016-12,2.808B,2.808B,3.908B,-1.10B,,383.00M,383.00M,,,,3.487B,,150.00M,,-152.00M,-966.00M,-583.00M,-517.00M,,150.00M,-152.00M,3.604B,-152.00M,2.935B,369.00M,2.566B,,,11.00M,,2.577B,-471.60M,3.257B,172.00M,3.085B,,0.63,,,-5.244,0.63,,0.63,,,-5.244,0.63,,519.00M,519.00M,0.06,,AOR,Restated
2016-09,2.882B,2.882B,1.941B,941.00M,,141.00M,141.00M,,,,953.00M,,154.00M,,-159.00M,372.00M,513.00M,428.00M,,154.00M,-159.00M,909.00M,-159.00M,1.178B,171.00M,1.007B,,,-14.00M,,993.00M,182.95M,1.726B,394.00M,1.332B,,1.90,,,0.3362,1.90,,1.89,,,0.3352,1.89,,518.00M,521.00M,0.06,,AOR,Restated
2016-06,2.488B,2.488B,1.897B,591.00M,,147.00M,147.00M,,,,-1.521B,,160.00M,,-163.00M,420.00M,567.00M,24.00M,,160.00M,-163.00M,-1.606B,-163.00M,-1.745B,-182.00M,-1.563B,,,-7.00M,,-1.57B,-201.10M,-1.101B,484.00M,-1.585B,,-3.04,,,-0.3973,-3.04,,-3.04,,,-0.3973,-3.04,,518.00M,518.00M,0.06,,AOR,Restated
