,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,-103.00M,,97.00M,97.00M,,,,299.00M,0.00,36.00M,,31.00M,9.00M,227.00M,,,-160.00M,10.00M,-82.00M,63.00M,58.00M,45.00M,472.00M,,-204.00M,1.00M,1.00M,,,,-202.00M,,0.00,,0.00,,0.00,0.00,,,-43.00M,-43.00M,,-3.00M,-46.00M,,1.669B,224.00M,4.00M,1.897B,,,,,0.00,0.00,170.00M,194.00M,,AOR,
2020-06,-677.00M,,593.00M,593.00M,,,,299.00M,0.00,3.00M,,19.00M,12.00M,-125.00M,,,71.00M,38.00M,81.00M,-164.00M,-99.00M,-43.00M,107.00M,,-308.00M,3.00M,2.00M,,,,-134.00M,,0.00,,0.00,,0.00,0.00,,,-42.00M,-42.00M,,3.00M,-39.00M,,1.727B,-66.00M,8.00M,1.669B,,,,,0.00,0.00,-151.00M,-64.00M,,AOR,
2020-03,-1.69B,,-619.00M,-619.00M,,,,401.00M,-311.00M,2.776B,,20.00M,8.00M,125.00M,,,-71.00M,-38.00M,-81.00M,9.00M,-56.00M,-131.00M,398.00M,,-429.00M,25.00M,21.00M,,,,-405.00M,,0.00,,0.00,,-38.00M,-38.00M,,,-34.00M,-34.00M,,-15.00M,-87.00M,,1.844B,-94.00M,-23.00M,1.727B,,,,,0.00,-38.00M,151.00M,64.00M,,AOR,
2019-12,12.00M,,157.00M,157.00M,,,,382.00M,-27.00M,3.00M,,23.00M,11.00M,-55.00M,,,56.00M,-25.00M,11.00M,31.00M,18.00M,-9.00M,570.00M,,-411.00M,43.00M,40.00M,,,,-368.00M,,0.00,,0.00,,-103.00M,-103.00M,,,-34.00M,-34.00M,,113.00M,-23.00M,,1.656B,179.00M,9.00M,1.844B,,,,,0.00,-103.00M,-10.00M,66.00M,,AOR,
2019-09,136.00M,,-56.00M,-57.00M,,,,381.00M,52.00M,13.00M,,23.00M,12.00M,52.00M,,,-102.00M,18.00M,-77.00M,145.00M,36.00M,-94.00M,502.00M,,-531.00M,9.00M,4.00M,,,,-528.00M,,0.00,,0.00,,-561.00M,-561.00M,,,-35.00M,-35.00M,,0.00,-2.168B,,3.853B,-2.194B,-3.00M,1.656B,,,,,0.00,-561.00M,16.00M,242.00M,,AOR,Restated
2019-06,151.00M,,-117.00M,-119.00M,,,,374.00M,65.00M,1.00M,,25.00M,9.00M,29.00M,,,5.00M,-9.00M,23.00M,-123.00M,-75.00M,190.00M,621.00M,,-499.00M,28.00M,15.00M,,,,2.066B,,0.00,,0.00,,-186.00M,-186.00M,,,-37.00M,-37.00M,,-4.00M,-227.00M,,1.355B,2.46B,38.00M,3.853B,,,,,0.00,-186.00M,-6.00M,-53.00M,,AOR,Restated
2019-03,-378.00M,,636.00M,591.00M,,,,360.00M,-115.00M,1.00M,,44.00M,-5.00M,-29.00M,,,-5.00M,9.00M,-23.00M,-13.00M,-61.00M,-59.00M,378.00M,,-500.00M,310.00M,300.00M,,,,-249.00M,,-162.00M,,-162.00M,,-999.00M,-999.00M,,,-34.00M,-34.00M,,-19.00M,-1.221B,,2.446B,-1.092B,1.00M,1.355B,,,,,-162.00M,-999.00M,6.00M,53.00M,,AOR,Restated
2018-12,1.262B,,-1.449B,-1.732B,,,,239.00M,396.00M,19.00M,,25.00M,3.00M,186.00M,,,-198.00M,-61.00M,-125.00M,50.00M,-148.00M,478.00M,542.00M,,-483.00M,-196.00M,-216.00M,,,,-303.00M,,-94.00M,,-94.00M,,-759.00M,-759.00M,,,-37.00M,-37.00M,,-8.00M,-898.00M,,3.121B,-659.00M,-16.00M,2.446B,,,,,-94.00M,-759.00M,9.00M,110.00M,,AOR,Restated
2018-09,156.00M,,201.00M,195.00M,,,,342.00M,-145.00M,16.00M,,25.00M,52.00M,-93.00M,,,-2.00M,4.00M,33.00M,-23.00M,-81.00M,293.00M,853.00M,,-567.00M,89.00M,70.00M,,,,2.422B,,-21.00M,,-21.00M,,-1.698B,-1.698B,,,-38.00M,-38.00M,,-3.00M,-1.689B,,1.525B,1.586B,10.00M,3.121B,,,,,-21.00M,-1.698B,31.00M,-153.00M,,AOR,Restated
2018-06,-493.00M,-50.00M,319.00M,292.00M,,,,248.00M,34.00M,207.00M,,49.00M,-34.00M,-199.00M,,,233.00M,-7.00M,31.00M,-12.00M,46.00M,156.00M,505.00M,,-464.00M,560.00M,550.00M,,,,-274.00M,,0.00,,0.00,,-428.00M,-428.00M,,,-42.00M,-42.00M,,3.00M,-403.00M,,1.47B,-172.00M,227.00M,1.525B,,,,,0.00,-428.00M,-1.00M,352.00M,,AOR,Restated
