,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,18.33B,18.33B,8.592B,9.741B,,1.435B,3.272B,,32.00M,-15.00M,160.00M,53.00M,-107.00M,4.707B,5.034B,53.00M,160.00M,-107.00M,114.00M,-107.00M,5.041B,765.00M,4.276B,4.276B,4.207B,5.201B,,2020-09,1.02,,,2020-09,1.02,,1.004,2020-09,4.188B,4.211B,2020-09,AOR,
2020-06,19.73B,19.73B,9.221B,10.51B,,1.447B,3.354B,,59.00M,-60.00M,186.00M,83.00M,-103.00M,4.801B,5.706B,83.00M,186.00M,-103.00M,332.00M,-103.00M,5.935B,830.00M,5.105B,5.105B,4.883B,6.121B,,2020-06,1.20,,,2020-06,1.19,,1.138,2020-06,4.246B,4.284B,2020-06,AOR,
2020-03,19.83B,19.83B,7.812B,12.02B,,1.541B,3.275B,,200.00M,-305.00M,135.00M,93.00M,-42.00M,4.816B,7.20B,93.00M,135.00M,-42.00M,-544.00M,-42.00M,6.614B,953.00M,5.661B,5.661B,5.895B,6.749B,,2020-03,1.33,,,2020-03,1.31,,1.364,2020-03,4.266B,4.312B,2020-03,AOR,
2019-12,20.21B,20.21B,8.331B,11.88B,,1.392B,3.384B,,-37.00M,-148.00M,108.00M,109.00M,1.00M,4.976B,6.902B,109.00M,108.00M,1.00M,1.165B,1.00M,8.068B,1.163B,6.905B,6.905B,6.467B,8.176B,,2019-12,1.60,,,2019-12,1.58,,1.480,2019-12,4.318B,4.371B,2019-12,AOR,
2019-09,19.19B,19.19B,7.895B,11.30B,,1.536B,3.208B,,81.00M,-121.00M,107.00M,114.00M,7.00M,4.744B,6.551B,114.00M,107.00M,7.00M,161.00M,7.00M,6.719B,729.00M,5.99B,5.99B,5.799B,6.826B,,2019-09,1.36,,,2019-09,1.35,,1.307,2019-09,4.391B,4.433B,2019-09,AOR,Restated
2019-06,16.50B,16.50B,6.627B,9.878B,,1.639B,3.438B,,55.00M,-223.00M,135.00M,125.00M,-10.00M,5.077B,4.801B,125.00M,135.00M,-10.00M,-67.00M,-10.00M,4.724B,545.00M,4.179B,4.179B,4.191B,4.859B,,2019-06,0.94,,,2019-06,0.92,,0.9227,2019-06,4.466B,4.523B,2019-06,AOR,Restated
2019-03,16.06B,16.06B,6.972B,9.089B,,1.583B,3.332B,,23.00M,-23.00M,138.00M,135.00M,-3.00M,4.915B,4.174B,135.00M,138.00M,-3.00M,376.00M,-3.00M,4.547B,573.00M,3.974B,3.974B,3.595B,4.685B,,2019-03,0.88,,,2019-03,0.87,,0.7869,2019-03,4.492B,4.564B,2019-03,AOR,Restated
2018-12,18.66B,18.66B,7.43B,11.23B,,1.52B,3.433B,50.00M,52.00M,-52.00M,131.00M,130.00M,-1.00M,5.003B,6.224B,130.00M,131.00M,-1.00M,-588.00M,-1.00M,5.635B,440.00M,5.195B,5.195B,5.647B,5.766B,,2018-12,1.14,,,2018-12,1.12,,1.218,2018-12,4.548B,4.62B,2018-12,AOR,Restated
2018-09,19.16B,19.16B,6.803B,12.36B,,1.605B,3.428B,50.00M,328.00M,-256.00M,109.00M,109.00M,0.00,5.083B,7.277B,109.00M,109.00M,0.00,-135.00M,0.00,7.142B,744.00M,6.398B,6.398B,6.401B,7.251B,,2018-09,1.40,,,2018-09,1.38,,1.381,2018-09,4.574B,4.648B,2018-09,AOR,Restated
2018-06,16.96B,16.96B,6.543B,10.42B,,1.725B,3.371B,50.00M,26.00M,-26.00M,116.00M,108.00M,-8.00M,5.146B,5.273B,108.00M,116.00M,-8.00M,264.00M,-8.00M,5.529B,523.00M,5.006B,5.006B,5.220B,5.645B,,2018-06,1.08,,,2018-06,1.05,,1.095,2018-06,4.649B,4.747B,2018-06,AOR,Restated
