,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,4.276B,,,-13.00M,-13.00M,2.677B,446.00M,3.123B,3.123B,,,452.00M,,452.00M,301.00M,-299.00M,70.00M,147.00M,,,122.00M,8.179B,,2020-09,-3.716B,-3.716B,,153.00M,2.451B,346.00M,,2020-09,-1.75B,0.00,-1.75B,,-10.00B,-10.00B,-1.404B,-1.404B,385.00M,-24.00M,,2020-09,8.736B,-5.38B,3.356B,,2020-09,,0.00,-1.75B,-10.00B,207.00M,,2020-09,AOR,
2020-06,5.105B,,,-226.00M,-226.00M,2.625B,438.00M,3.063B,3.063B,,,492.00M,,492.00M,1.02B,277.00M,-74.00M,-662.00M,,,2.162B,11.16B,,2020-06,-3.408B,-3.408B,,166.00M,-7.129B,-239.00M,,2020-06,-1.70B,0.00,-1.70B,,0.00,0.00,-1.403B,-1.403B,9.00M,-97.00M,,2020-06,11.38B,-2.644B,8.736B,,2020-06,,0.00,-1.70B,0.00,185.00M,,2020-06,AOR,
2020-03,5.661B,,,134.00M,134.00M,2.623B,427.00M,3.05B,3.05B,,,449.00M,,449.00M,-796.00M,-548.00M,-87.00M,870.00M,,,-2.575B,6.158B,,2020-03,-3.268B,-3.268B,,20.00M,-125.00M,-363.00M,,2020-03,9.172B,0.00,9.172B,,-4.229B,-4.229B,-1.408B,-1.408B,503.00M,726.00M,,2020-03,4.194B,7.186B,11.38B,,2020-03,,10.25B,-1.075B,-4.229B,67.00M,,2020-03,AOR,
2019-12,6.905B,,,-497.00M,-1.187B,2.557B,411.00M,2.968B,2.968B,,,415.00M,,415.00M,-779.00M,-105.00M,674.00M,-32.00M,,,1.029B,9.888B,,2019-12,-4.666B,-4.666B,,-295.00M,-814.00M,1.29B,,2019-12,1.593B,-835.00M,758.00M,,-3.476B,-3.476B,-1.362B,-1.362B,-47.00M,-1.017B,,2019-12,3.935B,259.00M,4.194B,,2019-12,,2.742B,-1.149B,-3.476B,157.00M,,2019-12,AOR,
2019-09,5.99B,,,-295.00M,-295.00M,2.268B,411.00M,2.679B,2.679B,,,431.00M,,431.00M,-646.00M,67.00M,-230.00M,297.00M,,,2.418B,10.71B,,2019-09,-4.672B,-4.672B,,83.00M,1.168B,-489.00M,,2019-09,-396.00M,-161.00M,-557.00M,,-4.521B,-4.521B,-1.386B,-1.386B,492.00M,239.00M,,2019-09,2.867B,1.068B,3.935B,,2019-09,,49.00M,-445.00M,-4.521B,69.00M,,2019-09,AOR,Restated
2019-06,4.179B,,,174.00M,174.00M,2.15B,404.00M,2.554B,2.554B,,,470.00M,,470.00M,725.00M,-931.00M,-216.00M,-205.00M,,,837.00M,7.587B,,2019-06,-3.554B,-3.554B,,254.00M,-141.00M,153.00M,,2019-06,294.00M,-686.00M,-392.00M,,-3.049B,-3.049B,-1.414B,-1.414B,15.00M,254.00M,,2019-06,3.154B,-287.00M,2.867B,,2019-06,,466.00M,-172.00M,-3.049B,134.00M,,2019-06,AOR,Restated
2019-03,3.974B,,,-274.00M,-274.00M,2.229B,396.00M,2.625B,2.625B,,,389.00M,,389.00M,-235.00M,-512.00M,-228.00M,636.00M,,,-1.416B,4.959B,,2019-03,-3.321B,-3.321B,,1.077B,-239.00M,-239.00M,,2019-03,-726.00M,1.682B,956.00M,,-2.53B,-2.53B,-1.414B,-1.414B,290.00M,596.00M,,2019-03,3.019B,135.00M,3.154B,,2019-03,,135.00M,-861.00M,-2.53B,109.00M,,2019-03,AOR,Restated
2018-12,5.195B,,,484.00M,-13.00M,2.10B,393.00M,2.493B,2.493B,,,343.00M,,343.00M,-1.265B,148.00M,,-219.00M,,,218.00M,6.90B,,2018-12,-3.89B,-3.89B,,640.00M,1.262B,168.00M,,2018-12,-1.098B,-1.707B,-2.805B,,-2.266B,-2.266B,-1.368B,-1.368B,10.00M,961.00M,,2018-12,3.407B,-388.00M,3.019B,,2018-12,,0.00,-1.098B,-2.266B,132.00M,,2018-12,AOR,Restated
2018-09,6.398B,,,72.00M,72.00M,1.884B,390.00M,2.274B,2.274B,,,383.00M,,383.00M,-818.00M,-59.00M,,156.00M,,,429.00M,8.835B,,2018-09,-3.851B,-3.851B,,1.431B,-666.00M,-349.00M,,2018-09,-336.00M,-284.00M,-620.00M,,-2.657B,-2.657B,-1.373B,-1.373B,225.00M,-182.00M,,2018-09,2.614B,793.00M,3.407B,,2018-09,,423.00M,-759.00M,-2.657B,107.00M,,2018-09,AOR,Restated
2018-06,5.006B,,,242.00M,242.00M,1.73B,392.00M,2.122B,2.122B,,,387.00M,,387.00M,267.00M,-207.00M,,201.00M,,,-605.00M,7.413B,,2018-06,-4.53B,-4.53B,,52.00M,2.936B,349.00M,,2018-06,-842.00M,-151.00M,-993.00M,,-3.893B,-3.893B,-1.40B,-1.40B,31.00M,-905.00M,,2018-06,3.554B,-940.00M,2.614B,,2018-06,,0.00,-842.00M,-3.893B,149.00M,,2018-06,AOR,Restated
2018-03,4.454B,,,-643.00M,-643.00M,1.806B,390.00M,2.196B,2.196B,,,433.00M,,433.00M,102.00M,-96.00M,,73.00M,,,-235.00M,6.284B,,2018-03,-2.91B,-2.91B,,163.00M,-1.604B,-440.00M,,2018-03,-327.00M,2.142B,1.815B,,-1.914B,-1.914B,-1.40B,-1.40B,289.00M,-162.00M,,2018-03,3.433B,121.00M,3.554B,,2018-03,,,-327.00M,-1.914B,60.00M,,2018-03,AOR,Restated
2017-12,-687.00M,0.00,,-1.211B,-1.211B,1.762B,378.00M,2.14B,2.14B,-570.00M,,307.00M,,307.00M,347.00M,-55.00M,,20.00M,,,6.95B,7.241B,,2017-12,-4.069B,-4.069B,,1.188B,-2.01B,-339.00M,,2017-12,-6.578B,5.00M,-6.573B,,-4.00M,-4.00M,-1.278B,-1.278B,133.00M,69.00M,,2017-12,9.075B,-5.642B,3.433B,,2017-12,,0.00,-6.578B,-4.00M,238.00M,,2017-12,AOR,Restated
2017-09,4.516B,0.00,,-846.00M,-846.00M,1.69B,365.00M,2.055B,2.055B,-237.00M,,326.00M,,866.00M,-510.00M,-485.00M,,-254.00M,,,1.884B,6.264B,,2017-09,-2.979B,-2.979B,,-10.98B,6.717B,924.00M,,2017-09,-364.00M,7.00M,-357.00M,,-1.093B,-1.093B,-1.278B,-1.278B,231.00M,-63.00M,,2017-09,11.69B,-2.612B,9.075B,,2017-09,,638.00M,-1.002B,-1.093B,106.00M,,2017-09,AOR,Restated
2017-06,2.808B,-387.00M,,-276.00M,-663.00M,1.675B,313.00M,1.988B,1.988B,595.00M,,328.00M,,105.00M,-513.00M,-528.00M,,237.00M,,,350.00M,4.707B,,2017-06,-2.778B,-2.778B,,2.032B,-783.00M,91.00M,,2017-06,6.578B,-447.00M,6.131B,,-1.276B,-1.276B,-1.287B,-1.287B,77.00M,-161.00M,,2017-06,4.934B,6.753B,11.69B,,2017-06,,7.078B,-500.00M,-1.276B,183.00M,,2017-06,AOR,Restated
2017-03,2.964B,,,-250.00M,-250.00M,1.625B,321.00M,1.946B,1.946B,212.00M,,397.00M,,80.00M,-105.00M,-232.00M,,188.00M,,,-1.302B,3.898B,,2017-03,-1.952B,-1.952B,,,-880.00M,54.00M,,2017-03,,435.00M,435.00M,,-1.242B,-1.242B,-1.229B,-1.229B,329.00M,-39.00M,,2017-03,5.56B,-626.00M,4.934B,,2017-03,,,,-1.242B,97.00M,,2017-03,AOR,Restated
2016-12,3.562B,0.00,,-18.00M,-18.00M,1.582B,348.00M,1.93B,1.93B,445.00M,,308.00M,,-342.00M,165.00M,237.00M,,-6.00M,,,3.313B,8.15B,,2016-12,-3.53B,-3.53B,,691.00M,-780.00M,175.00M,,2016-12,-1.50B,-441.00M,-1.941B,,-533.00M,-533.00M,-1.233B,-1.233B,84.00M,-275.00M,,2016-12,4.752B,808.00M,5.56B,,2016-12,,0.00,-1.50B,-533.00M,210.00M,,2016-12,AOR,Restated
2016-09,3.378B,0.00,,12.00M,12.00M,1.543B,385.00M,1.928B,1.928B,-259.00M,,324.00M,,372.00M,-834.00M,-14.00M,,-187.00M,,,1.038B,5.758B,,2016-09,-2.463B,-2.463B,,-762.00M,180.00M,362.00M,,2016-09,0.00,-990.00M,-990.00M,,-457.00M,-457.00M,-1.231B,-1.231B,497.00M,-27.00M,,2016-09,3.885B,867.00M,4.752B,,2016-09,,0.00,0.00,-457.00M,124.00M,,2016-09,AOR,Restated
2016-06,1.33B,0.00,,-404.00M,-404.00M,1.522B,395.00M,1.917B,1.917B,114.00M,,364.00M,,966.00M,-208.00M,-47.00M,,-59.00M,,,-576.00M,3.845B,,2016-06,-2.286B,-2.286B,,-531.00M,-1.434B,81.00M,,2016-06,2.734B,460.00M,3.194B,,-804.00M,-804.00M,-1.233B,-1.233B,184.00M,-192.00M,,2016-06,3.061B,824.00M,3.885B,,2016-06,,2.734B,0.00,-804.00M,94.00M,,2016-06,AOR,Restated
2016-03,2.046B,,,-22.00M,-22.00M,1.619B,396.00M,2.015B,2.015B,-43.00M,,448.00M,,448.00M,942.00M,-57.00M,,434.00M,,,-1.708B,4.055B,,2016-03,-1.346B,-1.346B,0.00,-14.75B,-73.00M,650.00M,,2016-03,,956.00M,956.00M,,-793.00M,-793.00M,-1.228B,-1.228B,343.00M,-60.00M,,2016-03,15.31B,-12.25B,3.061B,,2016-03,,,,-793.00M,254.00M,,2016-03,AOR,Restated
2015-12,3.613B,,,-18.00M,-18.00M,1.936B,210.00M,2.146B,2.146B,-177.00M,,296.00M,139.00M,-13.00M,-687.00M,-124.00M,,-226.00M,,,479.00M,5.428B,,2015-12,-2.328B,-2.328B,,-522.00M,3.693B,1.885B,,2015-12,1.49B,473.00M,1.963B,,-850.00M,-850.00M,-1.133B,-1.133B,170.00M,-62.00M,,2015-12,7.065B,8.244B,15.31B,,2015-12,,1.49B,,-850.00M,126.00M,,2015-12,AOR,Restated
2015-09,3.109B,,,-160.00M,-160.00M,2.06B,215.00M,2.275B,2.275B,-368.00M,,309.00M,-6.00M,14.00M,-241.00M,-151.00M,,218.00M,,,736.00M,5.735B,,2015-09,-1.206B,-1.206B,,-1.32B,-4.668B,-1.973B,,2015-09,7.986B,19.00M,8.005B,,-1.029B,-1.029B,-1.14B,-1.14B,222.00M,-15.00M,,2015-09,4.454B,2.611B,7.065B,,2015-09,,7.986B,,-1.029B,-20.00M,,2015-09,AOR,Restated
