,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,AmortizationofSecurities,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,3.013B,3.013B,1.028B,763.00M,1.791B,,,47.00M,-47.00M,,1.791B,47.00M,-47.00M,340.00M,-47.00M,-184.00M,-44.00M,-140.00M,,,-140.00M,-140.00M,54.00M,-137.00M,,-1.14,,-1.14,-1.14,,-1.14,,-1.14,-1.14,,123.00M,124.90M,1.04,,AOR,
2020-06,2.73B,2.73B,940.00M,776.00M,1.716B,,,59.00M,-59.00M,,1.716B,59.00M,-59.00M,270.00M,-59.00M,-526.00M,13.00M,-539.00M,,,-539.00M,-539.00M,49.00M,-467.00M,,-4.31,,-4.31,-4.31,,-4.31,,-4.31,-4.31,,125.00M,126.20M,1.04,,AOR,
2020-03,3.026B,3.026B,995.00M,753.00M,1.748B,,,71.00M,-71.00M,,1.748B,71.00M,-71.00M,373.00M,-71.00M,2.351B,315.00M,2.036B,,,2.036B,2.036B,47.00M,2.422B,,16.11,,16.11,16.11,,15.88,,15.88,15.88,,126.40M,128.20M,0.97,,AOR,
2019-12,3.104B,3.104B,991.00M,839.00M,1.83B,,,80.00M,-80.00M,,1.83B,80.00M,-80.00M,338.00M,-80.00M,534.00M,71.00M,463.00M,,,463.00M,463.00M,51.00M,614.00M,,3.59,,3.59,3.59,,3.53,,3.53,3.53,,129.00M,131.50M,0.97,,AOR,
2019-09,3.351B,3.351B,971.00M,820.00M,1.791B,,,86.00M,-86.00M,,1.791B,86.00M,-86.00M,347.00M,-86.00M,641.00M,98.00M,543.00M,,,543.00M,543.00M,41.00M,727.00M,,4.09,,4.09,4.09,,4.04,,4.04,4.04,,132.70M,134.50M,0.97,,AOR,Restated
2019-06,3.282B,3.282B,948.00M,823.00M,1.771B,,,96.00M,-96.00M,,1.771B,96.00M,-96.00M,316.00M,-96.00M,587.00M,95.00M,492.00M,,,492.00M,492.00M,45.00M,683.00M,,3.61,,3.61,3.61,,3.57,,3.57,3.57,,136.10M,138.00M,0.97,,AOR,Restated
2019-03,3.153B,3.153B,900.00M,805.00M,1.705B,,,88.00M,-88.00M,,1.705B,88.00M,-88.00M,278.00M,-88.00M,470.00M,75.00M,395.00M,,,395.00M,395.00M,46.00M,558.00M,,2.85,,2.85,2.85,,2.82,,2.82,2.82,,138.80M,140.10M,0.90,,AOR,Restated
2018-12,3.208B,3.208B,910.00M,792.00M,1.702B,,,93.00M,-93.00M,,1.702B,93.00M,-93.00M,299.00M,-93.00M,652.00M,113.00M,539.00M,,,539.00M,539.00M,46.00M,745.00M,,3.81,,3.81,3.81,,3.76,,3.76,3.76,,141.40M,143.20M,0.90,,AOR,Restated
2018-09,3.316B,3.316B,920.00M,802.00M,1.722B,,,74.00M,-74.00M,,1.722B,74.00M,-74.00M,358.00M,-74.00M,588.00M,85.00M,503.00M,,,503.00M,503.00M,45.00M,662.00M,,3.48,,3.48,3.48,,3.43,,3.43,3.43,,144.40M,146.50M,0.90,,AOR,Restated
2018-06,3.216B,3.216B,902.00M,788.00M,1.69B,,,100.00M,-100.00M,,1.69B,100.00M,-100.00M,284.00M,-100.00M,548.00M,86.00M,462.00M,,,462.00M,462.00M,51.00M,648.00M,,3.14,,3.14,3.14,,3.10,,3.10,3.10,,147.00M,149.00M,0.90,,AOR,Restated
