,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,UnpaidLossReserve,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,7.668B,35.96B,43.63B,7.383B,,9.00M,7.392B,51.02B,3.619B,35.96B,49.44B,158.69B,,,1.77B,200.00M,200.00M,200.00M,1.97B,4.687B,47.00M,4.734B,16.82B,16.82B,,20.47B,,42.02B,152.62B,,3.00M,15.24B,8.677B,18.37B,,,,516.00M,6.067B,,AOR,
2020-06,7.703B,34.44B,42.14B,7.275B,1.485B,20.00M,7.295B,49.44B,5.15B,34.45B,50.19B,154.90B,,,1.65B,200.00M,200.00M,200.00M,1.85B,4.273B,51.00M,4.324B,16.07B,16.07B,,19.68B,,40.08B,148.40B,,3.00M,15.51B,8.622B,18.03B,,,,394.00M,6.50B,,AOR,
2020-03,8.829B,31.85B,40.68B,7.185B,1.39B,3.00M,7.188B,47.86B,5.038B,31.85B,48.02B,145.68B,,,1.427B,200.00M,200.00M,200.00M,1.627B,3.666B,54.00M,3.72B,17.01B,17.01B,,19.75B,,40.48B,138.99B,,3.00M,16.18B,8.578B,17.77B,,,,-295.00M,6.693B,,AOR,
2019-12,3.827B,33.13B,36.96B,7.202B,1.597B,8.00M,7.21B,44.17B,5.243B,33.14B,47.08B,151.83B,,,1.884B,201.00M,201.00M,201.00M,2.085B,4.668B,57.00M,4.725B,14.43B,14.43B,,19.79B,,38.95B,146.10B,,3.00M,14.28B,8.461B,17.28B,,,,262.00M,5.729B,,AOR,
2019-09,5.392B,30.97B,36.36B,7.328B,1.64B,20.00M,7.348B,43.71B,5.208B,30.98B,44.73B,149.51B,,,1.783B,201.00M,201.00M,201.00M,1.984B,4.71B,61.00M,4.771B,13.44B,13.44B,,19.82B,,38.03B,143.52B,,3.00M,13.94B,8.392B,16.68B,,,,337.00M,5.997B,,AOR,Restated
2019-06,4.361B,30.64B,35.00B,7.412B,1.693B,23.00M,7.435B,42.44B,5.216B,30.65B,43.70B,148.68B,,,1.686B,201.00M,201.00M,201.00M,1.887B,4.747B,64.00M,4.811B,13.27B,13.27B,,19.81B,,37.90B,142.65B,,3.00M,13.53B,8.337B,16.11B,,,,269.00M,6.03B,,AOR,Restated
2019-03,3.347B,28.76B,32.11B,7.434B,,28.00M,7.462B,39.57B,3.498B,28.76B,39.73B,144.40B,,,1.596B,201.00M,201.00M,201.00M,1.797B,5.07B,55.00M,5.125B,11.52B,11.52B,,19.85B,,36.50B,138.56B,,3.00M,13.17B,8.27B,15.64B,,,,35.00M,5.843B,,AOR,Restated
2018-12,3.097B,31.06B,34.16B,6.173B,1.691B,12.00M,6.185B,40.34B,5.248B,31.07B,43.11B,137.22B,,,1.862B,201.00M,201.00M,201.00M,2.063B,4.585B,25.00M,4.61B,11.54B,11.54B,,19.94B,,36.10B,131.63B,,3.00M,12.91B,8.26B,15.29B,,,,-291.00M,5.588B,,AOR,Restated
2018-09,2.478B,30.84B,33.32B,6.042B,,5.00M,6.047B,39.36B,3.538B,30.84B,42.21B,145.19B,,,1.867B,201.00M,201.00M,201.00M,2.068B,4.212B,28.00M,4.24B,10.76B,10.76B,,20.02B,,35.02B,139.57B,,3.00M,12.50B,8.214B,14.85B,,,,-244.00M,5.618B,,AOR,Restated
2018-06,2.582B,30.46B,33.04B,5.913B,1.274B,17.00M,5.93B,38.97B,4.814B,30.48B,42.84B,143.27B,,,1.749B,201.00M,201.00M,201.00M,1.95B,4.26B,31.00M,4.291B,10.43B,10.43B,,20.06B,,34.78B,137.64B,,3.00M,12.13B,8.171B,14.49B,,,,-179.00M,5.632B,,AOR,Restated
