,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-12,177.00M,-15.00M,61.00M,46.00M,,,58.00M,58.00M,214.00M,,,,30.00M,30.00M,-12.00M,225.00M,139.00M,6.00M,53.00M,-181.00M,344.00M,,-37.00M,,,,-173.00M,-99.00M,-65.00M,,-62.00M,,-62.00M,,-324.00M,-324.00M,-123.00M,-123.00M,2.00M,8.00M,-499.00M,,5.211B,-220.00M,3.00M,5.144B,,,0.00,-62.00M,-324.00M,31.00M,74.00M,,AOR,Restated
2017-09,507.00M,0.00,17.00M,17.00M,,,55.00M,55.00M,-64.00M,,,,30.00M,30.00M,-277.00M,118.00M,-32.00M,142.00M,154.00M,-102.00M,443.00M,,-53.00M,,,,-234.00M,-30.00M,-333.00M,,-38.00M,,-38.00M,,-373.00M,-373.00M,-124.00M,-124.00M,5.00M,110.00M,-420.00M,,5.51B,-310.00M,11.00M,5.211B,,,0.00,-38.00M,-373.00M,76.00M,63.00M,,AOR,Restated
2017-06,393.00M,-23.00M,12.00M,-11.00M,,,58.00M,58.00M,-32.00M,,,,30.00M,30.00M,-109.00M,122.00M,-9.00M,143.00M,41.00M,292.00M,730.00M,,-39.00M,,,,53.00M,15.00M,16.00M,,-27.00M,,-27.00M,,-352.00M,-352.00M,-127.00M,-127.00M,2.00M,72.00M,-432.00M,,5.18B,314.00M,16.00M,5.51B,,,,-27.00M,-352.00M,174.00M,72.00M,,AOR,Restated
2017-03,403.00M,-19.00M,15.00M,-4.00M,,,63.00M,63.00M,38.00M,,,,31.00M,31.00M,-59.00M,-259.00M,-98.00M,304.00M,-86.00M,-525.00M,6.00M,,-33.00M,,,,232.00M,7.00M,211.00M,,-2.00M,,-2.00M,,-436.00M,-436.00M,-117.00M,-117.00M,6.00M,115.00M,-434.00M,,5.392B,-217.00M,5.00M,5.18B,,,,-2.00M,-436.00M,137.00M,60.00M,,AOR,Restated
2016-12,399.00M,-12.00M,-34.00M,-46.00M,,,61.00M,61.00M,13.00M,,,,33.00M,33.00M,27.00M,198.00M,-9.00M,735.00M,10.00M,-151.00M,309.00M,,-26.00M,,,,-340.00M,-38.00M,-416.00M,,-385.00M,,-386.00M,,-388.00M,-388.00M,-118.00M,-118.00M,3.00M,320.00M,-569.00M,,6.09B,-676.00M,-22.00M,5.542B,,,1.00M,-386.00M,-388.00M,-46.00M,95.00M,,AOR,Restated
2016-09,215.00M,-8.00M,25.00M,17.00M,,,60.00M,60.00M,7.00M,,,,33.00M,33.00M,-151.00M,172.00M,21.00M,-16.00M,-16.00M,173.00M,505.00M,,-30.00M,,,,-469.00M,27.00M,-430.00M,,418.00M,,418.00M,,-418.00M,-418.00M,-122.00M,-122.00M,2.00M,460.00M,340.00M,,5.69B,415.00M,-15.00M,6.09B,,,495.00M,-77.00M,-418.00M,26.00M,65.00M,,AOR,Restated
2016-06,335.00M,-8.00M,12.00M,4.00M,,,62.00M,62.00M,-90.00M,,,,34.00M,34.00M,36.00M,99.00M,-8.00M,-278.00M,48.00M,556.00M,901.00M,,-8.00M,,,,-26.00M,58.00M,62.00M,,-266.00M,,-266.00M,,-420.00M,-420.00M,-124.00M,-124.00M,2.00M,217.00M,-591.00M,,5.344B,372.00M,-26.00M,5.69B,,,,-266.00M,-420.00M,152.00M,77.00M,,AOR,Restated
2016-03,364.00M,10.00M,13.00M,23.00M,,,65.00M,65.00M,36.00M,,,,34.00M,34.00M,-62.00M,-295.00M,-4.00M,-382.00M,198.00M,94.00M,616.00M,,-28.00M,,,,-246.00M,-16.00M,1.00M,,-45.00M,,-45.00M,,-481.00M,-481.00M,-115.00M,-115.00M,2.00M,317.00M,-322.00M,,5.407B,-51.00M,-12.00M,5.344B,,,,-45.00M,-481.00M,23.00M,53.00M,,AOR,Restated
2015-12,380.00M,-2.00M,-55.00M,-57.00M,,,63.00M,63.00M,-108.00M,,,,37.00M,37.00M,17.00M,123.00M,426.00M,273.00M,-107.00M,473.00M,788.00M,,-24.00M,,,,-44.00M,-13.00M,-62.00M,,-615.00M,,-616.00M,,-448.00M,-448.00M,-117.00M,-117.00M,2.00M,85.00M,-1.094B,,2.78B,-368.00M,-9.00M,5.407B,,,67.00M,-682.00M,-448.00M,194.00M,146.00M,,AOR,Restated
2015-09,352.00M,9.00M,48.00M,57.00M,,,62.00M,62.00M,-111.00M,,,,38.00M,38.00M,-16.00M,103.00M,-494.00M,-436.00M,76.00M,-27.00M,371.00M,,-42.00M,,,,-223.00M,-3.00M,-265.00M,,630.00M,,630.00M,,-467.00M,-467.00M,-119.00M,-119.00M,3.00M,72.00M,119.00M,,2.57B,225.00M,-15.00M,2.78B,,,815.00M,-185.00M,-467.00M,165.00M,88.00M,,AOR,Restated
