,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2010-06,398.00M,-7.00M,,-7.00M,,,26.00M,26.00M,-11.00M,194.00M,1.00M,,31.00M,-44.00M,-52.00M,244.00M,81.00M,-47.00M,419.00M,691.00M,1.279B,,-33.00M,,-33.00M,-1.47B,585.00M,-128.00M,-1.04B,,-159.00M,484.00M,325.00M,,-191.00M,-191.00M,,-46.00M,13.00M,-1.327B,-1.226B,,4.816B,-987.00M,-2.00M,3.827B,,,58.00M,-217.00M,-191.00M,-101.00M,57.00M,,AOR,Restated
2010-03,296.00M,-32.00M,,-32.00M,,,22.00M,22.00M,437.00M,130.00M,34.00M,,39.00M,-257.00M,-267.00M,-161.00M,-59.00M,8.00M,-79.00M,-550.00M,119.00M,,-21.00M,,-21.00M,-404.00M,1.339B,-76.00M,851.00M,,707.00M,0.00,707.00M,,-15.00M,-15.00M,,-45.00M,32.00M,80.00M,759.00M,,3.097B,1.729B,-10.00M,4.816B,,,744.00M,-37.00M,-15.00M,154.00M,4.00M,,AOR,Restated
2009-12,274.00M,-31.00M,,-31.00M,-101.00M,,19.00M,19.00M,-127.00M,132.00M,25.00M,,44.00M,-534.00M,81.00M,166.00M,453.00M,-524.00M,-479.00M,-198.00M,-396.00M,,-27.00M,,-27.00M,0.00,-218.00M,-218.00M,-192.00M,,643.00M,0.00,643.00M,0.00,-2.00M,-2.00M,,-91.00M,5.00M,-449.00M,106.00M,,3.58B,-482.00M,-1.00M,3.097B,,0.00,725.00M,-82.00M,-2.00M,85.00M,38.00M,,AOR,Restated
2009-09,260.00M,-35.00M,,-35.00M,20.00M,,20.00M,20.00M,13.00M,-72.00M,25.00M,,52.00M,-155.00M,-234.00M,-66.00M,-63.00M,1.762B,-883.00M,516.00M,624.00M,,-21.00M,,-21.00M,0.00,-846.00M,-3.00M,-900.00M,,-995.00M,,-995.00M,0.00,0.00,0.00,,-44.00M,1.00M,431.00M,-607.00M,,4.469B,-883.00M,-6.00M,3.58B,,0.00,-532.00M,-463.00M,0.00,10.00M,26.00M,,AOR,Restated
2009-06,87.00M,-46.00M,,-46.00M,25.00M,,25.00M,25.00M,8.00M,-168.00M,43.00M,,46.00M,-168.00M,-276.00M,98.00M,68.00M,-723.00M,32.00M,-801.00M,-974.00M,,-20.00M,,-20.00M,0.00,-3.174B,-1.00M,-3.212B,,549.00M,0.00,549.00M,869.00M,0.00,869.00M,,-37.00M,0.00,1.454B,2.835B,,5.796B,-1.351B,24.00M,4.469B,,869.00M,523.00M,26.00M,0.00,2.00M,58.00M,,AOR,Restated
2009-03,116.00M,-51.00M,,-51.00M,56.00M,,56.00M,56.00M,82.00M,335.00M,39.00M,,40.00M,-215.00M,303.00M,-172.00M,82.00M,-609.00M,-578.00M,-974.00M,-572.00M,,-15.00M,,-15.00M,0.00,-2.031B,4.00M,-2.069B,,-104.00M,,-104.00M,,-9.00M,-9.00M,,-37.00M,0.00,2.361B,2.211B,,6.228B,-430.00M,-2.00M,5.796B,,,9.00M,-113.00M,-9.00M,1.00M,,,AOR,Restated
2008-12,-397.00M,0.00,,0.00,-214.00M,,53.00M,53.00M,-222.00M,455.00M,,,34.00M,-363.00M,388.00M,-94.00M,243.00M,-897.00M,1.413B,1.519B,1.872B,,-25.00M,,-25.00M,,-254.00M,-224.00M,-767.00M,,-99.00M,,-99.00M,0.00,-2.00M,-2.00M,,-79.00M,0.00,1.29B,1.11B,,4.043B,2.215B,-30.00M,6.228B,,0.00,8.00M,-107.00M,-2.00M,20.00M,59.00M,,,Restated
2008-09,-84.00M,4.00M,,4.00M,72.00M,,72.00M,72.00M,-152.00M,265.00M,,,39.00M,218.00M,-446.00M,-116.00M,-806.00M,935.00M,58.00M,-375.00M,-13.00M,,-20.00M,,-20.00M,,339.00M,-45.00M,265.00M,,67.00M,,67.00M,0.00,-96.00M,-96.00M,,-37.00M,1.00M,507.00M,442.00M,,3.373B,694.00M,-24.00M,4.043B,,0.00,73.00M,-6.00M,-96.00M,38.00M,0.00,,AOR,Restated
2008-06,205.00M,-1.00M,,-1.00M,142.00M,,97.00M,97.00M,1.00M,138.00M,,,38.00M,-487.00M,-47.00M,92.00M,101.00M,128.00M,-232.00M,42.00M,33.00M,,-36.00M,,-36.00M,,-120.00M,50.00M,-129.00M,,0.00,,0.00,0.00,-263.00M,-263.00M,,-34.00M,2.00M,-140.00M,-435.00M,,3.904B,-531.00M,0.00,3.373B,,0.00,,0.00,-263.00M,97.00M,61.00M,,AOR,Restated
2008-03,186.00M,-8.00M,,-8.00M,,,45.00M,45.00M,-36.00M,196.00M,,,37.00M,-108.00M,-95.00M,-389.00M,42.00M,112.00M,187.00M,-143.00M,169.00M,,-44.00M,,-44.00M,,468.00M,149.00M,491.00M,,0.00,,0.00,,-277.00M,-277.00M,,-34.00M,6.00M,-287.00M,-592.00M,,3.836B,68.00M,0.00,3.904B,,,0.00,0.00,-277.00M,30.00M,0.00,,AOR,Restated
2007-12,255.00M,-21.00M,,-21.00M,-125.00M,-423.00M,-372.00M,-372.00M,-23.00M,630.00M,5.00M,,33.00M,-150.00M,-26.00M,118.00M,,,-178.00M,-15.00M,342.00M,,-107.00M,-8.00M,-115.00M,,693.00M,-41.00M,350.00M,,-26.00M,-808.00M,-834.00M,,-291.00M,-291.00M,,-35.00M,7.00M,303.00M,-850.00M,,4.002B,-158.00M,-8.00M,3.836B,,,0.00,-26.00M,-291.00M,-92.00M,,,AOR,
2007-09,198.00M,-15.00M,,-15.00M,40.00M,134.00M,174.00M,174.00M,67.00M,84.00M,-20.00M,,35.00M,-534.00M,128.00M,-41.00M,,,218.00M,305.00M,294.00M,,-65.00M,0.00,-65.00M,,955.00M,177.00M,907.00M,,0.00,-683.00M,-683.00M,,-172.00M,-172.00M,,-35.00M,3.00M,351.00M,-536.00M,,3.333B,665.00M,4.00M,4.002B,,,0.00,0.00,-172.00M,16.00M,,,AOR,Restated
2007-06,196.00M,-13.00M,,-13.00M,85.00M,289.00M,333.00M,333.00M,23.00M,,2.00M,,75.00M,-246.00M,-299.00M,124.00M,,,3.00M,-172.00M,198.00M,,-75.00M,0.00,-75.00M,,2.526B,-48.00M,2.193B,,-28.00M,-2.25B,-2.278B,-16.00M,-140.00M,-156.00M,,-36.00M,27.00M,934.00M,-1.509B,,2.444B,882.00M,7.00M,3.333B,,-16.00M,,-28.00M,-140.00M,76.00M,,,AOR,Restated
2007-03,165.00M,,,,,,41.00M,41.00M,-42.00M,,,,,55.00M,-91.00M,-213.00M,,,-25.00M,-329.00M,-110.00M,,-59.00M,8.00M,-51.00M,,1.245B,-16.00M,1.178B,,,,,16.00M,-386.00M,-370.00M,,-27.00M,,-989.00M,-1.386B,,2.76B,-318.00M,2.00M,2.444B,,16.00M,,,-386.00M,,,,AOR,Restated
2006-12,171.00M,,,,,,-392.00M,-392.00M,8.00M,,,,,463.00M,40.00M,-76.00M,-11.00M,-52.00M,-50.00M,-149.00M,101.00M,,-72.00M,0.00,-72.00M,-951.00M,1.213B,-96.00M,94.00M,,-32.00M,,-32.00M,9.00M,-52.00M,-43.00M,,-26.00M,,-672.00M,-773.00M,,3.309B,-578.00M,20.00M,2.76B,,9.00M,0.00,-32.00M,-52.00M,,,,AOR,Restated
2006-09,174.00M,,,,,,443.00M,443.00M,52.00M,,,,,-479.00M,-18.00M,-226.00M,11.00M,52.00M,171.00M,-10.00M,180.00M,,-47.00M,0.00,-47.00M,951.00M,1.20B,116.00M,2.22B,,-169.00M,,-169.00M,1.00M,-106.00M,-105.00M,,-27.00M,,-899.00M,-1.20B,,2.101B,1.20B,8.00M,3.309B,,1.00M,0.00,-169.00M,-106.00M,,,,AOR,Restated
2006-06,141.00M,,,,,,57.00M,57.00M,-31.00M,,,,,6.00M,-85.00M,314.00M,,,27.00M,256.00M,429.00M,,-34.00M,66.00M,32.00M,,-278.00M,928.00M,682.00M,,483.00M,,483.00M,5.00M,-42.00M,-37.00M,,-27.00M,,-1.09B,-671.00M,,1.65B,440.00M,11.00M,2.101B,,5.00M,516.00M,-33.00M,-42.00M,,,,AOR,Restated
2006-03,145.00M,,,,,,40.00M,40.00M,-5.00M,,,,,-20.00M,-183.00M,100.00M,,,30.00M,-53.00M,107.00M,,-34.00M,,-34.00M,,1.461B,-939.00M,488.00M,,-50.00M,,-50.00M,5.00M,-290.00M,-285.00M,,-28.00M,,-1.058B,-1.421B,,2.474B,-826.00M,2.00M,1.65B,,5.00M,,-50.00M,-290.00M,,,,AOR,Restated
2005-12,79.00M,,,,,,38.00M,38.00M,-31.00M,,,,,147.00M,91.00M,,,,125.00M,237.00M,470.00M,,-46.00M,,-46.00M,,-206.00M,643.00M,391.00M,,112.00M,,112.00M,0.00,0.00,0.00,,-27.00M,,-1.078B,-993.00M,,2.62B,-150.00M,-18.00M,2.483B,,0.00,1.492B,-1.38B,0.00,,,,AOR,Restated
2005-09,127.00M,,,,,,48.00M,48.00M,32.00M,,,,,-82.00M,122.00M,,,,-257.00M,-135.00M,-10.00M,,-41.00M,,-41.00M,,408.00M,-1.291B,-924.00M,,1.351B,,1.351B,0.00,0.00,0.00,,0.00,,-459.00M,892.00M,,2.51B,110.00M,-6.00M,2.62B,,0.00,1.351B,0.00,0.00,,,,AOR,Restated
2005-06,161.00M,,,,,,83.00M,83.00M,-6.00M,,,,,-110.00M,62.00M,,,,12.00M,74.00M,202.00M,,-27.00M,,-27.00M,,616.00M,185.00M,774.00M,,-11.00M,,-11.00M,0.00,0.00,0.00,,0.00,,30.00M,19.00M,,1.334B,1.176B,-4.00M,2.51B,,0.00,0.00,-11.00M,0.00,,,,,Restated
2005-03,191.00M,,,,,,,,39.00M,,,,,37.00M,-358.00M,,,,285.00M,-73.00M,194.00M,,-27.00M,,-27.00M,,-496.00M,9.00M,-514.00M,,0.00,,0.00,0.00,0.00,0.00,,0.00,,405.00M,405.00M,,1.078B,256.00M,-4.00M,1.334B,,0.00,,0.00,0.00,,,,,Restated
