,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.461B,1.461B,1.588B,3.049B,8.606B,8.606B,1.853B,525.00M,1.742B,,4.12B,,1.125B,16.90B,,,,,,,38.19B,-26.69B,11.50B,25.12B,9.092B,34.21B,1.487B,,6.052B,53.26B,70.16B,,9.367B,699.00M,1.264B,,11.33B,,11.33B,,,3.736B,3.736B,,,,,15.07B,13.86B,13.86B,1.541B,1.541B,971.00M,,413.00M,1.816B,18.19B,33.26B,,13.03B,31.76B,,4.001B,,,-4.305B,36.48B,,AOR,Restated
2018-03,1.865B,1.865B,2.30B,4.165B,8.472B,8.472B,1.91B,556.00M,1.708B,,4.174B,,1.244B,18.06B,,,,,,,38.10B,-26.55B,11.56B,25.12B,9.217B,34.34B,1.483B,,6.047B,53.42B,71.48B,,9.598B,700.00M,1.311B,,11.61B,,11.61B,,,4.586B,4.586B,,,,,16.20B,13.53B,13.53B,1.579B,1.579B,1.027B,,402.00M,1.825B,17.96B,34.15B,,13.00B,32.02B,,3.937B,,,-4.159B,36.92B,,AOR,Restated
2017-12,1.799B,1.799B,3.29B,5.089B,8.084B,8.084B,1.846B,503.00M,1.697B,,4.046B,,1.278B,18.50B,0.00,428.00M,5.122B,32.26B,,,37.81B,-26.24B,11.58B,25.12B,9.354B,34.47B,1.519B,,5.923B,53.49B,71.99B,,4.614B,699.00M,1.223B,,6.536B,4.67B,11.21B,,,3.324B,3.324B,752.00M,752.00M,,,15.28B,14.88B,14.88B,1.65B,1.65B,1.082B,,419.00M,1.837B,19.44B,34.73B,,12.98B,32.19B,,4.049B,,,-4.274B,36.84B,,AOR,Restated
2017-09,1.69B,1.69B,3.262B,4.952B,9.436B,9.436B,1.898B,537.00M,1.873B,,4.308B,,1.218B,19.91B,,,,,,,40.42B,-28.08B,12.34B,25.11B,9.54B,34.65B,1.481B,,5.183B,53.66B,73.57B,,9.715B,700.00M,1.31B,,11.72B,,11.72B,,,1.289B,1.289B,,,,,13.01B,15.87B,15.87B,1.893B,1.893B,1.34B,,437.00M,1.441B,20.54B,33.56B,,12.86B,35.14B,,3.966B,,,-4.46B,39.57B,,AOR,Restated
2017-06,1.903B,1.903B,4.315B,6.218B,8.925B,8.925B,1.701B,570.00M,2.067B,,4.338B,,1.792B,21.27B,,,,,,,40.07B,-27.72B,12.36B,25.06B,9.636B,34.69B,1.566B,,4.971B,53.59B,74.86B,,9.444B,700.00M,1.159B,,11.30B,,11.30B,,,2.224B,2.224B,,,,,13.53B,16.60B,16.60B,2.00B,2.00B,1.385B,,432.00M,1.398B,21.38B,34.91B,,12.84B,35.28B,,4.049B,,,-4.558B,39.52B,,AOR,Restated
2017-03,1.902B,1.902B,5.451B,7.353B,8.636B,8.636B,1.633B,597.00M,2.058B,,4.288B,,1.606B,21.88B,,,,,,,39.86B,-27.35B,12.51B,25.04B,9.743B,34.79B,1.72B,,5.277B,54.29B,76.18B,,9.408B,704.00M,1.215B,,11.33B,,11.33B,,,2.449B,2.449B,,,,,13.78B,16.54B,16.54B,1.908B,1.908B,1.457B,,448.00M,1.442B,21.34B,35.12B,,12.78B,36.05B,,3.697B,,,-4.529B,40.61B,,AOR,Restated
2016-12,2.929B,2.929B,6.328B,9.257B,9.387B,9.387B,1.72B,610.00M,1.895B,,4.225B,,1.058B,23.93B,0.00,479.00M,4.849B,34.68B,,,40.01B,-27.19B,12.82B,24.99B,9.855B,34.84B,1.481B,,4.882B,54.03B,77.96B,,4.004B,702.00M,1.188B,,5.894B,4.924B,10.82B,,,3.153B,3.153B,1.088B,1.088B,,,15.06B,16.46B,16.46B,1.88B,1.88B,1.495B,,451.00M,1.53B,21.37B,36.43B,,12.80B,36.47B,,3.55B,,,-4.643B,41.08B,,AOR,Restated
2016-09,3.441B,3.441B,7.315B,10.76B,9.565B,9.565B,1.85B,600.00M,2.122B,,4.572B,391.00M,1.141B,26.42B,,,,,,,39.96B,-26.96B,13.00B,24.96B,9.837B,34.79B,1.637B,,4.734B,54.17B,80.59B,,9.439B,702.00M,1.092B,,11.23B,,11.23B,,,3.739B,3.739B,,,,,14.97B,17.54B,17.54B,2.622B,2.622B,1.293B,,340.00M,1.595B,23.05B,38.02B,,12.82B,37.37B,,3.571B,,,-4.388B,42.23B,,AOR,Restated
2016-06,2.947B,2.947B,8.245B,11.19B,9.374B,9.374B,1.874B,640.00M,2.487B,,5.001B,391.00M,1.237B,27.20B,,,,,,,40.20B,-26.97B,13.23B,24.60B,9.921B,34.52B,1.662B,,4.564B,53.98B,81.17B,,9.494B,701.00M,1.043B,,11.24B,,11.24B,,,3.371B,3.371B,,,,,14.61B,18.25B,18.25B,2.631B,2.631B,1.341B,,369.00M,1.359B,23.58B,38.19B,,12.84B,37.89B,,3.636B,,,-4.478B,42.61B,,AOR,Restated
2016-03,2.08B,2.08B,12.35B,14.43B,8.382B,8.382B,2.355B,155.00M,1.102B,,3.612B,208.00M,1.066B,27.70B,,,,,,,37.28B,-24.02B,13.26B,15.65B,4.551B,20.20B,3.742B,,4.24B,41.44B,69.14B,,6.725B,632.00M,1.269B,,8.626B,,8.626B,,,4.254B,4.254B,,,,,12.88B,17.23B,17.23B,923.00M,923.00M,1.392B,,303.00M,1.051B,20.60B,33.48B,,12.70B,40.74B,,13.62B,,,-4.466B,35.36B,,AOR,Restated
