,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-12,,137.30M,,137.30M,2.260B,2.260B,,,,,939.00M,,1.706B,5.043B,,,,,,,9.578B,-6.219B,3.359B,,1.225B,1.225B,,,698.60M,5.282B,10.33B,,2.200B,,,,2.200B,,2.200B,,,813.80M,813.80M,,,,460.40M,3.474B,637.20M,637.20M,,,,,,587.10M,1.224B,4.699B,,,7.138B,,,,,,5.626B,,,
1996-09,,1.221B,,1.221B,2.180B,2.180B,,,,,934.60M,196.20M,216.20M,4.748B,,,,,,,9.446B,-6.245B,3.201B,1.176B,,1.176B,,227.00M,420.10M,5.025B,9.773B,,2.048B,,,,2.048B,,2.048B,,,95.90M,95.90M,,,,1.020B,3.164B,613.60M,613.60M,,,,,,572.10M,1.186B,4.350B,,805.60M,6.975B,,2.341B,-17.10M,,-17.10M,5.423B,,,
1996-06,,84.60M,,84.60M,2.101B,2.101B,,,,,914.10M,,1.280B,4.380B,,,,,,,9.316B,-6.157B,3.158B,1.295B,,1.295B,,,374.70M,4.828B,9.207B,,1.790B,,,,1.790B,,1.790B,,,88.80M,88.80M,,,,960.70M,2.840B,577.10M,577.10M,,,,,,558.50M,1.136B,3.975B,,763.12M,6.838B,,2.349B,-21.00M,,-21.00M,5.232B,,,
1996-03,,91.50M,,91.50M,1.989B,1.989B,,,,,870.10M,,1.144B,4.095B,,,,,,,9.198B,-6.089B,3.109B,1.309B,,1.309B,,,445.70M,4.864B,8.958B,,1.744B,,,,1.744B,,1.744B,,,86.40M,86.40M,,,,909.80M,2.740B,568.50M,568.50M,,,,,,561.90M,1.130B,3.870B,,753.60M,6.734B,,2.380B,-19.00M,,-19.00M,5.088B,,,
1995-12,,72.50M,,72.50M,1.940B,1.940B,,,,,782.20M,,1.229B,4.024B,,,,,,,9.108B,-5.99B,3.118B,,1.330B,1.330B,,,437.40M,4.886B,8.910B,,1.774B,,,,1.774B,,1.774B,,,83.40M,83.40M,,,,907.30M,2.764B,613.40M,613.40M,,,,,,568.40M,1.182B,3.946B,,,6.654B,,,,,,4.964B,,,
1995-09,,51.20M,,51.20M,,1.852B,,,,,823.10M,,1.205B,3.931B,,,,,,,8.938B,-5.983B,2.955B,,1.230B,1.230B,,,496.60M,4.681B,8.613B,,1.673B,,,,1.673B,,1.673B,,,684.40M,684.40M,,,,403.10M,2.761B,408.50M,408.50M,,,,,,572.50M,981.00M,3.742B,,,6.578B,,,,,,4.871B,,,
1995-06,,56.50M,,56.50M,,1.787B,,,,,804.40M,,1.357B,4.005B,,,,,,,8.858B,-5.912B,2.946B,,1.258B,1.258B,,,422.30M,4.626B,8.631B,,1.725B,,,,1.725B,,1.725B,,,685.40M,685.40M,,,,454.90M,2.866B,447.40M,447.40M,,,,,,572.30M,1.020B,3.885B,,,8.631B,,,,,,4.745B,,,
1995-03,,52.60M,,52.60M,,1.842B,,,,,769.20M,,1.237B,3.900B,,,,,,,8.723B,-5.825B,2.898B,,1.266B,1.266B,,,482.90M,4.647B,8.547B,,1.721B,,,,1.721B,,1.721B,,,105.90M,105.90M,,,,1.094B,2.921B,383.50M,383.50M,,,,,,564.00M,947.50M,3.868B,,,6.425B,,,,,,4.679B,,,
1994-12,,57.70M,,57.70M,,1.761B,,,,,696.30M,,1.309B,3.824B,,,,,,,8.538B,-5.681B,2.858B,,1.205B,1.205B,,,436.10M,4.498B,8.322B,,1.705B,,,,1.705B,,1.705B,,,85.80M,85.80M,,,,996.10M,2.787B,394.20M,394.20M,,,,,,558.20M,952.40M,3.739B,,,6.350B,,,,,,4.583B,,,
1994-09,,45.50M,,45.50M,,1.693B,,,,,684.50M,,1.432B,3.855B,,,,,,,8.406B,-5.64B,2.766B,,1.107B,1.107B,,,394.60M,4.267B,8.122B,,1.619B,,,,1.619B,,1.619B,,,79.10M,79.10M,,,,942.10M,2.640B,378.70M,378.70M,,,,,,538.80M,917.50M,3.558B,,,6.269B,,,,,,4.564B,,,
1994-06,,54.40M,,54.40M,,1.659B,,,,,664.10M,,1.287B,3.664B,,,,,,,8.325B,-5.534B,2.791B,,1.114B,1.114B,,,478.50M,4.383B,8.047B,,1.654B,,,,1.654B,,1.654B,,,528.00M,528.00M,,,,398.40M,2.581B,424.00M,424.00M,,,,,,535.80M,959.80M,3.540B,,,6.205B,,,,,,4.507B,,,
1994-03,,61.80M,,61.80M,,,,,,,,,3.519B,3.580B,,,,,,,8.151B,-5.355B,2.796B,,1.107B,1.107B,,,500.80M,4.404B,7.984B,,1.654B,,,,1.654B,,1.654B,,,511.70M,511.70M,,,,426.00M,2.591B,424.00M,424.00M,,,,,,508.30M,932.30M,3.524B,,,6.155B,,,,,,4.461B,,,
1993-12,,63.70M,,63.70M,,1.546B,,,,,621.40M,,1.245B,3.476B,,,,,,,8.174B,-5.355B,2.819B,,1.109B,1.109B,,,512.70M,4.441B,7.917B,,1.723B,,,,1.723B,,1.723B,,,60.20M,60.20M,,,,785.30M,2.568B,446.90M,446.90M,,,,,,495.40M,942.30M,3.511B,,,6.106B,,,,,,4.406B,,,
1993-09,,61.20M,,61.20M,,1.622B,,,,,678.00M,,1.540B,3.901B,,,,,,,8.209B,-5.425B,2.784B,,1.106B,1.106B,,,159.20M,4.049B,7.951B,,1.614B,,,,1.614B,,1.614B,,,52.30M,52.30M,,,,947.20M,2.613B,477.30M,477.30M,,,,,,488.90M,966.20M,3.579B,,,6.056B,,,,,,4.371B,,,
1993-06,,46.50M,,46.50M,,1.699B,,,,,650.70M,,1.581B,3.977B,,,,,,,8.204B,-5.368B,2.835B,,1.084B,1.084B,,,147.40M,4.067B,8.044B,,1.614B,,,,1.614B,,1.614B,,,68.60M,68.60M,,,,1.164B,2.847B,491.80M,491.80M,,,,,,481.10M,972.90M,3.820B,,,5.966B,,,,,,4.224B,,,
1993-03,,69.30M,,69.30M,,1.704B,,,,,663.80M,,1.447B,3.884B,,,,,,,8.182B,-5.288B,2.894B,,1.085B,1.085B,,,149.80M,4.128B,8.012B,,1.609B,,,,1.609B,,1.609B,,,65.30M,65.30M,,,,1.231B,2.905B,475.00M,475.00M,,,,,,487.70M,962.70M,3.868B,,,5.876B,,,,,,4.144B,,,
1992-12,,40.30M,,40.30M,,1.435B,,,,,562.50M,,1.415B,3.453B,,,,,,,6.906B,-4.409B,2.497B,,564.40M,564.40M,,,492.30M,3.554B,7.007B,,1.399B,,,,1.399B,,1.399B,,,49.10M,49.10M,,,,762.60M,2.210B,374.30M,374.30M,,,,,,191.10M,565.40M,2.776B,,,6.063B,,,,,,4.231B,,,
1992-09,,46.60M,,46.60M,,1.452B,,,,,639.00M,,1.525B,3.663B,,,,,,,6.959B,-4.486B,2.473B,,439.40M,439.40M,,,516.30M,3.428B,7.091B,,1.401B,,,,1.401B,,1.401B,,,54.20M,54.20M,,,,806.30M,2.261B,395.30M,395.30M,,,,,,191.10M,586.40M,2.848B,,,5.982B,,,,,,4.244B,,,
1992-06,,39.40M,,39.40M,,1.478B,,,,,629.80M,,1.439B,3.586B,,,,,,,6.901B,-4.418B,2.483B,,446.60M,446.60M,,,493.10M,3.423B,7.009B,,1.461B,,,,1.461B,,1.461B,,,55.80M,55.80M,,,,879.20M,2.396B,364.60M,364.60M,,,,,,182.40M,547.00M,2.943B,,,5.881B,,,,,,4.066B,,,
1992-03,,38.90M,,38.90M,,1.420B,,,,,585.90M,,1.445B,3.490B,,,,,,,6.675B,-4.309B,2.366B,,429.30M,429.30M,,,460.40M,3.256B,6.746B,,1.367B,,,,1.367B,,1.367B,,,131.30M,131.30M,,,,835.10M,2.334B,344.00M,344.00M,,,,,,178.10M,522.10M,2.856B,,,5.775B,,,,,,3.89B,,,
1991-12,,39.00M,,39.00M,,1.403B,,,,,596.60M,,1.527B,3.566B,,,,,,,6.662B,-4.297B,2.365B,,439.50M,439.50M,,,483.50M,3.288B,6.854B,,1.438B,,,,1.438B,,1.438B,,,121.30M,121.30M,,,,913.00M,2.472B,341.20M,341.20M,,,,,,187.50M,528.70M,3.001B,,,5.691B,,,,,,3.853B,,,
1991-09,,48.40M,,48.40M,,1.316B,,,,,610.60M,,1.387B,3.362B,,,,,,,6.475B,-4.227B,2.248B,,401.10M,401.10M,,,492.50M,3.141B,6.503B,,1.295B,,,,1.295B,,1.295B,,,100.30M,100.30M,,,,1.012B,2.407B,351.20M,351.20M,,,,,,189.20M,540.40M,2.948B,,,5.457B,,,,,,3.556B,,,
1991-06,,46.00M,,46.00M,,1.351B,,,,,577.10M,,1.238B,3.212B,,,,,,,6.348B,-4.155B,2.193B,,392.10M,392.10M,,,600.30M,3.185B,6.397B,,1.256B,,,,1.256B,,1.256B,,,102.80M,102.80M,,,,1.170B,2.528B,329.90M,329.90M,,,,,,179.50M,509.40M,3.037B,,,5.332B,,,,,,3.36B,,,
1991-03,,49.40M,,49.40M,,1.304B,,,,,577.80M,,1.185B,3.116B,,,,,,,6.306B,-4.141B,2.165B,,398.30M,398.30M,,,597.80M,3.161B,6.277B,,1.290B,,,,1.290B,,1.290B,,,63.10M,63.10M,,,,1.089B,2.442B,383.80M,383.80M,,,,,,188.40M,572.20M,3.014B,,,5.223B,,,,,,3.263B,,,
1990-12,,47.90M,,47.90M,,1.259B,,,,,570.60M,,1.369B,3.246B,,,,,,,6.021B,-4.11B,1.911B,,401.40M,401.40M,,,616.40M,2.929B,6.176B,,1.338B,,,,1.338B,,1.338B,,,88.10M,88.10M,,,,1.009B,2.435B,331.70M,331.70M,,,,,,154.50M,486.20M,2.921B,,,5.162B,,,,,,3.255B,,,
1990-09,,54.70M,,54.70M,,1.189B,,,,,556.30M,,1.370B,3.170B,,,,,,,5.856B,-4.082B,1.774B,,354.00M,354.00M,,,588.70M,2.717B,5.887B,,1.194B,,,,1.194B,,1.194B,,,75.70M,75.70M,,,,994.80M,2.265B,316.30M,316.30M,,,,,,134.50M,450.80M,2.716B,,,5.084B,,,,,,3.171B,,,
1990-06,,63.20M,,63.20M,,1.146B,,,,,548.40M,,1.323B,3.081B,,,,,,,5.741B,-4.014B,1.727B,,348.60M,348.60M,,,531.80M,2.608B,5.689B,,1.191B,,,,1.191B,,1.191B,,,79.30M,79.30M,,,,942.20M,2.213B,287.70M,287.70M,,,,,,134.20M,421.90M,2.635B,,,5.008B,,,,,,3.054B,,,
1990-03,,57.40M,,57.40M,,1.105B,,,,,521.80M,,1.269B,2.953B,,,,,,,5.619B,-3.965B,1.655B,,309.20M,309.20M,,,530.30M,2.494B,5.447B,,1.116B,,,,1.116B,,1.116B,,,64.60M,64.60M,,,,871.20M,2.052B,299.00M,299.00M,,,,,,137.10M,436.10M,2.488B,,,4.935B,,,,,,2.959B,,,
1989-12,,53.90M,,53.90M,,1.104B,,,,,509.90M,,1.363B,3.031B,,,,,,,5.573B,-3.925B,1.648B,,274.40M,274.40M,,,528.80M,2.451B,5.482B,,1.138B,,,,1.138B,,1.138B,,,57.00M,57.00M,,,,951.60M,2.147B,292.50M,292.50M,,,,,,144.80M,437.30M,2.584B,,,4.877B,,,,,,2.898B,,,
1988-12,,1.449B,,1.449B,,1.130B,,,,,583.30M,,60.60M,3.223B,,,,,,,5.524B,-3.907B,1.617B,,243.20M,243.20M,,,517.70M,2.378B,5.600B,,,,,,,,,,,69.40M,69.40M,,,,2.442B,2.512B,191.50M,191.50M,,,,,,141.90M,333.40M,2.845B,,,4.721B,,,,,,2.755B,,,
1987-12,,2.569B,,2.569B,,1.099B,,,,,575.90M,,174.70M,4.418B,,,,,,,5.177B,-3.507B,1.670B,,231.10M,231.10M,,,421.20M,2.323B,6.741B,,,,,,,,,,,25.50M,25.50M,,,,2.632B,2.657B,125.30M,125.30M,,,,,,122.70M,248.00M,2.905B,,,1.146B,,,,,,3.836B,,,
1986-12,,3.810B,,3.810B,,974.70M,,,,,560.00M,,66.90M,5.412B,,,,,,,5.184B,-3.351B,1.832B,,118.00M,118.00M,,,649.30M,2.600B,8.012B,,,,,,,,,,,8.20M,8.20M,,,,3.285B,3.293B,504.30M,504.30M,,,,,,90.90M,595.20M,3.888B,,,4.539B,,,,,,4.123B,,,
1985-12,,4.590B,,4.590B,,1.273B,,,,,700.00M,,77.10M,6.640B,,,,,,,6.384B,-3.259B,3.125B,,534.30M,534.30M,,,982.50M,4.642B,11.28B,,,,,,,,,,,18.50M,18.50M,,,,3.273B,3.291B,1.014B,1.014B,,,,,,100.00M,1.114B,4.405B,,,6.901B,,,,,,6.877B,,,
1984-12,,4.006B,,4.006B,,1.215B,,,,,689.70M,,87.90M,5.998B,,,,,,,5.793B,-2.648B,3.145B,,760.80M,760.80M,,,1.009B,4.915B,10.91B,,,,,,,,,,,27.90M,27.90M,,,,2.749B,2.777B,965.60M,965.60M,,,,,,178.30M,1.144B,3.921B,,,6.908B,,,,,,6.992B,,,
