,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1988-12,1.037B,1.037B,,,,,,,,,,,,,-3.422B,,,,,,,,96.70M,,,,96.70M,,-3.422B,,-3.422B,,,,,,,,,,,,,,950.89M,950.89M,0.075,,,
1988-09,1.236B,1.236B,,,,,,,,,,,,,1.236B,,,,,,,,112.20M,,,,112.20M,,1.236B,,1.236B,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,1.089B,1.089B,0.075,,,
1988-06,1.353B,1.353B,,,,,,,,,,,,,1.353B,,,,,,,,144.00M,,,,144.00M,,1.353B,,1.353B,,0.135,0.00,,0.135,0.135,,0.135,0.00,,0.135,0.135,,1.089B,1.089B,0.075,,,
1988-03,1.299B,1.299B,,,,,,,,,,,,,1.299B,,,,,,,,101.00M,,,,101.00M,,1.299B,,1.299B,,0.095,0.00,,0.095,0.095,,0.095,0.00,,0.095,0.095,,1.095B,1.095B,0.075,,,
1987-12,975.10M,975.10M,,,,,,,,,,,,,-3.190B,,,,,,,,315.80M,0.00,,,315.80M,,-3.190B,,-3.190B,,,0.00,,,0.00,,,0.00,,,0.00,,1.089B,1.089B,0.075,,,
1987-09,1.089B,1.089B,,,,,,,,,,,,,1.089B,,,,,,,,151.60M,-220.00M,,,-68.40M,,1.089B,,1.089B,,0.135,-0.20,,0.135,-0.065,,0.135,-0.20,,0.135,-0.065,,1.115B,1.115B,0.075,,,
1987-06,1.053B,1.053B,,,,,,,,,,,,,1.053B,,,,,,,,30.20M,,,,30.20M,,1.053B,,1.053B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.125B,1.125B,0.075,,,
1987-03,1.031B,1.031B,,,,,,,,,,,,,1.031B,,,,,,,,5.00M,,,,5.00M,,1.031B,,1.031B,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,1.144B,1.144B,0.075,,,
1986-12,277.40M,277.40M,,,,,,,,,,,,,-4.198B,,,,,,,,-1.816B,,,,-1.816B,,-4.198B,,-4.198B,,,,,,,,,,,,,,1.125B,1.125B,0.075,,,
1986-09,1.291B,1.291B,,,,,,,,,,,,,1.291B,,,,,,,,-41.30M,,,,-41.30M,,1.291B,,1.291B,,-0.035,0.00,,-0.035,-0.035,,-0.035,0.00,,-0.035,-0.035,,1.144B,1.144B,0.075,,,
1986-06,1.411B,1.411B,,,,,,,,,,,,,1.411B,,,,,,,,55.20M,,,,55.20M,,1.411B,,1.411B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.184B,1.184B,0.075,,,
1986-03,1.589B,1.589B,,,,,,,,,,,,,1.589B,,,,,,,,148.20M,,,,148.20M,,1.589B,,1.589B,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,1.184B,1.184B,0.075,,,
1985-12,1.563B,1.563B,,,,,,,,,,,,,-3.681B,,,,,,,,-373.00M,,,,-373.00M,,-3.681B,,-3.681B,,,,,,,,,,,,,,1.184B,1.184B,0.075,,,
1985-09,1.448B,1.448B,,,,,,,,,,,,,1.448B,,,,,,,,208.00M,,,,208.00M,,1.448B,,1.448B,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,1.194B,1.194B,,,,
1985-06,1.521B,1.521B,,,,,,,,,,,,,1.521B,,,,,,,,212.00M,,,,212.00M,,1.521B,,1.521B,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,1.203B,1.203B,,,,
1985-03,1.587B,1.587B,,,,,,,,,,,,,1.587B,,,,,,,,304.00M,,,,304.00M,,1.587B,,1.587B,,0.255,0.00,,0.255,0.255,,0.255,0.00,,0.255,0.255,,1.203B,1.203B,,,,
1984-12,1.593B,1.593B,,,,,,,,,,,,,-3.052B,,,,,,,,311.10M,,,,311.10M,,-3.052B,,-3.052B,,,,,,,,,,,,,,1.203B,1.203B,,,,
1984-09,1.516B,1.516B,,,,,,,,,,,,,1.516B,,,,,,,,305.40M,,,,305.40M,,1.516B,,1.516B,,0.265,0.00,,0.265,0.265,,0.265,0.00,,0.265,0.265,,1.203B,1.203B,,,,
1984-06,1.466B,1.466B,,,,,,,,,,,,,1.466B,,,,,,,,291.70M,,,,291.70M,,1.466B,,1.466B,,0.255,0.00,,0.255,0.255,,0.255,0.00,,0.255,0.255,,1.203B,1.203B,,,,
1984-03,1.404B,1.404B,,,,,,,,,,,,,1.404B,,,,,,,,273.90M,,,,273.90M,,1.404B,,1.404B,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,1.203B,1.203B,,,,
