,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.190B,1.190B,722.55M,467.35M,390.80M,0.334M,,,0.202M,0.202M,391.13M,76.21M,0.202M,,0.202M,26.10M,0.202M,102.51M,26.76M,75.75M,,,75.75M,75.75M,92.14M,15.92M,76.21M,0.67,,0.67,0.67,0.67,,0.67,0.67,112.81M,113.36M,0.34
2020-06,1.108B,1.108B,685.25M,423.08M,364.83M,0.33M,,,0.105M,0.105M,365.16M,57.92M,0.105M,,0.105M,,0.105M,58.02M,11.83M,46.20M,,,46.20M,46.20M,73.84M,15.93M,57.92M,0.41,,0.41,0.41,0.41,,0.41,0.41,112.86M,113.12M,0.34
2020-03,1.507B,1.507B,895.97M,610.72M,479.57M,0.338M,,,0.957M,0.957M,479.91M,130.81M,0.957M,,0.957M,,0.957M,131.76M,41.85M,89.92M,,,89.92M,89.92M,147.06M,16.25M,130.81M,0.79,,0.79,0.79,0.79,,0.79,0.79,113.19M,113.86M,0.34
2019-12,1.537B,1.537B,895.13M,642.25M,454.39M,0.339M,,,1.357M,1.357M,454.73M,187.52M,1.357M,,1.357M,,1.357M,154.25M,41.40M,112.84M,,,112.84M,112.84M,203.64M,16.12M,187.52M,0.9895,,0.9895,0.9895,0.98,,0.98,0.98,114.02M,114.84M,0.31
2019-09,1.552B,1.552B,905.85M,646.28M,484.84M,0.339M,,,1.23M,1.23M,485.18M,161.10M,1.23M,,1.23M,1.45M,1.23M,163.78M,46.60M,117.18M,,,117.18M,117.18M,178.19M,17.08M,161.10M,1.02,,1.02,1.02,1.01,,1.01,1.01,115.18M,115.87M,0.31
2019-06,1.516B,1.516B,878.84M,637.54M,478.14M,0.341M,,,1.042M,1.042M,478.48M,159.06M,1.042M,,1.042M,,1.042M,160.10M,45.49M,114.61M,,,114.61M,114.61M,175.49M,16.43M,159.06M,0.98,,0.98,0.98,0.98,,0.98,0.98,116.38M,116.99M,0.31
2019-03,1.469B,1.469B,860.94M,607.59M,461.36M,0.342M,,,1.496M,1.496M,461.70M,145.89M,1.496M,,1.496M,,1.496M,147.38M,37.58M,109.80M,,,109.80M,109.80M,161.88M,15.99M,145.89M,0.94,,0.94,0.94,0.93,,0.93,0.93,117.07M,117.97M,0.31
2018-12,1.482B,1.482B,861.60M,620.06M,466.15M,0.371M,,,1.445M,1.445M,466.52M,153.54M,1.445M,,1.445M,,1.445M,154.98M,41.42M,113.56M,,,113.56M,113.56M,169.81M,16.27M,153.54M,0.9564,,0.9564,0.9564,0.95,,0.95,0.95,118.72M,119.83M,0.28
2018-09,1.466B,1.466B,855.76M,610.47M,459.33M,0.429M,,,1.196M,1.196M,459.76M,150.71M,1.196M,,1.196M,,1.196M,151.90M,36.66M,115.24M,,,115.24M,115.24M,167.08M,16.37M,150.71M,0.96,,0.96,0.96,0.95,,0.95,0.95,120.12M,121.44M,0.28
2018-06,1.457B,1.457B,849.94M,607.12M,457.61M,0.442M,,,1.006M,1.006M,458.05M,149.07M,1.006M,,1.006M,,1.006M,150.08M,40.76M,109.32M,,,109.32M,109.32M,165.66M,16.59M,149.07M,0.9,,0.9,0.9,0.89,,0.89,0.89,121.31M,122.27M,0.28
2018-03,1.395B,1.395B,822.97M,572.37M,438.00M,0.463M,,,0.735M,0.735M,438.46M,133.90M,0.735M,,0.735M,,0.735M,134.64M,38.47M,96.17M,,,96.17M,96.17M,150.62M,16.72M,133.90M,0.79,,0.79,0.79,0.78,,0.78,0.78,121.93M,122.89M,0.28
2017-12,1.346B,1.346B,793.14M,553.15M,424.38M,0.416M,,,0.691M,0.691M,424.80M,128.35M,0.691M,,0.691M,,0.691M,129.04M,81.99M,47.05M,,,47.05M,47.05M,144.78M,16.43M,128.35M,0.3827,,0.3827,0.3827,0.38,,0.38,0.38,122.91M,123.87M,0.24
2017-09,1.325B,1.325B,778.31M,546.40M,414.18M,0.481M,,,0.53M,0.53M,414.66M,131.74M,0.53M,,0.53M,,0.53M,132.27M,47.57M,84.70M,,,84.70M,84.70M,148.29M,16.55M,131.74M,0.69,,0.69,0.69,0.68,,0.68,0.68,123.57M,124.20M,0.24
2017-06,1.308B,1.308B,769.99M,538.44M,407.72M,0.365M,,,0.355M,0.355M,408.09M,130.35M,0.355M,,0.355M,,0.355M,130.71M,50.39M,80.32M,,,80.32M,80.32M,146.66M,16.31M,130.35M,0.64,,0.64,0.64,0.64,,0.64,0.64,124.62M,125.10M,0.24
2017-03,1.287B,1.287B,761.54M,525.83M,400.25M,0.301M,,,0.223M,0.223M,400.55M,125.28M,0.223M,,0.223M,,0.223M,125.50M,46.98M,78.52M,,,78.52M,78.52M,141.48M,16.20M,125.28M,0.63,,0.63,0.63,0.62,,0.62,0.62,125.54M,126.42M,0.24
2016-12,1.265B,1.265B,745.87M,519.20M,394.50M,0.309M,,,0.193M,0.193M,394.81M,124.39M,0.193M,,0.193M,,0.193M,124.58M,46.79M,77.79M,,,77.79M,77.79M,141.00M,16.62M,124.39M,0.6149,,0.6149,0.6149,0.61,,0.61,0.61,126.49M,127.42M,0.22
2016-09,1.339B,1.339B,786.03M,552.51M,406.14M,0.326M,,,0.283M,0.283M,406.47M,146.04M,0.283M,,0.283M,,0.283M,146.32M,55.76M,90.57M,,,90.57M,90.57M,162.43M,16.39M,146.04M,0.71,,0.71,0.71,0.71,,0.71,0.71,127.62M,128.19M,0.22
2016-06,1.344B,1.344B,787.17M,556.99M,407.50M,0.314M,,,0.231M,0.231M,407.81M,149.18M,0.231M,,0.231M,,0.231M,149.41M,57.80M,91.62M,,,91.62M,91.62M,165.08M,15.90M,149.18M,0.71,,0.71,0.71,0.71,,0.71,0.71,128.59M,129.33M,0.22
2016-03,1.303B,1.303B,770.65M,531.97M,398.07M,0.288M,,,0.181M,0.181M,398.36M,133.61M,0.181M,,0.181M,,0.181M,133.79M,50.38M,83.42M,,,83.42M,83.42M,149.02M,15.41M,133.61M,0.65,,0.65,0.65,0.64,,0.64,0.64,129.28M,130.14M,0.22
2015-12,1.305B,1.305B,764.51M,540.08M,395.72M,0.192M,,,0.15M,0.15M,395.92M,144.16M,0.15M,,0.15M,,0.15M,144.32M,50.87M,93.44M,,,93.44M,93.44M,158.14M,13.98M,144.16M,0.7178,,0.7178,0.7178,0.71,,0.71,0.71,130.16M,131.41M,0.2
2015-09,1.313B,1.313B,762.92M,549.80M,390.74M,0.00,,,0.24M,0.24M,390.74M,159.07M,0.24M,,0.24M,,0.24M,159.31M,62.58M,96.72M,,,96.72M,96.72M,171.98M,12.92M,159.07M,0.74,,0.74,0.74,0.73,,0.73,0.73,131.28M,132.49M,0.2
2015-06,1.272B,1.272B,741.56M,530.50M,381.36M,0.00,,,0.088M,0.088M,381.36M,149.15M,0.088M,,0.088M,,0.088M,149.24M,59.53M,89.71M,,,89.71M,89.71M,162.71M,13.56M,149.15M,0.68,,0.68,0.68,0.67,,0.67,0.67,132.50M,133.55M,0.2
2015-03,1.206B,1.206B,711.48M,494.09M,365.98M,0.00,,,0.072M,0.072M,365.98M,128.10M,0.072M,,0.072M,,0.072M,128.17M,50.25M,77.92M,,,77.92M,77.92M,141.11M,13.01M,128.10M,0.59,,0.59,0.59,0.58,,0.58,0.58,133.08M,134.29M,0.2
2014-12,1.221B,1.221B,720.69M,500.76M,367.59M,0.00,,,0.154M,0.154M,367.59M,133.17M,0.154M,,0.154M,,0.154M,133.32M,49.27M,84.05M,,,84.05M,84.05M,146.12M,12.95M,133.17M,0.6302,,0.6302,0.6302,0.62,,0.62,0.62,133.36M,134.94M,0.18
2014-09,1.224B,1.224B,719.09M,505.22M,366.97M,0.00,,,0.108M,0.108M,366.97M,138.25M,0.108M,,0.108M,,0.108M,138.36M,53.18M,85.18M,,,85.18M,85.18M,150.36M,12.11M,138.25M,0.64,,0.64,0.64,0.63,,0.63,0.63,134.05M,135.37M,0.18
