,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,,,,,,,,,,,,,,,3.793B,,,,-260.00M,-6.721B,-29.00M,-6.679B,-32.00M,,-32.00M,,-80.00M,-80.00M,989.00M,,989.00M,-419.00M,-59.00M,-478.00M,134.00M,1.728B,2.885B,24.29B,-1.00M,117.00M,24.40B,989.00M,50.00M,-82.00M,-80.00M,209.00M,153.00M
2020-06,,,,,,,,,,,,,,,846.00M,,,,-380.00M,466.00M,240.00M,-1.391B,-7.00M,,-7.00M,,0.00,0.00,0.00,,0.00,-419.00M,-77.00M,-496.00M,-75.00M,2.653B,680.00M,24.09B,135.00M,60.00M,24.29B,0.00,0.00,-7.00M,0.00,130.00M,290.00M
2020-03,,,,,,,,,,,,,,,1.847B,,,,-334.00M,-6.135B,-75.00M,-8.337B,1.068B,,1.068B,,-500.00M,-500.00M,972.00M,,972.00M,-404.00M,-32.00M,-436.00M,-167.00M,4.424B,14.16B,16.60B,7.667B,-171.00M,24.09B,972.00M,1.074B,-6.00M,-500.00M,,136.00M
2019-12,,,,,,,,,,,,,,,5.181B,,,,-463.00M,-4.996B,-2.00M,-7.093B,-5.00M,,-5.00M,,-250.00M,-250.00M,0.00,,0.00,-406.00M,-57.00M,-463.00M,-144.00M,1.537B,-1.009B,19.45B,-2.921B,67.00M,16.60B,0.00,0.00,-5.00M,-250.00M,257.00M,317.00M
2019-09,,,,,,,,,,,,,,,4.146B,,,,-222.00M,-3.912B,-37.00M,-5.351B,-6.00M,,-6.00M,,-785.00M,-785.00M,0.00,,0.00,-413.00M,-32.00M,-445.00M,32.00M,553.00M,2.327B,18.44B,1.122B,-105.00M,19.45B,0.00,0.00,-6.00M,-785.00M,86.00M,137.00M
2019-06,,,,,,,,,,,,,,,2.387B,,,,-218.00M,642.00M,-37.00M,557.00M,497.00M,,497.00M,,-750.00M,-750.00M,0.00,,0.00,-419.00M,-57.00M,-476.00M,15.00M,1.311B,934.00M,14.51B,3.878B,51.00M,18.44B,0.00,1.382B,-885.00M,-750.00M,642.00M,362.00M
2019-03,,,,,,,,,,,,,,,2.072B,,,,-178.00M,-2.455B,-55.00M,-5.699B,-10.00M,,-10.00M,,-500.00M,-500.00M,0.00,,0.00,-405.00M,-32.00M,-437.00M,-29.00M,2.904B,2.316B,15.82B,-1.311B,-4.00M,14.51B,0.00,0.00,-10.00M,-500.00M,114.00M,148.00M
2018-12,,,,,,,,,,,,,,,1.301B,,,,-198.00M,8.522B,-56.00M,5.358B,-560.00M,,-560.00M,,-1.20B,-1.20B,0.00,,0.00,-415.00M,-57.00M,-472.00M,159.00M,206.00M,-3.332B,12.49B,3.327B,4.00M,15.82B,0.00,0.00,-560.00M,-1.20B,1.24B,321.00M
2018-09,,,,,,,,,,,,,,,3.533B,,,,-302.00M,-3.933B,12.00M,-6.228B,-1.101B,,-1.101B,,-636.00M,-636.00M,0.00,,0.00,-419.00M,-32.00M,-451.00M,-27.00M,2.048B,-1.081B,16.31B,-3.776B,-46.00M,12.49B,0.00,10.00M,-1.111B,-636.00M,118.00M,217.00M
2018-06,,,,,,,,,,,,,,,5.608B,,,,-110.00M,-4.028B,-74.00M,-4.279B,-168.00M,,-168.00M,,-1.115B,-1.115B,780.00M,,780.00M,-428.00M,-46.00M,-474.00M,-25.00M,1.43B,1.394B,13.93B,2.723B,-338.00M,16.31B,780.00M,0.00,-168.00M,-1.115B,431.00M,349.00M
