,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationofSecurities,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,16.02B,16.02B,,1.384B,1.384B,,,229.00M,-229.00M,194.00M,1.578B,229.00M,-229.00M,455.00M,-229.00M,923.00M,214.00M,709.00M,,,-3.00M,73.00M,706.00M,706.00M,,1.152B,0.7,,,,0.7,0.7,0.69,,,,0.69,0.69,908.70M,913.70M,0.46
2020-06,14.10B,14.10B,,1.381B,1.381B,,,232.00M,-232.00M,176.00M,1.557B,232.00M,-232.00M,456.00M,-232.00M,197.00M,47.00M,150.00M,,,-5.00M,77.00M,145.00M,145.00M,,429.00M,0.07,,,,0.07,0.07,0.07,,,,0.07,0.07,908.80M,913.10M,0.46
2020-03,18.31B,18.31B,,1.446B,1.446B,,,222.00M,-222.00M,193.00M,1.639B,222.00M,-222.00M,439.00M,-222.00M,5.643B,1.242B,4.401B,,,-3.00M,32.00M,4.398B,4.398B,,5.865B,4.78,,,,4.78,4.78,4.75,,,,4.75,4.75,914.10M,920.00M,0.44
2019-12,17.14B,17.14B,,1.723B,1.723B,,,224.00M,-224.00M,166.00M,1.889B,224.00M,-224.00M,451.00M,-224.00M,-37.00M,-625.00M,588.00M,,,5.00M,57.00M,593.00M,593.00M,,187.00M,0.5834,0.0,,,0.5834,0.5834,0.579,0.0,,,0.579,0.58,918.40M,925.20M,0.44
2019-09,18.68B,18.68B,,1.631B,1.631B,,,223.00M,-223.00M,164.00M,1.795B,223.00M,-223.00M,419.00M,-223.00M,2.791B,601.00M,2.19B,,,-6.00M,32.00M,2.184B,2.184B,,3.014B,2.31,,,,2.31,2.31,2.3,,,,2.3,2.3,929.60M,936.40M,0.44
2019-06,17.50B,17.50B,,1.63B,1.63B,,,274.00M,-274.00M,174.00M,1.804B,274.00M,-274.00M,478.00M,-274.00M,2.297B,551.00M,1.746B,,,-5.00M,57.00M,1.741B,1.741B,,2.571B,1.78,,,,1.78,1.78,1.77,,,,1.77,1.77,946.20M,952.90M,0.44
2019-03,16.30B,16.30B,,1.57B,1.57B,,,234.00M,-234.00M,170.00M,1.74B,234.00M,-234.00M,494.00M,-234.00M,1.744B,359.00M,1.385B,,,-4.00M,32.00M,1.381B,1.381B,,1.978B,1.41,,,,1.41,1.41,1.4,,,,1.4,1.4,956.50M,963.30M,0.42
2018-12,15.66B,15.66B,,1.468B,1.468B,,,260.00M,-260.00M,199.00M,1.667B,260.00M,-260.00M,452.00M,-260.00M,2.471B,409.00M,2.062B,,,5.00M,57.00M,2.067B,2.067B,,2.731B,2.05,0.0,,,2.05,2.05,2.035,0.0,,,2.035,2.04,979.80M,987.20M,0.42
2018-09,16.29B,16.29B,,1.691B,1.691B,,,267.00M,-267.00M,193.00M,1.884B,267.00M,-267.00M,479.00M,-267.00M,1.079B,164.00M,915.00M,,,-3.00M,32.00M,912.00M,912.00M,,1.346B,0.89,,,,0.89,0.89,0.88,,,,0.88,0.88,992.70M,1.001B,0.42
2018-06,21.18B,21.18B,,1.694B,1.694B,,,309.00M,-309.00M,187.00M,1.881B,309.00M,-309.00M,475.00M,-309.00M,1.101B,207.00M,894.00M,,,-3.00M,46.00M,891.00M,891.00M,,1.41B,0.83,,,,0.83,0.83,0.83,,,,0.83,0.83,1.016B,1.024B,0.42
2018-03,14.80B,14.80B,,1.609B,1.609B,,,286.00M,-286.00M,179.00M,1.788B,286.00M,-286.00M,474.00M,-286.00M,1.656B,399.00M,1.257B,,,-4.00M,6.00M,1.253B,1.253B,,1.942B,1.2,,,,1.2,1.2,1.19,,,,1.19,1.19,1.036B,1.044B,0.4
