,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2008-12,106.00M,,,,-45.00M,-66.00M,-35.00M,,,81.00M,81.00M,-39.00M,,28.00M,-13.00M,46.00M,398.00M,83.00M,-248.00M,-19.00M,-206.00M,35.00M,43.00M,262.00M,,-242.00M,9.00M,392.00M,-82.00M,64.00M,-161.00M,34.00M,-296.00M,,-76.00M,33.00M,-28.00M,11.00M,-5.00M,6.00M,-122.00M,,-36.00M,-8.00M,-66.00M,,572.00M,-100.00M,-46.00M,426.00M,,11.00M,76.00M,-152.00M,-5.00M,,AOR,Restated
2008-09,200.00M,,,,62.00M,5.00M,-9.00M,,,75.00M,75.00M,24.00M,,-17.00M,12.00M,-25.00M,6.00M,-132.00M,-76.00M,-19.00M,206.00M,74.00M,59.00M,319.00M,,-146.00M,10.00M,-373.00M,36.00M,-66.00M,16.00M,-10.00M,-196.00M,,24.00M,-1.00M,8.00M,52.00M,-78.00M,-26.00M,51.00M,,-35.00M,-7.00M,-60.00M,,522.00M,63.00M,-13.00M,572.00M,,52.00M,-78.00M,101.00M,-78.00M,,,
2008-06,310.00M,,,,-23.00M,0.00,-23.00M,,,83.00M,83.00M,21.00M,,9.00M,-2.00M,38.00M,-123.00M,-37.00M,133.00M,-11.00M,,-29.00M,-67.00M,369.00M,,-133.00M,9.00M,9.00M,-22.00M,-47.00M,-29.00M,-4.00M,-204.00M,,-19.00M,-13.00M,-32.00M,,-34.00M,-34.00M,-26.00M,6.00M,-20.00M,-3.00M,-89.00M,,446.00M,76.00M,0.00,522.00M,,,22.00M,-54.00M,-34.00M,,,Restated
2008-03,202.00M,,,,-39.00M,-5.00M,-44.00M,,,75.00M,75.00M,-7.00M,,8.00M,-10.00M,6.00M,-193.00M,-165.00M,141.00M,-5.00M,,29.00M,-193.00M,37.00M,,-104.00M,1.00M,1.00M,-14.00M,-29.00M,-11.00M,-9.00M,-152.00M,,-5.00M,14.00M,9.00M,,-11.00M,-11.00M,-25.00M,-6.00M,-31.00M,11.00M,-22.00M,,577.00M,-137.00M,6.00M,446.00M,,,56.00M,-47.00M,-11.00M,,,Restated
2007-12,198.00M,,,,,,-199.00M,,,75.00M,75.00M,-9.00M,,,,96.00M,19.00M,74.00M,-82.00M,-12.00M,96.00M,31.00M,126.00M,287.00M,,-192.00M,11.00M,-181.00M,,35.00M,-94.00M,48.00M,-192.00M,,,,-8.00M,1.00M,-125.00M,-124.00M,,,-26.00M,9.00M,-149.00M,,624.00M,-54.00M,7.00M,577.00M,,1.00M,,,-125.00M,,,
2007-09,184.00M,,,,,,-18.00M,,,73.00M,73.00M,22.00M,,,,-51.00M,65.00M,-93.00M,3.00M,-12.00M,175.00M,19.00M,157.00M,367.00M,,-92.00M,14.00M,-78.00M,,0.00,-8.00M,-61.00M,-147.00M,,,,-14.00M,0.00,-174.00M,-174.00M,,,-25.00M,-15.00M,-228.00M,,626.00M,-8.00M,6.00M,624.00M,,0.00,,,-174.00M,,,
2007-06,214.00M,,,,,,-10.00M,,,74.00M,74.00M,16.00M,,,,-5.00M,-134.00M,-71.00M,89.00M,-4.00M,85.00M,15.00M,-20.00M,269.00M,,-75.00M,17.00M,-58.00M,,0.00,-40.00M,-5.00M,-103.00M,,,,-20.00M,1.00M,-23.00M,-22.00M,,,-19.00M,-3.00M,-64.00M,,521.00M,102.00M,3.00M,626.00M,,1.00M,,,-23.00M,,,
2007-03,143.00M,,,,,,-1.00M,,,68.00M,68.00M,31.00M,,,,-36.00M,-153.00M,-165.00M,126.00M,-6.00M,-150.00M,30.00M,-318.00M,-113.00M,,-61.00M,2.00M,-59.00M,,-20.00M,9.00M,-3.00M,-73.00M,,,,-99.00M,2.00M,-13.00M,-11.00M,,,-19.00M,-6.00M,-135.00M,,840.00M,-321.00M,2.00M,521.00M,,2.00M,,,-13.00M,,,
2006-12,189.00M,,,,,,-121.00M,,,74.00M,74.00M,-2.00M,,,,44.00M,-69.00M,42.00M,17.00M,15.00M,24.00M,14.00M,43.00M,227.00M,,-116.00M,17.00M,-99.00M,,,-17.00M,2.00M,-92.00M,,,,-256.00M,1.00M,-45.00M,-44.00M,,,-19.00M,-6.00M,-325.00M,,1.027B,-190.00M,3.00M,840.00M,,1.00M,,,-45.00M,,,
2006-09,171.00M,,,,,,16.00M,,,74.00M,74.00M,67.00M,,,,-95.00M,17.00M,-75.00M,-15.00M,-7.00M,59.00M,46.00M,25.00M,258.00M,,-61.00M,8.00M,-53.00M,,,-21.00M,-1.00M,-75.00M,,,,-2.00M,2.00M,-14.00M,-12.00M,,,-19.00M,-4.00M,-37.00M,,878.00M,146.00M,3.00M,1.027B,,2.00M,,,-14.00M,,,
2006-06,220.00M,,,,,,-33.00M,,,74.00M,74.00M,23.00M,,,,29.00M,-55.00M,-50.00M,39.00M,6.00M,72.00M,12.00M,24.00M,337.00M,,-60.00M,2.00M,-58.00M,,,-14.00M,,-72.00M,,,,-19.00M,2.00M,-26.00M,-24.00M,,,-14.00M,-5.00M,-62.00M,,676.00M,203.00M,-1.00M,878.00M,,2.00M,,,-26.00M,,,
2006-03,135.00M,,,,,,-6.00M,,,74.00M,74.00M,51.00M,,,,14.00M,-194.00M,-75.00M,108.00M,-18.00M,-67.00M,-4.00M,-250.00M,18.00M,,-64.00M,22.00M,-42.00M,,,4.00M,,-38.00M,,,,-32.00M,4.00M,-36.00M,-32.00M,,,-14.00M,-6.00M,-84.00M,,779.00M,-104.00M,1.00M,676.00M,,4.00M,,,-36.00M,,,
2005-12,167.00M,,,,,,34.00M,295.00M,-1.00M,78.00M,78.00M,53.00M,,,,14.00M,96.00M,9.00M,-67.00M,-17.00M,-14.00M,22.00M,29.00M,375.00M,,-65.00M,-13.00M,-78.00M,,0.00,-6.00M,-3.00M,-87.00M,,,,-16.00M,3.00M,-38.00M,-35.00M,,,-14.00M,-2.00M,-67.00M,,561.00M,221.00M,-3.00M,779.00M,,3.00M,,,-38.00M,,,
2005-09,145.00M,,,,,,-27.00M,,,72.00M,72.00M,17.00M,,,,-14.00M,-42.00M,-108.00M,69.00M,6.00M,106.00M,6.00M,37.00M,230.00M,,-43.00M,0.00,-43.00M,,0.00,19.00M,-25.00M,-49.00M,,,,-20.00M,15.00M,28.00M,43.00M,,,-33.00M,-15.00M,-25.00M,,404.00M,156.00M,1.00M,561.00M,,15.00M,,,28.00M,,,
2005-06,141.00M,,,,,,20.00M,-72.00M,1.00M,73.00M,73.00M,38.00M,,,,-19.00M,-80.00M,-35.00M,-14.00M,-3.00M,71.00M,25.00M,-36.00M,217.00M,,-41.00M,3.00M,-38.00M,,-2.00M,-18.00M,0.00,-58.00M,,,,1.00M,5.00M,-28.00M,-23.00M,,,5.00M,5.00M,-12.00M,,261.00M,147.00M,-4.00M,404.00M,,5.00M,,,-28.00M,,,
2005-03,97.00M,,,,,,2.00M,72.00M,-1.00M,71.00M,71.00M,16.00M,,,,19.00M,-283.00M,-53.00M,120.00M,5.00M,-74.00M,18.00M,-267.00M,-62.00M,,-37.00M,10.00M,-27.00M,,,8.00M,1.00M,-18.00M,,,,-259.00M,7.00M,,7.00M,,,-14.00M,-2.00M,-268.00M,,611.00M,-348.00M,-2.00M,261.00M,,7.00M,,,,,,
2004-12,119.00M,,,,,,10.00M,73.00M,-1.00M,72.00M,72.00M,-28.00M,,,,-9.00M,87.00M,8.00M,-43.00M,-12.00M,58.00M,-16.00M,82.00M,246.00M,,-73.00M,5.00M,-68.00M,,0.00,1.00M,-9.00M,-76.00M,,,,10.00M,23.00M,,23.00M,,,-21.00M,3.00M,15.00M,,421.00M,185.00M,5.00M,611.00M,,23.00M,,,,,,
2004-09,116.00M,,,,,,-34.00M,71.00M,-2.00M,69.00M,69.00M,-23.00M,,,,9.00M,-11.00M,-64.00M,-4.00M,2.00M,71.00M,-15.00M,-21.00M,116.00M,,-41.00M,2.00M,-39.00M,,0.00,10.00M,-6.00M,-35.00M,,,,-17.00M,53.00M,26.00M,79.00M,,,-40.00M,-4.00M,18.00M,,322.00M,99.00M,0.00,421.00M,,53.00M,,,26.00M,,,
2004-06,82.00M,,,,,,31.00M,68.00M,-1.00M,67.00M,67.00M,,,,,-10.00M,-120.00M,-65.00M,85.00M,,114.00M,12.00M,26.00M,196.00M,,-28.00M,4.00M,-24.00M,,-18.00M,3.00M,-10.00M,-49.00M,,,,9.00M,50.00M,-26.00M,24.00M,,,13.00M,-2.00M,44.00M,,131.00M,191.00M,0.00,322.00M,,50.00M,,,-26.00M,,,
2004-03,33.00M,,,,,,-9.00M,60.00M,-2.00M,58.00M,58.00M,,,,,10.00M,-119.00M,-83.00M,172.00M,,-6.00M,,-36.00M,56.00M,,-9.00M,1.00M,-8.00M,,,5.00M,-26.00M,-29.00M,,,,-12.00M,22.00M,,22.00M,,,-13.00M,,-3.00M,,108.00M,24.00M,-1.00M,131.00M,,22.00M,,,,,,
2003-12,43.00M,,,,,,0.00,58.00M,-2.00M,56.00M,56.00M,,,,,,68.00M,16.00M,-52.00M,,-15.00M,29.00M,46.00M,145.00M,,-70.00M,6.00M,-64.00M,,,2.00M,13.00M,-49.00M,,,,-64.00M,15.00M,,15.00M,,,-13.00M,-9.00M,-71.00M,,80.00M,25.00M,3.00M,108.00M,,15.00M,,,,,,
2003-09,24.00M,,,,,,1.00M,165.00M,-5.00M,51.00M,51.00M,,,,,,-48.00M,-8.00M,19.00M,,15.00M,-4.00M,-26.00M,50.00M,,-27.00M,2.00M,-25.00M,,,-15.00M,-20.00M,-60.00M,,,,9.00M,37.00M,,37.00M,,,-12.00M,-3.00M,31.00M,,59.00M,21.00M,0.00,80.00M,,37.00M,,,,,,
2003-06,17.00M,,,,,,-10.00M,,,54.00M,54.00M,,,,,,-34.00M,-13.00M,21.00M,,,4.00M,-22.00M,39.00M,,-27.00M,2.00M,-25.00M,,,17.00M,2.00M,-6.00M,,,,-28.00M,,,,,,-13.00M,-8.00M,-49.00M,,66.00M,-16.00M,2.00M,59.00M,,,,,,,,
2003-03,-34.00M,,,,,,-4.00M,,,55.00M,55.00M,,,,,,-50.00M,-58.00M,15.00M,,,,-93.00M,-76.00M,,-16.00M,3.00M,-13.00M,,,-7.00M,,-20.00M,,,,-41.00M,,,,,,-12.00M,-3.00M,-56.00M,,217.00M,-152.00M,1.00M,66.00M,,,,,,,,
2002-12,59.00M,,,,,,26.00M,,,51.00M,51.00M,,,,,,244.00M,56.00M,-233.00M,,-52.00M,,25.00M,161.00M,,-36.00M,-5.00M,-41.00M,,7.00M,-30.00M,-54.00M,-118.00M,,,,119.00M,,,,,,-13.00M,14.00M,120.00M,,101.00M,163.00M,2.00M,224.00M,,,,,,,,
2002-09,31.00M,,,,,,-1.00M,,,57.00M,57.00M,,,,,,-147.00M,25.00M,54.00M,,-22.00M,,-90.00M,-3.00M,,-20.00M,50.00M,30.00M,,-7.00M,10.00M,-9.00M,24.00M,,,,4.00M,,,,,,-12.00M,-1.00M,-9.00M,,48.00M,12.00M,-1.00M,101.00M,,,,,,,,
2002-06,18.00M,,,,,,-7.00M,,,53.00M,53.00M,,,,,,-114.00M,-4.00M,114.00M,,19.00M,,15.00M,79.00M,,-16.00M,1.00M,-15.00M,,,0.00,-17.00M,-32.00M,,,,-36.00M,,,,,,-13.00M,2.00M,-47.00M,,48.00M,0.00,2.00M,48.00M,,,,,,,,
2002-03,-26.00M,,,,,,4.00M,,,54.00M,54.00M,,,,,,-70.00M,-31.00M,25.00M,,,,-76.00M,-44.00M,,-18.00M,2.00M,-16.00M,,,-10.00M,,-26.00M,,,,80.00M,,,,,,-12.00M,-1.00M,67.00M,,52.00M,-3.00M,-1.00M,48.00M,,,,,,,,
2001-12,2.00M,,,,,,38.00M,,,52.00M,52.00M,,,,,,276.00M,63.00M,-226.00M,,-106.00M,-4.00M,3.00M,95.00M,,-48.00M,8.00M,-40.00M,,,,-54.00M,-115.00M,,,,-35.00M,0.00,,0.00,,,-13.00M,24.00M,-24.00M,,115.00M,-44.00M,0.00,50.00M,,0.00,,,,,,
2001-09,3.00M,,,,,,-43.00M,,,57.00M,57.00M,,,,,,75.00M,-29.00M,-67.00M,,-11.00M,15.00M,-17.00M,0.00,,-36.00M,32.00M,-4.00M,,,,-3.00M,-7.00M,,,,31.00M,-1.00M,,-1.00M,,,-12.00M,0.00,18.00M,,104.00M,11.00M,0.00,115.00M,,-1.00M,,,,,,
2001-06,-82.00M,,,,,,123.00M,,,59.00M,59.00M,,,,,,-72.00M,40.00M,-13.00M,,-39.00M,-2.00M,-86.00M,14.00M,,-60.00M,121.00M,61.00M,,,,4.00M,65.00M,,,,-345.00M,292.00M,,292.00M,,,-13.00M,-2.00M,-68.00M,,94.00M,11.00M,-1.00M,104.00M,,292.00M,,,,,,
2001-03,-26.00M,,,,,,-12.00M,,,59.00M,59.00M,,,,,,-73.00M,-3.00M,93.00M,,-8.00M,13.00M,22.00M,43.00M,,-62.00M,1.00M,-61.00M,,,,-22.00M,-83.00M,,,,92.00M,,,,,,-12.00M,-8.00M,72.00M,,62.00M,32.00M,,94.00M,,,,,,,,
2000-12,-114.00M,,,,,,140.00M,,,60.00M,60.00M,,,,,,403.00M,40.00M,-189.00M,,17.00M,41.00M,312.00M,398.00M,,-98.00M,-4.00M,-102.00M,,7.00M,,-67.00M,-172.00M,,,,-255.00M,,0.00,0.00,,,-13.00M,1.00M,-267.00M,,94.00M,-41.00M,0.00,41.00M,,,,,0.00,,,
2000-09,25.00M,,,,,,-11.00M,,,63.00M,63.00M,,,,,,29.00M,10.00M,-102.00M,,-16.00M,17.00M,-62.00M,15.00M,,-46.00M,-6.00M,-52.00M,,-7.00M,,-40.00M,-99.00M,,,,119.00M,,0.00,0.00,,,-12.00M,-2.00M,105.00M,,74.00M,21.00M,-1.00M,94.00M,,,,,0.00,,,
2000-06,61.00M,,,,,,-3.00M,,,60.00M,60.00M,,,,,,-3.00M,4.00M,-45.00M,,2.00M,-26.00M,-68.00M,50.00M,,-53.00M,9.00M,-44.00M,,0.00,,-18.00M,-62.00M,,,,33.00M,,0.00,0.00,,,-13.00M,-1.00M,19.00M,,68.00M,7.00M,-1.00M,74.00M,,,,,0.00,,,
2000-03,42.00M,,,,,,-2.00M,,,57.00M,57.00M,,,,,,-141.00M,-42.00M,100.00M,,-3.00M,-2.00M,-88.00M,9.00M,,-31.00M,7.00M,-24.00M,,-35.00M,,-18.00M,-77.00M,,,,88.00M,,-16.00M,-16.00M,,,-12.00M,2.00M,62.00M,,74.00M,-6.00M,,68.00M,,,,,-16.00M,,,
1999-12,25.00M,,,,,,96.00M,,,61.00M,61.00M,,,,,,77.00M,10.00M,-54.00M,,-36.00M,-11.00M,-14.00M,137.00M,,-94.00M,49.00M,-45.00M,,,,4.00M,-41.00M,,,,-66.00M,,-4.00M,-4.00M,,,-12.00M,0.00,-82.00M,,60.00M,14.00M,,74.00M,,,,,-4.00M,,,
1999-09,53.00M,,,,,,-12.00M,,,58.00M,58.00M,,,,,,-89.00M,-42.00M,16.00M,,12.00M,-9.00M,-112.00M,-13.00M,,-41.00M,6.00M,-35.00M,,,,1.00M,-34.00M,,,,80.00M,,-20.00M,-20.00M,,,-12.00M,-8.00M,40.00M,,67.00M,-7.00M,,60.00M,,,,,-20.00M,,,
1999-06,58.00M,,,,,,-6.00M,,,58.00M,58.00M,,,,,,-58.00M,-26.00M,105.00M,,18.00M,2.00M,41.00M,151.00M,,-43.00M,13.00M,-30.00M,,,,-15.00M,-45.00M,,,,-61.00M,,-10.00M,-10.00M,,,-11.00M,-2.00M,-84.00M,,45.00M,22.00M,,67.00M,,,,,-10.00M,,,
1999-03,24.00M,,,,,,-5.00M,,,56.00M,56.00M,,,,,,-130.00M,-2.00M,95.00M,,6.00M,-12.00M,-43.00M,32.00M,,-37.00M,11.00M,-26.00M,,,,-20.00M,-46.00M,,,,34.00M,,,,,,-12.00M,-1.00M,21.00M,,38.00M,7.00M,,45.00M,,,,,,,,
1998-12,29.00M,,,,,,27.00M,,,51.00M,51.00M,,,,,,108.00M,53.00M,-99.00M,,31.00M,-28.00M,65.00M,107.00M,,-72.00M,4.00M,-68.00M,,-1.00M,,-1.00M,-70.00M,,,,-53.00M,,-3.00M,-3.00M,,,-11.00M,5.00M,-62.00M,,63.00M,-25.00M,0.00,38.00M,,,,,-3.00M,,,
1998-09,-110.00M,,,,,,132.00M,,,50.00M,50.00M,,,,,,47.00M,-31.00M,40.00M,,-41.00M,1.00M,16.00M,88.00M,,-45.00M,-1.00M,-46.00M,,-1.00M,,-14.00M,-61.00M,,,,16.00M,,-11.00M,-11.00M,,,-12.00M,3.00M,-4.00M,,40.00M,23.00M,0.00,63.00M,,,,,-11.00M,,,
1998-06,53.00M,,,,,,-5.00M,,,51.00M,51.00M,,,,,,-52.00M,6.00M,-5.00M,,17.00M,-10.00M,-44.00M,55.00M,,-71.00M,2.00M,-69.00M,,-13.00M,,15.00M,-67.00M,,,,12.00M,,,,,,-11.00M,4.00M,5.00M,,48.00M,-7.00M,-1.00M,40.00M,,,,,,,,
1998-03,7.00M,,,,,,-6.00M,,,47.00M,47.00M,,,,,,-113.00M,-54.00M,120.00M,,-7.00M,27.00M,-27.00M,21.00M,,-83.00M,2.00M,-81.00M,,-453.00M,,-20.00M,-554.00M,,,,545.00M,,,,,,-12.00M,-1.00M,532.00M,,49.00M,-1.00M,,48.00M,,,,,,,,
1997-12,64.00M,,,,,,-10.00M,,,40.00M,40.00M,,,,,,94.00M,-2.00M,-80.00M,,-11.00M,1.00M,2.00M,118.00M,,-107.00M,16.00M,-91.00M,,,,-35.00M,-126.00M,,,,12.00M,,-9.00M,-9.00M,,,-11.00M,4.00M,-4.00M,,61.00M,-12.00M,0.00,49.00M,,,,,-9.00M,,,
1997-09,54.00M,,,,,,-5.00M,,,38.00M,38.00M,,,,,,-34.00M,-14.00M,-12.00M,,1.00M,-13.00M,-72.00M,15.00M,,-93.00M,-7.00M,-100.00M,,,,-10.00M,-110.00M,,,,68.00M,,-8.00M,-8.00M,,,-12.00M,-3.00M,45.00M,,111.00M,-50.00M,0.00,61.00M,,,,,-8.00M,,,
1997-06,53.00M,,,,,,-6.00M,,,41.00M,41.00M,,,,,,-69.00M,-18.00M,30.00M,,6.00M,0.00,-51.00M,37.00M,,-101.00M,81.00M,-20.00M,,,,-2.00M,-22.00M,,,,29.00M,,0.00,0.00,,,-12.00M,-2.00M,15.00M,,81.00M,30.00M,0.00,111.00M,,,,,0.00,,,
1997-03,41.00M,,,,,,-4.00M,,,39.00M,39.00M,,,,,,-71.00M,-31.00M,44.00M,,4.00M,8.00M,-46.00M,30.00M,,-104.00M,7.00M,-97.00M,,,,1.00M,-96.00M,,,,110.00M,,-58.00M,-58.00M,,,-10.00M,-2.00M,40.00M,,108.00M,-26.00M,-1.00M,81.00M,,,,,-58.00M,,,
1996-12,41.00M,,,,,,5.00M,,,38.00M,38.00M,,,,,,69.00M,44.00M,-49.00M,,-11.00M,-7.00M,46.00M,147.00M,,-153.00M,-7.00M,-160.00M,,,,-31.00M,-191.00M,,,,80.00M,,0.00,0.00,,,-10.00M,0.00,70.00M,,79.00M,26.00M,3.00M,108.00M,,,,,0.00,,,
1996-09,26.00M,,,,,,-13.00M,,,35.00M,35.00M,,,,,,-14.00M,-42.00M,15.00M,,-10.00M,-3.00M,-54.00M,-6.00M,,-67.00M,14.00M,-53.00M,,,,-7.00M,-60.00M,,,,-3.00M,,-13.00M,-13.00M,,,-10.00M,1.00M,-25.00M,,169.00M,-91.00M,1.00M,79.00M,,,,,-13.00M,,,
1996-06,44.00M,,,,,,-5.00M,,,38.00M,38.00M,,,,,,-98.00M,-29.00M,65.00M,,8.00M,4.00M,-50.00M,27.00M,,-48.00M,21.00M,-27.00M,,,,7.00M,-20.00M,,,,36.00M,,-17.00M,-17.00M,,,-10.00M,-1.00M,8.00M,,153.00M,15.00M,1.00M,169.00M,,,,,-17.00M,,,
1996-03,49.00M,,,,,,-18.00M,,,38.00M,38.00M,,,,,,-13.00M,-35.00M,-3.00M,,13.00M,-6.00M,-44.00M,25.00M,,-36.00M,8.00M,-28.00M,,,,40.00M,12.00M,,,,72.00M,,-4.00M,-4.00M,,,-10.00M,-1.00M,57.00M,,60.00M,94.00M,-1.00M,153.00M,,,,,-4.00M,,,
1995-12,42.00M,,,,,,,,,37.00M,37.00M,,,,,,-17.00M,52.00M,68.00M,,,4.00M,107.00M,200.00M,,-93.00M,3.00M,-90.00M,,,,-69.00M,-160.00M,,,,-50.00M,,0.00,0.00,,,-10.00M,3.00M,-57.00M,,77.00M,-17.00M,0.00,60.00M,,,,,0.00,,,
1995-09,46.00M,,,,,,,,,36.00M,36.00M,,,,,,36.00M,11.00M,-70.00M,,-8.00M,-9.00M,-40.00M,42.00M,,-46.00M,1.00M,-45.00M,,,,-40.00M,-85.00M,,,,53.00M,,-16.00M,-16.00M,,,-10.00M,0.00,27.00M,,93.00M,-16.00M,0.00,77.00M,,,,,-16.00M,,,
1995-06,69.00M,,,,,,,,,35.00M,35.00M,,,,,,-5.00M,-28.00M,37.00M,,8.00M,10.00M,22.00M,126.00M,,-52.00M,1.00M,-51.00M,,,,-41.00M,-92.00M,,,,-15.00M,,-16.00M,-16.00M,,,-10.00M,5.00M,-36.00M,,95.00M,-2.00M,0.00,93.00M,,,,,-16.00M,,,
1995-03,67.00M,,,,,,,,,35.00M,35.00M,,,,,,-105.00M,-32.00M,64.00M,,,9.00M,-64.00M,38.00M,,-32.00M,1.00M,-31.00M,,,,-5.00M,-36.00M,,,,-4.00M,,-37.00M,-37.00M,,,-10.00M,-4.00M,-55.00M,,147.00M,-53.00M,1.00M,95.00M,,,,,-37.00M,,,
1994-12,70.20M,,,,,,,,,32.10M,32.10M,,,,,,22.40M,47.40M,-34.60M,,,4.60M,39.80M,142.10M,,-106.60M,0.80M,-105.80M,,,,7.80M,-118.70M,,,,-32.50M,,,,,,-10.40M,0.30M,-46.90M,,167.60M,-23.50M,2.80M,146.90M,,,,,,,,
1994-09,61.90M,,,,,,,,,33.60M,33.60M,,,,,,-14.20M,-32.90M,12.20M,,,2.60M,-32.30M,63.20M,,-55.20M,1.30M,-53.90M,,,,-9.40M,-63.30M,,,,21.20M,,,,,,-5.20M,1.60M,17.60M,,150.10M,17.50M,0.00,167.60M,,,,,,,,
1994-06,66.20M,,,,,,,,,33.00M,33.00M,,,,,,-0.40M,-16.80M,33.20M,,,1.80M,17.80M,117.00M,,-41.50M,0.50M,-41.00M,,,,9.80M,-31.20M,,,,-27.50M,,,,,,-5.20M,0.40M,-32.30M,,94.90M,53.50M,1.70M,150.10M,,,,,,,,
1994-03,54.60M,,,,,,,,,29.00M,29.00M,,,,,,-44.80M,-43.50M,51.30M,,,6.80M,-30.20M,53.40M,,-34.40M,2.70M,-31.70M,,,,-16.20M,-47.90M,,,,22.20M,,,,,,-5.20M,-5.00M,12.00M,,77.30M,17.50M,0.10M,94.90M,,,,,,,,
1993-12,52.60M,,,,,,,,,30.10M,30.10M,,,,,17.00M,10.40M,20.80M,11.00M,,,,42.20M,141.90M,,-73.20M,7.10M,-66.10M,,,,14.80M,-51.30M,,,,-186.00M,,,,,,-6.40M,-0.60M,-68.50M,,0.00,22.10M,-0.50M,77.30M,,,,,,,,
1993-09,40.70M,,,,,,,,,31.20M,31.20M,,,,,9.50M,-18.40M,0.70M,-29.20M,,,,-46.90M,34.50M,,-42.10M,0.60M,-41.50M,,,,-25.80M,-67.30M,,,,31.30M,,,,,,-2.80M,-0.10M,28.40M,,0.00,-4.40M,-0.10M,0.00,,,,,,,,
1993-06,48.20M,,,,,,,,,32.10M,32.10M,,,,,-4.10M,14.40M,1.70M,-7.10M,,,,9.00M,85.20M,,-31.60M,4.00M,-27.60M,,,-21.60M,19.70M,-29.50M,,,,-62.10M,,,,,,-2.90M,-0.20M,-65.20M,,0.00,-9.50M,0.70M,0.00,,,,,,,,
1993-03,41.10M,,,,,,,,,31.70M,31.70M,,,,,7.40M,-65.80M,-22.30M,31.90M,,,,-56.20M,24.00M,,-27.30M,0.30M,-27.00M,,,21.60M,4.70M,-0.70M,,,,0.30M,,,,,,-2.90M,-5.60M,-8.20M,,54.20M,15.10M,-0.30M,0.00,,,,,,,,
1992-12,27.00M,,,,,,-2.90M,,,30.20M,30.20M,,,,,10.30M,17.80M,-5.80M,11.80M,,-7.20M,,16.60M,81.20M,,-50.00M,19.20M,-30.80M,,,,-82.80M,-113.60M,,,,-49.20M,0.00,,0.00,,,2.40M,-8.10M,-54.90M,,0.00,-87.30M,-2.40M,0.00,,0.00,,,,,,
1992-09,14.00M,,,,,,-3.90M,,,29.80M,29.80M,,,,,7.60M,-0.80M,-5.00M,-23.00M,,2.70M,,-26.10M,21.40M,,-36.80M,0.90M,-35.90M,,,,-6.30M,-42.20M,,,,11.40M,-0.40M,,-0.40M,,,-2.90M,-0.40M,7.70M,,0.00,-13.10M,-0.30M,0.00,,-0.40M,,,,,,
1992-06,17.50M,,,,,,0.60M,,,31.90M,31.90M,,,,,12.90M,-4.30M,7.10M,9.20M,,5.60M,,17.60M,80.50M,,-31.60M,-0.40M,-32.00M,,,,-84.90M,-116.90M,,,,11.10M,126.50M,,126.50M,,,-8.00M,-0.80M,128.80M,,0.00,92.40M,1.20M,0.00,,126.50M,,,,,,
1992-03,8.60M,,,,,,0.30M,,,30.60M,30.60M,,,,,12.90M,-43.60M,-15.10M,22.00M,,-1.10M,,-37.80M,14.60M,,-20.90M,3.20M,-17.70M,,,,-6.10M,-23.80M,,,,26.90M,,,,,,-2.80M,-0.80M,23.30M,,51.50M,14.10M,-1.90M,0.00,,,,,,,,
1991-12,-2.30M,,,,,,-12.70M,,,30.20M,30.20M,,,,,3.70M,8.30M,-3.90M,11.00M,,,,15.40M,34.30M,,-61.10M,-2.90M,-64.00M,,,,13.60M,-50.40M,,,,13.70M,,,,,,-2.70M,-0.20M,10.80M,,0.00,-5.30M,2.10M,0.00,,,,,,,,
1991-09,-11.80M,,,,,,-22.00M,,,32.40M,32.40M,,,,,4.10M,1.80M,6.20M,22.60M,,2.20M,,32.80M,35.50M,,-27.60M,3.30M,-24.30M,,,,9.80M,-14.50M,,,,-22.50M,,,,,,-2.80M,-0.90M,-26.20M,,0.00,-5.20M,0.20M,0.00,,,,,,,,
