,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,554.00M,,-59.00M,,-68.00M,17.00M,-110.00M,,,154.00M,154.00M,6.00M,,19.00M,,14.00M,-338.00M,-216.00M,627.00M,-98.00M,,-22.00M,-47.00M,590.00M,,-134.00M,,,-20.00M,1.00M,-42.00M,-25.00M,-200.00M,,-17.00M,208.00M,191.00M,,-216.00M,-216.00M,-177.00M,,-177.00M,1.00M,-201.00M,,1.207B,189.00M,-78.00M,1.318B,,,209.00M,-18.00M,-216.00M,,AOR,Restated
2018-03,325.00M,,38.00M,,-95.00M,8.00M,-49.00M,,,154.00M,154.00M,-27.00M,,9.00M,,-45.00M,-217.00M,-259.00M,-91.00M,56.00M,,27.00M,-484.00M,-117.00M,,-87.00M,,,-15.00M,-16.00M,15.00M,52.00M,-36.00M,,-16.00M,295.00M,279.00M,,-163.00M,-163.00M,-178.00M,,-178.00M,10.00M,-52.00M,,1.369B,-205.00M,43.00M,1.207B,,,295.00M,-16.00M,-163.00M,,AOR,Restated
2017-12,-309.00M,,,-61.00M,43.00M,169.00M,222.00M,,,150.00M,150.00M,740.00M,,7.00M,,-378.00M,214.00M,-6.00M,86.00M,16.00M,,64.00M,374.00M,806.00M,,-246.00M,6.00M,6.00M,-22.00M,-57.00M,-40.00M,71.00M,-266.00M,,-22.00M,-223.00M,-245.00M,,-60.00M,-60.00M,-179.00M,,-179.00M,10.00M,-474.00M,,1.29B,66.00M,13.00M,1.369B,,,-223.00M,-22.00M,-60.00M,,AOR,Restated
2017-09,457.00M,,,30.00M,-34.00M,-15.00M,-19.00M,,,149.00M,149.00M,26.00M,,11.00M,,-34.00M,-234.00M,-137.00M,401.00M,-49.00M,,74.00M,55.00M,645.00M,,-119.00M,104.00M,104.00M,-19.00M,-607.00M,19.00M,-23.00M,-626.00M,,-9.00M,399.00M,390.00M,,-271.00M,-271.00M,-179.00M,,-179.00M,4.00M,-56.00M,,1.293B,-37.00M,34.00M,1.29B,,,321.00M,69.00M,-271.00M,,AOR,Restated
2017-06,441.00M,,,20.00M,-49.00M,-19.00M,-48.00M,,,145.00M,145.00M,-10.00M,,16.00M,,-84.00M,-283.00M,-62.00M,329.00M,-52.00M,,55.00M,-13.00M,447.00M,,-114.00M,,,-13.00M,-44.00M,-28.00M,53.00M,-133.00M,,-18.00M,-140.00M,-158.00M,,-69.00M,-69.00M,-172.00M,,-172.00M,19.00M,-380.00M,,1.322B,-66.00M,37.00M,1.293B,,,-62.00M,-96.00M,-69.00M,,AOR,Restated
2017-03,405.00M,,,11.00M,-83.00M,-33.00M,-105.00M,,,139.00M,139.00M,10.00M,,7.00M,,3.00M,-205.00M,-202.00M,206.00M,73.00M,,48.00M,-80.00M,379.00M,,-108.00M,,,-27.00M,-20.00M,121.00M,-20.00M,-27.00M,,-11.00M,62.00M,51.00M,,-51.00M,-51.00M,-171.00M,,-171.00M,7.00M,-164.00M,,1.12B,188.00M,14.00M,1.322B,,,62.00M,-11.00M,-51.00M,,AOR,Restated
2016-12,396.00M,,,39.00M,48.00M,-9.00M,23.00M,,,139.00M,139.00M,-10.00M,,4.00M,,21.00M,-153.00M,146.00M,171.00M,-124.00M,,12.00M,52.00M,625.00M,,-240.00M,3.00M,3.00M,-21.00M,-45.00M,-16.00M,-29.00M,-327.00M,,-7.00M,-67.00M,-74.00M,,-33.00M,-33.00M,-171.00M,,-171.00M,-90.00M,-368.00M,,1.251B,-70.00M,-61.00M,1.12B,,,-67.00M,-7.00M,-33.00M,,AOR,Restated
2016-09,300.00M,,,6.00M,-7.00M,-9.00M,-10.00M,,,132.00M,132.00M,58.00M,,8.00M,,101.00M,140.00M,-49.00M,-112.00M,-51.00M,,59.00M,-13.00M,576.00M,,-138.00M,11.00M,11.00M,-15.00M,-13.00M,-14.00M,-45.00M,-199.00M,,-21.00M,98.00M,77.00M,,-50.00M,-50.00M,-172.00M,,-172.00M,-4.00M,-149.00M,,1.045B,228.00M,-22.00M,1.251B,,,100.00M,-23.00M,-50.00M,,AOR,Restated
2016-06,427.00M,,,-31.00M,-39.00M,-41.00M,-111.00M,,,131.00M,131.00M,4.00M,,15.00M,,44.00M,-154.00M,-47.00M,110.00M,1.00M,,51.00M,-39.00M,471.00M,,-132.00M,,,-14.00M,8.00M,114.00M,7.00M,-3.00M,,-114.00M,150.00M,36.00M,,-120.00M,-120.00M,-163.00M,,-163.00M,-13.00M,-260.00M,,915.00M,208.00M,-78.00M,1.045B,,,154.00M,-118.00M,-120.00M,,AOR,Restated
2016-03,333.00M,,,-14.00M,-48.00M,-58.00M,-120.00M,,,128.00M,128.00M,-2.00M,,5.00M,,-15.00M,-98.00M,-54.00M,-176.00M,188.00M,,78.00M,-62.00M,267.00M,,-84.00M,,,-13.00M,-25.00M,-256.00M,-23.00M,-388.00M,,90.00M,50.00M,140.00M,,-575.00M,-575.00M,-170.00M,,-170.00M,-31.00M,-636.00M,,1.711B,-757.00M,-39.00M,915.00M,,,155.00M,-15.00M,-575.00M,,AOR,Restated
2015-12,178.00M,,,4.00M,31.00M,-13.00M,22.00M,,,131.00M,131.00M,12.00M,,0.00,,147.00M,266.00M,329.00M,-151.00M,-284.00M,,73.00M,233.00M,934.00M,,-368.00M,,,-17.00M,-13.00M,-65.00M,-20.00M,-441.00M,,8.00M,-3.00M,5.00M,,-250.00M,-250.00M,-170.00M,,-170.00M,-20.00M,-435.00M,,1.688B,58.00M,-35.00M,1.711B,,,20.00M,-15.00M,-250.00M,,AOR,Restated
2015-09,392.00M,,,-5.00M,-17.00M,0.00,-22.00M,,,129.00M,129.00M,-57.00M,,7.00M,,-18.00M,263.00M,-52.00M,-281.00M,115.00M,,86.00M,131.00M,562.00M,,-162.00M,,,-16.00M,-79.00M,71.00M,-7.00M,-177.00M,,-21.00M,-38.00M,-59.00M,,-136.00M,-136.00M,-172.00M,,-172.00M,-19.00M,-386.00M,,1.76B,-1.00M,-71.00M,1.688B,,,12.00M,-71.00M,-136.00M,,AOR,Restated
2015-06,496.00M,,,20.00M,-15.00M,-33.00M,-28.00M,,,126.00M,126.00M,-62.00M,,12.00M,,-5.00M,-150.00M,-29.00M,-36.00M,-2.00M,,74.00M,-143.00M,396.00M,,-161.00M,,,-14.00M,-31.00M,6.00M,11.00M,-175.00M,,-3.00M,0.00,-3.00M,,-377.00M,-377.00M,-140.00M,,-140.00M,-13.00M,-533.00M,,1.997B,-312.00M,75.00M,1.76B,,,10.00M,-13.00M,-377.00M,,AOR,Restated
2015-03,404.00M,,,7.00M,-53.00M,-104.00M,-150.00M,,,128.00M,128.00M,-1.00M,,5.00M,,-30.00M,-276.00M,-98.00M,112.00M,20.00M,,59.00M,-183.00M,173.00M,,-108.00M,,,-8.00M,-1.00M,-24.00M,8.00M,-125.00M,,-16.00M,0.00,-16.00M,,-137.00M,-137.00M,-140.00M,,-140.00M,-3.00M,-296.00M,,2.301B,-248.00M,-56.00M,1.997B,,,2.00M,-18.00M,-137.00M,,AOR,Restated
2014-12,467.00M,,,6.00M,-32.00M,0.00,-26.00M,,,125.00M,125.00M,68.00M,,9.00M,,3.00M,147.00M,46.00M,-66.00M,7.00M,,98.00M,232.00M,878.00M,,-349.00M,,,-15.00M,-187.00M,-42.00M,-16.00M,-594.00M,,-6.00M,1.00M,-5.00M,,-65.00M,-65.00M,-142.00M,,-142.00M,-32.00M,-244.00M,,2.328B,40.00M,-67.00M,2.301B,,,16.00M,-21.00M,-65.00M,,AOR,Restated
2014-09,439.00M,,,-10.00M,-33.00M,-35.00M,-78.00M,,,113.00M,113.00M,51.00M,,6.00M,,23.00M,85.00M,-79.00M,69.00M,-10.00M,,68.00M,133.00M,687.00M,,-178.00M,,,-14.00M,-101.00M,103.00M,-1.00M,-177.00M,,-11.00M,7.00M,-4.00M,,-175.00M,-175.00M,-141.00M,,-141.00M,-23.00M,-343.00M,,2.219B,167.00M,-58.00M,2.328B,,,22.00M,-26.00M,-175.00M,,AOR,Restated
2014-06,472.00M,,,-6.00M,-56.00M,-33.00M,-95.00M,,,112.00M,112.00M,-110.00M,,11.00M,,-45.00M,-89.00M,-88.00M,202.00M,2.00M,,66.00M,93.00M,438.00M,,-150.00M,,,-12.00M,-108.00M,-24.00M,6.00M,-276.00M,,-4.00M,-48.00M,-52.00M,,-11.00M,-11.00M,-114.00M,,-114.00M,23.00M,-154.00M,,2.178B,8.00M,33.00M,2.219B,,,10.00M,-62.00M,-11.00M,,AOR,Restated
