,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,-253.00M,,,,205.00M,205.00M,9.00M,28.00M,37.00M,-388.00M,-245.00M,898.00M,,,,265.00M,,270.00M,-78.00M,,-78.00M,,-16.00M,,-94.00M,-40.00M,0.00,-40.00M,,0.00,0.00,-146.00M,-146.00M,,-12.00M,-198.00M,2.771B,-22.00M,-3.00M,2.746B,,,-40.00M,0.00
2020-06,657.00M,,,-572.00M,225.00M,225.00M,0.00,22.00M,22.00M,735.00M,-401.00M,515.00M,,,,849.00M,,240.00M,-136.00M,0.00,-136.00M,0.00,878.00M,,742.00M,-511.00M,0.00,-511.00M,,0.00,0.00,-141.00M,-141.00M,,124.00M,-528.00M,2.329B,454.00M,-12.00M,2.771B,,,-511.00M,0.00
2020-03,351.00M,,,5.00M,224.00M,224.00M,-1.00M,27.00M,26.00M,-774.00M,983.00M,822.00M,,,,1.031B,,1.676B,-90.00M,0.00,-90.00M,0.00,-8.00M,,-98.00M,-95.00M,-683.00M,-778.00M,,0.00,0.00,-141.00M,-141.00M,,7.00M,-912.00M,1.659B,666.00M,4.00M,2.329B,,,-95.00M,0.00
2019-12,220.00M,,,4.00M,230.00M,230.00M,7.00M,21.00M,28.00M,-108.00M,-1.347B,1.652B,,,,197.00M,,697.00M,-77.00M,2.00M,-75.00M,0.00,-3.00M,,-78.00M,-719.00M,683.00M,-36.00M,,0.00,0.00,-141.00M,-141.00M,,2.00M,-175.00M,1.212B,444.00M,3.00M,1.659B,,,-719.00M,0.00
2019-09,-4.921B,,,,234.00M,234.00M,1.00M,20.00M,21.00M,229.00M,356.00M,3.399B,,,,3.984B,,-653.00M,-72.00M,,-72.00M,,-1.00M,,-73.00M,-74.00M,-2.00M,-76.00M,,-350.00M,-350.00M,-146.00M,-146.00M,,-13.00M,-585.00M,2.531B,-1.311B,-8.00M,1.212B,,,-74.00M,-350.00M
2019-06,195.00M,,,,241.00M,241.00M,5.00M,18.00M,23.00M,-595.00M,-206.00M,902.00M,,,,101.00M,,506.00M,-136.00M,14.00M,-122.00M,-44.00M,-7.00M,,-173.00M,-1.10B,0.00,-1.10B,,0.00,0.00,-142.00M,-142.00M,,-1.00M,-1.243B,3.438B,-910.00M,3.00M,2.531B,,,-1.10B,0.00
2019-03,296.00M,,,,261.00M,261.00M,11.00M,23.00M,34.00M,35.00M,408.00M,427.00M,,,,870.00M,,1.48B,-76.00M,9.00M,-67.00M,-17.00M,0.00,,-84.00M,0.00,0.00,0.00,,0.00,0.00,-142.00M,-142.00M,,0.00,-142.00M,2.182B,1.254B,2.00M,3.438B,,,0.00,0.00
2018-12,280.00M,,,,253.00M,253.00M,8.00M,22.00M,30.00M,111.00M,-575.00M,253.00M,,,,-211.00M,,371.00M,-58.00M,0.00,-58.00M,-21.00M,-5.00M,,-84.00M,-1.00M,0.00,-1.00M,,0.00,0.00,-143.00M,-143.00M,,0.00,-144.00M,2.045B,143.00M,-6.00M,2.182B,,,-1.00M,0.00
2018-09,594.00M,,,,245.00M,245.00M,-509.00M,19.00M,-490.00M,-302.00M,-178.00M,475.00M,,,,-5.00M,,365.00M,-58.00M,740.00M,682.00M,,-3.00M,,679.00M,-1.00M,0.00,-1.00M,,-600.00M,-600.00M,-150.00M,-150.00M,,-13.00M,-764.00M,1.763B,280.00M,2.00M,2.045B,,,-1.00M,-600.00M
2018-06,-1.166B,,,,253.00M,253.00M,1.355B,21.00M,0.00,-239.00M,-346.00M,1.662B,,,,1.077B,,554.00M,-138.00M,0.00,-138.00M,0.00,-2.00M,,-140.00M,-551.00M,0.00,-551.00M,,-100.00M,-100.00M,-145.00M,-145.00M,,-13.00M,-809.00M,2.175B,-395.00M,-13.00M,1.763B,,0.00,-551.00M,-100.00M
2018-03,1.425B,,,,259.00M,259.00M,-6.00M,24.00M,-1.172B,-15.00M,130.00M,90.00M,,,,205.00M,,754.00M,-78.00M,861.00M,783.00M,-1.00M,-1.00M,,781.00M,0.00,-205.00M,-205.00M,,-300.00M,-300.00M,-140.00M,-140.00M,,8.00M,-637.00M,1.249B,898.00M,10.00M,2.175B,,0.00,0.00,-300.00M
2017-12,-117.00M,,,,291.00M,291.00M,67.00M,23.00M,1.146B,-258.00M,-614.00M,-298.00M,,,,-1.17B,,279.00M,-101.00M,0.00,-101.00M,-2.00M,-2.00M,,-105.00M,2.00M,161.00M,163.00M,,0.00,0.00,-146.00M,-146.00M,,-103.00M,-86.00M,1.181B,88.00M,-2.00M,1.249B,,3.00M,-1.00M,0.00
2017-09,117.00M,,,,229.00M,229.00M,7.00M,17.00M,24.00M,-359.00M,-381.00M,1.535B,,,,795.00M,,1.181B,-67.00M,1.00M,-66.00M,-6.139B,61.00M,,-6.144B,-402.00M,-6.00M,-408.00M,,-150.00M,-150.00M,-150.00M,-150.00M,,-36.00M,-744.00M,6.879B,-5.707B,9.00M,1.181B,,,-402.00M,-150.00M
2017-06,278.00M,,,,192.00M,192.00M,3.00M,23.00M,-97.00M,-558.00M,337.00M,173.00M,,,,-48.00M,,724.00M,-94.00M,2.00M,-92.00M,-19.00M,135.00M,,24.00M,4.921B,-22.00M,4.899B,,0.00,0.00,-142.00M,-142.00M,,3.00M,4.76B,1.368B,5.508B,3.00M,6.879B,,5.171B,-250.00M,0.00
2017-03,382.00M,,,,186.00M,186.00M,4.00M,26.00M,30.00M,39.00M,284.00M,-1.136B,,,,-813.00M,,-198.00M,-80.00M,0.00,-80.00M,-102.00M,-10.00M,,-192.00M,0.00,-8.00M,-8.00M,,0.00,0.00,-142.00M,-142.00M,,22.00M,-128.00M,1.881B,-518.00M,5.00M,1.368B,,,0.00,0.00
2016-12,324.00M,,,,166.00M,166.00M,12.00M,24.00M,36.00M,160.00M,-996.00M,842.00M,,,,6.00M,,554.00M,-113.00M,1.00M,-112.00M,-2.00M,-13.00M,,-127.00M,-59.00M,8.00M,-51.00M,,-350.00M,-350.00M,-144.00M,-144.00M,,9.00M,-536.00M,2.001B,-109.00M,-11.00M,1.881B,,0.00,-59.00M,-350.00M
2016-09,310.00M,,,,173.00M,173.00M,3.00M,23.00M,26.00M,-306.00M,-298.00M,192.00M,,,,-412.00M,,104.00M,-100.00M,0.00,-100.00M,-9.00M,-1.00M,,-110.00M,-1.00M,25.00M,24.00M,,-250.00M,-250.00M,-149.00M,-149.00M,,25.00M,-350.00M,2.356B,-356.00M,1.00M,2.001B,,,-1.00M,-250.00M
2016-06,335.00M,,,,176.00M,176.00M,4.00M,29.00M,0.00,-145.00M,278.00M,-145.00M,,,,-12.00M,,641.00M,-181.00M,13.00M,-168.00M,-231.00M,0.00,,-399.00M,-1.00M,-8.00M,-9.00M,,-351.00M,-351.00M,-126.00M,-126.00M,,7.00M,-479.00M,2.598B,-237.00M,-5.00M,2.356B,,,-1.00M,-351.00M
2016-03,386.00M,,,,159.00M,159.00M,0.00,26.00M,-2.00M,-328.00M,108.00M,554.00M,,,,334.00M,,919.00M,-109.00M,0.00,-109.00M,-99.00M,-2.00M,,-210.00M,-1.00M,-5.00M,-6.00M,,-300.00M,-300.00M,-127.00M,-127.00M,,-5.00M,-438.00M,2.324B,271.00M,3.00M,2.598B,,,-1.00M,-300.00M
2015-12,326.00M,,,,169.00M,169.00M,17.00M,26.00M,-13.00M,-45.00M,-1.07B,2.035B,,,,920.00M,,1.463B,-92.00M,0.00,-92.00M,-1.885B,-16.00M,,-1.993B,0.00,3.00M,3.00M,,0.00,0.00,-128.00M,-128.00M,,15.00M,-110.00M,2.974B,-640.00M,-10.00M,2.324B,,,0.00,0.00
2015-09,384.00M,,,,137.00M,137.00M,0.00,30.00M,-1.00M,-348.00M,-495.00M,224.00M,,,,-619.00M,,-52.00M,-83.00M,,-83.00M,-1.399B,4.00M,,-1.478B,-4.00M,36.00M,32.00M,,0.00,0.00,-131.00M,-131.00M,,-13.00M,-112.00M,4.616B,-1.642B,0.00,2.974B,,,-4.00M,0.00
2015-06,292.00M,0.00,,0.00,115.00M,115.00M,0.00,30.00M,-53.00M,-152.00M,71.00M,275.00M,,,,194.00M,,868.00M,-161.00M,0.00,-161.00M,-184.00M,-118.00M,,-463.00M,1.49B,-3.00M,1.487B,,-350.00M,-350.00M,-114.00M,-114.00M,,5.00M,1.028B,3.183B,1.433B,0.00,4.616B,,1.49B,0.00,-350.00M
2015-03,365.00M,0.00,,0.00,116.00M,116.00M,-1.00M,27.00M,26.00M,-427.00M,287.00M,275.00M,,,,135.00M,,658.00M,-56.00M,0.00,-56.00M,-233.00M,3.00M,,-286.00M,-1.00M,9.00M,8.00M,,0.00,0.00,-113.00M,-113.00M,,35.00M,-70.00M,2.881B,302.00M,0.00,3.183B,,0.00,-1.00M,0.00
2014-12,289.00M,0.00,,60.00M,112.00M,112.00M,-18.00M,28.00M,10.00M,0.00,-1.336B,1.804B,,,,468.00M,,953.00M,-47.00M,53.00M,6.00M,-25.00M,0.00,,-19.00M,-38.00M,-58.00M,-96.00M,,-326.00M,-326.00M,-114.00M,-114.00M,,14.00M,-522.00M,2.469B,412.00M,0.00,2.881B,,1.182B,-1.22B,-326.00M
2014-09,266.00M,-5.00M,,-5.00M,108.00M,108.00M,,25.00M,25.00M,-291.00M,199.00M,-253.00M,,,,-345.00M,,61.00M,-36.00M,,-36.00M,-61.00M,16.00M,,-81.00M,0.00,40.00M,40.00M,,-360.00M,-360.00M,-119.00M,-119.00M,,63.00M,-376.00M,2.865B,-396.00M,,2.469B,,,0.00,-360.00M
2014-06,234.00M,0.00,,0.00,115.00M,115.00M,5.00M,24.00M,29.00M,-548.00M,-208.00M,1.057B,,,,301.00M,,716.00M,-111.00M,0.00,-111.00M,-351.00M,-102.00M,,-564.00M,-1.00M,49.00M,48.00M,-219.00M,-284.00M,-503.00M,-103.00M,-103.00M,,230.00M,-328.00M,3.041B,-176.00M,,2.865B,-219.00M,0.00,-1.00M,-284.00M
2014-03,315.00M,-32.00M,,-32.00M,110.00M,110.00M,1.00M,24.00M,25.00M,53.00M,450.00M,-103.00M,,,,400.00M,,820.00M,-48.00M,0.00,-48.00M,-118.00M,20.00M,,-146.00M,0.00,-8.00M,-8.00M,80.00M,-339.00M,-259.00M,-104.00M,-104.00M,,-3.00M,-374.00M,2.741B,300.00M,,3.041B,80.00M,0.00,0.00,-339.00M
2013-12,274.00M,,,,117.00M,117.00M,9.00M,24.00M,33.00M,25.00M,-1.198B,769.00M,,,,-404.00M,,37.00M,-64.00M,0.00,-64.00M,-25.00M,0.00,,-89.00M,-1.00M,53.00M,52.00M,64.00M,0.00,64.00M,-103.00M,-103.00M,,27.00M,40.00M,2.753B,-12.00M,,2.741B,64.00M,0.00,-1.00M,0.00
2013-09,340.00M,,,,117.00M,117.00M,,24.00M,24.00M,1.395B,1.098B,-2.035B,,,,458.00M,,951.00M,-26.00M,,-26.00M,-25.00M,0.00,,-51.00M,,20.00M,20.00M,75.00M,-50.00M,25.00M,-105.00M,-105.00M,,12.00M,-48.00M,1.901B,852.00M,,2.753B,75.00M,,,-50.00M
2013-06,-586.00M,,,,122.00M,122.00M,832.00M,25.00M,857.00M,135.00M,-27.00M,-235.00M,,,,-127.00M,,300.00M,-92.00M,,-92.00M,-20.00M,-6.00M,,-118.00M,-299.00M,10.00M,-289.00M,58.00M,-250.00M,-192.00M,-95.00M,-95.00M,,-10.00M,-586.00M,2.305B,-404.00M,,1.901B,58.00M,0.00,-299.00M,-250.00M
2013-03,346.00M,,,,99.00M,99.00M,21.00M,22.00M,43.00M,-147.00M,193.00M,446.00M,,,,492.00M,,989.00M,-41.00M,,-41.00M,-2.093B,-6.00M,,-2.14B,1.286B,-28.00M,1.258B,37.00M,0.00,37.00M,-93.00M,-93.00M,,-1.00M,1.201B,2.255B,50.00M,,2.305B,37.00M,1.286B,0.00,0.00
2012-12,303.00M,,,,88.00M,88.00M,5.00M,22.00M,27.00M,299.00M,-329.00M,-526.00M,,,,-556.00M,,-130.00M,-36.00M,,-36.00M,-26.00M,48.00M,,-14.00M,-2.00M,27.00M,25.00M,5.00M,0.00,5.00M,-81.00M,-81.00M,,10.00M,-41.00M,2.44B,-185.00M,,2.255B,5.00M,,-2.00M,0.00
2012-09,272.00M,,,,88.00M,88.00M,1.00M,24.00M,25.00M,-71.00M,-207.00M,460.00M,,,,182.00M,,568.00M,-26.00M,,-26.00M,-100.00M,23.00M,,-103.00M,-4.00M,-10.00M,-14.00M,21.00M,-200.00M,-179.00M,-84.00M,-84.00M,,-22.00M,-299.00M,2.274B,166.00M,,2.44B,21.00M,,-4.00M,-200.00M
2012-06,236.00M,,,,86.00M,86.00M,2.00M,22.00M,-18.00M,181.00M,375.00M,-1.164B,,,,-608.00M,,-107.00M,-102.00M,,-102.00M,-31.00M,22.00M,,-111.00M,290.00M,5.00M,295.00M,19.00M,-150.00M,-131.00M,-74.00M,-74.00M,,-7.00M,83.00M,2.41B,-135.00M,,2.274B,19.00M,496.00M,-206.00M,-150.00M
2012-03,333.00M,,,,83.00M,83.00M,17.00M,21.00M,-97.00M,-477.00M,683.00M,281.00M,,,,487.00M,,893.00M,-57.00M,,-57.00M,-136.00M,11.00M,,-182.00M,-44.00M,4.00M,-40.00M,12.00M,0.00,12.00M,-74.00M,-74.00M,,3.00M,-99.00M,1.798B,612.00M,,2.41B,12.00M,0.00,-44.00M,0.00
2011-12,264.00M,,,,78.00M,78.00M,1.00M,22.00M,23.00M,236.00M,-1.392B,676.00M,,,,-480.00M,,-114.00M,-56.00M,,-56.00M,0.00,14.00M,,-42.00M,-1.00M,9.00M,8.00M,-7.00M,0.00,-7.00M,-75.00M,-75.00M,,17.00M,-57.00M,2.011B,-213.00M,,1.798B,-7.00M,,-1.00M,0.00
2011-09,237.00M,,,,78.00M,78.00M,1.00M,20.00M,21.00M,-69.00M,-161.00M,397.00M,,,,167.00M,,504.00M,-45.00M,,-45.00M,-7.00M,10.00M,,-42.00M,0.00,-5.00M,-5.00M,18.00M,-300.00M,-282.00M,-77.00M,-77.00M,,-17.00M,-381.00M,1.93B,81.00M,,2.011B,18.00M,,0.00,-300.00M
2011-06,207.20M,-3.50M,,-3.50M,73.80M,73.80M,0.80M,19.60M,-6.60M,121.90M,383.10M,-809.40M,,,,-304.40M,0.50M,120.20M,-107.90M,,-104.90M,-5.00M,9.70M,,-100.20M,-0.40M,4.50M,4.10M,27.00M,-0.20M,26.80M,-68.10M,-68.10M,,-15.30M,-52.50M,1.962B,-32.50M,,1.929B,27.00M,-41.00M,-0.90M,-0.20M
2011-03,249.50M,3.30M,,3.30M,97.50M,97.50M,4.60M,18.00M,-46.40M,-470.40M,552.20M,445.50M,,,,527.30M,-0.20M,914.00M,-59.80M,,-59.80M,0.00,-14.60M,,-74.40M,-218.70M,41.50M,-177.20M,25.10M,0.00,25.10M,-67.90M,-67.90M,,-5.80M,-225.80M,1.348B,613.80M,,1.962B,25.10M,41.50M,-218.70M,0.00
