,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,177.10M,0.00,,0.00,15.00M,41.10M,56.10M,56.10M,,,39.40M,49.30M,-32.90M,-11.00M,,5.40M,291.90M,,-50.50M,-44.20M,-56.20M,,49.40M,0.00,0.60M,-44.70M,,30.00M,,30.00M,,-1.70M,-1.70M,-92.50M,-92.50M,0.50M,0.00,-63.70M,,1.264B,183.50M,1.447B,,,,30.00M,-1.70M,-169.10M,-75.70M,,AOR,
2020-09,228.60M,,,,14.30M,39.90M,54.20M,54.20M,,,42.50M,-90.20M,5.10M,-2.40M,,-87.50M,237.80M,,-22.10M,0.00,-8.60M,,0.00,-2.40M,0.00,-24.50M,,-50.00M,,-50.00M,,-0.30M,-0.30M,-92.90M,-92.90M,0.20M,0.00,-143.00M,,1.194B,70.30M,1.264B,,,,-50.00M,-0.30M,109.40M,22.20M,,AOR,
2020-06,161.90M,0.00,,0.00,15.50M,41.60M,57.10M,57.10M,,,43.10M,-38.00M,6.50M,4.80M,,-26.70M,235.40M,,-48.50M,0.00,-9.60M,,0.00,-1.90M,-2.60M,-53.00M,,15.00M,,15.00M,,-0.60M,-0.60M,-92.50M,-92.50M,0.50M,0.00,-77.60M,,1.089B,104.80M,1.194B,,,,15.00M,-0.60M,36.60M,35.30M,,AOR,
2020-03,176.70M,,,,16.50M,41.70M,58.20M,58.20M,,,20.80M,-112.10M,-23.10M,-8.10M,,-143.30M,112.40M,,-35.70M,44.20M,37.90M,,,0.30M,,8.80M,,-160.00M,,-160.00M,,-237.10M,-237.10M,-92.40M,-92.40M,1.00M,-0.70M,-489.20M,,1.457B,-368.00M,1.089B,,,,-160.00M,-237.10M,23.10M,18.20M,,AOR,
2019-12,135.40M,0.00,,0.00,23.10M,43.90M,67.00M,67.00M,,,54.90M,35.90M,-12.20M,-7.20M,,16.50M,249.30M,,-34.20M,,-9.20M,,0.00,9.50M,,-24.70M,,-19.00M,,-19.00M,,-68.80M,-68.80M,-83.70M,-83.70M,8.70M,-3.20M,-166.00M,,1.398B,58.60M,1.457B,,,305.90M,-324.90M,-68.80M,62.40M,49.90M,,AOR,
2019-09,135.00M,0.00,,0.00,18.30M,42.80M,61.10M,61.10M,,,11.20M,59.40M,7.40M,-11.40M,,55.40M,262.70M,,-18.50M,0.00,-7.50M,,-20.90M,9.40M,,-30.00M,,167.00M,,167.00M,,-142.20M,-142.20M,-84.20M,-84.20M,7.50M,-0.10M,-52.00M,,1.218B,180.70M,1.398B,,,167.00M,0.00,-142.20M,99.90M,23.30M,,AOR,Restated
2019-06,614.80M,-532.10M,,-532.10M,19.00M,45.80M,64.80M,64.80M,,,23.90M,-24.80M,19.60M,-3.20M,,-8.40M,163.00M,,-37.40M,0.00,-15.30M,,732.60M,8.50M,,703.70M,,-292.00M,,-292.00M,,-170.00M,-170.00M,-85.50M,-85.50M,18.70M,-0.70M,-529.50M,,880.30M,337.20M,1.218B,,,143.00M,-435.00M,-170.00M,146.30M,54.10M,,AOR,Restated
2019-03,173.10M,,,,19.20M,45.60M,64.80M,64.80M,,,28.40M,-13.00M,-7.30M,-6.40M,,-26.70M,239.60M,,-37.60M,0.00,-16.10M,,,20.90M,,-16.70M,,-65.00M,,-65.00M,,-171.60M,-171.60M,-87.40M,-87.40M,1.80M,-0.10M,-322.30M,,979.70M,-99.40M,880.30M,,,,-65.00M,-171.60M,10.30M,24.00M,,AOR,Restated
2018-12,212.10M,0.00,,0.00,19.90M,48.80M,68.70M,68.70M,,,42.70M,-37.10M,24.60M,6.90M,,-5.60M,302.80M,,-90.90M,,-35.50M,,0.00,-8.10M,,-99.00M,,136.70M,,136.70M,,-51.80M,-51.80M,-83.90M,-83.90M,0.80M,-2.60M,-0.80M,,776.70M,203.00M,979.70M,,,143.90M,-7.20M,-51.80M,35.30M,50.20M,,AOR,Restated
2018-09,208.60M,0.00,,0.00,18.30M,45.30M,63.60M,63.60M,,,24.20M,-57.70M,-12.90M,-6.00M,,-76.60M,219.80M,,-157.60M,,-42.90M,,0.00,-3.50M,,-161.10M,,-38.50M,,-38.50M,,-108.00M,-108.00M,-84.50M,-84.50M,0.40M,-1.40M,-232.00M,,950.00M,-173.30M,776.70M,,,368.70M,-407.20M,-108.00M,155.00M,24.30M,,AOR,Restated
2018-06,217.60M,0.00,,0.00,19.40M,46.30M,65.70M,65.70M,,,-9.60M,-113.10M,4.60M,0.80M,,-107.70M,166.00M,,-53.30M,,-38.10M,,0.00,17.50M,,-35.80M,,187.80M,,187.80M,,-241.00M,-241.00M,-85.80M,-85.80M,5.10M,0.00,-133.90M,,953.70M,-3.70M,950.00M,,,187.80M,0.00,-241.00M,135.40M,45.00M,,AOR,Restated
2018-03,213.60M,,,,19.30M,47.40M,66.70M,66.70M,,,8.90M,-111.70M,-47.30M,2.50M,,-156.50M,132.70M,,-37.20M,,-20.20M,,,4.30M,,-32.90M,,110.00M,,110.00M,,-11.60M,-11.60M,-87.50M,-87.50M,3.80M,-5.20M,9.50M,,844.40M,109.30M,953.70M,,,110.00M,,-11.60M,13.70M,23.00M,,AOR,Restated
2017-12,-1.121B,,,,19.60M,46.20M,65.80M,65.80M,,,-6.10M,913.60M,-26.90M,-40.10M,,846.60M,318.90M,,-54.60M,,-20.20M,,,161.00M,,81.50M,,-500.20M,,-500.20M,,-13.50M,-13.50M,-80.30M,-80.30M,4.60M,,-590.70M,,1.035B,-190.30M,844.40M,,,-0.20M,-500.00M,-13.50M,,38.00M,,AOR,Restated
2017-09,235.60M,,,,19.80M,45.70M,65.50M,65.50M,,,26.10M,129.80M,-9.80M,-0.10M,,119.90M,447.10M,,-47.20M,,-16.70M,,,-147.60M,,-194.80M,,-94.80M,,-94.80M,,-102.70M,-102.70M,-80.50M,-80.50M,1.20M,,-276.80M,,1.059B,-24.50M,1.035B,,,-94.80M,0.00,-102.70M,-33.40M,31.60M,,AOR,Restated
2017-06,166.50M,,,,19.10M,46.10M,65.20M,65.20M,,,28.20M,-412.70M,-5.40M,47.90M,,-370.20M,-110.30M,,-48.90M,,-24.30M,,,8.20M,,-40.70M,,134.30M,,134.30M,,-167.30M,-167.30M,-81.50M,-81.50M,1.40M,,-113.10M,,1.323B,-264.10M,1.059B,,,134.30M,,-167.30M,20.30M,44.70M,,AOR,Restated
2017-03,161.70M,,,,18.60M,47.80M,66.40M,66.40M,,,76.00M,-197.90M,-20.40M,0.50M,,-217.80M,86.30M,,-26.40M,,-7.90M,,,-24.20M,,-50.60M,,706.90M,,706.90M,,-219.30M,-219.30M,-83.30M,-83.30M,5.80M,,410.10M,,877.50M,445.80M,1.323B,,,706.90M,,-219.30M,13.10M,13.70M,,AOR,Restated
2016-12,-355.00M,,,,19.20M,46.10M,65.30M,65.30M,,,36.30M,738.30M,-29.60M,-61.10M,,647.60M,220.00M,,-52.80M,,-17.40M,,,15.60M,,-37.20M,,-430.40M,,-430.40M,,-81.80M,-81.80M,-77.10M,-77.10M,4.70M,,-586.00M,,1.281B,-403.20M,877.50M,,,575.00M,,-81.80M,21.60M,70.60M,,AOR,Restated
2016-09,216.90M,,,,18.70M,47.70M,66.40M,66.40M,,,19.70M,69.60M,-51.00M,14.70M,,33.30M,336.30M,,-68.30M,,-24.00M,,,-8.50M,,-76.80M,,0.00,,0.00,,-85.80M,-85.80M,-77.70M,-77.70M,22.10M,,-141.40M,,1.163B,118.10M,1.281B,,,0.00,,-85.80M,-3.80M,10.00M,,AOR,Restated
2016-06,205.60M,,,,18.80M,47.10M,65.90M,65.90M,,,5.60M,-57.30M,46.10M,7.00M,,-4.20M,272.90M,,-60.80M,,-12.80M,,,-33.00M,,-93.80M,,0.00,,0.00,,-100.80M,-100.80M,-78.10M,-78.10M,2.40M,,-176.50M,,1.16B,2.60M,1.163B,,,0.00,,-100.80M,36.30M,68.90M,,AOR,Restated
