,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.272B,1.272B,759.20M,512.60M,285.50M,0.00,28.10M,0.30M,-27.80M,285.50M,227.10M,0.30M,28.10M,-27.80M,-0.30M,-27.80M,199.00M,21.90M,177.10M,177.10M,177.10M,283.20M,56.10M,227.10M,,0.43,,0.43,0.43,,0.43,,0.43,0.43,,411.70M,414.50M,0.225,,AOR,
2020-09,1.214B,1.258B,721.70M,536.80M,251.60M,0.00,28.20M,0.50M,-27.70M,251.60M,285.20M,0.50M,28.20M,-27.70M,3.50M,-27.70M,261.00M,32.40M,228.60M,228.60M,228.60M,343.40M,54.20M,289.20M,,0.56,,0.56,0.56,,0.55,,0.55,0.55,,411.60M,414.60M,0.225,,AOR,
2020-06,1.056B,1.115B,662.20M,452.50M,230.70M,0.00,29.30M,0.80M,-28.50M,230.70M,221.80M,0.80M,29.30M,-28.50M,-0.10M,-28.50M,193.20M,31.30M,161.90M,161.90M,161.90M,279.60M,57.10M,222.50M,,0.39,,0.39,0.39,,0.39,,0.39,0.39,,411.50M,413.60M,0.225,,AOR,
2020-03,1.19B,1.19B,683.40M,506.60M,273.40M,,32.90M,1.60M,-31.30M,273.40M,233.20M,1.60M,32.90M,-31.30M,,-31.30M,201.90M,25.20M,176.70M,176.70M,176.70M,293.00M,58.20M,234.80M,,0.43,,0.43,0.43,,0.42,,0.42,0.42,,414.30M,418.30M,0.225,,AOR,
2019-12,1.008B,1.308B,756.50M,551.20M,324.70M,0.00,37.50M,2.10M,-35.40M,324.70M,226.50M,2.10M,37.50M,-35.40M,6.40M,-35.40M,197.50M,62.10M,135.40M,135.40M,135.40M,302.00M,67.00M,235.00M,,0.32,,0.32,0.32,,0.32,,0.32,0.32,,419.50M,424.60M,0.20,,AOR,
2019-09,1.238B,1.307B,768.60M,538.30M,340.90M,0.00,36.20M,1.10M,-35.10M,340.90M,197.40M,1.10M,36.20M,-35.10M,-0.10M,-35.10M,162.20M,27.20M,135.00M,135.00M,135.00M,259.50M,61.10M,198.40M,,0.32,,0.32,0.32,,0.32,,0.32,0.32,,423.30M,426.80M,0.20,,AOR,Restated
2019-06,1.275B,1.340B,776.40M,564.10M,305.20M,524.60M,38.60M,1.00M,-37.60M,305.20M,258.90M,1.00M,38.60M,-37.60M,524.30M,-37.60M,745.60M,130.80M,614.80M,614.80M,182.00M,849.00M,64.80M,784.20M,,1.43,,0.4235,1.43,,1.42,,0.4189,1.42,,430.00M,432.30M,0.20,,AOR,Restated
2019-03,1.337B,1.337B,785.00M,552.00M,300.80M,,39.70M,2.10M,-37.60M,300.80M,251.20M,2.10M,39.70M,-37.60M,2.50M,-37.60M,216.10M,43.00M,173.10M,173.10M,173.10M,320.60M,64.80M,255.80M,,0.40,,0.40,0.40,,0.39,,0.39,0.39,,437.70M,439.90M,0.20,,AOR,Restated
2018-12,652.10M,1.402B,833.80M,567.80M,296.80M,0.00,38.20M,1.20M,-37.00M,296.80M,271.00M,1.20M,38.20M,-37.00M,1.00M,-37.00M,235.00M,22.90M,212.10M,212.10M,212.10M,341.90M,68.70M,273.20M,,0.48,,0.48,0.48,,0.48,,0.48,0.48,,442.80M,445.40M,0.19,,AOR,Restated
2018-09,1.388B,1.388B,812.40M,575.40M,272.80M,0.00,38.40M,1.60M,-36.80M,272.80M,302.60M,1.60M,38.40M,-36.80M,0.60M,-36.80M,266.40M,57.80M,208.60M,208.60M,208.60M,368.40M,63.60M,304.80M,,0.47,,0.47,0.47,,0.46,,0.46,0.46,,446.80M,449.00M,0.19,,AOR,Restated
