,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.428B,,1.428B,,,,,,,,1.428B,,,,,,,,810.30M,-659.90M,150.40M,2.567B,505.00M,3.072B,,,,4.846B,8.068B,9.496B,,500.90M,928.90M,,1.430B,1.430B,,,,,,,,,1.430B,3.067B,,3.067B,188.90M,,188.90M,,,4.624B,7.880B,9.310B,,4.10M,-543.10M,885.10M,,,,-159.50M,186.60M,,AOR,
2020-09,1.597B,2.182B,3.779B,1.062B,,,1.062B,,,,4.841B,,,,,,,,812.90M,-656.90M,156.00M,2.567B,449.30M,3.016B,,,,814.50M,3.986B,8.827B,,457.20M,926.50M,3.589B,4.973B,4.973B,,50.00M,,50.00M,50.00M,,,,5.023B,2.986B,,2.986B,171.70M,,171.70M,,,578.80M,3.737B,8.760B,,4.10M,-625.30M,874.90M,,,,-186.60M,67.10M,,AOR,
2020-06,1.568B,1.902B,3.470B,1.234B,,,1.234B,,,,4.704B,,,,,,,,811.20M,-643.70M,167.50M,2.567B,473.90M,3.040B,,,,795.10M,4.003B,8.707B,,466.90M,1.006B,3.522B,4.995B,4.995B,,100.00M,,100.00M,100.00M,,,,5.095B,2.986B,,2.986B,167.90M,,167.90M,,,532.00M,3.686B,8.780B,,4.10M,-760.20M,860.50M,,,,-177.80M,-73.40M,,AOR,
2020-03,1.626B,1.654B,3.280B,927.30M,,,927.30M,,,,4.207B,,,,,813.00M,,,813.00M,-639.30M,173.70M,2.567B,485.10M,3.052B,,,,932.60M,4.158B,8.365B,,491.60M,1.016B,3.135B,4.643B,4.643B,,85.00M,,85.00M,85.00M,,,,4.728B,2.985B,,2.985B,150.60M,,150.60M,,,651.70M,3.787B,8.515B,,4.10M,-828.20M,854.70M,,,,-180.30M,-149.70M,,AOR,
2019-12,1.819B,1.698B,3.517B,1.230B,,,1.230B,198.80M,,,4.946B,0.00,0.00,0.40M,640.80M,199.70M,3.00M,159.20M,1.003B,-616.50M,386.60M,2.567B,494.90M,3.062B,33.00M,204.50M,,126.90M,3.812B,8.758B,,601.90M,1.020B,3.297B,4.918B,4.918B,0.00,245.00M,,245.00M,245.00M,,,,5.163B,2.984B,242.30M,3.227B,152.10M,,152.10M,11.40M,159.50M,85.10M,3.635B,8.798B,,4.20M,-675.90M,841.20M,,,,-209.00M,-39.50M,,AOR,
2019-09,1.881B,1.604B,3.486B,1.203B,,,1.203B,,,,4.688B,,,,,,,,860.90M,-648.70M,212.20M,2.567B,514.50M,3.081B,,,,822.20M,4.116B,8.804B,,574.70M,1.008B,3.297B,4.880B,4.880B,0.00,435.00M,,435.00M,435.00M,,,,5.315B,2.813B,,2.813B,161.30M,,161.30M,,,533.80M,3.508B,8.823B,,4.20M,-659.40M,818.60M,,,,-183.10M,-19.70M,,AOR,Restated
2019-06,2.002B,1.546B,3.548B,1.391B,,,1.391B,,,,4.939B,,,,,,,,923.00M,-698.90M,224.10M,2.567B,535.50M,3.102B,,,,778.50M,4.105B,9.043B,,467.20M,1.076B,3.728B,5.272B,5.272B,0.00,268.00M,,268.00M,268.00M,,,,5.540B,2.812B,,2.812B,166.30M,,166.30M,,,494.80M,3.473B,9.013B,,4.30M,-569.70M,801.30M,,,,-205.70M,30.20M,,AOR,Restated
2019-03,833.10M,,833.10M,,,,,,,,1.807B,,,,,,,,897.80M,-668.80M,229.00M,2.568B,562.70M,3.131B,,,,4.264B,7.625B,9.432B,,471.30M,1.085B,,1.556B,1.556B,250.00M,60.00M,,310.00M,310.00M,,,,1.866B,3.060B,,3.060B,165.30M,,165.30M,,,3.990B,7.940B,9.806B,,4.30M,-938.00M,771.10M,,,,-211.60M,-374.20M,,AOR,Restated
2018-12,2.221B,1.211B,3.432B,1.355B,,,1.355B,158.90M,,,4.946B,0.00,17.00M,88.60M,708.40M,,0.20M,158.60M,972.80M,-702.40M,270.40M,2.725B,598.20M,3.323B,31.30M,245.50M,,180.30M,4.051B,8.997B,,564.90M,1.054B,3.814B,5.433B,5.433B,500.00M,125.00M,,625.00M,625.00M,,,,6.058B,2.809B,0.00,2.809B,161.10M,,161.10M,16.00M,176.20M,86.90M,3.249B,9.307B,,4.40M,-838.80M,755.60M,,,,-231.00M,-309.80M,,AOR,Restated
2018-09,2.023B,1.278B,3.301B,1.486B,,,1.486B,,,,4.786B,,,,,,,,952.60M,-685.80M,266.80M,2.725B,604.50M,3.330B,,,,606.90M,4.203B,8.990B,,593.40M,1.077B,,1.670B,1.670B,250.00M,369.00M,,619.00M,619.00M,,,,2.289B,2.676B,,2.676B,156.30M,,156.30M,,,4.284B,7.116B,9.405B,,4.40M,-916.80M,743.70M,,,,-246.60M,-415.30M,,AOR,Restated
