,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,593.30M,597.74M,314.29M,283.45M,21.66M,21.66M,,-52.47M,,56.24M,,-56.24M,2.586M,197.88M,85.57M,,56.24M,-56.24M,-45.26M,-56.24M,-15.93M,24.17M,-59.58M,,,-3.836M,,-63.42M,-25.22M,213.94M,173.63M,40.31M,-0.12,,,,-0.049,-0.12,-0.12,,,,-0.049,-0.12,538.33M,538.33M,0.37
2020-06,584.21M,588.44M,315.84M,272.60M,23.72M,23.72M,,-49.87M,,57.55M,,-57.55M,0.627M,202.84M,69.76M,,57.55M,-57.55M,52.58M,-57.55M,64.79M,-7.346M,55.05M,,,-3.543M,,51.51M,27.42M,300.83M,178.49M,122.34M,0.09,,,,0.0453,0.09,0.09,,,,0.0453,0.09,538.26M,538.52M,0.37
2020-03,581.46M,585.15M,376.01M,209.14M,22.35M,22.35M,,-38.29M,,58.38M,,-58.38M,14.85M,226.47M,-17.34M,,58.38M,-58.38M,337.19M,-58.38M,261.48M,-33.04M,282.54M,,,-3.46M,,279.08M,186.68M,509.13M,189.28M,319.85M,0.55,,,,0.3676,0.55,0.54,,,,0.3606,0.54,506.48M,515.04M,0.37
2019-12,528.72M,531.69M,248.38M,283.31M,21.52M,21.52M,,-132.50M,,58.12M,,-58.12M,1.569M,213.89M,69.42M,,58.12M,-58.12M,28.99M,-58.12M,40.29M,-5.679M,47.36M,,,-3.839M,,43.52M,137.18M,289.21M,190.80M,98.41M,0.09,,,,0.2784,0.09,0.09,,,,0.2762,0.09,497.24M,502.96M,0.37
2019-09,535.23M,537.97M,248.07M,289.90M,22.97M,22.97M,,-73.27M,,61.23M,,-61.23M,1.319M,196.23M,93.67M,,61.23M,-61.23M,-73.36M,-61.23M,-40.93M,-6.261M,-42.31M,,,-3.555M,,-45.86M,16.87M,192.25M,171.94M,20.30M,-0.09,,,,0.0377,-0.09,-0.09,,,,0.0377,-0.09,491.20M,491.20M,0.37
2019-06,489.15M,491.57M,213.99M,277.57M,27.12M,27.12M,,-69.67M,,56.94M,,-56.94M,1.337M,193.75M,83.82M,,56.94M,-56.94M,-37.22M,-56.94M,-10.34M,-1.864M,-9.98M,,,-3.617M,,-13.60M,34.13M,211.90M,165.30M,46.60M,-0.03,,,,0.0697,-0.03,-0.03,,,,0.0697,-0.03,478.74M,478.74M,0.37
2019-03,434.44M,436.15M,168.93M,267.23M,21.36M,21.36M,,-8.858M,,49.33M,,-49.33M,4.518M,157.82M,109.40M,,49.33M,-49.33M,2.319M,-49.33M,62.40M,-3.458M,64.99M,,,-3.52M,,61.47M,62.06M,243.67M,131.95M,111.72M,0.13,,,,0.1312,0.13,0.13,,,,0.1312,0.13,477.77M,479.13M,0.37
2018-12,440.56M,441.92M,177.41M,264.51M,21.51M,21.51M,,-36.34M,,54.72M,,-54.72M,1.684M,153.95M,110.55M,,54.72M,-54.72M,777.76M,-54.72M,833.60M,-2.935M,834.38M,,,-2.835M,,831.55M,300.52M,1.019B,130.76M,888.32M,1.75,,,,0.6273,1.75,1.73,,,,0.6505,1.73,473.01M,491.92M,0.37
2018-09,454.79M,456.02M,181.21M,274.82M,23.50M,23.50M,,-49.17M,,63.49M,,-63.49M,4.489M,160.19M,114.62M,,63.49M,-63.49M,47.77M,-63.49M,98.91M,-4.929M,102.93M,,,-3.555M,,99.37M,65.67M,294.59M,132.20M,162.39M,0.21,,,,0.1383,0.21,0.21,,,,0.1383,0.21,469.87M,470.12M,0.37
2018-06,468.10M,469.55M,173.87M,295.68M,22.51M,22.51M,,-13.91M,,73.04M,,-73.04M,2.404M,168.21M,127.48M,,73.04M,-73.04M,33.94M,-73.04M,88.38M,-4.654M,92.93M,,,-2.986M,,89.94M,66.47M,304.70M,143.29M,161.41M,0.19,,,,0.14,0.19,0.19,,,,0.1401,0.19,469.77M,469.94M,0.37
2018-03,472.83M,479.20M,172.55M,306.64M,29.18M,29.18M,,0.00,,75.10M,,-75.10M,2.195M,174.62M,132.02M,,75.10M,-75.10M,-19.59M,-75.10M,37.33M,-5.336M,43.24M,,,-3.005M,,40.23M,25.04M,255.68M,143.25M,112.43M,0.08,,,,0.0476,0.08,0.08,,,,0.0476,0.08,469.56M,469.70M,0.37
2017-12,543.79M,443.26M,198.67M,244.59M,21.48M,21.48M,,-84.37M,,71.88M,,-71.88M,5.459M,163.78M,80.81M,,71.88M,-71.88M,-59.89M,-71.88M,-50.96M,13.30M,-57.92M,,,-0.778M,,-58.70M,-28.35M,157.76M,136.83M,20.92M,-0.13,,,,-0.0653,-0.13,-0.13,,,,-0.0653,-0.13,469.11M,469.26M,0.37
2017-09,405.39M,454.02M,155.34M,298.68M,23.52M,23.52M,,-79.56M,,71.33M,,-71.33M,0.58M,154.69M,143.99M,,71.33M,-71.33M,-84.93M,-71.33M,-12.26M,-5.481M,-5.72M,,,-1.937M,,-7.657M,36.97M,189.65M,130.59M,59.06M,-0.02,,,,0.0752,-0.02,-0.02,,,,0.0752,-0.02,468.98M,468.98M,0.37
2017-06,402.80M,458.93M,153.16M,305.76M,21.29M,21.29M,,-56.68M,,77.79M,,-77.79M,0.867M,152.90M,152.86M,,77.79M,-77.79M,-56.20M,-77.79M,18.87M,-2.987M,22.10M,,,-2.718M,,19.38M,53.14M,227.41M,130.75M,96.66M,0.04,,,,0.112,0.04,0.04,,,,0.112,0.04,468.65M,468.84M,0.37
2017-03,440.16M,492.17M,159.08M,333.09M,22.48M,22.48M,,,,86.72M,,-86.72M,1.057M,160.09M,173.00M,,86.72M,-86.72M,368.47M,-86.72M,454.75M,-6.162M,464.18M,,,-3.032M,,461.14M,270.79M,678.02M,136.55M,541.46M,0.98,,,,0.5735,0.98,0.97,,,,0.5694,0.97,468.30M,475.17M,0.37
2016-12,622.15M,539.94M,195.65M,344.30M,20.60M,20.60M,,-39.96M,,103.15M,,-103.15M,,177.35M,166.95M,,103.15M,-103.15M,3.724M,-103.15M,67.52M,3.372M,79.54M,-18.24M,,-2.639M,,58.66M,72.02M,317.60M,146.93M,170.67M,0.1639,-0.039,,,0.1534,0.12,0.1638,-0.039,,,0.1534,0.12,467.99M,468.22M,0.37
2016-09,475.27M,530.56M,187.71M,342.84M,34.78M,34.78M,,-2.763M,,117.86M,,-117.86M,,176.19M,166.66M,,117.86M,-117.86M,-1.34M,-117.86M,47.46M,-0.424M,45.83M,108.21M,,-2.789M,,151.25M,44.70M,306.72M,141.41M,165.32M,0.09,0.23,,,0.0936,0.32,0.09,0.23,,,0.0936,0.32,467.63M,467.84M,0.575
2016-06,472.02M,538.34M,179.08M,359.26M,22.78M,22.78M,,-0.823M,,121.33M,,-121.33M,,162.70M,196.56M,,121.33M,-121.33M,121.13M,-121.33M,196.36M,-2.179M,197.47M,107.38M,,-3.125M,,301.72M,123.07M,457.61M,139.92M,317.69M,0.42,0.23,,,0.2674,0.65,0.42,0.22,,,0.2688,0.64,467.08M,471.42M,0.575
2016-03,471.05M,520.46M,175.96M,344.50M,25.45M,25.45M,,-2.475M,,122.06M,,-122.06M,,165.31M,179.19M,,122.06M,-122.06M,-1.183M,-122.06M,55.95M,3.704M,51.34M,68.41M,,-3.626M,,116.12M,50.02M,317.87M,139.86M,178.01M,0.1,0.15,,,0.105,0.25,0.1,0.15,,,0.105,0.25,466.07M,466.26M,0.575
2015-12,11.78M,65.58M,168.79M,-103.21M,21.81M,21.81M,,507.92M,,122.03M,,-122.03M,,184.40M,-287.60M,,122.03M,-122.03M,511.00M,-122.03M,101.37M,-3.187M,104.47M,,,-4.251M,,-598.87M,-204.54M,359.66M,136.26M,223.40M,0.22,,,,-0.4353,-1.29,0.22,,,,-0.4353,-1.29,465.06M,465.06M,0.565
2015-09,604.57M,657.50M,173.52M,483.98M,20.53M,20.53M,,-71.18M,,122.16M,,-122.16M,,155.24M,328.75M,,122.16M,-122.16M,-71.70M,-122.16M,134.89M,-1.98M,117.95M,,,-2.592M,,115.36M,158.04M,391.76M,134.36M,257.05M,0.25,,,,0.3421,0.25,0.25,,,,0.3421,0.25,463.34M,463.59M,0.565
2015-06,539.75M,607.53M,136.34M,471.19M,28.84M,28.84M,,-63.24M,,118.63M,,-118.63M,,149.25M,321.94M,,118.63M,-118.63M,-52.13M,-118.63M,151.18M,-4.563M,167.75M,,,-2.863M,,164.88M,202.79M,390.22M,120.14M,269.82M,0.36,,,,0.4421,0.36,0.36,,,,0.442,0.36,461.87M,462.11M,0.565
