,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,197.12M,,197.12M,63.22M,231.16M,,294.38M,,102.42M,2.807B,,,,190.88M,,190.88M,,190.88M,,501.58M,501.58M,480.98M,,,737.10M,12.94B,15.75B,,,834.52M,,,,,93.05M,927.56M,6.380B,175.00M,6.555B,755.02M,755.02M,566.25M,,108.03M,7.418B,8.346B,538.36M,-3.923B,10.23B,,,,-3.236M,6.840B
2020-06,730.96M,,730.96M,73.43M,253.77M,,327.21M,,105.68M,1.543B,,,,193.73M,,193.73M,,193.73M,,537.56M,537.56M,505.09M,,,750.51M,14.77B,16.32B,,,847.08M,,,,,32.65M,879.73M,6.729B,177.03M,6.906B,751.44M,751.44M,570.05M,,110.73M,7.768B,8.648B,538.32M,-3.660B,10.22B,,,,-2.186M,7.099B
2020-03,783.54M,,783.54M,85.04M,220.65M,,305.69M,,106.56M,1.468B,,,,171.84M,,171.84M,,171.84M,,550.35M,550.35M,524.61M,,,776.39M,14.61B,16.07B,,,856.03M,,,,,31.72M,887.76M,6.389B,156.81M,6.546B,753.43M,753.43M,576.94M,,72.14M,7.371B,8.259B,538.14M,-3.512B,10.21B,,,,-2.495M,7.237B
2019-12,144.23M,,144.23M,59.42M,190.58M,,250.00M,,40.42M,939.05M,,,,172.49M,,172.49M,,172.49M,,331.69M,331.69M,910.12M,,,646.49M,13.09B,14.03B,,,456.15M,,,,,36.37M,492.52M,6.352B,156.61M,6.508B,289.68M,289.68M,582.42M,,74.99M,6.873B,7.365B,505.22M,-3.601B,9.184B,,,,-2.857M,6.085B
2019-09,124.99M,,124.99M,56.99M,137.62M,,194.61M,,30.11M,752.46M,,,,172.96M,,172.96M,,172.96M,,303.72M,303.72M,589.85M,,,656.12M,13.26B,14.01B,,,431.49M,,,,,35.06M,466.56M,6.600B,156.30M,6.757B,208.65M,208.65M,590.22M,,54.91M,7.020B,7.487B,494.85M,-3.461B,8.905B,,,,-5.223M,5.933B
2019-06,130.52M,,130.52M,53.84M,124.56M,,178.40M,,25.53M,495.45M,,,,172.42M,,172.42M,,172.42M,,317.96M,317.96M,875.14M,,,618.22M,13.22B,13.71B,,,371.24M,,,,,30.09M,401.33M,6.291B,154.88M,6.445B,193.29M,193.29M,564.87M,,53.77M,6.692B,7.094B,491.11M,-3.233B,8.801B,,,,-4.459M,6.054B
2019-03,120.12M,,120.12M,48.56M,86.14M,,134.69M,,26.54M,292.19M,,,,165.75M,,165.75M,,165.75M,,275.56M,275.56M,895.36M,,,643.46M,12.61B,12.90B,,,352.64M,,,,,0.132M,352.77M,5.764B,152.84M,5.917B,181.47M,181.47M,562.18M,,49.49M,6.148B,6.500B,477.93M,-3.042B,8.405B,,,,-3.883M,5.837B
2018-12,110.79M,,110.79M,48.17M,63.00M,,111.17M,,29.06M,359.10M,,,,,,0.00,,0.00,,305.08M,305.08M,1.254B,,,591.02M,12.36B,12.72B,,,391.58M,,,,,1.125M,392.71M,5.568B,0.00,5.568B,190.68M,190.68M,568.15M,,54.66M,5.813B,6.206B,477.50M,-2.927B,8.399B,,,,-4.708M,5.944B
2018-09,78.86M,,78.86M,48.70M,41.30M,,90.00M,,29.88M,621.81M,,,,,,,,,,305.80M,305.80M,1.338B,,,582.68M,12.46B,13.08B,,,410.80M,,,,,3.146M,413.95M,6.798B,,6.798B,174.51M,174.51M,569.21M,,56.87M,7.030B,7.444B,469.92M,-3.584B,8.190B,,,,-4.297M,5.071B
2018-06,91.38M,,91.38M,43.96M,38.69M,402.45M,485.10M,,30.55M,1.300B,,,,,,,,,,294.06M,294.06M,1.341B,,,554.40M,12.15B,13.45B,,,398.92M,,,,,10.36M,409.28M,7.403B,,7.403B,172.37M,172.37M,273.23M,,49.98M,7.625B,8.035B,469.83M,-3.510B,8.187B,,,,-4.08M,5.143B
