,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,8.90B,8.90B,5.976B,2.924B,1.248B,,95.00M,,-95.00M,,1.248B,1.676B,,95.00M,-95.00M,129.00M,-95.00M,1.71B,331.00M,1.379B,,,-20.00M,1.359B,1.359B,2.059B,254.00M,1.805B,,1.94,,,1.94,1.94,,1.91,,,1.91,1.91,,701.80M,710.00M,0.93,,AOR,
2020-09,7.797B,7.797B,5.383B,2.414B,1.103B,0.00,101.00M,20.00M,-81.00M,,1.103B,1.311B,20.00M,101.00M,-81.00M,-82.00M,-81.00M,1.148B,367.00M,781.00M,,,-23.00M,758.00M,757.32M,1.504B,255.00M,1.249B,,1.08,,,1.079,1.08,,1.07,,,1.069,1.07,,702.60M,709.60M,0.90,,AOR,
2020-06,7.477B,7.477B,5.276B,2.201B,1.183B,0.00,90.00M,22.00M,-68.00M,,1.183B,1.018B,22.00M,90.00M,-68.00M,269.00M,-68.00M,1.219B,120.00M,1.099B,,,-18.00M,1.081B,1.078B,1.559B,250.00M,1.309B,,1.54,,,1.536,1.54,,1.53,,,1.526,1.53,,702.30M,708.10M,0.90,,AOR,
2020-03,8.463B,8.463B,5.534B,2.929B,1.238B,,73.00M,44.00M,-29.00M,,1.238B,1.691B,44.00M,73.00M,-29.00M,273.00M,-29.00M,1.935B,329.00M,1.606B,,,-25.00M,1.581B,1.571B,2.251B,243.00M,2.008B,,2.23,,,2.216,2.23,,2.21,,,2.196,2.21,,709.60M,717.00M,0.90,,AOR,
2019-12,9.496B,9.496B,6.328B,3.168B,1.473B,-2.00M,91.00M,61.00M,-30.00M,,1.473B,1.695B,61.00M,91.00M,-30.00M,103.00M,-30.00M,1.768B,178.00M,1.59B,,,-28.00M,1.562B,1.543B,2.128B,269.00M,1.859B,,2.19,,,2.164,2.19,,2.16,,,2.134,2.16,,713.50M,722.80M,0.90,,AOR,
2019-09,9.086B,9.086B,6.038B,3.048B,1.296B,0.00,96.00M,64.00M,-32.00M,,1.296B,1.752B,64.00M,96.00M,-32.00M,247.00M,-32.00M,1.967B,319.00M,1.648B,,,-24.00M,1.624B,1.588B,2.326B,263.00M,2.063B,,2.26,,,2.210,2.26,,2.23,,,2.180,2.23,,717.60M,726.70M,0.82,,AOR,Restated
2019-06,9.243B,9.243B,6.094B,3.149B,1.387B,1.00M,85.00M,63.00M,-22.00M,,1.387B,1.762B,63.00M,85.00M,-22.00M,242.00M,-22.00M,1.982B,426.00M,1.556B,,,-15.00M,1.541B,1.506B,2.362B,295.00M,2.067B,,2.13,,,2.082,2.13,,2.10,,,2.053,2.10,,723.20M,733.00M,0.82,,AOR,Restated
2019-03,8.884B,8.884B,5.879B,3.005B,1.363B,,85.00M,67.00M,-18.00M,,1.363B,1.642B,67.00M,85.00M,-18.00M,218.00M,-18.00M,1.842B,406.00M,1.436B,,,-20.00M,1.416B,1.407B,2.188B,261.00M,1.927B,,1.94,,,1.928,1.94,,1.92,,,1.908,1.92,,729.70M,738.80M,0.82,,AOR,Restated
2018-12,9.729B,9.729B,6.685B,3.044B,1.524B,-87.00M,90.00M,63.00M,-27.00M,,1.524B,1.52B,63.00M,90.00M,-27.00M,227.00M,-27.00M,1.72B,-20.00M,1.74B,,,-19.00M,1.721B,1.758B,2.064B,254.00M,1.81B,,2.34,,,2.391,2.34,,2.31,,,2.360,2.31,,734.00M,744.00M,0.82,,AOR,Restated
2018-09,10.76B,10.76B,7.556B,3.206B,1.524B,-116.00M,99.00M,55.00M,-44.00M,,1.524B,1.682B,55.00M,99.00M,-44.00M,220.00M,-44.00M,1.858B,-498.00M,2.356B,,,-18.00M,2.338B,2.412B,2.243B,286.00M,1.957B,,3.15,,,3.249,3.15,,3.11,,,3.208,3.11,,741.80M,752.00M,0.745,,AOR,Restated
2018-06,10.92B,10.92B,7.614B,3.305B,1.528B,-63.00M,95.00M,49.00M,-46.00M,,1.528B,1.777B,49.00M,95.00M,-46.00M,267.00M,-46.00M,1.998B,718.00M,1.28B,,,-13.00M,1.267B,1.300B,2.381B,288.00M,2.093B,,1.70,,,1.745,1.70,,1.68,,,1.724,1.68,,745.50M,755.00M,0.745,,AOR,Restated
2018-03,10.39B,10.39B,7.191B,3.201B,1.475B,-55.00M,83.00M,50.00M,-33.00M,,1.475B,1.726B,50.00M,83.00M,-33.00M,218.00M,-33.00M,1.911B,459.00M,1.452B,,,-13.00M,1.439B,1.480B,2.282B,288.00M,1.994B,,1.92,,,1.975,1.92,,1.89,,,1.944,1.89,,750.60M,761.00M,0.745,,AOR,Restated
2017-12,10.84B,10.84B,7.54B,3.303B,1.684B,-23.00M,81.00M,45.00M,-36.00M,,1.684B,1.619B,45.00M,81.00M,-36.00M,84.00M,-36.00M,1.667B,4.174B,-2.507B,,,-12.00M,-2.519B,-2.503B,2.031B,283.00M,1.748B,,-3.18,,,-3.159,-3.18,,-3.18,,,-3.159,-3.18,,759.10M,769.10M,0.745,,AOR,Restated
2017-09,10.12B,10.12B,7.054B,3.067B,1.524B,0.00,81.00M,39.00M,-42.00M,,1.524B,1.543B,39.00M,81.00M,-42.00M,277.00M,-42.00M,1.778B,416.00M,1.362B,,,-17.00M,1.345B,1.337B,2.144B,285.00M,1.859B,,1.76,,,1.750,1.76,,1.74,,,1.730,1.74,,762.20M,771.40M,0.665,,AOR,Restated
