,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,14.28B,945.00M,15.22B,6.827B,,6.827B,,,,,4.489B,,1.639B,28.18B,,,,,,,,5.57B,16.06B,3.56B,19.62B,685.00M,366.00M,760.00M,9.412B,36.41B,64.59B,,5.75B,,5.75B,7.405B,13.16B,,,,6.042B,,6.042B,,,,19.20B,,16.34B,,16.34B,2.113B,,2.113B,242.00M,,7.00M,8.895B,27.60B,46.80B,,,,,,,,,,17.79B,,AOR,
2020-09,14.04B,972.00M,15.01B,6.878B,,6.878B,1.081B,850.00M,2.774B,,4.705B,,1.609B,28.20B,,,,,,,,5.419B,15.67B,3.494B,19.16B,673.00M,374.00M,154.00M,9.479B,35.26B,63.46B,,5.27B,,5.27B,7.379B,12.65B,,,,4.535B,,4.535B,,,,17.18B,,17.69B,,17.69B,1.474B,,1.474B,309.00M,239.00M,7.00M,8.485B,27.96B,45.15B,,958.00M,39.20B,7.155B,25.81B,-735.00M,-2.803B,102.00M,-3.436B,18.07B,,AOR,
2020-06,13.78B,1.349B,15.13B,6.717B,,6.717B,1.113B,836.00M,2.839B,,4.753B,,1.724B,28.32B,,,,,,,,5.327B,15.52B,3.551B,19.07B,626.00M,379.00M,106.00M,9.776B,35.28B,63.60B,,5.366B,,5.366B,7.477B,12.84B,,,,4.498B,,4.498B,,,,17.34B,,17.59B,,17.59B,1.461B,,1.461B,317.00M,219.00M,7.00M,8.521B,27.90B,45.24B,,958.00M,39.08B,7.104B,25.68B,,,,-3.31B,18.15B,,AOR,
2020-03,7.721B,1.07B,8.791B,7.452B,,7.452B,1.079B,859.00M,2.681B,,4.584B,,1.786B,22.61B,,,,,,,,5.214B,15.28B,3.58B,18.86B,613.00M,383.00M,71.00M,9.666B,34.81B,57.42B,,5.676B,,5.676B,7.131B,12.81B,,,,4.57B,,4.57B,,,,17.38B,,11.54B,,11.54B,1.67B,,1.67B,314.00M,221.00M,7.00M,8.647B,22.18B,39.56B,,958.00M,38.64B,7.047B,25.64B,,,,-3.353B,17.64B,,AOR,
2019-12,9.067B,1.349B,10.42B,7.493B,,7.493B,1.056B,817.00M,2.593B,,4.421B,,1.973B,24.30B,0.00,251.00M,3.152B,9.586B,724.00M,13.71B,-8.388B,5.325B,15.56B,3.734B,19.30B,588.00M,392.00M,86.00M,8.688B,34.38B,58.68B,,5.73B,492.00M,6.222B,1.976B,8.198B,435.00M,,4.892B,4.892B,171.00M,5.063B,2.49B,2.49B,361.00M,18.10B,604.00M,11.11B,534.00M,11.64B,1.67B,1.31B,2.98B,2.199B,212.00M,7.00M,2.326B,21.88B,39.97B,,958.00M,37.69B,6.876B,23.84B,,,,-3.197B,18.49B,,AOR,
2019-09,10.91B,1.456B,12.36B,7.583B,,7.583B,1.083B,829.00M,2.734B,,4.601B,,1.64B,26.19B,,,,,,,,5.24B,15.43B,3.787B,19.21B,631.00M,412.00M,241.00M,8.179B,33.92B,60.10B,,5.522B,,5.522B,6.883B,12.40B,,,,7.51B,,7.51B,,,,19.92B,,11.10B,,11.10B,1.366B,,1.366B,329.00M,197.00M,7.00M,9.08B,21.88B,41.80B,,958.00M,36.78B,6.806B,23.14B,,,,-3.295B,18.11B,,AOR,Restated
2019-06,8.225B,1.718B,9.943B,7.407B,,7.407B,1.121B,849.00M,2.675B,,4.60B,,1.818B,23.77B,,,,,,,,5.26B,15.57B,3.933B,19.51B,747.00M,422.00M,259.00M,7.788B,33.98B,57.75B,,5.602B,,5.602B,6.717B,12.32B,,,,7.575B,,7.575B,,,,19.89B,,8.608B,,8.608B,1.722B,,1.722B,326.00M,190.00M,7.00M,9.133B,19.80B,39.69B,,958.00M,35.74B,6.78B,22.16B,,,,-3.453B,17.87B,,AOR,Restated
2019-03,8.625B,2.059B,10.68B,7.307B,,7.307B,1.17B,847.00M,2.577B,,4.548B,,1.795B,24.33B,,,,,,,,5.276B,15.56B,4.039B,19.59B,747.00M,429.00M,362.00M,7.818B,34.23B,58.56B,,5.582B,,5.582B,6.497B,12.08B,,,,7.514B,,7.514B,,,,19.59B,,8.598B,,8.598B,1.85B,,1.85B,333.00M,189.00M,7.00M,9.223B,20.01B,39.60B,,958.00M,34.79B,6.652B,20.39B,,,,-3.245B,18.77B,,AOR,Restated
2018-12,9.287B,1.623B,10.91B,7.508B,,7.508B,1.109B,811.00M,2.445B,,4.326B,,1.618B,24.36B,0.00,262.00M,3.125B,9.435B,588.00M,13.41B,-8.114B,5.296B,15.55B,4.139B,19.68B,742.00M,437.00M,382.00M,6.869B,33.41B,57.77B,,5.607B,400.00M,6.007B,1.924B,7.931B,418.00M,,6.458B,6.458B,0.00,6.458B,2.403B,2.403B,245.00M,18.92B,721.00M,9.756B,0.00,9.756B,1.713B,1.264B,2.977B,2.139B,178.00M,7.00M,2.655B,20.49B,39.42B,,958.00M,33.98B,6.452B,19.77B,,,,-3.437B,18.18B,,AOR,Restated
2018-09,9.803B,1.85B,11.65B,8.568B,,8.568B,1.334B,860.00M,2.904B,,5.061B,,1.346B,26.63B,,,,,,,,5.966B,18.19B,4.202B,22.39B,754.00M,465.00M,376.00M,5.35B,35.30B,61.93B,,7.05B,,7.05B,6.658B,13.71B,,,,4.192B,,4.192B,,,,17.90B,,14.06B,,14.06B,1.905B,,1.905B,440.00M,177.00M,7.00M,9.20B,25.61B,43.51B,,958.00M,31.11B,6.398B,18.10B,,,,-2.125B,18.24B,,AOR,Restated
