,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2008-12,707.00M,0.00,,-37.00M,-155.00M,,,210.00M,210.00M,-133.00M,21.00M,0.00,53.00M,857.00M,232.00M,-562.00M,29.00M,,,556.00M,1.259B,,-332.00M,1.00M,-331.00M,-85.00M,2.00M,61.00M,-353.00M,,-3.00M,-807.00M,-810.00M,4.00M,0.00,4.00M,610.00M,-201.00M,0.00,-1.007B,,2.292B,-101.00M,-126.00M,2.065B,,4.00M,-481.00M,-329.00M,0.00,,,Restated
2008-09,719.00M,-635.00M,,39.00M,-119.00M,,,247.00M,247.00M,5.00M,31.00M,-2.00M,-102.00M,155.00M,-49.00M,-132.00M,16.00M,,,-10.00M,769.00M,,-213.00M,2.00M,-211.00M,121.00M,-4.00M,0.00,-94.00M,,0.00,690.00M,690.00M,16.00M,-1.018B,-1.002B,-201.00M,-201.00M,2.00M,-511.00M,,2.204B,164.00M,-76.00M,2.292B,,16.00M,460.00M,230.00M,-1.018B,,,Restated
2008-06,723.00M,,,-69.00M,-38.00M,,,229.00M,229.00M,135.00M,35.00M,-12.00M,85.00M,-396.00M,-55.00M,321.00M,15.00M,,,-115.00M,1.042B,,-189.00M,38.00M,-151.00M,-1.253B,8.00M,9.00M,-1.387B,,-200.00M,654.00M,454.00M,75.00M,0.00,75.00M,-205.00M,-205.00M,12.00M,336.00M,,2.234B,-9.00M,-21.00M,2.204B,,75.00M,21.00M,433.00M,0.00,,,Restated
2008-03,643.00M,,,-34.00M,142.00M,,,217.00M,217.00M,108.00M,41.00M,-7.00M,45.00M,-224.00M,-289.00M,80.00M,-35.00M,,,-468.00M,721.00M,,-150.00M,12.00M,-138.00M,-55.00M,6.00M,-2.00M,-189.00M,,1.262B,-863.00M,399.00M,51.00M,-441.00M,-390.00M,-204.00M,-204.00M,7.00M,-188.00M,,1.829B,344.00M,61.00M,2.234B,,51.00M,1.487B,-1.088B,-441.00M,,,Restated
2007-12,689.00M,,,,-70.00M,,,217.00M,217.00M,163.00M,,,-7.00M,136.00M,107.00M,124.00M,-19.00M,100.00M,,448.00M,1.44B,,-310.00M,11.00M,-299.00M,-584.00M,6.00M,,-877.00M,,,,-243.00M,86.00M,-203.00M,-117.00M,,-187.00M,18.00M,-529.00M,,1.787B,34.00M,8.00M,1.829B,,86.00M,,,-203.00M,,,
2007-09,618.00M,,,,135.00M,,,207.00M,207.00M,-28.00M,,,-42.00M,-251.00M,-88.00M,130.00M,0.00,229.00M,,20.00M,910.00M,,-174.00M,5.00M,-169.00M,-459.00M,-20.00M,,-648.00M,,,,239.00M,93.00M,-296.00M,-203.00M,,-188.00M,17.00M,-135.00M,,1.633B,127.00M,27.00M,1.787B,,93.00M,,,-296.00M,,,
2007-06,611.00M,,,,151.00M,,,213.00M,213.00M,180.00M,,,-64.00M,-216.00M,-41.00M,78.00M,0.00,71.00M,,-108.00M,983.00M,,-163.00M,49.00M,-114.00M,-52.00M,,,-166.00M,,,,1.573B,305.00M,-2.301B,-1.996B,,-193.00M,43.00M,-573.00M,,1.378B,244.00M,11.00M,1.633B,,305.00M,,,-2.301B,,,
2007-03,526.00M,,,,6.00M,,,200.00M,200.00M,17.00M,,,92.00M,-136.00M,-161.00M,65.00M,36.00M,-67.00M,,-263.00M,578.00M,,-120.00M,33.00M,-87.00M,-4.00M,,,-91.00M,,,,921.00M,119.00M,-1.186B,-1.067B,,-199.00M,8.00M,-337.00M,,1.224B,150.00M,4.00M,1.378B,,119.00M,,,-1.186B,,,
2006-12,585.00M,,,,-53.00M,,,198.00M,198.00M,27.00M,,,-15.00M,-28.00M,137.00M,301.00M,-5.00M,94.00M,,499.00M,1.241B,,-300.00M,42.00M,-258.00M,76.00M,,,-182.00M,,,,-358.00M,118.00M,-876.00M,-758.00M,,-184.00M,,-1.269B,,1.415B,-210.00M,19.00M,1.224B,,118.00M,,,-876.00M,,,
2006-09,541.00M,,,,-90.00M,,,190.00M,190.00M,297.00M,,,61.00M,-302.00M,-57.00M,137.00M,-48.00M,67.00M,,-203.00M,796.00M,,-162.00M,1.00M,-161.00M,-12.00M,,,-173.00M,,,,-302.00M,39.00M,-192.00M,-153.00M,,-184.00M,,-639.00M,,1.424B,-16.00M,7.00M,1.415B,,39.00M,,,-192.00M,,,
2006-06,521.00M,,,,77.00M,,,218.00M,218.00M,70.00M,,,,-96.00M,-25.00M,68.00M,53.00M,49.00M,,49.00M,935.00M,,-149.00M,-468.00M,-617.00M,24.00M,,,-593.00M,,,,248.00M,65.00M,-503.00M,-438.00M,,-187.00M,,-377.00M,,1.442B,-35.00M,17.00M,1.424B,,65.00M,,,-503.00M,,,
2006-03,436.00M,,,,116.00M,,,188.00M,188.00M,56.00M,,,,-147.00M,-183.00M,10.00M,-11.00M,-226.00M,,-557.00M,239.00M,,-122.00M,512.00M,390.00M,-56.00M,,,334.00M,,,,-24.00M,174.00M,-325.00M,-151.00M,,-189.00M,,-364.00M,,1.234B,209.00M,-1.00M,1.442B,,174.00M,,,-325.00M,,,
2005-12,514.00M,,,,-371.00M,,,163.00M,163.00M,-32.00M,,,,179.00M,123.00M,212.00M,41.00M,-11.00M,,544.00M,839.00M,,-228.00M,32.00M,-196.00M,244.00M,0.00,,48.00M,,,,-414.00M,33.00M,-554.00M,-521.00M,,-172.00M,,-1.107B,,1.452B,-220.00M,2.00M,1.234B,,33.00M,,,-554.00M,,,
2005-09,464.00M,,,,95.00M,,,164.00M,164.00M,13.00M,,,,-147.00M,-22.00M,-26.00M,1.00M,163.00M,,-31.00M,705.00M,,-162.00M,14.00M,-148.00M,-20.00M,0.00,,-168.00M,,,,-304.00M,45.00M,-579.00M,-534.00M,,-176.00M,,-1.014B,,1.929B,-477.00M,0.00,1.452B,,45.00M,,,-579.00M,,,
2005-06,301.00M,,,,-13.00M,,,159.00M,159.00M,58.00M,,,,-117.00M,21.00M,8.00M,-25.00M,177.00M,,64.00M,569.00M,,-159.00M,24.00M,-135.00M,-1.901B,0.00,-83.00M,-2.119B,,,,-440.00M,22.00M,,22.00M,,-176.00M,,-594.00M,,4.096B,-2.144B,-23.00M,1.929B,,22.00M,,,,,,
2005-03,359.00M,,,,-1.00M,,,167.00M,167.00M,3.00M,,,,-9.00M,-85.00M,-13.00M,44.00M,-136.00M,,-199.00M,329.00M,,-135.00M,1.00M,-134.00M,-5.00M,285.00M,83.00M,229.00M,,,,108.00M,67.00M,,67.00M,,-176.00M,,-1.00M,,3.586B,557.00M,-47.00M,4.096B,,67.00M,,,,,,
2004-12,218.00M,,,,258.00M,,,120.00M,120.00M,49.00M,,,,-152.00M,-42.00M,222.00M,-78.00M,171.00M,,121.00M,766.00M,,-226.00M,-365.00M,-591.00M,262.00M,-115.00M,,-444.00M,,,,199.00M,12.00M,-382.00M,-370.00M,,-160.00M,,-331.00M,,3.433B,-9.00M,162.00M,3.586B,,12.00M,,,-382.00M,,,
2004-09,372.00M,,,,-56.00M,,,206.00M,206.00M,70.00M,,,,-75.00M,-54.00M,69.00M,8.00M,105.00M,,53.00M,645.00M,,-120.00M,7.00M,-113.00M,-111.00M,0.00,,-224.00M,,,,-77.00M,17.00M,-50.00M,-33.00M,,-161.00M,,-271.00M,,3.232B,150.00M,51.00M,3.433B,,17.00M,,,-50.00M,,,
2004-06,361.00M,,,,-226.00M,,,142.00M,142.00M,53.00M,,,,-75.00M,58.00M,42.00M,7.00M,143.00M,,175.00M,505.00M,,-148.00M,325.00M,177.00M,-13.00M,0.00,,164.00M,,,,-400.00M,19.00M,-63.00M,-44.00M,,-161.00M,,-605.00M,,3.20B,64.00M,-32.00M,3.232B,,19.00M,,,-63.00M,,,
2004-03,295.00M,,,,-41.00M,,,146.00M,146.00M,29.00M,,,,-168.00M,-46.00M,75.00M,-14.00M,61.00M,,-92.00M,337.00M,,-135.00M,71.00M,-64.00M,-96.00M,80.00M,,-80.00M,,,,348.00M,26.00M,-229.00M,-203.00M,,-161.00M,,-16.00M,,2.95B,241.00M,9.00M,3.20B,,26.00M,,,-229.00M,,,
2003-12,407.00M,,,,-478.00M,,,224.00M,224.00M,65.00M,,,,-164.00M,101.00M,122.00M,1.00M,225.00M,,285.00M,503.00M,,-248.00M,24.00M,-224.00M,-75.00M,,,-299.00M,,,,-66.00M,15.00M,,-22.00M,,-162.00M,,-250.00M,,2.87B,-46.00M,126.00M,2.95B,,15.00M,,,,,,
2003-09,344.00M,,,,-48.00M,,,147.00M,147.00M,145.00M,,,,8.00M,112.00M,-57.00M,-39.00M,58.00M,,82.00M,670.00M,,-131.00M,60.00M,-71.00M,-2.00M,,,-73.00M,,,,-196.00M,8.00M,,8.00M,,-161.00M,,-349.00M,,2.626B,248.00M,-4.00M,2.87B,,8.00M,,,,,,
2003-06,319.00M,,,,35.00M,,,148.00M,148.00M,85.00M,,,,-51.00M,-5.00M,65.00M,-24.00M,-19.00M,,-34.00M,553.00M,,-171.00M,90.00M,-81.00M,-32.00M,,,-113.00M,,,,-133.00M,7.00M,,7.00M,,-161.00M,,-287.00M,,2.29B,153.00M,183.00M,2.626B,,7.00M,,,,,,
2003-03,254.00M,,,,-21.00M,,,142.00M,142.00M,49.00M,,,,-29.00M,-90.00M,110.00M,42.00M,16.00M,,49.00M,473.00M,,-105.00M,,-105.00M,-90.00M,,,-195.00M,,,,128.00M,24.00M,,24.00M,,-161.00M,,-9.00M,,2.021B,269.00M,,2.29B,,24.00M,,,,,,
2002-12,-1.467B,,,,2.841B,,,161.00M,161.00M,-924.00M,,,,77.00M,213.00M,80.00M,45.00M,-272.00M,,143.00M,754.00M,,-227.00M,19.00M,-208.00M,-488.00M,-1.00M,,-697.00M,,,,101.00M,4.00M,,4.00M,,-154.00M,,-88.00M,,2.002B,-31.00M,,2.021B,,4.00M,,,,,,
2002-09,412.00M,,,,-329.00M,,,170.00M,170.00M,96.00M,,,,126.00M,78.00M,-9.00M,32.00M,-77.00M,,150.00M,499.00M,,-145.00M,-2.00M,-147.00M,-13.00M,91.00M,,-69.00M,,,,-253.00M,3.00M,,3.00M,,-154.00M,,-404.00M,,1.976B,26.00M,,2.002B,,3.00M,,,,,,
2002-06,459.00M,,,,176.00M,,,164.00M,164.00M,-86.00M,,,-1.00M,-212.00M,51.00M,40.00M,-32.00M,163.00M,,10.00M,722.00M,,-152.00M,103.00M,-49.00M,-3.00M,0.00,,-52.00M,,,,-145.00M,12.00M,,12.00M,,-153.00M,,-286.00M,,1.592B,384.00M,,1.976B,,12.00M,,,,,,
2002-03,376.00M,,,,-176.00M,,,176.00M,176.00M,121.00M,,,1.00M,190.00M,-9.00M,-48.00M,6.00M,-232.00M,,-93.00M,405.00M,,-147.00M,104.00M,-43.00M,-16.00M,7.00M,,-52.00M,,,,-23.00M,22.00M,,22.00M,,-153.00M,,-154.00M,,1.393B,199.00M,,1.592B,,22.00M,,,,,,
2001-12,118.00M,,,,155.00M,,,227.00M,227.00M,109.00M,,,,126.00M,300.00M,-136.00M,38.00M,-298.00M,,30.00M,639.00M,,-264.00M,45.00M,-219.00M,-9.00M,,,-226.00M,,,,-191.00M,8.00M,0.00,8.00M,,-152.00M,,-335.00M,,1.324B,78.00M,,1.393B,,8.00M,,,0.00,,,
2001-09,-308.00M,,,,1.024B,,,222.00M,222.00M,-300.00M,,,,132.00M,-71.00M,-46.00M,-35.00M,-38.00M,,-58.00M,580.00M,,-227.00M,0.00,-227.00M,-3.00M,,,-230.00M,,,,39.00M,9.00M,0.00,9.00M,,-304.00M,,-256.00M,,1.23B,94.00M,,1.324B,,9.00M,,,0.00,,,
2001-06,50.00M,,,,386.00M,,,238.00M,238.00M,-128.00M,,,,28.00M,99.00M,-75.00M,70.00M,-138.00M,,-16.00M,530.00M,,-212.00M,19.00M,-193.00M,-25.00M,,1.00M,-217.00M,,,,-185.00M,43.00M,-15.00M,28.00M,,0.00,,-157.00M,,1.074B,156.00M,,1.23B,,43.00M,,,-15.00M,,,
2001-03,41.00M,,,,411.00M,,,239.00M,239.00M,-137.00M,,,,365.00M,-160.00M,-143.00M,-22.00M,-347.00M,,-307.00M,247.00M,,-173.00M,26.00M,-147.00M,-85.00M,,-1.00M,-233.00M,,,,13.00M,19.00M,-15.00M,4.00M,,-153.00M,,-136.00M,,1.196B,-122.00M,,1.074B,,19.00M,,,-15.00M,,,
2000-12,254.00M,,,,314.00M,,,228.00M,228.00M,197.00M,,,,-496.00M,88.00M,145.00M,14.00M,-108.00M,,-357.00M,636.00M,,-275.00M,56.00M,-219.00M,-24.00M,-1.00M,88.00M,-156.00M,,,,-1.387B,203.00M,-14.00M,189.00M,,-151.00M,,-1.349B,,2.065B,-869.00M,,1.196B,,203.00M,,,-14.00M,,,
2000-09,282.00M,,,,145.00M,,,238.00M,238.00M,178.00M,,,,-162.00M,-130.00M,10.00M,-26.00M,-20.00M,,-328.00M,515.00M,,-223.00M,181.00M,-42.00M,-33.00M,0.00,-1.00M,-76.00M,,,,957.00M,12.00M,-152.00M,-140.00M,,-150.00M,,667.00M,,959.00M,1.106B,,2.065B,,12.00M,,,-152.00M,,,
2000-06,617.00M,,,,-235.00M,,,267.00M,267.00M,35.00M,,,,-110.00M,-26.00M,88.00M,-20.00M,-165.00M,,-233.00M,451.00M,,-191.00M,294.00M,103.00M,-153.00M,-17.00M,-2.00M,-69.00M,,,,-322.00M,48.00M,,48.00M,,-149.00M,,-423.00M,,1.00B,-41.00M,,959.00M,,48.00M,,,,,,
2000-03,506.00M,,,,-179.00M,,,262.00M,262.00M,4.00M,,,,208.00M,23.00M,-57.00M,-41.00M,-339.00M,,-206.00M,387.00M,,-164.00M,63.00M,-101.00M,-2.313B,1.00M,,-2.413B,,,,1.151B,33.00M,,33.00M,,-149.00M,,1.035B,,1.991B,-991.00M,,1.00B,,33.00M,,,,,,
1999-12,7.00M,,,,733.00M,,,216.00M,216.00M,-139.00M,,,,-48.00M,102.00M,290.00M,-18.00M,-286.00M,,40.00M,857.00M,,-302.00M,143.00M,-159.00M,-445.00M,7.00M,-14.00M,-611.00M,,,,710.00M,42.00M,0.00,42.00M,,-132.00M,,620.00M,,1.125B,866.00M,,1.991B,,42.00M,,,0.00,,,
1999-09,554.00M,,,,-187.00M,,,224.00M,224.00M,61.00M,,,,-134.00M,79.00M,-72.00M,-38.00M,32.00M,,-133.00M,519.00M,,-254.00M,466.00M,212.00M,-749.00M,0.00,9.00M,-528.00M,,,,366.00M,104.00M,0.00,104.00M,,-132.00M,,338.00M,,796.00M,329.00M,,1.125B,,104.00M,,,0.00,,,
1999-06,540.00M,,,,-91.00M,,,220.00M,220.00M,30.00M,,,,-3.00M,-15.00M,21.00M,25.00M,-66.00M,,-38.00M,661.00M,,-226.00M,134.00M,-92.00M,-86.00M,0.00,1.152B,974.00M,,,,-1.105B,155.00M,-625.00M,-470.00M,,-133.00M,,-1.708B,,869.00M,-73.00M,,796.00M,,155.00M,,,-625.00M,,,
1999-03,440.00M,,,,8.00M,,,221.00M,221.00M,37.00M,,,,131.00M,-76.00M,-118.00M,-8.00M,-298.00M,,-369.00M,337.00M,,-204.00M,108.00M,-96.00M,-31.00M,4.00M,-3.00M,-126.00M,,,,85.00M,118.00M,-433.00M,-315.00M,,-130.00M,,-360.00M,,1.018B,-149.00M,,869.00M,,118.00M,,,-433.00M,,,
1998-12,924.00M,,,,-453.00M,,,444.00M,444.00M,68.00M,,,,-304.00M,46.00M,152.00M,-10.00M,221.00M,68.00M,173.00M,1.156B,,-592.00M,153.00M,-439.00M,-246.00M,1.00M,-891.00M,-1.575B,,,,1.18B,94.00M,-310.00M,-216.00M,,-227.00M,,737.00M,,566.00M,318.00M,,1.018B,,94.00M,,,-310.00M,,,
1998-09,329.00M,,,,11.00M,,,151.00M,151.00M,115.00M,,,,54.00M,-14.00M,-138.00M,-15.00M,-111.00M,-62.00M,-286.00M,320.00M,,-165.00M,79.00M,-86.00M,-19.00M,22.00M,,-83.00M,,,,35.00M,31.00M,-160.00M,-129.00M,,-84.00M,,-178.00M,,507.00M,59.00M,,566.00M,,31.00M,,,-160.00M,,,
1998-06,350.00M,,,,1.00M,,,149.00M,149.00M,60.00M,,,,137.00M,-42.00M,55.00M,1.00M,-294.00M,-5.00M,-148.00M,412.00M,,-156.00M,76.00M,-80.00M,-278.00M,32.00M,1.00M,-325.00M,,,,298.00M,45.00M,-321.00M,-276.00M,,-85.00M,,-63.00M,,483.00M,24.00M,,507.00M,,45.00M,,,-321.00M,,,
1998-03,300.00M,,,,-5.00M,,,153.00M,153.00M,-22.00M,,,,-41.00M,-86.00M,-34.00M,27.00M,-205.00M,-1.00M,-340.00M,86.00M,,-124.00M,177.00M,53.00M,-38.00M,376.00M,-1.00M,390.00M,,,,-267.00M,46.00M,-298.00M,-252.00M,,-85.00M,,-604.00M,,611.00M,-128.00M,,483.00M,,46.00M,,,-298.00M,,,
1997-12,785.00M,,,,-543.00M,,,432.00M,432.00M,48.00M,,,,-232.00M,20.00M,256.00M,-105.00M,278.00M,230.00M,447.00M,1.169B,,-544.00M,879.00M,335.00M,-962.00M,44.00M,-1.00M,-584.00M,,,,108.00M,-52.00M,-294.00M,-346.00M,,-213.00M,-1.00M,-452.00M,,485.00M,133.00M,,745.00M,,-52.00M,,,-294.00M,,,
1997-09,292.00M,,,,-18.00M,,,151.00M,151.00M,1.00M,,,,-9.00M,-21.00M,2.00M,1.00M,92.00M,-190.00M,-125.00M,301.00M,,-162.00M,16.00M,-146.00M,-472.00M,-9.00M,8.00M,-619.00M,,,,195.00M,34.00M,-356.00M,-322.00M,,-73.00M,3.00M,-197.00M,,1.00B,-515.00M,,485.00M,,34.00M,,,-356.00M,,,
1997-06,305.00M,,,,-16.00M,,,155.00M,155.00M,52.00M,,,,82.00M,-32.00M,33.00M,-3.00M,-166.00M,-40.00M,-126.00M,370.00M,,-163.00M,44.00M,-119.00M,-382.00M,-65.00M,4.00M,-562.00M,,,,137.00M,33.00M,-167.00M,-134.00M,,-76.00M,0.00,-73.00M,,1.265B,-265.00M,,1.00B,,33.00M,,,-167.00M,,,
1997-03,259.00M,,,,-6.00M,,,150.00M,150.00M,15.00M,,,,-6.00M,-126.00M,-27.00M,19.00M,-184.00M,,-324.00M,94.00M,,-146.00M,6.00M,-140.00M,,-99.00M,8.00M,-231.00M,,,,-3.00M,180.00M,-123.00M,57.00M,,-72.00M,-45.00M,-63.00M,,1.465B,-200.00M,,1.265B,,180.00M,,,-123.00M,,,
1996-12,270.00M,,,,-11.00M,,,129.00M,129.00M,-29.00M,,,,64.00M,92.00M,91.00M,113.00M,74.00M,-111.00M,323.00M,682.00M,,-258.00M,15.00M,-243.00M,-55.00M,,14.00M,-585.00M,,,,-300.00M,34.00M,-101.00M,-67.00M,,-66.00M,,-433.00M,,1.801B,-336.00M,,1.465B,,34.00M,,,-101.00M,,,
1996-09,253.00M,,,,-8.00M,,,150.00M,150.00M,114.00M,,,,-80.00M,-44.00M,-9.00M,32.00M,-128.00M,-12.00M,-241.00M,268.00M,,-151.00M,177.00M,26.00M,-24.00M,,-4.00M,-2.00M,,,,-42.00M,34.00M,-105.00M,-71.00M,,-66.00M,,-179.00M,,1.714B,87.00M,,1.801B,,34.00M,,,-105.00M,,,
1996-06,272.00M,,,,-51.00M,,,155.00M,155.00M,114.00M,,,,-70.00M,-6.00M,14.00M,-7.00M,-73.00M,-158.00M,-300.00M,190.00M,,-166.00M,1.129B,963.00M,6.00M,,1.00M,970.00M,,,,112.00M,17.00M,-68.00M,-51.00M,,-65.00M,,-4.00M,,558.00M,1.156B,,1.714B,,17.00M,,,-68.00M,,,
1996-03,225.00M,,,,4.00M,,,168.00M,168.00M,14.00M,,,,-77.00M,-129.00M,21.00M,-4.00M,1.00M,-167.00M,-355.00M,56.00M,,-180.00M,114.00M,-66.00M,-41.00M,,-3.00M,-110.00M,,,,210.00M,62.00M,-135.00M,-73.00M,,-65.00M,,72.00M,,540.00M,18.00M,,558.00M,,62.00M,,,-135.00M,,,
1995-12,233.00M,,,,12.00M,,,152.00M,152.00M,-8.00M,,,,163.00M,85.00M,170.00M,55.00M,-68.00M,-41.00M,364.00M,753.00M,,-234.00M,92.00M,-142.00M,-365.00M,,8.00M,-499.00M,,,,-158.00M,22.00M,-69.00M,-47.00M,,-54.00M,,-259.00M,,545.00M,-5.00M,,540.00M,,22.00M,,,-69.00M,,,
1995-09,217.00M,,,,2.00M,,,153.00M,153.00M,104.00M,,,,59.00M,-80.00M,-56.00M,16.00M,-201.00M,-80.00M,-342.00M,134.00M,,-192.00M,6.00M,-186.00M,-7.00M,,0.00,-193.00M,,,,128.00M,34.00M,-79.00M,-45.00M,,-54.00M,,29.00M,,575.00M,-30.00M,,545.00M,,34.00M,,,-79.00M,,,
1995-06,227.00M,,,,-12.00M,,,155.00M,155.00M,62.00M,,,,64.00M,-22.00M,-71.00M,-20.00M,-77.00M,-77.00M,-203.00M,229.00M,,-175.00M,0.00,-175.00M,-158.00M,,15.00M,-318.00M,,,,269.00M,28.00M,-90.00M,-62.00M,,-55.00M,,152.00M,,512.00M,63.00M,,575.00M,,28.00M,,,-90.00M,,,
1995-03,198.00M,,,,-22.00M,,,152.00M,152.00M,40.00M,,,,-152.00M,-124.00M,-27.00M,-16.00M,101.00M,-50.00M,-268.00M,100.00M,,-145.00M,20.00M,-125.00M,31.00M,,,-94.00M,,,,33.00M,20.00M,-1.00M,19.00M,,-54.00M,,-2.00M,,508.00M,4.00M,,512.00M,,20.00M,,,-1.00M,,,
1994-12,205.00M,,,,-47.00M,,,146.00M,146.00M,68.00M,,,,-41.00M,77.00M,76.00M,-22.00M,55.00M,-66.00M,79.00M,451.00M,,-241.00M,-135.00M,-376.00M,-464.00M,4.00M,150.00M,-686.00M,,,,-1.00M,2.00M,-2.00M,0.00,,-46.00M,,-47.00M,,790.00M,-282.00M,,508.00M,,2.00M,,,-2.00M,,,
1994-09,189.00M,,,,-61.00M,,,136.00M,136.00M,41.00M,,,,14.00M,11.00M,22.00M,-12.00M,-26.00M,-30.00M,-21.00M,284.00M,,-143.00M,39.00M,-104.00M,-26.00M,72.00M,6.00M,-52.00M,,,,-87.00M,11.00M,-7.00M,4.00M,,-47.00M,,-130.00M,,688.00M,102.00M,,790.00M,,11.00M,,,-7.00M,,,
1994-06,196.00M,,,,-31.00M,,,143.00M,143.00M,36.00M,,,,-63.00M,45.00M,26.00M,-30.00M,-35.00M,-45.00M,-102.00M,242.00M,,-144.00M,116.00M,-28.00M,-19.00M,-2.00M,3.00M,-46.00M,,,,-200.00M,6.00M,-79.00M,-73.00M,,-46.00M,,-319.00M,,811.00M,-123.00M,,688.00M,,6.00M,,,-79.00M,,,
1994-03,169.00M,,,,-51.00M,,,135.00M,135.00M,35.00M,,,,-105.00M,1.00M,-11.00M,-1.00M,-50.00M,-56.00M,-222.00M,66.00M,,-111.00M,34.00M,-77.00M,-22.00M,16.00M,-5.00M,-88.00M,,,,-20.00M,24.00M,-22.00M,2.00M,,-41.00M,,-59.00M,,892.00M,-81.00M,,811.00M,,24.00M,,,-22.00M,,,
1993-12,-76.00M,,,,157.00M,,,141.00M,141.00M,28.00M,,,,-3.00M,116.00M,179.00M,8.00M,253.00M,,331.00M,581.00M,,-277.00M,13.00M,-264.00M,,-54.00M,190.00M,-372.00M,,,,-74.00M,14.00M,-20.00M,-6.00M,,-39.00M,,-119.00M,,0.00,90.00M,,892.00M,,14.00M,,,-20.00M,,,
1993-09,168.00M,,,,-80.00M,,,131.00M,131.00M,23.00M,,,,142.00M,-9.00M,-65.00M,10.00M,-72.00M,,6.00M,248.00M,,-158.00M,9.00M,-149.00M,,-3.00M,-33.00M,-185.00M,,,,-119.00M,38.00M,-16.00M,22.00M,,-41.00M,,-138.00M,,0.00,-75.00M,,0.00,,38.00M,,,-16.00M,,,
1993-06,170.00M,,,,-65.00M,,,140.00M,140.00M,38.00M,,,,24.00M,10.00M,25.00M,2.00M,-9.00M,,52.00M,335.00M,,-164.00M,8.00M,-156.00M,,-31.00M,23.00M,-164.00M,,,,32.00M,34.00M,-121.00M,-87.00M,,-41.00M,,-96.00M,,0.00,75.00M,,0.00,,34.00M,,,-121.00M,,,
1993-03,149.00M,,,,-77.00M,,,135.00M,135.00M,21.00M,,,,-72.00M,6.00M,-119.00M,-6.00M,-21.00M,,-212.00M,16.00M,,-119.00M,7.00M,-112.00M,,48.00M,-34.00M,-98.00M,,,,9.00M,57.00M,-72.00M,-15.00M,,-41.00M,,-47.00M,,931.00M,-129.00M,,0.00,,57.00M,,,-72.00M,,,
1992-12,123.00M,,,,-83.00M,,,140.00M,140.00M,22.00M,,,,8.00M,58.00M,168.00M,-6.00M,-116.00M,,112.00M,314.00M,,-299.00M,-45.00M,-344.00M,,-10.00M,641.00M,287.00M,,,,-159.00M,62.00M,-74.00M,-12.00M,,-38.00M,,-209.00M,,0.00,392.00M,,0.00,,62.00M,,,-74.00M,,,
1992-09,140.00M,,,,-62.00M,,,129.00M,129.00M,16.00M,,,,93.00M,-13.00M,-11.00M,5.00M,-31.00M,,43.00M,266.00M,,-148.00M,27.00M,-121.00M,,-2.00M,261.00M,138.00M,,,,-254.00M,31.00M,-7.00M,24.00M,,-35.00M,,-265.00M,,0.00,139.00M,,0.00,,31.00M,,,-7.00M,,,
1992-06,145.00M,,,,-63.00M,,,132.00M,132.00M,23.00M,,,,-83.00M,71.00M,25.00M,16.00M,25.00M,,54.00M,291.00M,,-133.00M,52.00M,-81.00M,,-3.00M,44.00M,-40.00M,,,,-159.00M,61.00M,-34.00M,27.00M,,-35.00M,,-167.00M,,0.00,84.00M,,0.00,,61.00M,,,-34.00M,,,
1992-03,127.00M,,,,-63.00M,,,128.00M,128.00M,22.00M,,,,-122.00M,14.00M,-25.00M,16.00M,101.00M,,-16.00M,198.00M,,-111.00M,8.00M,-103.00M,,-3.00M,-6.00M,-112.00M,,,,-36.00M,90.00M,-27.00M,63.00M,,-35.00M,,-8.00M,,238.00M,78.00M,,0.00,,90.00M,,,-27.00M,,,
1991-12,115.00M,,,,-39.00M,,,128.00M,128.00M,6.00M,,,,52.00M,32.00M,47.00M,-70.00M,53.00M,,114.00M,324.00M,,-242.00M,6.00M,-236.00M,,-5.00M,17.00M,-224.00M,,,,-173.00M,10.00M,,10.00M,,-34.00M,,-197.00M,,0.00,-97.00M,,0.00,,10.00M,,,,,,
1991-09,-540.00M,,,,876.00M,,,120.00M,120.00M,-235.00M,,,,97.00M,79.00M,-28.00M,-62.00M,-26.00M,,60.00M,281.00M,,-147.00M,3.00M,-144.00M,,-2.00M,14.00M,-132.00M,,,,-48.00M,10.00M,,10.00M,,-62.00M,,-100.00M,,0.00,49.00M,,0.00,,10.00M,,,,,,
