,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,1.267B,,,,,193.00M,95.00M,288.00M,288.00M,67.00M,38.00M,,-109.00M,158.00M,-26.00M,-39.00M,217.00M,,,310.00M,1.861B,,-199.00M,1.00M,-198.00M,,466.00M,343.00M,611.00M,,-29.00M,-750.00M,-779.00M,67.00M,-764.00M,-697.00M,-560.00M,-560.00M,-2.00M,-2.038B,,7.897B,434.00M,-249.00M,8.082B,,67.00M,6.075B,-6.854B,-764.00M,,AOR,Restated
2018-03,1.439B,,,,,179.00M,109.00M,288.00M,288.00M,47.00M,52.00M,,-238.00M,-61.00M,-163.00M,-185.00M,-43.00M,,,-452.00M,1.136B,,-140.00M,2.00M,-138.00M,,1.255B,-123.00M,994.00M,,-1.243B,1.347B,104.00M,60.00M,-940.00M,-880.00M,-556.00M,-556.00M,-116.00M,-1.448B,,7.059B,682.00M,156.00M,7.897B,,60.00M,6.679B,-6.575B,-940.00M,,AOR,Restated
2017-12,-2.519B,,,,,183.00M,100.00M,283.00M,283.00M,2.529B,43.00M,,1.713B,-274.00M,141.00M,830.00M,-581.00M,,,116.00M,2.172B,,-418.00M,40.00M,-378.00M,-10.00M,-973.00M,-22.00M,-1.383B,,976.00M,-31.00M,945.00M,57.00M,-1.554B,-1.497B,-565.00M,-565.00M,-12.00M,-1.129B,,7.389B,-340.00M,10.00M,7.059B,,57.00M,6.092B,-5.147B,-1.554B,,AOR,Restated
2017-09,1.346B,,,,,180.00M,105.00M,285.00M,285.00M,15.00M,39.00M,,-140.00M,-132.00M,-102.00M,80.00M,16.00M,,,-138.00M,1.407B,,-212.00M,21.00M,-191.00M,-57.00M,-868.00M,-83.00M,-1.199B,,-16.00M,-1.00M,-17.00M,87.00M,-343.00M,-256.00M,-505.00M,-505.00M,-26.00M,-804.00M,,7.877B,-596.00M,108.00M,7.389B,,87.00M,3.795B,-3.812B,-343.00M,,AOR,Restated
2017-06,1.392B,,,,,184.00M,92.00M,276.00M,276.00M,-50.00M,44.00M,,-138.00M,-299.00M,-12.00M,212.00M,22.00M,,,-77.00M,1.447B,,-233.00M,1.00M,-232.00M,-15.00M,-57.00M,-84.00M,-388.00M,,-20.00M,200.00M,180.00M,155.00M,-682.00M,-527.00M,-546.00M,-546.00M,-72.00M,-965.00M,,7.71B,94.00M,73.00M,7.877B,,155.00M,2.573B,-2.393B,-682.00M,,AOR,Restated
2017-03,1.326B,,,,,170.00M,101.00M,271.00M,271.00M,-42.00M,50.00M,,-201.00M,23.00M,-286.00M,-176.00M,-25.00M,,,-464.00M,940.00M,,-168.00M,24.00M,-144.00M,,-431.00M,-29.00M,-604.00M,,6.00M,1.00M,7.00M,221.00M,-310.00M,-89.00M,-503.00M,-503.00M,-33.00M,-618.00M,,7.843B,-282.00M,149.00M,7.71B,,221.00M,2.479B,-2.472B,-310.00M,,AOR,Restated
2016-12,1.037B,-2.00M,,,-2.00M,180.00M,77.00M,257.00M,257.00M,-68.00M,39.00M,,223.00M,-55.00M,215.00M,502.00M,-106.00M,,,556.00M,2.042B,,-346.00M,17.00M,-329.00M,-13.00M,152.00M,124.00M,-66.00M,,2.336B,-2.039B,297.00M,23.00M,-213.00M,-190.00M,-505.00M,-505.00M,36.00M,-362.00M,,6.431B,1.614B,-202.00M,7.843B,,23.00M,7.545B,-7.248B,-213.00M,,AOR,Restated
2016-09,1.24B,-176.00M,,,-176.00M,182.00M,78.00M,260.00M,260.00M,-36.00M,49.00M,,-42.00M,-135.00M,-21.00M,277.00M,138.00M,,,259.00M,1.554B,,-274.00M,3.00M,-271.00M,-1.18B,-389.00M,106.00M,-1.734B,,67.00M,1.799B,1.866B,143.00M,-233.00M,-90.00M,-453.00M,-453.00M,206.00M,1.529B,,5.045B,1.349B,37.00M,6.431B,,143.00M,5.53B,-3.664B,-233.00M,,AOR,Restated
2016-06,1.319B,,,,,185.00M,75.00M,260.00M,260.00M,134.00M,43.00M,,-307.00M,-149.00M,29.00M,338.00M,-84.00M,,,134.00M,1.583B,,-281.00M,0.00,-281.00M,-28.00M,-80.00M,43.00M,-346.00M,,-26.00M,226.00M,200.00M,138.00M,-477.00M,-339.00M,-458.00M,-458.00M,-1.00M,-598.00M,,4.473B,639.00M,-67.00M,5.045B,,138.00M,4.419B,-4.219B,-477.00M,,AOR,Restated
2016-03,1.216B,,,,,179.00M,74.00M,253.00M,253.00M,48.00M,53.00M,,-118.00M,-208.00M,-241.00M,-630.00M,-54.00M,,,-1.133B,319.00M,,-194.00M,1.00M,-193.00M,-1.056B,44.00M,9.00M,-1.196B,,4.029B,-2.45B,1.579B,105.00M,-1.156B,-1.051B,-499.00M,-499.00M,-252.00M,-223.00M,,5.455B,-1.10B,118.00M,4.473B,,105.00M,10.75B,-9.169B,-1.156B,,AOR,Restated
2015-12,1.194B,2.00M,,,2.00M,169.00M,53.00M,222.00M,222.00M,31.00M,43.00M,-12.00M,-241.00M,149.00M,250.00M,124.00M,201.00M,,,724.00M,1.963B,,-388.00M,12.00M,-376.00M,-5.045B,1.524B,-33.00M,-3.93B,,-720.00M,2.254B,1.534B,36.00M,-163.00M,-127.00M,-465.00M,-465.00M,8.00M,950.00M,,6.563B,-1.017B,-91.00M,5.455B,,36.00M,10.99B,-9.459B,-163.00M,,AOR,Restated
2015-09,1.264B,-1.00M,,,-1.00M,168.00M,51.00M,219.00M,219.00M,158.00M,41.00M,-13.00M,-55.00M,302.00M,5.00M,-120.00M,-73.00M,,,114.00M,1.727B,,-277.00M,0.00,-277.00M,1.00M,156.00M,81.00M,-39.00M,,-57.00M,882.00M,825.00M,25.00M,-1.235B,-1.21B,-410.00M,-410.00M,-48.00M,-843.00M,,5.954B,845.00M,-236.00M,6.563B,,25.00M,2.045B,-91.00M,-1.235B,,AOR,Restated
2015-06,1.194B,,,,,172.00M,54.00M,226.00M,226.00M,33.00M,39.00M,-9.00M,88.00M,-80.00M,61.00M,-48.00M,-96.00M,,,-163.00M,1.408B,,-243.00M,2.00M,-241.00M,0.00,-1.412B,28.00M,-1.625B,,-11.00M,77.00M,66.00M,47.00M,-123.00M,-76.00M,-436.00M,-436.00M,9.00M,-437.00M,,6.575B,-654.00M,33.00M,5.954B,,47.00M,11.00M,-22.00M,-123.00M,,AOR,Restated
2015-03,1.116B,,,,,163.00M,53.00M,216.00M,216.00M,93.00M,52.00M,-47.00M,-171.00M,-170.00M,-86.00M,-640.00M,58.00M,,,-838.00M,421.00M,,-165.00M,1.00M,-164.00M,-183.00M,-395.00M,-178.00M,-920.00M,,-32.00M,1.052B,1.02B,78.00M,-363.00M,-285.00M,-415.00M,-415.00M,47.00M,367.00M,,6.959B,-132.00M,-252.00M,6.575B,,78.00M,3.00M,-35.00M,-363.00M,,AOR,Restated
2014-12,956.00M,0.00,-116.00M,,-116.00M,168.00M,58.00M,226.00M,226.00M,-123.00M,44.00M,-31.00M,2.00M,357.00M,79.00M,485.00M,-61.00M,,,860.00M,1.818B,,-414.00M,6.00M,-408.00M,3.00M,229.00M,-61.00M,-237.00M,,16.00M,-236.00M,-220.00M,59.00M,-235.00M,-176.00M,-409.00M,-409.00M,-20.00M,-825.00M,,6.428B,756.00M,-225.00M,6.959B,,59.00M,327.00M,-2.00M,-235.00M,,AOR,Restated
2014-09,1.167B,1.00M,0.00,,1.00M,166.00M,61.00M,227.00M,227.00M,187.00M,41.00M,-22.00M,-407.00M,-104.00M,-57.00M,151.00M,49.00M,,,39.00M,1.233B,,-259.00M,1.00M,-258.00M,154.00M,-234.00M,-96.00M,-434.00M,,33.00M,-399.00M,-366.00M,45.00M,-138.00M,-93.00M,-365.00M,-365.00M,15.00M,-809.00M,,6.582B,-10.00M,-144.00M,6.428B,,45.00M,34.00M,-1.00M,-138.00M,,AOR,Restated
2014-06,1.099B,10.00M,0.00,,10.00M,165.00M,68.00M,233.00M,233.00M,66.00M,50.00M,-19.00M,99.00M,-271.00M,-107.00M,285.00M,-104.00M,,,-197.00M,1.341B,,-229.00M,4.00M,-225.00M,-1.00M,-560.00M,-74.00M,-860.00M,,16.00M,-146.00M,-130.00M,69.00M,-231.00M,-162.00M,-373.00M,-373.00M,19.00M,-646.00M,,6.672B,-165.00M,75.00M,6.582B,,69.00M,20.00M,-4.00M,-231.00M,,AOR,Restated
2014-03,1.017B,,-105.00M,,-105.00M,168.00M,70.00M,238.00M,238.00M,2.00M,52.00M,-30.00M,-20.00M,-154.00M,-115.00M,-433.00M,236.00M,,,-466.00M,688.00M,,-192.00M,7.00M,-185.00M,0.00,-221.00M,61.00M,-345.00M,,-577.00M,1.09B,513.00M,92.00M,-320.00M,-228.00M,-363.00M,-363.00M,30.00M,-48.00M,,6.422B,295.00M,-45.00M,6.672B,,92.00M,25.00M,-602.00M,-320.00M,,AOR,Restated
