,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,447.00M,0.00,50.00M,50.00M,,,206.00M,206.00M,-39.00M,,-5.00M,,,262.00M,,921.00M,-89.00M,,,-5.00M,-71.00M,-26.00M,-191.00M,-139.00M,,-139.00M,,-164.00M,-164.00M,-292.00M,-292.00M,14.00M,-4.00M,-585.00M,292.00M,145.00M,-8.00M,429.00M,,-2.00M,-137.00M,-164.00M
2020-06,54.00M,0.00,55.00M,55.00M,,,198.00M,198.00M,48.00M,,61.00M,,,341.00M,,757.00M,-90.00M,,,6.00M,-92.00M,-24.00M,-200.00M,-200.00M,,-200.00M,,0.00,0.00,-301.00M,-301.00M,3.00M,-6.00M,-504.00M,239.00M,53.00M,1.00M,292.00M,,-79.00M,-121.00M,0.00
2020-03,438.00M,-91.00M,54.00M,-37.00M,,,199.00M,199.00M,-16.00M,,-15.00M,,,-246.00M,,323.00M,-112.00M,,,1.207B,14.00M,-9.00M,1.10B,79.00M,,79.00M,,-1.30B,-1.30B,-291.00M,-291.00M,14.00M,-32.00M,-1.53B,370.00M,-107.00M,-23.00M,239.00M,,83.00M,-4.00M,-1.30B
2019-12,453.00M,66.00M,42.00M,108.00M,,,216.00M,216.00M,0.00,,172.00M,,,-12.00M,,937.00M,-146.00M,,,-939.00M,90.00M,-39.00M,-1.034B,250.00M,,250.00M,,-51.00M,-51.00M,-294.00M,-294.00M,26.00M,-2.00M,-71.00M,549.00M,-168.00M,-11.00M,370.00M,,0.00,250.00M,-51.00M
2019-09,602.00M,0.00,40.00M,40.00M,,,226.00M,226.00M,-78.00M,,6.00M,,,287.00M,,1.083B,-143.00M,,,-34.00M,65.00M,-10.00M,-122.00M,0.00,,0.00,,-538.00M,-538.00M,-298.00M,-298.00M,15.00M,-3.00M,-824.00M,412.00M,137.00M,0.00,549.00M,,0.00,0.00,-538.00M
2019-06,636.00M,0.00,39.00M,39.00M,,,221.00M,221.00M,10.00M,,-13.00M,,,-13.00M,,880.00M,-149.00M,,,-243.00M,-238.00M,-12.00M,-642.00M,448.00M,,448.00M,,-260.00M,-260.00M,-307.00M,-307.00M,5.00M,-14.00M,-128.00M,303.00M,110.00M,-1.00M,412.00M,,890.00M,-442.00M,-260.00M
2019-03,522.00M,0.00,36.00M,36.00M,,,221.00M,221.00M,-3.00M,,-27.00M,,,-198.00M,,551.00M,-149.00M,,,0.00,67.00M,14.00M,-68.00M,27.00M,,27.00M,,-180.00M,-180.00M,-302.00M,-302.00M,20.00M,-36.00M,-471.00M,283.00M,12.00M,8.00M,303.00M,,342.00M,-315.00M,-180.00M
2018-12,632.00M,,36.00M,36.00M,,,223.00M,223.00M,96.00M,,30.00M,,,-197.00M,,820.00M,-154.00M,,,0.00,38.00M,-26.00M,-142.00M,242.00M,,242.00M,,-671.00M,-671.00M,-285.00M,-285.00M,1.00M,0.00,-713.00M,327.00M,-35.00M,-9.00M,283.00M,,330.00M,-88.00M,-671.00M
2018-09,416.00M,,41.00M,41.00M,,,223.00M,223.00M,-102.00M,,-122.00M,,,544.00M,,1.00B,-131.00M,,,0.00,-77.00M,-11.00M,-219.00M,-420.00M,,-420.00M,,0.00,0.00,-286.00M,-286.00M,7.00M,-1.00M,-700.00M,256.00M,81.00M,-10.00M,327.00M,,-420.00M,0.00,0.00
2018-06,611.00M,,39.00M,39.00M,,,227.00M,227.00M,-97.00M,,-258.00M,,,-23.00M,,499.00M,-149.00M,,,0.00,253.00M,-4.00M,100.00M,-132.00M,,-132.00M,,-300.00M,-300.00M,-294.00M,-294.00M,2.00M,-1.00M,-725.00M,317.00M,-126.00M,65.00M,256.00M,,321.00M,-453.00M,-300.00M
2018-03,487.00M,,43.00M,43.00M,,,230.00M,230.00M,-12.00M,,50.00M,,,-459.00M,,339.00M,-131.00M,,,,31.00M,-37.00M,-137.00M,146.00M,,146.00M,,-300.00M,-300.00M,-284.00M,-284.00M,19.00M,-24.00M,-443.00M,561.00M,-241.00M,-3.00M,317.00M,,179.00M,-33.00M,-300.00M
2017-12,634.00M,0.00,47.00M,47.00M,,,229.00M,229.00M,-28.00M,,36.00M,,,-39.00M,,879.00M,-169.00M,,,7.00M,323.00M,57.00M,218.00M,-1.001B,,-1.001B,,-61.00M,-61.00M,-265.00M,-265.00M,7.00M,-7.00M,-1.327B,791.00M,-230.00M,0.00,561.00M,,0.00,-1.001B,-61.00M
2017-09,1.401B,-843.00M,57.00M,-786.00M,,,232.00M,232.00M,-73.00M,,-253.00M,,,229.00M,,750.00M,-105.00M,,,600.00M,-312.00M,-32.00M,151.00M,158.00M,,158.00M,,-324.00M,-324.00M,-266.00M,-266.00M,10.00M,-4.00M,-426.00M,312.00M,475.00M,4.00M,791.00M,,168.00M,-10.00M,-324.00M
2017-06,517.00M,,53.00M,53.00M,,,228.00M,228.00M,-68.00M,,59.00M,,,-215.00M,,574.00M,-130.00M,,,,-216.00M,-11.00M,-357.00M,349.00M,,349.00M,,-210.00M,-210.00M,-274.00M,-274.00M,11.00M,-2.00M,-126.00M,222.00M,91.00M,-1.00M,312.00M,,638.00M,-289.00M,-210.00M
2017-03,434.00M,,51.00M,51.00M,,,225.00M,225.00M,-37.00M,,-44.00M,,,-166.00M,,463.00M,-116.00M,,,,-93.00M,-20.00M,-229.00M,-60.00M,,-60.00M,,-255.00M,-255.00M,-263.00M,-263.00M,38.00M,-23.00M,-563.00M,543.00M,-329.00M,8.00M,222.00M,,194.00M,-254.00M,-255.00M
2016-12,502.00M,0.00,58.00M,58.00M,,,229.00M,229.00M,22.00M,,-228.00M,,,55.00M,,638.00M,-151.00M,,,-1.00M,-11.00M,5.00M,-158.00M,11.00M,,11.00M,,-163.00M,-163.00M,-257.00M,-257.00M,14.00M,0.00,-395.00M,494.00M,85.00M,-36.00M,543.00M,,-2.00M,13.00M,-163.00M
2016-09,522.00M,0.00,61.00M,61.00M,,,233.00M,233.00M,-31.00M,,-36.00M,,,50.00M,,799.00M,-100.00M,,,0.00,-67.00M,0.00,-167.00M,56.00M,,56.00M,,-272.00M,-272.00M,-259.00M,-259.00M,23.00M,-9.00M,-461.00M,323.00M,171.00M,0.00,494.00M,,482.00M,-426.00M,-272.00M
2016-06,492.00M,,57.00M,57.00M,,,234.00M,234.00M,-61.00M,,-17.00M,,,40.00M,,745.00M,-135.00M,,,0.00,91.00M,-1.00M,-45.00M,-266.00M,,-266.00M,,-195.00M,-195.00M,-265.00M,-265.00M,20.00M,1.00M,-705.00M,333.00M,-5.00M,-5.00M,323.00M,,-267.00M,1.00M,-195.00M
2016-03,403.00M,,59.00M,59.00M,,,233.00M,233.00M,-13.00M,,2.00M,,,-296.00M,,388.00M,-111.00M,,,1.00M,-53.00M,4.00M,-159.00M,177.00M,,177.00M,,-100.00M,-100.00M,-256.00M,-256.00M,17.00M,-15.00M,-177.00M,268.00M,52.00M,13.00M,333.00M,,418.00M,-241.00M,-100.00M
2015-12,527.00M,,79.00M,79.00M,,,233.00M,233.00M,-4.00M,,-48.00M,,,-7.00M,,780.00M,-138.00M,,,-34.00M,-39.00M,9.00M,-202.00M,-198.00M,,-198.00M,,-228.00M,-228.00M,-255.00M,-255.00M,4.00M,-39.00M,-716.00M,418.00M,-138.00M,-12.00M,268.00M,,424.00M,-622.00M,-228.00M
2015-09,445.00M,,86.00M,86.00M,,,232.00M,232.00M,-72.00M,,-40.00M,,,322.00M,,973.00M,-122.00M,,,0.00,-33.00M,-11.00M,-166.00M,-137.00M,,-137.00M,,-284.00M,-284.00M,-257.00M,-257.00M,2.00M,-1.00M,-677.00M,303.00M,130.00M,-15.00M,418.00M,,-136.00M,-1.00M,-284.00M
2015-06,535.00M,,82.00M,82.00M,,,234.00M,234.00M,-43.00M,0.00,-95.00M,,,-134.00M,,579.00M,-141.00M,,,1.00M,10.00M,-24.00M,-154.00M,-530.00M,,-530.00M,,0.00,0.00,-263.00M,-263.00M,13.00M,-5.00M,-785.00M,663.00M,-360.00M,0.00,303.00M,,-129.00M,-401.00M,0.00
2015-03,467.00M,,76.00M,76.00M,,,226.00M,226.00M,14.00M,0.00,-334.00M,,,-372.00M,,77.00M,-105.00M,,,-38.00M,99.00M,-9.00M,-53.00M,263.00M,,263.00M,,-170.00M,-170.00M,-251.00M,-251.00M,33.00M,-2.00M,-127.00M,781.00M,-103.00M,-15.00M,663.00M,,266.00M,-3.00M,-170.00M
2014-12,585.00M,0.00,33.00M,33.00M,,,240.00M,240.00M,-96.00M,0.00,123.00M,,,59.00M,,944.00M,-254.00M,,,2.00M,77.00M,25.00M,-150.00M,-2.00M,,-2.00M,,-383.00M,-383.00M,-229.00M,-229.00M,4.00M,-40.00M,-650.00M,655.00M,144.00M,-18.00M,781.00M,,0.00,-2.00M,-383.00M
2014-09,605.00M,1.00M,80.00M,81.00M,,,244.00M,244.00M,-30.00M,0.00,-104.00M,,,-507.00M,,289.00M,-142.00M,,,9.00M,283.00M,-5.00M,145.00M,-4.00M,,-4.00M,,-168.00M,-168.00M,-233.00M,-233.00M,6.00M,-3.00M,-402.00M,631.00M,32.00M,-8.00M,655.00M,,0.00,-4.00M,-168.00M
2014-06,172.00M,-69.00M,81.00M,12.00M,,,250.00M,250.00M,-232.00M,0.00,-55.00M,,,486.00M,,633.00M,-126.00M,,,270.00M,-269.00M,-31.00M,-156.00M,-319.00M,,-319.00M,,-99.00M,-99.00M,-238.00M,-238.00M,21.00M,0.00,-635.00M,784.00M,-158.00M,5.00M,631.00M,,0.00,-319.00M,-99.00M
2014-03,441.00M,,99.00M,99.00M,,,249.00M,249.00M,-24.00M,-20.00M,-363.00M,,,-370.00M,,12.00M,-110.00M,,,3.00M,431.00M,-20.00M,304.00M,-257.00M,,-257.00M,,0.00,0.00,-229.00M,-229.00M,23.00M,20.00M,-443.00M,915.00M,-127.00M,-4.00M,784.00M,,0.00,-257.00M,0.00
2013-12,482.00M,0.00,98.00M,98.00M,,,257.00M,257.00M,-359.00M,-8.00M,-87.00M,,,489.00M,,872.00M,-242.00M,,,7.00M,-103.00M,-7.00M,-345.00M,-81.00M,,-81.00M,,0.00,0.00,-199.00M,-199.00M,23.00M,6.00M,-251.00M,642.00M,276.00M,-3.00M,915.00M,,3.00M,-84.00M,0.00
2013-09,514.00M,0.00,107.00M,107.00M,,,250.00M,250.00M,18.00M,-2.00M,-17.00M,,,-166.00M,,704.00M,-121.00M,,,0.00,-333.00M,-9.00M,-463.00M,-57.00M,,-57.00M,,0.00,0.00,-200.00M,-200.00M,20.00M,2.00M,-235.00M,628.00M,6.00M,8.00M,642.00M,,-22.00M,-35.00M,0.00
2013-06,497.00M,-2.00M,92.00M,90.00M,,,245.00M,245.00M,-74.00M,-6.00M,-42.00M,,,-101.00M,,609.00M,-129.00M,,,0.00,16.00M,-54.00M,-167.00M,-262.00M,,-262.00M,,0.00,0.00,-203.00M,-203.00M,22.00M,3.00M,-440.00M,639.00M,2.00M,-13.00M,628.00M,,28.00M,-290.00M,0.00
2013-03,380.00M,,87.00M,87.00M,,,245.00M,245.00M,104.00M,-16.00M,-154.00M,,,-546.00M,,100.00M,-122.00M,,,761.00M,132.00M,2.00M,773.00M,-687.00M,,-687.00M,,,,-194.00M,-194.00M,56.00M,15.00M,-810.00M,577.00M,63.00M,-1.00M,639.00M,,,-687.00M,
2012-12,180.00M,,130.00M,131.00M,,,179.00M,179.00M,,,-8.00M,,,381.00M,,687.00M,-236.00M,,,-6.382B,514.00M,-11.00M,-6.115B,5.553B,,5.553B,,,,-128.00M,-128.00M,41.00M,-49.00M,5.576B,425.00M,148.00M,4.00M,577.00M,,6.556B,-1.003B,
2012-09,347.00M,,69.00M,69.00M,,,141.00M,141.00M,,,-77.00M,,,126.00M,,606.00M,-126.00M,,,-189.00M,54.00M,-14.00M,-275.00M,-303.00M,,-303.00M,,,,-129.00M,-129.00M,10.00M,-19.00M,-441.00M,525.00M,-110.00M,10.00M,425.00M,,0.00,-303.00M,
2012-06,382.00M,,67.00M,67.00M,,,138.00M,138.00M,,,-62.00M,,,-56.00M,,469.00M,-126.00M,,,-362.00M,-227.00M,-8.00M,-723.00M,583.00M,,583.00M,,,,-128.00M,-128.00M,1.00M,-42.00M,414.00M,367.00M,160.00M,-2.00M,525.00M,,600.00M,-17.00M,
2012-03,311.00M,,69.00M,69.00M,,,140.00M,140.00M,,,-230.00M,,,-388.00M,,-98.00M,-105.00M,,,0.00,262.00M,-16.00M,141.00M,-1.00M,,-1.00M,,,,-127.00M,-127.00M,43.00M,16.00M,-69.00M,385.00M,-26.00M,8.00M,367.00M,,,-1.00M,
