,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationofSecurities,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.059B,1.059B,,344.54M,344.54M,,,344.54M,273.62M,527.74M,636.32M,162.26M,474.06M,,-27.75M,4.594M,446.31M,446.31M,23.96M,651.71M,8.53,,,8.53,8.53,8.47,,,8.47,8.47,51.77M,52.15M,0.0
2020-06,860.76M,860.76M,,336.64M,336.64M,,,336.64M,61.37M,512.93M,335.66M,87.87M,247.79M,,-14.26M,4.594M,233.53M,233.53M,24.83M,346.25M,4.44,,,4.44,4.44,4.42,,,4.42,4.42,51.58M,51.80M,0.0
2020-03,807.15M,807.15M,,282.56M,282.56M,,,282.56M,59.45M,524.14M,183.01M,49.36M,133.65M,,1.973M,3.369M,135.62M,135.62M,24.82M,226.27M,2.56,,,2.56,2.56,2.55,,,2.55,2.55,51.56M,51.94M,0.0
2019-12,838.72M,838.72M,,305.16M,305.16M,,,305.16M,58.96M,533.67M,368.88M,94.06M,274.82M,,-11.96M,,262.86M,262.86M,22.31M,423.94M,5.1,,,5.1,5.1,5.06,,,5.06,5.06,51.58M,51.95M,0.0
2019-09,799.02M,799.02M,,265.57M,265.57M,,,265.57M,67.41M,520.64M,386.79M,105.08M,281.72M,,-14.44M,,267.28M,267.28M,19.58M,450.04M,5.19,,,5.19,5.19,5.15,,,5.15,5.15,51.54M,51.86M,0.0
2019-06,844.12M,844.12M,,271.30M,271.30M,,,271.30M,96.04M,529.40M,455.68M,119.11M,336.57M,,-18.58M,,317.99M,317.99M,19.99M,512.05M,6.12,,,6.12,6.12,6.08,,,6.08,6.08,51.96M,52.34M,0.0
2019-03,777.64M,777.64M,,265.33M,265.33M,,,265.33M,50.33M,512.89M,399.05M,107.44M,291.61M,,-2.88M,,288.73M,288.73M,20.83M,437.18M,5.49,,,5.49,5.49,5.44,,,5.44,5.44,52.59M,53.11M,0.0
2018-12,689.72M,689.72M,,208.38M,208.38M,,,208.38M,27.48M,514.46M,379.93M,105.00M,274.93M,,-8.667M,,266.26M,266.26M,14.52M,408.37M,5.01,,,5.01,5.01,4.96,,,4.96,4.96,53.13M,53.69M,0.0
2018-09,694.08M,694.08M,,224.75M,224.75M,,,224.75M,66.33M,493.22M,376.67M,95.31M,281.36M,,-6.548M,,274.82M,274.82M,14.49M,396.76M,5.16,,,5.16,5.16,5.1,,,5.1,5.1,53.24M,53.92M,0.0
2018-06,648.45M,648.45M,,211.12M,211.12M,,,211.12M,55.18M,466.44M,324.31M,77.29M,247.03M,,-9.228M,,237.80M,237.80M,14.52M,339.17M,4.48,,,4.48,4.48,4.42,,,4.42,4.42,53.06M,53.78M,0.0
