,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,474.06M,,-189.84M,,-228.12M,23.96M,23.96M,68.63M,,0.00,,21.41M,-1.268M,0.00,,,,114.57M,-93.42M,21.15M,307.81M,-14.79M,,-14.79M,,0.00,-7.378B,,-9.056B,0.00,-31.86M,-31.86M,,0.00,0.00,-4.594M,-4.594M,4.797M,-2.243M,10.23B,14.20B,1.486B,15.69B,,0.00,,0.00,229.56M,-0.481M
2020-06,247.79M,,-34.87M,,8.227M,24.83M,24.83M,-12.63M,,0.00,,20.15M,0.394M,47.00M,,,,121.63M,82.44M,204.07M,577.35M,-26.13M,,-26.13M,,0.00,-5.174B,,-5.934B,495.02M,-3.087B,-2.592B,,0.00,0.00,-4.594M,-4.594M,13.92M,-13.79M,9.997B,9.561B,4.641B,14.20B,,495.02M,,0.00,25.55M,21.35M
2020-03,133.65M,,-46.06M,,-78.17M,24.82M,24.82M,-60.13M,,0.00,,19.17M,-2.575M,180.50M,,,,-236.83M,-36.34M,-273.18M,168.12M,-25.09M,,-25.09M,,0.00,2.222B,,-599.04M,,3.121B,3.121B,,-60.02M,-60.02M,-3.369M,-3.369M,-0.584M,-0.328M,3.211B,6.782B,2.780B,9.561B,,,,-60.02M,31.99M,46.14M
2019-12,274.82M,,-28.10M,,-10.14M,22.31M,22.31M,-1.352M,,5.034M,,16.26M,-1.657M,-33.84M,,,,94.58M,65.37M,159.95M,454.38M,-31.61M,,-31.61M,,0.00,-686.87M,,-2.807B,-358.40M,-1.468M,-359.86M,,0.00,24.82M,,,-12.74M,-18.98M,2.188B,6.946B,-164.41M,6.782B,,,,0.00,42.77M,53.46M
2019-09,281.72M,,-29.85M,,1.263M,19.58M,19.58M,2.134M,,0.00,,18.78M,-0.562M,18.22M,,,,65.63M,-134.90M,-69.26M,259.17M,-15.24M,,-15.24M,,0.00,-4.392B,,-6.248B,0.00,-5.354M,-5.354M,,-5.73M,-5.73M,0.00,0.00,1.383M,-8.78M,3.914B,9.021B,-2.075B,6.946B,,0.00,,-5.73M,68.98M,69.65M
2019-06,336.57M,,-47.70M,,-20.20M,19.99M,19.99M,4.98M,,0.133M,,16.65M,-4.565M,12.21M,,,,78.30M,-307.94M,-229.64M,109.82M,-13.13M,,-13.13M,,-2.291M,-866.72M,,-1.221B,0.00,9.797M,9.797M,,-230.76M,-230.76M,0.00,0.00,10.79M,-7.502M,3.066B,7.067B,1.954B,9.021B,,0.00,,-230.76M,293.03M,48.30M
2019-03,291.61M,,-29.03M,,-26.72M,20.83M,20.83M,-8.834M,,0.052M,,15.12M,-2.804M,12.37M,,,,-253.77M,310.38M,56.62M,340.75M,-5.504M,,-5.504M,,-100.04M,1.515B,,904.43M,,-616.96M,-616.96M,,-116.02M,-116.02M,0.00,0.00,0.57M,-15.72M,2.250B,3.572B,3.495B,7.067B,,,,-116.02M,17.57M,46.55M
2018-12,274.93M,,-10.73M,,-7.281M,14.52M,14.52M,-4.529M,,0.161M,,11.71M,-0.446M,11.42M,,,,51.37M,-91.33M,-39.96M,229.66M,-17.15M,,-17.15M,,0.00,1.771B,,935.92M,,-2.000B,-2.000B,6.702M,-147.12M,-140.42M,,,,-5.709M,-1.413B,3.819B,-247.60M,3.572B,6.702M,,,-147.12M,99.04M,20.92M
2018-09,281.36M,,-32.19M,,7.213M,14.49M,14.49M,2.062M,,0.111M,,11.50M,-3.055M,8.557M,,,,61.32M,-6.714M,54.60M,356.52M,-13.87M,,-13.87M,,0.00,349.12M,,-1.166B,,2.214B,2.214B,1.943M,0.00,1.943M,,,,-8.06M,1.917B,2.712B,1.107B,3.819B,1.943M,,,0.00,83.71M,26.95M
2018-06,247.03M,,-36.11M,,-40.22M,14.52M,14.52M,-9.76M,,7.006M,,11.94M,-11.94M,7.005M,,,,50.54M,-263.40M,-212.86M,-1.024M,-7.134M,,-7.134M,,0.00,-774.78M,,-2.173B,,-684.89M,-684.89M,7.644M,0.00,7.644M,,,,-6.318M,2.267B,2.619B,92.72M,2.712B,7.644M,,,0.00,184.30M,7.319M
