,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,303.00M,,,80.00M,80.00M,-57.00M,,20.00M,1.00M,,,113.00M,135.00M,-9.00M,25.00M,549.00M,,-33.00M,172.00M,139.00M,,0.00,-660.00M,13.00M,-1.783B,,-557.00M,-13.00M,-570.00M,,0.00,0.00,494.00M,494.00M,-153.00M,-18.00M,-171.00M,,0.00,1.216B,,6.293B,-18.00M,6.275B,,494.00M,27.00M,-584.00M,0.00,48.00M,10.00M,,AOR,
2020-06,150.00M,,,59.00M,59.00M,-29.00M,,25.00M,-19.00M,,,-9.00M,-137.00M,-9.00M,-316.00M,212.00M,,-38.00M,175.00M,137.00M,,0.00,2.214B,-14.00M,-47.00M,,-59.00M,-2.751B,-2.81B,,0.00,0.00,494.00M,494.00M,-152.00M,-19.00M,-171.00M,,-13.00M,4.361B,,1.767B,4.526B,6.293B,,494.00M,35.00M,-94.00M,0.00,-2.00M,100.00M,,AOR,
2020-03,48.00M,,,119.00M,119.00M,-37.00M,,15.00M,15.00M,,,-1.023B,892.00M,63.00M,-88.00M,498.00M,,-11.00M,171.00M,160.00M,,,-1.445B,35.00M,-4.322B,,-254.00M,458.00M,204.00M,,-88.00M,-88.00M,,,-155.00M,-18.00M,-173.00M,,-5.00M,4.421B,,1.17B,597.00M,1.767B,,,1.286B,-1.54B,-88.00M,2.00M,197.00M,,AOR,
2019-12,317.00M,,,78.00M,78.00M,29.00M,,19.00M,27.00M,,,69.00M,-103.00M,19.00M,127.00M,676.00M,,-25.00M,170.00M,145.00M,,0.00,-705.00M,179.00M,-1.114B,,0.00,390.00M,390.00M,,-196.00M,-196.00M,0.00,0.00,-155.00M,-19.00M,-174.00M,,0.00,-28.00M,,1.636B,-466.00M,1.17B,,0.00,59.00M,-59.00M,-196.00M,57.00M,231.00M,,AOR,
2019-09,372.00M,,,104.00M,104.00M,-35.00M,,16.00M,9.00M,,,-198.00M,-65.00M,20.00M,-502.00M,46.00M,,-31.00M,204.00M,173.00M,,7.00M,-215.00M,20.00M,-184.00M,,857.00M,-1.961B,-1.104B,,-68.00M,-68.00M,0.00,0.00,-147.00M,-18.00M,-165.00M,,0.00,176.00M,,1.598B,38.00M,1.636B,,0.00,880.00M,-23.00M,-68.00M,54.00M,250.00M,,AOR,Restated
2019-06,364.00M,,,73.00M,73.00M,14.00M,,31.00M,-13.00M,,,-180.00M,186.00M,-10.00M,-173.00M,355.00M,,-27.00M,168.00M,141.00M,,-555.00M,615.00M,-66.00M,-64.00M,,-526.00M,1.381B,855.00M,,-152.00M,-152.00M,0.00,0.00,-147.00M,-19.00M,-166.00M,,-18.00M,-29.00M,,1.336B,262.00M,1.598B,,0.00,22.00M,-548.00M,-152.00M,-1.00M,259.00M,,AOR,Restated
2019-03,358.00M,,,131.00M,131.00M,15.00M,,17.00M,6.00M,,,-284.00M,176.00M,-61.00M,-97.00M,497.00M,,-24.00M,172.00M,148.00M,,,-202.00M,95.00M,-515.00M,,722.00M,776.00M,1.498B,,-25.00M,-25.00M,,,-148.00M,-18.00M,-166.00M,,-6.00M,-1.318B,,2.672B,-1.336B,1.336B,,,835.00M,-113.00M,-25.00M,1.00M,249.00M,,AOR,Restated
2018-12,334.00M,,,143.00M,143.00M,-62.00M,,19.00M,122.00M,,,90.00M,-193.00M,-14.00M,-34.00M,582.00M,,-48.00M,0.00,-48.00M,,-15.00M,35.00M,52.00M,-1.686B,,-825.00M,588.00M,-237.00M,,-200.00M,-200.00M,0.00,0.00,-152.00M,-19.00M,-171.00M,,0.00,2.477B,,1.299B,1.373B,2.672B,,0.00,58.00M,-883.00M,-200.00M,,215.00M,,AOR,Restated
2018-09,378.00M,,,122.00M,122.00M,-14.00M,,15.00M,3.00M,,,-155.00M,248.00M,2.00M,-15.00M,542.00M,,-24.00M,0.00,-24.00M,,0.00,507.00M,19.00M,-519.00M,,-341.00M,-1.034B,-1.375B,,-691.00M,-691.00M,0.00,0.00,-122.00M,-21.00M,-143.00M,,1.00M,-106.00M,,1.382B,-83.00M,1.299B,,0.00,840.00M,-1.181B,-691.00M,,207.00M,,AOR,Restated
2018-06,355.00M,,,123.00M,123.00M,46.00M,,29.00M,-137.00M,,,67.00M,16.00M,0.00,-164.00M,308.00M,,-22.00M,0.00,-22.00M,,0.00,576.00M,14.00M,-682.00M,,1.118B,-398.00M,720.00M,,0.00,0.00,0.00,0.00,-122.00M,-11.00M,-133.00M,,-16.00M,687.00M,,1.069B,313.00M,1.382B,,0.00,1.28B,-162.00M,0.00,-11.00M,161.00M,,AOR,Restated
