,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.319B,6.712B,16.48B,23.20B,,,,23.20B,,,,,,,757.00M,1.99B,428.00M,2.418B,82.88B,1.814B,81.07B,25.83B,113.75B,123.04B,,,,,,183.00M,183.00M,183.00M,183.00M,8.352B,,8.352B,98.95B,,107.30B,110.04B,,2.201B,1.878B,8.781B,59.00M,2.191B,,,,192.00M,12.99B,,AOR,
2020-09,1.029B,6.384B,14.81B,21.19B,,,,21.19B,,,,,,,752.00M,1.99B,419.00M,2.409B,82.46B,1.796B,80.66B,23.84B,111.16B,120.12B,,,,,,222.00M,222.00M,222.00M,222.00M,9.174B,,9.174B,95.15B,,104.33B,107.20B,,2.201B,1.752B,8.766B,59.00M,2.191B,,,,257.00M,12.92B,,AOR,
2020-06,1.285B,6.375B,13.30B,19.67B,,,,19.67B,,,,,,,751.00M,1.99B,411.00M,2.401B,81.30B,1.702B,79.60B,23.20B,109.49B,118.42B,,,,,,146.00M,146.00M,146.00M,146.00M,9.753B,,9.753B,93.69B,,103.44B,106.11B,,1.707B,1.633B,8.743B,59.00M,1.697B,,,,290.00M,12.31B,,AOR,
2020-03,1.431B,1.904B,14.62B,16.53B,,,,16.53B,,,,,,,743.00M,1.99B,417.00M,2.407B,79.03B,1.504B,77.53B,25.34B,109.44B,113.90B,,,,,,2.826B,2.826B,2.826B,2.826B,9.796B,,9.796B,86.83B,,96.63B,102.13B,,1.213B,1.657B,8.728B,56.00M,1.203B,,,,227.00M,11.77B,,AOR,
2019-12,1.045B,1.272B,14.15B,15.42B,,,,15.42B,189.00M,587.00M,742.00M,205.00M,1.723B,-960.00M,763.00M,1.99B,475.00M,2.465B,76.28B,783.00M,75.50B,23.76B,105.19B,109.00B,,,,,,1.565B,1.565B,1.565B,2.606B,9.849B,,9.849B,82.35B,,92.20B,97.21B,,1.213B,2.088B,8.806B,56.00M,1.203B,,,,-256.00M,11.80B,,AOR,
2019-09,1.018B,1.758B,14.29B,16.04B,,,,16.04B,,,,,,,775.00M,1.99B,455.00M,2.445B,75.96B,783.00M,75.17B,23.29B,104.44B,108.74B,,,,,,2.173B,2.173B,2.173B,2.173B,9.874B,,9.874B,82.40B,,92.27B,96.83B,,1.213B,1.946B,8.98B,55.00M,1.203B,,,,-175.00M,11.91B,,AOR,Restated
2019-06,870.00M,1.747B,13.70B,15.44B,,,,15.44B,,,,,,,774.00M,1.99B,481.00M,2.471B,75.81B,774.00M,75.04B,23.02B,103.97B,108.25B,,,,,,4.161B,4.161B,4.161B,4.161B,8.973B,,8.973B,80.88B,,89.86B,96.58B,,1.213B,1.75B,9.03B,52.00M,1.203B,,,,-273.00M,11.67B,,AOR,Restated
2019-03,804.00M,1.483B,13.98B,15.46B,,,,15.46B,,,,,,,784.00M,1.99B,513.00M,2.503B,75.77B,764.00M,75.01B,23.38B,104.20B,108.20B,,,,,,2.862B,2.862B,2.862B,2.862B,9.40B,,9.40B,82.16B,,91.56B,96.77B,,1.214B,1.551B,9.167B,45.00M,1.203B,,,,-455.00M,11.43B,,AOR,Restated
2018-12,1.108B,2.725B,13.78B,16.50B,,,,16.50B,188.00M,579.00M,739.00M,199.00M,1.705B,-915.00M,790.00M,1.989B,535.00M,2.524B,75.70B,772.00M,74.93B,23.02B,103.55B,108.78B,,,,,,13.00M,13.00M,13.00M,2.017B,8.625B,,8.625B,84.77B,,93.40B,97.68B,,1.214B,1.361B,9.181B,45.00M,1.203B,,,,-609.00M,11.10B,,AOR,Restated
2018-09,1.299B,1.342B,13.73B,15.07B,,2.198B,2.198B,17.27B,,,,,,,827.00M,1.993B,557.00M,2.55B,74.16B,761.00M,73.40B,22.84B,99.62B,105.65B,,,,2.296B,2.296B,1.348B,1.348B,1.348B,3.644B,9.385B,,9.385B,81.69B,,91.07B,94.72B,,1.214B,1.196B,9.358B,44.00M,1.203B,,,,-790.00M,10.93B,,AOR,Restated
