,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.234B,1.234B,15.00M,545.00M,560.00M,10.00M,,570.00M,0.00,825.00M,375.00M,59.00M,316.00M,,35.00M,316.00M,316.00M,10.00M,428.00M,,0.28,,,0.28,0.28,,0.27,,,0.27,0.27,,1.017B,1.036B,0.15,,AOR,
2020-09,1.247B,1.247B,9.00M,557.00M,566.00M,10.00M,,576.00M,0.00,817.00M,358.00M,55.00M,303.00M,,28.00M,303.00M,303.00M,80.00M,433.00M,,0.27,,,0.27,0.27,,0.27,,,0.27,0.27,,1.017B,1.031B,0.15,,AOR,
2020-06,1.183B,1.183B,5.00M,517.00M,522.00M,10.00M,,532.00M,-1.00M,792.00M,181.00M,31.00M,150.00M,,19.00M,150.00M,150.00M,59.00M,291.00M,,0.13,,,0.13,0.13,,0.13,,,0.13,0.13,,1.016B,1.029B,0.15,,AOR,
2020-03,1.151B,1.151B,9.00M,489.00M,498.00M,11.00M,,509.00M,0.00,790.00M,58.00M,10.00M,48.00M,,18.00M,48.00M,48.00M,119.00M,243.00M,,0.03,,,0.03,0.03,,0.03,,,0.03,0.03,,1.018B,1.035B,0.15,,AOR,
2019-12,1.152B,1.152B,9.00M,525.00M,534.00M,12.00M,,546.00M,-22.00M,780.00M,372.00M,55.00M,317.00M,,19.00M,317.00M,317.00M,78.00M,603.00M,,0.29,,,0.29,0.29,,0.28,,,0.28,0.28,,1.029B,1.047B,0.15,,AOR,
2019-09,1.188B,1.188B,10.00M,501.00M,511.00M,12.00M,,523.00M,0.00,799.00M,439.00M,67.00M,372.00M,,18.00M,372.00M,372.00M,104.00M,692.00M,,0.34,,,0.34,0.34,,0.34,,,0.34,0.34,,1.035B,1.051B,0.15,,AOR,Restated
2019-06,1.186B,1.186B,11.00M,525.00M,536.00M,12.00M,,548.00M,-2.00M,812.00M,427.00M,63.00M,364.00M,,18.00M,364.00M,364.00M,73.00M,683.00M,,0.33,,,0.33,0.33,,0.33,,,0.33,0.33,,1.045B,1.060B,0.14,,AOR,Restated
2019-03,1.141B,1.141B,7.00M,483.00M,490.00M,13.00M,,503.00M,0.00,822.00M,421.00M,63.00M,358.00M,,19.00M,358.00M,358.00M,131.00M,669.00M,,0.32,,,0.32,0.32,,0.32,,,0.32,0.32,,1.047B,1.066B,0.14,,AOR,Restated
2018-12,1.162B,1.162B,15.00M,491.00M,506.00M,13.00M,,519.00M,-19.00M,833.00M,391.00M,57.00M,334.00M,,19.00M,334.00M,334.00M,143.00M,614.00M,,0.30,,,0.30,0.30,,0.29,,,0.29,0.29,,1.054B,1.073B,0.14,,AOR,Restated
2018-09,1.144B,1.144B,12.00M,475.00M,487.00M,13.00M,,500.00M,-2.00M,802.00M,440.00M,62.00M,378.00M,,18.00M,378.00M,378.00M,122.00M,645.00M,,0.33,,,0.33,0.33,,0.33,,,0.33,0.33,,1.085B,1.104B,0.14,,AOR,Restated
