,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,401.87M,404.57M,25.41M,379.16M,16.51M,16.51M,-105.10M,,72.14M,-75.68M,,185.60M,193.56M,72.14M,-75.68M,-90.15M,-75.68M,27.74M,4.592M,23.14M,,-0.239M,,22.90M,98.12M,268.96M,169.08M,99.88M,,0.07,,0.2871,0.07,,0.07,,0.2869,0.07,,346.48M,346.75M,0.701,,AOR,
2020-06,410.20M,414.64M,26.45M,388.18M,19.06M,19.06M,-13.87M,,73.17M,-76.54M,,187.39M,200.79M,73.17M,-76.54M,-13.35M,-76.54M,110.91M,2.838M,108.07M,,-0.246M,,107.82M,120.83M,352.40M,168.33M,184.08M,,0.31,,0.3479,0.31,,0.31,,0.3478,0.31,,343.52M,343.69M,0.6995,,AOR,
2020-03,412.16M,414.34M,25.61M,388.74M,20.96M,20.96M,-14.30M,,71.54M,-75.24M,,185.55M,203.19M,71.54M,-75.24M,21.96M,-75.24M,149.91M,2.763M,147.14M,,-0.316M,,146.83M,125.27M,386.03M,164.58M,221.45M,,0.44,,0.3760,0.44,,0.44,,0.3760,0.44,,336.62M,336.98M,0.698,,AOR,
2019-12,394.22M,397.53M,25.25M,372.28M,16.33M,16.33M,-8.95M,,70.86M,-74.38M,,172.92M,199.35M,70.86M,-74.38M,6.316M,-74.38M,131.29M,1.736M,129.55M,,-0.256M,,129.30M,123.06M,358.75M,156.59M,202.15M,,0.39,,0.3710,0.39,,0.39,,0.3711,0.39,,328.68M,329.04M,0.6815,,AOR,
2019-09,372.31M,374.25M,20.35M,353.89M,16.46M,16.46M,-13.50M,,69.21M,-72.72M,,165.88M,188.01M,69.21M,-72.72M,-12.20M,-72.72M,103.10M,1.822M,101.28M,,-0.226M,,101.05M,113.03M,321.73M,149.42M,172.30M,,0.32,,0.3574,0.32,,0.32,,0.3574,0.32,,319.95M,320.26M,0.68,,AOR,Restated
2019-06,364.25M,365.45M,21.34M,344.11M,18.58M,18.58M,-13.06M,,68.65M,-71.80M,,169.01M,175.10M,68.65M,-71.80M,-6.72M,-71.80M,96.58M,1.155M,95.42M,,-0.226M,,95.19M,101.83M,315.65M,150.43M,165.22M,,0.31,,0.3313,0.31,,0.31,,0.3313,0.31,,311.03M,311.32M,0.6785,,AOR,Restated
2019-03,354.04M,354.36M,21.64M,332.73M,15.11M,15.11M,-4.672M,,66.23M,-69.34M,,152.62M,180.10M,66.23M,-69.34M,1.913M,-69.34M,112.68M,1.445M,111.23M,,-0.288M,,110.94M,109.05M,316.42M,137.52M,178.91M,,0.37,,0.3638,0.37,,0.37,,0.3638,0.37,,303.53M,303.82M,0.677,,AOR,Restated
2018-12,341.18M,342.58M,17.73M,324.84M,34.18M,34.18M,-1.235M,,66.88M,-70.30M,,171.89M,152.96M,66.88M,-70.30M,4.259M,-70.30M,86.91M,1.607M,85.30M,,-0.231M,,85.07M,80.89M,291.50M,137.71M,153.79M,,0.29,,0.2760,0.29,,0.29,,0.2760,0.29,,297.91M,298.38M,0.662,,AOR,Restated
2018-09,337.25M,338.08M,15.81M,322.28M,16.33M,16.33M,-6.862M,,66.88M,-69.61M,,153.30M,168.98M,66.88M,-69.61M,1.216M,-69.61M,100.58M,1.302M,99.28M,,-0.284M,,99.00M,97.80M,304.44M,136.97M,167.47M,,0.34,,0.3359,0.34,,0.34,,0.3359,0.34,,290.66M,291.21M,0.6605,,AOR,Restated
2018-06,325.26M,328.89M,16.24M,312.65M,17.95M,17.95M,-3.951M,,64.67M,-67.42M,,151.95M,160.70M,64.67M,-67.42M,4.628M,-67.42M,97.90M,1.208M,96.70M,,-0.317M,,96.38M,91.81M,296.57M,134.00M,162.57M,,0.34,,0.3240,0.34,,0.34,,0.3240,0.34,,284.93M,285.37M,0.659,,AOR,Restated
