,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,643.97M,643.97M,351.75M,292.22M,199.72M,45.98M,,-6.578M,17.65M,0.265M,-17.38M,,245.71M,46.51M,0.265M,17.65M,-17.38M,-0.623M,-17.38M,28.50M,2.47M,26.04M,-0.011M,,26.02M,32.04M,90.61M,44.45M,46.16M,0.24,0.0,,,0.2945,0.24,0.23,0.0,,,0.2839,0.23,110.30M,111.33M,0.07
2017-12,641.63M,641.63M,334.20M,307.43M,176.38M,37.73M,,0.255M,11.43M,1.059M,-10.37M,,214.11M,93.32M,1.059M,11.43M,-10.37M,-2.06M,-10.37M,80.89M,119.33M,-38.44M,-2.673M,,-41.12M,-38.60M,121.81M,29.49M,92.32M,-0.3483,-0.0242,,,-0.3497,-0.3726,-0.35,-0.0242,,,-0.3514,-0.3726,110.06M,111.48M,0.07
2017-09,554.28M,554.28M,285.31M,268.97M,152.78M,34.88M,,-3.269M,10.97M,0.802M,-10.17M,,187.66M,81.31M,0.802M,10.97M,-10.17M,33.92M,-10.17M,105.05M,8.508M,96.55M,-5.468M,,91.08M,99.55M,142.03M,26.00M,116.03M,0.88,-0.05,,,0.9073,0.83,0.87,-0.05,,,0.8971,0.82,110.00M,110.99M,0.07
2017-06,546.96M,546.96M,289.36M,257.60M,149.86M,33.56M,,-0.301M,10.67M,0.49M,-10.18M,,183.42M,74.18M,0.49M,10.67M,-10.18M,6.791M,-10.18M,70.79M,8.066M,62.73M,141.34M,,204.07M,62.99M,106.22M,24.76M,81.46M,0.57,1.29,,,0.5724,1.86,0.57,1.28,,,0.5724,1.84,109.89M,110.76M,0.07
2017-03,514.12M,514.12M,274.36M,239.76M,147.01M,33.29M,,-9.651M,10.86M,0.22M,-10.64M,,180.29M,59.46M,0.22M,10.86M,-10.64M,-8.835M,-10.64M,39.98M,3.921M,36.06M,2.541M,,38.60M,44.77M,75.59M,24.75M,50.85M,0.33,0.02,,,0.4095,0.35,0.33,0.02,,,0.409,0.35,109.47M,110.20M,0.07
2016-12,566.77M,566.77M,289.60M,277.17M,152.38M,32.83M,,0.00,10.75M,0.341M,-10.41M,,185.21M,91.96M,0.341M,10.75M,-10.41M,-12.36M,-10.41M,69.19M,6.897M,62.29M,2.56M,,64.85M,62.29M,105.40M,25.46M,79.94M,0.5686,0.0234,,,0.5686,0.592,0.5686,0.02,,,0.5686,0.59,109.34M,110.14M,0.07
2016-09,514.49M,514.49M,265.94M,248.55M,142.60M,29.51M,,-0.656M,11.00M,0.124M,-10.87M,,172.11M,76.44M,0.124M,11.00M,-10.87M,-1.045M,-10.87M,64.52M,10.60M,53.92M,4.21M,,58.13M,54.47M,99.78M,24.27M,75.52M,0.49,0.04,,,0.495,0.53,0.49,0.04,,,0.495,0.53,109.19M,110.08M,0.07
2016-06,536.24M,536.24M,282.69M,253.55M,150.95M,31.87M,,1.094M,9.939M,0.127M,-9.812M,,182.82M,70.73M,0.127M,9.939M,-9.812M,-0.049M,-9.812M,60.87M,3.117M,57.76M,6.101M,,63.86M,56.72M,95.66M,24.85M,70.81M,0.53,0.06,,,0.5205,0.59,0.53,0.06,,,0.5205,0.58,108.97M,109.84M,0.07
2016-03,498.02M,498.02M,262.93M,235.09M,144.54M,29.97M,,0.00,9.841M,0.11M,-9.731M,,174.51M,60.58M,0.11M,9.841M,-9.731M,-1.355M,-9.731M,49.49M,7.747M,41.74M,5.722M,,47.47M,41.74M,84.73M,25.40M,59.33M,0.38,0.05,,,0.38,0.43,0.38,0.05,,,0.38,0.43,110.41M,111.20M,0.07
2015-12,450.58M,450.58M,228.84M,221.74M,146.88M,16.64M,,-8.709M,9.433M,0.185M,-9.248M,,163.52M,58.22M,0.185M,9.433M,-9.248M,-9.372M,-9.248M,39.60M,-4.976M,44.58M,23.67M,,68.25M,49.81M,70.64M,21.61M,49.04M,0.6118,-0.0021,,,0.6586,0.6098,0.61,-0.0021,,,0.6564,0.6098,111.74M,112.56M,0.07
2015-09,563.44M,563.44M,308.83M,254.60M,147.73M,31.10M,,0.118M,9.874M,0.147M,-9.727M,,178.82M,75.78M,0.147M,9.874M,-9.727M,-2.099M,-9.727M,63.95M,9.057M,54.90M,-0.034M,,54.86M,54.80M,100.99M,27.16M,73.83M,0.49,0.0,,,0.4891,0.49,0.48,0.0,,,0.4791,0.48,112.63M,113.42M,0.07
2015-06,563.91M,563.91M,311.39M,252.51M,146.74M,32.68M,,-4.956M,9.302M,0.132M,-9.17M,,179.42M,73.09M,0.132M,9.302M,-9.17M,-6.629M,-9.17M,57.29M,8.292M,49.00M,-0.022M,,48.97M,53.23M,94.85M,28.26M,66.59M,0.43,0.0,,,0.4675,0.43,0.43,0.0,,,0.4672,0.43,113.02M,113.83M,0.07
2015-03,526.90M,526.90M,291.53M,235.37M,145.87M,32.12M,,,9.388M,0.209M,-9.179M,,177.99M,57.38M,0.209M,9.388M,-9.179M,-0.242M,-9.179M,47.96M,7.649M,40.31M,0.023M,,40.33M,40.31M,85.68M,28.33M,57.35M,0.36,0.0,,,0.36,0.36,0.36,0.0,,,0.36,0.36,112.64M,113.44M,0.07
2014-12,441.05M,441.05M,233.46M,207.59M,205.52M,17.88M,,0.644M,9.063M,0.292M,-8.771M,,223.40M,-15.81M,0.292M,9.063M,-8.771M,-0.505M,-8.771M,-25.09M,-25.38M,0.287M,30.50M,,30.79M,-0.1316M,7.607M,23.63M,-16.02M,0.2784,-0.0047,,,0.2747,0.2737,0.2784,-0.01,,,0.2747,0.27,112.39M,113.45M,0.07
2014-09,542.05M,542.05M,298.74M,243.31M,143.00M,30.44M,,-11.09M,8.909M,0.13M,-8.779M,,173.44M,69.87M,0.13M,8.909M,-8.779M,-13.28M,-8.779M,47.81M,4.912M,42.90M,-0.621M,,42.28M,52.85M,85.64M,28.93M,56.72M,0.38,-0.01,,,0.4683,0.38,0.38,-0.01,,,0.4675,0.37,112.65M,113.76M,0.07
2014-06,556.17M,556.17M,308.19M,247.98M,147.25M,30.35M,,-0.742M,9.079M,0.151M,-8.928M,,177.60M,70.38M,0.151M,9.079M,-8.928M,-0.778M,-8.928M,60.67M,8.67M,52.00M,-1.513M,,50.49M,52.64M,98.33M,28.58M,69.75M,0.46,-0.01,,,0.4656,0.45,0.46,-0.01,,,0.4656,0.44,112.79M,113.97M,0.07
2014-03,530.61M,530.61M,294.90M,235.71M,152.44M,29.38M,,-2.135M,9.219M,0.094M,-9.125M,,181.82M,53.90M,0.094M,9.219M,-9.125M,-4.299M,-9.125M,40.47M,5.522M,34.95M,-0.727M,,34.22M,36.80M,79.02M,29.33M,49.69M,0.31,-0.01,,,0.3264,0.3,0.31,-0.01,,,0.3262,0.3,112.55M,113.78M,0.07
2013-12,591.87M,591.87M,315.10M,276.77M,140.88M,32.59M,,-10.37M,14.61M,0.362M,-14.25M,,173.47M,103.30M,0.362M,14.61M,-14.25M,-22.98M,-14.25M,66.06M,-7.39M,73.46M,-6.582M,,66.87M,80.19M,112.32M,31.64M,80.68M,0.586,-0.0136,,,0.6461,0.5725,0.58,-0.0136,,,0.6394,0.57,112.16M,113.46M,0.07
2013-09,522.10M,522.10M,288.83M,233.27M,142.78M,31.41M,,-1.124M,11.70M,0.119M,-11.58M,,174.19M,59.08M,0.119M,11.70M,-11.58M,-1.879M,-11.58M,45.61M,4.851M,40.76M,-0.565M,,40.20M,41.77M,90.58M,33.26M,57.32M,0.36,-0.01,,,0.369,0.36,0.36,-0.01,,,0.3689,0.36,111.83M,113.12M,0.07
2013-06,540.67M,540.67M,299.01M,241.66M,147.80M,34.40M,,-19.25M,11.91M,0.064M,-11.85M,,182.20M,59.46M,0.064M,11.91M,-11.85M,-20.26M,-11.85M,27.35M,0.077M,27.27M,0.651M,,27.92M,46.46M,70.67M,31.41M,39.26M,0.24,0.01,,,0.412,0.25,0.24,0.01,,,0.4102,0.25,111.58M,112.72M,0.07
2013-03,505.38M,505.38M,280.49M,224.88M,151.50M,34.18M,,-3.31M,11.69M,0.105M,-11.59M,,185.67M,39.21M,0.105M,11.69M,-11.59M,-3.762M,-11.59M,23.86M,-8.428M,32.29M,-0.073M,,32.22M,34.44M,66.12M,30.57M,35.55M,0.28,0.0,,,0.299,0.28,0.28,0.0,,,0.2988,0.28,113.45M,114.72M,0.07
2012-12,562.90M,562.90M,302.92M,259.98M,175.34M,32.73M,,-78.17M,11.65M,0.313M,-11.34M,,208.08M,51.90M,0.313M,11.65M,-11.34M,-78.73M,-11.34M,-38.16M,-24.82M,-13.34M,-2.512M,,-15.86M,37.47M,3.823M,30.34M,-26.51M,-0.1408,0.0029,,,0.3032,-0.1378,-0.1408,0.0,,,0.2982,-0.14,114.44M,115.74M,0.07
2012-09,509.60M,509.60M,278.86M,230.74M,145.44M,32.41M,,-9.672M,11.36M,0.074M,-11.29M,,177.85M,52.89M,0.074M,11.36M,-11.29M,-10.26M,-11.29M,31.35M,2.357M,28.99M,0.605M,,29.59M,37.94M,73.33M,30.63M,42.71M,0.25,0.01,,,0.3286,0.26,0.25,0.01,,,0.3278,0.26,113.86M,115.00M,0.07
2012-06,521.79M,521.79M,283.00M,238.79M,149.74M,34.07M,,-5.203M,11.34M,0.15M,-11.19M,,183.80M,54.99M,0.15M,11.34M,-11.19M,-5.372M,-11.19M,38.43M,4.861M,33.57M,0.065M,,33.63M,38.12M,81.92M,32.16M,49.77M,0.3,0.0,,,0.3401,0.3,0.29,0.0,,,0.3297,0.29,113.52M,114.58M,0.07
2012-03,510.89M,510.89M,278.88M,232.01M,156.85M,32.62M,,-6.159M,11.44M,0.21M,-11.23M,,189.47M,42.54M,0.21M,11.44M,-11.23M,-7.762M,-11.23M,23.55M,1.476M,22.08M,0.493M,,22.57M,27.85M,67.00M,32.01M,34.99M,0.2,0.0,,,0.251,0.2,0.19,0.0,,,0.2406,0.2,113.10M,114.12M,0.07
