,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-12,426.99M,426.99M,248.13M,178.85M,99.68M,27.08M,,-0.412M,,,,3.246M,130.00M,48.85M,,,,-0.412M,,50.95M,9.885M,41.07M,0.659M,,41.73M,41.40M,67.17M,18.32M,48.85M,0.34,0.01,,,0.3428,0.34,0.33,0.01,,,0.3327,0.34,119.95M,121.22M,0.07
2006-09,386.92M,386.92M,230.98M,155.94M,94.66M,24.76M,,0.456M,,,,,119.43M,36.52M,,,,0.456M,,36.74M,7.823M,28.92M,0.838M,,29.75M,28.56M,54.12M,17.61M,36.52M,0.23,0.01,,,0.2271,0.24,0.23,0.01,,,0.2271,0.24,124.28M,125.17M,0.07
2006-06,377.00M,377.00M,225.41M,151.59M,92.66M,25.04M,,1.795M,,,,-1.505M,116.19M,35.40M,,,,1.795M,,33.88M,7.559M,26.32M,-1.835M,,24.48M,24.93M,52.40M,17.00M,35.40M,0.21,-0.01,,,0.1989,0.19,0.21,-0.01,,,0.1991,0.19,126.12M,127.40M,0.07
2006-03,355.45M,355.45M,213.77M,141.69M,89.85M,22.84M,,-0.894M,,,,,112.70M,28.99M,,,,-0.894M,,29.16M,7.145M,22.02M,1.597M,,23.62M,22.69M,45.54M,16.55M,28.99M,0.17,0.02,,,0.1753,0.19,0.17,0.02,,,0.1752,0.19,127.92M,129.72M,0.07
2005-12,387.66M,387.66M,222.82M,164.84M,88.02M,21.02M,,-55.84M,,,,-1.438M,107.60M,57.24M,,,,-55.84M,,-3.321M,2.78M,-6.101M,193.65M,,187.55M,27.40M,122.00M,64.76M,57.24M,-0.05,1.46,,,0.2064,1.45,-0.05,1.44,,,0.2026,1.42,130.68M,132.64M,0.07
2005-09,359.98M,359.98M,209.70M,150.28M,87.90M,21.68M,,0.81M,,,,-0.461M,109.12M,41.17M,,,,0.81M,,35.12M,8.65M,26.47M,5.364M,,31.83M,25.86M,62.79M,21.62M,41.17M,0.2,0.04,,,0.1953,0.25,0.2,0.04,,,0.1954,0.24,129.54M,131.29M,0.07
2005-06,368.02M,368.02M,216.89M,151.12M,92.71M,22.08M,,-15.21M,,,,0.397M,115.19M,35.93M,,,,-15.21M,,14.24M,-16.32M,30.56M,-1.664M,,28.90M,39.69M,55.80M,19.87M,35.93M,0.24,-0.02,,,0.3107,0.22,0.23,-0.02,,,0.2998,0.22,129.03M,130.72M,0.07
2005-03,358.17M,358.17M,209.88M,148.29M,96.83M,22.59M,,-0.846M,,,,,119.42M,28.87M,,,,-0.846M,,20.62M,5.017M,15.60M,4.227M,,19.83M,16.24M,47.00M,18.13M,28.87M,0.12,0.03,,,0.125,0.15,0.12,0.03,,,0.1249,0.15,128.83M,131.06M,0.07
2004-12,400.69M,400.69M,249.22M,151.47M,97.50M,21.61M,,-3.994M,,,,-2.591M,95.86M,55.61M,,,,-3.994M,,41.02M,9.621M,31.39M,6.529M,,37.92M,34.45M,75.71M,20.09M,55.61M,0.25,0.05,,,0.2734,0.29,0.25,0.05,,,0.2733,0.29,130.86M,131.46M,0.07
2004-09,341.60M,341.60M,198.57M,143.03M,83.43M,20.44M,6.92M,0.398M,,,,,110.78M,32.25M,,,,0.398M,,24.22M,5.825M,18.39M,5.62M,,24.01M,18.09M,46.20M,13.96M,32.25M,0.14,0.05,,,0.1376,0.19,0.14,0.05,,,0.1377,0.19,127.56M,129.40M,0.07
2004-06,412.08M,412.08M,245.51M,166.57M,97.21M,21.54M,7.077M,-0.944M,,,,,125.83M,40.74M,,,,-0.944M,,30.88M,8.704M,22.18M,-1.344M,,20.84M,22.86M,60.70M,19.96M,40.74M,0.17,-0.01,,,0.1753,0.16,0.17,-0.01,,,0.1752,0.16,127.12M,129.36M,0.07
2004-03,392.61M,392.61M,239.98M,152.63M,95.76M,20.20M,7.101M,0.363M,,,,-0.363M,122.70M,29.93M,,,,0.363M,,20.38M,6.128M,14.26M,-0.986M,,13.27M,14.00M,51.62M,21.69M,29.93M,0.1,0.0,,,0.098,0.1,0.1,0.0,,,0.098,0.1,126.68M,128.93M,0.07
2003-12,435.04M,435.04M,251.91M,183.14M,104.68M,21.68M,7.106M,-52.01M,,,,-0.617M,132.85M,50.28M,,,,-52.01M,,39.47M,11.46M,24.77M,3.163M,,27.93M,61.67M,73.81M,23.52M,50.28M,0.16,0.06,,,0.4544,0.22,0.16,0.06,,,0.4354,0.21,125.33M,133.97M,0.07
2003-09,366.18M,366.18M,213.24M,152.94M,91.54M,19.66M,7.013M,0.19M,,,,-0.369M,117.85M,35.10M,,,,0.19M,,21.63M,6.863M,14.77M,-0.50M,,14.27M,14.64M,56.63M,21.54M,35.10M,0.12,-0.01,,,0.119,0.11,0.12,-0.01,,,0.119,0.11,126.29M,128.03M,0.07
2003-06,377.12M,377.12M,224.54M,152.58M,97.48M,21.88M,7.043M,3.836M,,,,-1.108M,125.29M,27.30M,,,,3.836M,,15.86M,5.155M,10.71M,-2.31M,,8.398M,8.119M,50.35M,23.06M,27.30M,0.09,-0.01,,,0.0694,0.07,0.08,-0.01,,,0.0596,0.07,125.71M,126.90M,0.07
2003-03,358.45M,358.45M,219.28M,139.17M,92.88M,20.85M,7.195M,1.025M,,,,-0.58M,120.35M,18.82M,,,,1.025M,,4.921M,1.599M,3.322M,-0.96M,,2.362M,2.630M,40.49M,21.67M,18.82M,0.03,-0.01,,,0.0245,0.02,0.03,-0.01,,,0.0245,0.02,125.65M,126.38M,0.07
2002-12,409.58M,409.58M,241.08M,168.50M,87.05M,21.54M,,-32.56M,,,,,131.70M,36.80M,,,,-32.56M,,-0.975M,-1.673M,0.698M,-3.326M,0.0,-2.628M,20.23M,61.37M,24.57M,36.80M,0.22,-0.02,0.0,,0.3747,-0.02,0.22,-0.02,0.0017,,0.3747,-0.02,126.27M,126.27M,0.07
2002-09,366.01M,366.01M,219.26M,146.76M,109.56M,20.50M,,-4.731M,,,,,130.06M,16.69M,,,,-4.731M,,11.96M,2.213M,9.75M,-2.604M,,7.146M,13.61M,44.23M,27.54M,16.69M,0.06,-0.02,,,0.0905,0.06,0.06,-0.02,,,0.0904,0.06,126.24M,126.78M,0.07
2002-06,383.10M,383.10M,223.20M,159.90M,112.83M,22.60M,7.057M,,,,,,142.49M,17.41M,,,,,,8.987M,2.912M,6.075M,-15.17M,,-9.096M,6.075M,38.60M,21.19M,17.41M,0.05,-0.12,,,0.05,-0.07,0.05,-0.12,,,0.05,-0.07,124.90M,125.56M,0.07
2002-03,305.08M,305.08M,197.58M,107.49M,109.40M,22.26M,,-15.33M,,,,1.50M,133.16M,-25.67M,,,,-15.33M,,-39.50M,-10.22M,-29.28M,3.324M,,-29.56M,-17.92M,-2.855M,22.81M,-25.67M,-0.23,0.03,,-0.0288,-0.139,-0.24,-0.23,0.03,,-0.0288,-0.139,-0.24,124.86M,124.86M,0.07
2001-12,210.70M,210.70M,99.17M,111.52M,117.82M,20.23M,,-71.70M,,,,,138.04M,-26.52M,,,,-71.70M,,-98.22M,-8.457M,-89.76M,40.14M,,-49.62M,-24.24M,-19.65M,6.869M,-26.52M,-0.88,0.37,,,-0.3167,-0.51,-0.88,0.36,,,-0.3283,-0.51,116.33M,118.78M,0.07
2001-09,348.32M,348.32M,192.65M,155.67M,87.00M,18.49M,,-1.986M,,,,,105.49M,50.19M,,,,-1.986M,,48.20M,14.22M,33.99M,-2.767M,,31.22M,35.39M,73.89M,23.71M,50.19M,0.33,-0.03,,,0.3438,0.3,0.33,-0.03,,,0.3434,0.3,101.13M,104.34M,0.07
2001-06,390.81M,390.81M,215.89M,174.92M,106.42M,20.36M,,-2.463M,,,,-4.461M,122.32M,52.60M,,,,-2.463M,,45.68M,14.80M,30.88M,-1.467M,,29.41M,32.54M,78.90M,26.31M,52.60M,0.31,-0.01,,,0.3265,0.29,0.3,-0.01,,,0.316,0.28,100.62M,104.10M,0.07
2001-03,425.70M,425.70M,246.80M,178.89M,106.74M,23.86M,,-0.732M,,,,-3.887M,126.71M,52.19M,,,,-0.732M,,37.46M,13.96M,23.50M,,,23.50M,23.96M,79.56M,27.38M,52.19M,0.235,0.0,,,0.2396,0.235,0.225,0.0,,,0.2294,0.225,100.01M,104.10M,0.07
2000-12,734.21M,734.21M,372.82M,361.38M,147.69M,29.88M,,-5.003M,,,,,264.38M,97.00M,,,,-5.003M,,91.09M,34.80M,56.29M,-19.67M,,36.62M,59.38M,134.51M,37.51M,97.00M,0.62,-0.29,,,0.6509,0.33,0.59,-0.29,,,0.6204,0.32,100.07M,101.57M,0.07
2000-09,340.14M,340.14M,189.86M,150.28M,97.52M,18.55M,,-36.77M,,,,0.909M,116.98M,33.30M,,,,-36.77M,,-2.552M,7.723M,-10.28M,12.36M,,2.08M,11.78M,47.22M,13.92M,33.30M,-0.1,0.13,,,0.124,0.03,-0.1,0.12,,,0.1145,0.02,98.50M,102.85M,0.07
2000-06,369.51M,369.51M,216.33M,153.18M,92.94M,19.42M,,0.55M,,,,-1.416M,110.94M,42.24M,,,,0.55M,,41.37M,11.36M,30.01M,1.108M,,31.12M,29.61M,59.57M,17.33M,42.24M,0.31,0.06,,,0.3059,0.37,0.3,0.05,,,0.2961,0.35,98.07M,101.59M,0.07
2000-03,402.29M,402.29M,246.72M,155.57M,95.68M,21.30M,,-3.522M,,,,-7.796M,109.18M,46.39M,,,,-3.522M,,27.31M,11.07M,16.24M,,,16.24M,18.36M,65.34M,18.96M,46.39M,0.17,0.0,,,0.1918,0.17,0.16,0.0,,,0.181,0.16,96.93M,100.82M,0.07
1999-12,427.20M,427.20M,227.80M,199.40M,108.20M,21.20M,,-10.30M,,,,,143.30M,56.10M,,,,-10.30M,,45.70M,16.80M,28.90M,3.90M,,32.80M,35.41M,70.00M,13.90M,56.10M,0.295,0.055,,,0.3649,0.35,0.295,0.055,,,0.3649,-1.05,93.19M,93.19M,0.07
1999-09,388.40M,388.40M,228.10M,160.30M,95.70M,20.30M,,-30.80M,,,,,138.50M,21.80M,,,,-30.80M,,-8.90M,-3.10M,-5.80M,109.60M,,103.80M,14.27M,44.30M,22.50M,21.80M,-0.065,1.2,,,0.1545,1.135,-0.065,1.2,,,0.1545,1.135,91.45M,91.45M,0.07
1999-06,304.26M,304.26M,182.50M,121.76M,71.20M,16.30M,,-20.70M,,,,,105.40M,16.36M,,,,-20.70M,,-4.20M,-1.50M,-2.70M,6.30M,,3.60M,10.61M,34.26M,14.30M,16.36M,-0.03,0.07,,,0.1179,0.04,-0.03,0.07,,,0.1179,0.04,90.00M,90.00M,0.07
1999-03,243.22M,243.22M,145.30M,97.92M,52.09M,13.40M,,-4.632M,,,,,80.89M,17.03M,,,,-4.632M,,12.40M,4.354M,8.042M,6.045M,,14.09M,11.05M,32.43M,15.40M,17.03M,0.09,0.065,,,0.1231,0.155,0.09,0.065,,,0.1231,0.155,90.88M,90.88M,0.07
1998-12,233.80M,233.80M,130.70M,103.10M,49.30M,13.60M,,-4.20M,,,,,77.60M,25.50M,,,,-4.20M,,21.20M,7.30M,13.90M,6.50M,,20.40M,16.65M,40.20M,14.70M,25.50M,0.145,0.08,,,0.1765,0.235,0.145,0.08,,,0.1753,0.225,87.54M,90.96M,0.07
1998-09,191.50M,191.50M,112.90M,78.60M,46.20M,10.40M,,3.50M,,,,,68.50M,10.10M,,,,3.50M,,13.60M,4.90M,8.70M,6.70M,,15.40M,6.461M,22.00M,11.40M,10.10M,0.095,0.075,,,0.0703,0.17,0.095,0.07,,,0.071,0.165,90.59M,93.33M,0.07
1998-06,209.40M,209.40M,125.50M,83.90M,53.30M,10.90M,,30.30M,,,,,75.30M,8.60M,,,,30.30M,,39.00M,11.20M,27.80M,3.90M,,31.70M,6.202M,19.70M,10.20M,8.60M,0.305,0.04,,,0.0699,0.345,0.3,0.04,,,0.0683,0.34,91.88M,93.24M,0.07
