,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.305B,,1.305B,614.77M,614.77M,391.07M,110.59M,83.09M,584.75M,,138.65M,2.643B,,,,,675.37M,675.37M,,675.37M,4.189B,2.644B,6.833B,281.84M,,7.790B,10.43B,324.84M,40.77M,365.61M,313.80M,679.41M,505.03M,505.03M,43.22M,548.25M,175.83M,175.83M,,1.403B,2.296B,129.29M,2.425B,541.52M,541.52M,359.09M,3.326B,4.729B,2.671M,6.915B,890.58M,1.570B,,-533.64M,5.704B
2020-06,1.131B,,1.131B,620.16M,620.16M,412.59M,116.34M,92.60M,621.52M,,144.48M,2.517B,,,,,680.79M,680.79M,,680.79M,4.156B,2.668B,6.823B,289.79M,,7.794B,10.31B,337.46M,37.94M,375.40M,302.89M,678.29M,115.88M,115.88M,42.67M,158.55M,180.61M,180.61M,,1.017B,2.753B,127.35M,2.881B,556.42M,556.42M,370.25M,3.807B,4.825B,2.668M,6.752B,860.77M,1.570B,,-558.78M,5.486B
2020-03,1.253B,,1.253B,712.20M,712.20M,420.80M,130.28M,103.23M,654.30M,,154.62M,2.774B,,,,,703.33M,703.33M,,703.33M,4.076B,2.768B,6.844B,280.29M,,7.827B,10.60B,373.90M,76.63M,450.53M,299.46M,749.99M,510.79M,510.79M,42.00M,552.79M,174.89M,174.89M,,1.478B,2.742B,132.36M,2.874B,553.66M,553.66M,370.46M,3.798B,5.276B,2.664M,6.627B,837.76M,1.565B,,-575.74M,5.326B
2019-12,393.03M,,393.03M,744.76M,744.76M,406.55M,118.24M,99.77M,624.57M,,263.41M,2.026B,0.0,33.52M,295.89M,1.075B,179.68M,1.584B,-855.14M,728.59M,4.048B,2.763B,6.810B,279.79M,,7.819B,9.845B,377.22M,30.29M,407.51M,159.70M,567.21M,497.45M,497.45M,43.02M,540.47M,156.82M,156.82M,23.40M,1.426B,2.271B,,2.271B,536.14M,536.14M,495.78M,3.303B,4.729B,2.662M,6.388B,832.82M,1.574B,,-533.14M,5.115B
2019-09,735.38M,,735.38M,761.96M,761.96M,399.90M,122.53M,101.24M,623.68M,,151.17M,2.272B,,,,,711.60M,711.60M,,711.60M,3.668B,2.310B,5.979B,257.33M,,6.948B,9.220B,381.94M,41.90M,423.85M,302.13M,725.98M,199.53M,199.53M,40.82M,240.36M,144.18M,144.18M,,1.111B,2.229B,139.60M,2.369B,549.18M,549.18M,325.20M,3.243B,4.354B,2.657M,6.199B,792.68M,1.570B,,-558.47M,4.866B
2019-06,567.91M,,567.91M,757.52M,757.52M,406.18M,118.33M,109.63M,634.14M,,167.58M,2.127B,,,,,721.16M,721.16M,,721.16M,3.613B,2.339B,5.952B,269.60M,,6.942B,9.070B,390.44M,33.03M,423.47M,274.34M,697.82M,98.36M,98.36M,41.75M,140.11M,140.64M,140.64M,,978.56M,2.369B,147.34M,2.516B,544.22M,544.22M,364.01M,3.424B,4.403B,2.654M,6.010B,759.78M,1.570B,,-535.83M,4.667B
2019-03,368.06M,,368.06M,763.16M,763.16M,403.19M,123.30M,114.10M,640.58M,,152.84M,1.925B,,,,,724.86M,724.86M,,724.86M,3.610B,2.370B,5.980B,262.16M,,6.967B,8.891B,405.65M,39.94M,445.59M,321.12M,766.71M,,104.16M,,104.16M,136.36M,136.36M,,1.007B,2.368B,,2.368B,545.86M,545.86M,513.58M,3.428B,4.435B,2.647M,5.826B,738.17M,1.570B,,-540.08M,4.457B
2018-12,353.98M,,353.98M,732.84M,732.84M,399.56M,117.90M,107.29M,624.74M,,124.59M,1.836B,0.0,41.75M,315.25M,1.022B,,1.379B,-825.23M,554.13M,3.612B,2.404B,6.016B,256.21M,,6.826B,8.662B,399.57M,48.60M,448.17M,164.42M,612.59M,358.88M,358.88M,0.00,358.88M,137.23M,137.23M,,1.259B,2.274B,,2.274B,528.34M,528.34M,359.49M,3.162B,4.420B,2.64M,5.654B,706.74M,1.570B,,-551.09M,4.242B
2018-09,518.72M,,518.72M,714.93M,714.93M,393.61M,133.32M,93.23M,620.15M,,144.82M,1.999B,,,,,,,,487.42M,3.264B,2.102B,5.365B,256.79M,,6.109B,8.108B,389.13M,45.02M,434.15M,329.94M,764.08M,,68.72M,,68.72M,137.09M,137.09M,,969.90M,1.833B,,1.833B,554.04M,554.04M,239.64M,2.626B,3.596B,2.64M,5.474B,697.89M,1.206B,,-456.20M,4.512B
2018-06,557.69M,,557.69M,710.96M,710.96M,391.66M,132.65M,90.08M,614.39M,,135.09M,2.018B,,,,,,,,490.13M,3.252B,2.147B,5.399B,244.85M,,6.134B,8.152B,394.28M,35.57M,429.85M,308.06M,737.91M,,307.66M,,307.66M,136.94M,136.94M,,1.183B,1.838B,,1.838B,557.70M,557.70M,235.91M,2.632B,3.814B,2.637M,5.315B,680.86M,1.207B,,-454.08M,4.338B
