,OperatingRevenue,Revenue,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.328B,5.328B,,17.00M,-17.00M,57.00M,-57.00M,,0.00,57.00M,-57.00M,18.00M,-57.00M,652.00M,115.00M,537.00M,,,,5.00M,537.00M,551.00M,17.00M,709.00M,,1.48,,,1.519,1.48,,1.47,,,1.509,1.47,,358.40M,361.50M,0.325,,AOR,
2020-09,5.171B,5.171B,,18.00M,-87.00M,58.00M,-58.00M,,-69.00M,58.00M,-58.00M,3.00M,-58.00M,532.00M,73.00M,459.00M,,,,6.00M,459.00M,534.06M,142.00M,590.00M,,1.26,,,1.469,1.26,,1.26,,,1.468,1.26,,358.30M,360.50M,0.325,,AOR,
2020-06,5.068B,5.068B,,18.00M,,57.00M,-57.00M,,18.00M,57.00M,-57.00M,88.00M,-57.00M,592.00M,124.00M,468.00M,,,,5.00M,468.00M,468.00M,135.00M,649.00M,,1.29,,,1.29,1.29,,1.29,,,1.29,1.29,,358.10M,359.30M,0.325,,AOR,
2020-03,4.956B,4.956B,,19.00M,,64.00M,-64.00M,,19.00M,64.00M,-64.00M,17.00M,-64.00M,344.00M,71.00M,273.00M,,,,5.00M,273.00M,273.00M,134.00M,408.00M,,0.7476,,,0.7476,0.7476,,0.7422,,,0.7422,0.7422,,358.50M,361.10M,0.325,,AOR,
2019-12,5.361B,5.361B,,19.00M,0.00,65.00M,-65.00M,,19.00M,65.00M,-65.00M,41.00M,-65.00M,676.00M,128.00M,548.00M,,,,5.00M,548.00M,548.00M,118.00M,741.00M,,1.506,0.00,,1.506,1.51,,1.491,0.00,,1.491,1.49,,360.60M,364.30M,0.30,,AOR,
2019-09,5.347B,5.347B,,19.00M,-90.00M,67.00M,-67.00M,,-71.00M,67.00M,-67.00M,44.00M,-67.00M,653.00M,118.00M,535.00M,,,,11.00M,535.00M,608.74M,112.00M,720.00M,,1.45,,,1.654,1.45,,1.43,,,1.632,1.43,,361.40M,365.40M,0.30,,AOR,Restated
2019-06,5.092B,5.092B,,15.00M,,63.00M,-63.00M,,15.00M,63.00M,-63.00M,32.00M,-63.00M,456.00M,84.00M,372.00M,,,,,372.00M,372.00M,113.00M,519.00M,,1.03,,,1.03,1.03,,1.02,,,1.02,1.02,,361.40M,365.10M,0.30,,AOR,Restated
2019-03,4.94B,4.94B,,13.00M,,64.00M,-64.00M,,13.00M,64.00M,-64.00M,53.00M,-64.00M,775.00M,145.00M,630.00M,,,,5.00M,630.00M,630.00M,108.00M,839.00M,,1.736,,,1.736,1.736,,1.714,,,1.714,1.714,,360.00M,364.70M,0.30,,AOR,Restated
2018-12,4.633B,4.633B,,14.00M,0.00,70.00M,-70.00M,,14.00M,70.00M,-70.00M,32.00M,-70.00M,167.00M,-29.00M,196.00M,0.00,,,,196.00M,196.00M,108.00M,237.00M,,0.5291,0.00,,0.5291,0.53,,0.5220,0.00,,0.5220,0.52,,359.30M,364.10M,0.30,,AOR,Restated
2018-09,4.842B,4.842B,,18.00M,0.00,69.00M,-69.00M,,18.00M,69.00M,-69.00M,29.00M,-69.00M,530.00M,103.00M,427.00M,5.00M,,,,432.00M,427.00M,122.00M,599.00M,,1.191,0.01,,1.191,0.01,,1.173,0.01,,1.173,0.01,,358.60M,364.10M,0.30,,AOR,Restated
