,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,459.00M,51.00M,,-57.00M,,,-6.00M,142.00M,142.00M,,421.00M,,-378.00M,-63.00M,,,,391.00M,750.00M,1.388B,,-27.00M,-27.00M,-7.00M,-1.089B,-40.00M,-1.222B,,0.00,,0.00,,0.00,0.00,,,,-117.00M,-6.00M,-123.00M,1.00M,-37.00M,-252.00M,,372.00M,-86.00M,42.00M,270.00M,,,0.00,0.00,0.00,158.00M,59.00M,,AOR,
2020-06,468.00M,,,-109.00M,,,-109.00M,135.00M,135.00M,,429.00M,,-393.00M,-48.00M,,,,125.00M,439.00M,969.00M,,-28.00M,-28.00M,-81.00M,-418.00M,33.00M,-562.00M,,0.00,,0.00,,0.00,0.00,,,,-116.00M,-5.00M,-121.00M,4.00M,-2.00M,-300.00M,,301.00M,107.00M,-36.00M,372.00M,,,,0.00,0.00,2.00M,50.00M,,AOR,
2020-03,273.00M,,,231.00M,,,231.00M,134.00M,134.00M,,437.00M,,-368.00M,-75.00M,,,,-569.00M,-409.00M,298.00M,,-23.00M,-23.00M,-63.00M,1.026B,-5.00M,777.00M,,-500.00M,,-500.00M,,-150.00M,-150.00M,,,,-108.00M,-5.00M,-113.00M,-32.00M,5.00M,-1.027B,,262.00M,48.00M,-9.00M,301.00M,,,,-500.00M,-150.00M,1.00M,74.00M,,AOR,
2019-12,548.00M,0.00,,-63.00M,,,-63.00M,118.00M,118.00M,,438.00M,,-412.00M,-196.00M,,,,472.00M,414.00M,1.043B,,-30.00M,-30.00M,-48.00M,-289.00M,19.00M,-828.00M,,0.00,,0.00,,-110.00M,-110.00M,,,,-106.00M,-5.00M,-111.00M,12.00M,-7.00M,-248.00M,,290.00M,-33.00M,5.00M,262.00M,,,0.00,0.00,-110.00M,-420.00M,51.00M,,AOR,
2019-09,535.00M,0.00,,-89.00M,,,-89.00M,112.00M,112.00M,,437.00M,,-322.00M,58.00M,,,,646.00M,769.00M,1.442B,,-31.00M,-31.00M,28.00M,-1.252B,-5.00M,-1.35B,,206.00M,,206.00M,,-63.00M,-63.00M,,,,-111.00M,-5.00M,-116.00M,21.00M,-23.00M,-88.00M,,283.00M,4.00M,3.00M,290.00M,,,1.376B,-1.17B,-63.00M,419.00M,73.00M,,AOR,Restated
2019-06,372.00M,,,-80.00M,,,-80.00M,113.00M,113.00M,,392.00M,,-399.00M,41.00M,,,,-141.00M,327.00M,725.00M,,-24.00M,-24.00M,-1.936B,1.866B,-2.00M,-99.00M,,0.00,,0.00,,-27.00M,-27.00M,,,,-107.00M,-5.00M,-112.00M,-11.00M,53.00M,-427.00M,,104.00M,199.00M,-20.00M,283.00M,,,,0.00,-27.00M,1.00M,96.00M,,AOR,Restated
2019-03,630.00M,,,-163.00M,,,-163.00M,108.00M,108.00M,,355.00M,,-336.00M,16.00M,,,,-469.00M,-315.00M,279.00M,,-20.00M,-20.00M,-10.00M,89.00M,1.00M,129.00M,,-413.00M,,-413.00M,,0.00,0.00,,,,-109.00M,-6.00M,-115.00M,-28.00M,-24.00M,-428.00M,,121.00M,-20.00M,3.00M,104.00M,,,,-413.00M,0.00,0.00,41.00M,,AOR,Restated
2018-12,196.00M,,202.00M,172.00M,,,172.00M,108.00M,108.00M,,350.00M,,-285.00M,-434.00M,,,,282.00M,460.00M,1.001B,,-52.00M,-52.00M,-17.00M,-985.00M,1.00M,-1.20B,,0.00,,0.00,,0.00,0.00,,,,-109.00M,0.00,-109.00M,-26.00M,0.00,224.00M,,102.00M,25.00M,-6.00M,121.00M,,,0.00,0.00,0.00,-1.00M,95.00M,,AOR,Restated
2018-09,432.00M,,11.00M,-38.00M,,,-27.00M,122.00M,122.00M,,348.00M,,-301.00M,-25.00M,,,,65.00M,-2.00M,572.00M,,-11.00M,-11.00M,-46.00M,-294.00M,0.00,-555.00M,,0.00,,0.00,,0.00,0.00,,,,-90.00M,0.00,-90.00M,5.00M,-4.00M,-64.00M,,147.00M,-47.00M,2.00M,102.00M,,,0.00,0.00,0.00,1.00M,41.00M,,AOR,Restated
2018-06,582.00M,,-151.00M,22.00M,,,-129.00M,121.00M,121.00M,,361.00M,,-372.00M,117.00M,,,,13.00M,-5.00M,558.00M,,-20.00M,-20.00M,1.181B,-1.028B,27.00M,35.00M,,-504.00M,,-504.00M,,0.00,0.00,,,,-90.00M,0.00,-90.00M,4.00M,-57.00M,-950.00M,,228.00M,-357.00M,-1.00M,147.00M,,,0.00,-504.00M,0.00,,91.00M,,AOR,Restated
